,Contest Title,Party,Candidate,1ST PRESBYTERIAN CH,ABSENTEE,ANDERSON TOWN HALL,BROADWAY REC CTR,CENTER STAR 1ST BAPTIST,CENTRAL BAPTIST CH,CENTRAL COMMUNITY CTR,CLOVERDALE COMMUNITY CTR,E CAMPUS WOODMONT BAPT CH,ELGIN SENIOR CTR,FLORENCE - FIRST BAPTIST,FLORENCE - HIGH SCHOOL,FLORENCE BLVD CH CHRIST,FOREST HILLS SCHOOL,GRADY RICHARDS CTR,GREENHILL SENIOR CTR,HANDY RECREATION CTR,HARLAN SCHOOL,HIBBETT SCHOOL,HIGHLAND BAPTIST CH,KILLEN BAPTIST CH,LAUDERDALE COUNTY BD,LEXINGTON SENIOR CTR,MARS HILL SCHOOL,OAKLAND FIRE STATION,PROVISIONAL,ROGERSVILLE SENIOR CTR,SHERROD AVE CH OF CHRIST,ST FLORIAN SENIOR CTR,STEWARTVILLE CH OF CHRIST,UNDERWOOD COMMUNITY CTR,WATERLOO SENIOR CITIZEN,ZIP CITY COMMUNITY CTR
72,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,351.0,944,357.0,412.0,1235.0,281.0,666.0,666.0,519.0,661.0,326.0,719.0,506.0,1193.0,280.0,1401.0,336.0,452.0,513.0,694.0,1260.0,751.0,604.0,1425.0,507.0,136,897.0,489.0,616.0,405.0,806.0,133.0,469.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,90.0,308,185.0,142.0,418.0,96.0,240.0,237.0,120.0,239.0,87.0,172.0,135.0,310.0,52.0,540.0,76.0,131.0,157.0,176.0,376.0,177.0,249.0,350.0,177.0,33,373.0,145.0,194.0,156.0,259.0,53.0,212.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,3.0,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,139.0,775,311.0,245.0,709.0,130.0,478.0,450.0,242.0,428.0,105.0,380.0,263.0,579.0,93.0,923.0,185.0,228.0,216.0,282.0,638.0,355.0,387.0,678.0,365.0,84,736.0,201.0,387.0,272.0,515.0,120.0,279.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,306.0,764,275.0,340.0,958.0,209.0,527.0,511.0,424.0,529.0,306.0,596.0,417.0,1005.0,232.0,1068.0,176.0,354.0,419.0,579.0,1018.0,611.0,506.0,1197.0,381.0,114,723.0,357.0,515.0,337.0,585.0,92.0,363.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,119.0,434,238.0,206.0,629.0,157.0,349.0,349.0,175.0,342.0,97.0,256.0,172.0,442.0,94.0,765.0,216.0,206.0,229.0,266.0,589.0,299.0,312.0,521.0,286.0,48,503.0,272.0,277.0,213.0,451.0,78.0,292.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,4.0,2.0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,155.0,829,340.0,253.0,775.0,141.0,510.0,494.0,282.0,457.0,115.0,420.0,314.0,636.0,100.0,1032.0,203.0,250.0,238.0,307.0,669.0,372.0,420.0,734.0,382.0,90,780.0,206.0,405.0,282.0,543.0,136.0,306.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,244.0,547,261.0,303.0,838.0,187.0,440.0,477.0,357.0,471.0,238.0,481.0,353.0,806.0,178.0,983.0,176.0,285.0,351.0,490.0,895.0,519.0,463.0,984.0,335.0,88,655.0,299.0,447.0,298.0,526.0,83.0,314.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,160.0,522,234.0,222.0,678.0,169.0,375.0,354.0,192.0,371.0,138.0,326.0,201.0,535.0,120.0,801.0,211.0,246.0,245.0,320.0,646.0,331.0,318.0,619.0,289.0,64,516.0,277.0,294.0,225.0,461.0,81.0,320.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0.0,1,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,176.0,957,358.0,274.0,845.0,149.0,571.0,523.0,332.0,486.0,142.0,465.0,350.0,741.0,128.0,1082.0,210.0,281.0,290.0,341.0,734.0,433.0,459.0,853.0,426.0,100,835.0,259.0,457.0,310.0,593.0,142.0,326.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,214.0,557,196.0,279.0,665.0,193.0,345.0,363.0,236.0,353.0,226.0,362.0,245.0,567.0,149.0,740.0,188.0,229.0,300.0,418.0,638.0,361.0,343.0,665.0,257.0,90,492.0,289.0,310.0,263.0,462.0,85.0,273.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,109.0,284,166.0,162.0,398.0,114.0,235.0,233.0,132.0,233.0,88.0,198.0,130.0,362.0,73.0,511.0,183.0,176.0,144.0,213.0,377.0,206.0,234.0,383.0,199.0,45,353.0,200.0,185.0,139.0,259.0,45.0,183.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,0.0,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,257.0,1185,491.0,358.0,1298.0,199.0,805.0,758.0,513.0,742.0,204.0,711.0,528.0,1154.0,204.0,1616.0,226.0,405.0,441.0,521.0,1262.0,716.0,664.0,1407.0,595.0,117,1161.0,346.0,703.0,431.0,859.0,176.0,505.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,319.0,934,360.0,373.0,1135.0,266.0,621.0,597.0,432.0,618.0,320.0,634.0,413.0,993.0,237.0,1258.0,228.0,358.0,453.0,633.0,1138.0,665.0,526.0,1245.0,463.0,130,910.0,414.0,564.0,392.0,733.0,110.0,463.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,117.0,339,190.0,183.0,597.0,106.0,361.0,349.0,208.0,337.0,107.0,263.0,211.0,527.0,102.0,839.0,177.0,224.0,220.0,255.0,586.0,301.0,361.0,580.0,246.0,47,439.0,222.0,295.0,199.0,380.0,87.0,273.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,0.0,0,3.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,3.0,0.0,5.0,0.0,3.0,3.0,1.0,0.0,2.0,2.0,0,1.0,0.0,0.0,2.0,0.0,0.0,2.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,144.0,754,300.0,242.0,625.0,135.0,404.0,407.0,241.0,373.0,91.0,374.0,279.0,558.0,87.0,767.0,192.0,225.0,213.0,261.0,550.0,316.0,354.0,629.0,340.0,75,656.0,199.0,339.0,240.0,467.0,109.0,223.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,197.0,484,180.0,257.0,573.0,170.0,298.0,308.0,211.0,290.0,188.0,309.0,204.0,484.0,139.0,598.0,145.0,200.0,250.0,369.0,531.0,317.0,271.0,595.0,244.0,93,436.0,214.0,271.0,229.0,352.0,54.0,223.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,133.0,352,190.0,186.0,485.0,141.0,277.0,260.0,155.0,286.0,132.0,241.0,168.0,427.0,81.0,610.0,227.0,199.0,198.0,255.0,481.0,244.0,281.0,440.0,227.0,45,404.0,282.0,212.0,172.0,350.0,58.0,228.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,250.0,1191,483.0,355.0,1304.0,196.0,811.0,786.0,515.0,752.0,198.0,722.0,532.0,1171.0,206.0,1659.0,225.0,413.0,438.0,528.0,1264.0,721.0,689.0,1421.0,580.0,114,1165.0,339.0,715.0,432.0,877.0,194.0,510.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,227.0,568,208.0,284.0,626.0,206.0,322.0,350.0,228.0,359.0,206.0,360.0,243.0,560.0,149.0,681.0,281.0,254.0,281.0,417.0,613.0,348.0,314.0,654.0,296.0,98,508.0,354.0,309.0,247.0,437.0,68.0,245.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,82.0,238,151.0,157.0,393.0,101.0,244.0,216.0,124.0,221.0,93.0,180.0,117.0,342.0,63.0,520.0,85.0,138.0,146.0,196.0,387.0,190.0,225.0,346.0,157.0,39,319.0,129.0,163.0,148.0,261.0,52.0,198.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,271.0,1221,494.0,358.0,1343.0,199.0,820.0,788.0,529.0,748.0,217.0,732.0,544.0,1180.0,214.0,1666.0,231.0,420.0,457.0,539.0,1277.0,745.0,702.0,1456.0,597.0,115,1179.0,352.0,725.0,438.0,882.0,186.0,518.0
100,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,272.0,668,249.0,344.0,872.0,226.0,462.0,495.0,382.0,480.0,251.0,520.0,382.0,856.0,206.0,951.0,302.0,340.0,394.0,517.0,950.0,560.0,456.0,1046.0,390.0,111,726.0,372.0,466.0,302.0,577.0,90.0,370.0
101,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,132.0,393,225.0,173.0,612.0,125.0,337.0,320.0,186.0,339.0,119.0,261.0,156.0,470.0,93.0,769.0,84.0,170.0,199.0,269.0,566.0,286.0,330.0,530.0,231.0,39,446.0,207.0,257.0,204.0,377.0,64.0,259.0
102,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,0.0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
103,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,176.0,963,379.0,282.0,878.0,156.0,586.0,539.0,313.0,509.0,148.0,491.0,366.0,757.0,127.0,1146.0,211.0,301.0,293.0,366.0,761.0,436.0,455.0,879.0,429.0,102,834.0,256.0,475.0,327.0,626.0,152.0,331.0
104,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,175.0,420,148.0,228.0,450.0,165.0,230.0,238.0,186.0,249.0,151.0,296.0,188.0,453.0,108.0,445.0,264.0,211.0,238.0,332.0,463.0,285.0,227.0,525.0,232.0,65,359.0,281.0,244.0,170.0,285.0,48.0,163.0
105,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,147.0,445,226.0,224.0,652.0,151.0,350.0,369.0,191.0,389.0,166.0,291.0,201.0,503.0,122.0,815.0,101.0,204.0,223.0,314.0,612.0,308.0,349.0,561.0,253.0,73,543.0,230.0,264.0,244.0,470.0,76.0,314.0
106,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1,2.0,0.0,1.0,1.0,0.0,0.0,1.0
107,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,258.0,1162,478.0,347.0,1259.0,191.0,806.0,747.0,504.0,690.0,200.0,685.0,515.0,1127.0,196.0,1607.0,232.0,397.0,425.0,506.0,1202.0,690.0,665.0,1368.0,565.0,113,1102.0,324.0,689.0,418.0,825.0,182.0,483.0
108,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,274.0,677,240.0,352.0,910.0,226.0,502.0,516.0,400.0,468.0,265.0,550.0,362.0,863.0,210.0,1025.0,308.0,339.0,411.0,549.0,923.0,580.0,439.0,1067.0,411.0,113,693.0,429.0,515.0,327.0,595.0,85.0,369.0
109,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,139.0,502,260.0,181.0,652.0,131.0,381.0,360.0,205.0,401.0,137.0,291.0,225.0,554.0,110.0,828.0,82.0,212.0,220.0,295.0,687.0,346.0,357.0,633.0,249.0,55,554.0,184.0,272.0,214.0,428.0,83.0,315.0
110,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,1.0,0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
111,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,166.0,848,351.0,266.0,799.0,150.0,503.0,477.0,276.0,459.0,116.0,431.0,317.0,666.0,106.0,1012.0,207.0,261.0,255.0,306.0,666.0,357.0,445.0,756.0,391.0,84,759.0,222.0,411.0,291.0,556.0,137.0,277.0
112,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,296.0,599,304.0,361.0,1005.0,234.0,507.0,559.0,405.0,538.0,257.0,581.0,383.0,1000.0,215.0,1132.0,332.0,356.0,412.0,559.0,1006.0,602.0,500.0,1176.0,454.0,107,756.0,435.0,527.0,331.0,631.0,102.0,412.0
113,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,102.0,399,202.0,168.0,493.0,116.0,313.0,272.0,156.0,287.0,112.0,221.0,158.0,356.0,88.0,640.0,60.0,162.0,172.0,231.0,492.0,245.0,269.0,418.0,189.0,46,418.0,157.0,212.0,187.0,356.0,59.0,232.0
114,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
115,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,182.0,1028,346.0,270.0,864.0,157.0,565.0,523.0,320.0,503.0,149.0,470.0,363.0,725.0,123.0,1094.0,205.0,294.0,301.0,362.0,779.0,435.0,470.0,862.0,408.0,99,832.0,243.0,459.0,313.0,593.0,145.0,316.0
116,"DISTRICT COURT JUDGE, LAUDERDALE COUNTY, PLACE NO. 1    ",REP,Carole Coil Medley                    ,354.0,1437,590.0,513.0,1769.0,293.0,1003.0,1021.0,649.0,998.0,329.0,846.0,652.0,1467.0,265.0,2056.0,107.0,508.0,607.0,752.0,1765.0,990.0,936.0,1885.0,683.0,179,1426.0,385.0,901.0,657.0,1151.0,215.0,756.0
117,"DISTRICT COURT JUDGE, LAUDERDALE COUNTY, PLACE NO. 1    ",NON,Write-In                              ,14.0,10,4.0,19.0,18.0,14.0,8.0,10.0,6.0,16.0,10.0,15.0,9.0,24.0,6.0,20.0,15.0,10.0,10.0,25.0,15.0,4.0,6.0,19.0,4.0,2,6.0,18.0,8.0,4.0,16.0,2.0,6.0
118,"DISTRICT COURT JUDGE, LAUDERDALE COUNTY, PLACE NO. 1    ",   ,Over Votes                            ,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,"DISTRICT COURT JUDGE, LAUDERDALE COUNTY, PLACE NO. 1    ",   ,Under Votes                           ,212.0,580,259.0,266.0,575.0,200.0,375.0,323.0,227.0,314.0,179.0,411.0,243.0,592.0,155.0,791.0,475.0,294.0,269.0,375.0,497.0,289.0,299.0,552.0,363.0,69,574.0,432.0,289.0,172.0,413.0,89.0,199.0
120,CHAIRMAN LAUDERDALE COUNTY COMMISSION                   ,REP,Danny Pettus                          ,338.0,1387,606.0,509.0,1781.0,293.0,990.0,996.0,627.0,1027.0,323.0,831.0,640.0,1430.0,253.0,2124.0,103.0,499.0,579.0,745.0,1773.0,988.0,976.0,1841.0,668.0,174,1448.0,382.0,890.0,641.0,1122.0,219.0,736.0
121,CHAIRMAN LAUDERDALE COUNTY COMMISSION                   ,NON,Write-In                              ,15.0,15,7.0,20.0,20.0,16.0,9.0,12.0,6.0,11.0,7.0,17.0,9.0,24.0,7.0,18.0,15.0,10.0,15.0,26.0,10.0,4.0,3.0,24.0,6.0,0,8.0,21.0,5.0,10.0,17.0,4.0,6.0
122,CHAIRMAN LAUDERDALE COUNTY COMMISSION                   ,   ,Over Votes                            ,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,CHAIRMAN LAUDERDALE COUNTY COMMISSION                   ,   ,Under Votes                           ,227.0,625,240.0,270.0,560.0,198.0,387.0,346.0,249.0,290.0,188.0,424.0,255.0,629.0,166.0,725.0,479.0,303.0,292.0,381.0,494.0,290.0,262.0,591.0,377.0,76,550.0,432.0,303.0,182.0,441.0,83.0,219.0
124,"MEMBER, LAUDERDALE COUNTY COMMISSION, DISTRICT NO. 1    ",DEM,Brandon Willcutt                      ,,282,167.0,360.0,471.0,248.0,,,258.0,250.0,,449.0,228.0,,,685.0,,,,495.0,458.0,245.0,203.0,,,42,407.0,,,,,,
125,"MEMBER, LAUDERDALE COUNTY COMMISSION, DISTRICT NO. 1    ",REP,William (Roger) Garner                ,,680,634.0,386.0,1722.0,223.0,,,557.0,1000.0,,679.0,610.0,,,1887.0,,,,589.0,1665.0,951.0,950.0,,,55,1448.0,,,,,,
126,"MEMBER, LAUDERDALE COUNTY COMMISSION, DISTRICT NO. 1    ",NON,Write-In                              ,,0,0.0,1.0,4.0,3.0,,,0.0,3.0,,1.0,2.0,,,1.0,,,,2.0,3.0,2.0,1.0,,,0,4.0,,,,,,
127,"MEMBER, LAUDERDALE COUNTY COMMISSION, DISTRICT NO. 1    ",   ,Over Votes                            ,,0,0.0,3.0,1.0,0.0,,,0.0,0.0,,1.0,0.0,,,3.0,,,,1.0,1.0,1.0,0.0,,,0,3.0,,,,,,
128,"MEMBER, LAUDERDALE COUNTY COMMISSION, DISTRICT NO. 1    ",   ,Under Votes                           ,,86,52.0,49.0,164.0,33.0,,,67.0,75.0,,102.0,64.0,,,291.0,,,,65.0,150.0,84.0,87.0,,,9,144.0,,,,,,
129,"MEMBER, LAUDERDALE COUNTY COMMISSION, DISTRICT NO. 2    ",DEM,Randal Haddock                        ,302.0,313,,,,,592.0,413.0,,,223.0,11.0,,655.0,189.0,,536.0,354.0,356.0,,,,,649.0,446.0,57,,515.0,303.0,258.0,481.0,82.0,248.0
130,"MEMBER, LAUDERDALE COUNTY COMMISSION, DISTRICT NO. 2    ",REP,Fay Parker                            ,239.0,607,,,,,754.0,890.0,,,252.0,26.0,,1305.0,213.0,,37.0,417.0,474.0,,,,,1694.0,570.0,72,,281.0,836.0,554.0,1040.0,219.0,677.0
131,"MEMBER, LAUDERDALE COUNTY COMMISSION, DISTRICT NO. 2    ",NON,Write-In                              ,0.0,0,,,,,0.0,2.0,,,2.0,0.0,,2.0,1.0,,1.0,1.0,0.0,,,,,2.0,0.0,0,,0.0,0.0,1.0,0.0,0.0,1.0
132,"MEMBER, LAUDERDALE COUNTY COMMISSION, DISTRICT NO. 2    ",   ,Over Votes                            ,1.0,2,,,,,2.0,1.0,,,1.0,0.0,,1.0,0.0,,2.0,2.0,2.0,,,,,2.0,0.0,0,,0.0,0.0,2.0,1.0,0.0,0.0
133,"MEMBER, LAUDERDALE COUNTY COMMISSION, DISTRICT NO. 2    ",   ,Under Votes                           ,38.0,54,,,,,38.0,48.0,,,40.0,3.0,,120.0,23.0,,21.0,38.0,54.0,,,,,109.0,35.0,15,,39.0,59.0,18.0,58.0,5.0,35.0
134,LAUDERDALE COUNTY LICENSE COMMISSIONER                  ,DEM,Tony Cox                              ,321.0,719,261.0,380.0,660.0,277.0,531.0,431.0,366.0,397.0,260.0,586.0,357.0,858.0,206.0,568.0,545.0,396.0,409.0,559.0,667.0,361.0,259.0,847.0,452.0,92,759.0,560.0,376.0,302.0,561.0,174.0,237.0
135,LAUDERDALE COUNTY LICENSE COMMISSIONER                  ,REP,Rodney Pettus                         ,227.0,1202,558.0,389.0,1610.0,208.0,803.0,885.0,486.0,887.0,228.0,637.0,518.0,1134.0,201.0,2220.0,36.0,391.0,433.0,551.0,1551.0,875.0,941.0,1526.0,564.0,138,1154.0,256.0,784.0,498.0,962.0,127.0,694.0
136,LAUDERDALE COUNTY LICENSE COMMISSIONER                  ,NON,Write-In                              ,0.0,1,0.0,0.0,3.0,3.0,1.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,2.0,0.0,0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
137,LAUDERDALE COUNTY LICENSE COMMISSIONER                  ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
138,LAUDERDALE COUNTY LICENSE COMMISSIONER                  ,   ,Under Votes                           ,32.0,105,34.0,30.0,89.0,19.0,49.0,33.0,30.0,42.0,27.0,49.0,29.0,89.0,18.0,78.0,15.0,24.0,44.0,38.0,56.0,47.0,39.0,80.0,35.0,19,91.0,18.0,38.0,33.0,57.0,5.0,28.0
139,"SUPERINTENDENT, LAUDERDALE COUNTY BOARD OF EDUCATION    ",DEM,Jennifer Brown Gray                   ,348.0,850,334.0,413.0,855.0,303.0,557.0,529.0,405.0,563.0,270.0,622.0,387.0,950.0,218.0,1502.0,536.0,421.0,406.0,599.0,834.0,459.0,607.0,987.0,483.0,122,907.0,589.0,511.0,333.0,650.0,115.0,339.0
140,"SUPERINTENDENT, LAUDERDALE COUNTY BOARD OF EDUCATION    ",REP,Jon Hatton                            ,199.0,1082,494.0,353.0,1460.0,184.0,790.0,797.0,443.0,723.0,218.0,594.0,482.0,1041.0,190.0,1302.0,40.0,358.0,438.0,501.0,1407.0,779.0,609.0,1381.0,529.0,116,1020.0,216.0,644.0,472.0,879.0,179.0,602.0
141,"SUPERINTENDENT, LAUDERDALE COUNTY BOARD OF EDUCATION    ",NON,Write-In                              ,0.0,1,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,5.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
142,"SUPERINTENDENT, LAUDERDALE COUNTY BOARD OF EDUCATION    ",   ,Over Votes                            ,1.0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
143,"SUPERINTENDENT, LAUDERDALE COUNTY BOARD OF EDUCATION    ",   ,Under Votes                           ,32.0,91,24.0,33.0,46.0,18.0,38.0,27.0,34.0,41.0,27.0,54.0,35.0,89.0,17.0,61.0,18.0,32.0,40.0,50.0,35.0,43.0,23.0,83.0,39.0,12,78.0,29.0,42.0,27.0,51.0,12.0,19.0
144,"MEMBER, LAUDERDALE COUNTY BOARD OF EDUCATION, PLACE NO.1",DEM,Rosemary Beavers                      ,,274,191.0,,562.0,,351.0,292.0,,289.0,,,,,,1063.0,,,,,529.0,275.0,308.0,,336.0,30,487.0,,301.0,155.0,431.0,71.0,207.0
145,"MEMBER, LAUDERDALE COUNTY BOARD OF EDUCATION, PLACE NO.1",REP,Daniel Patterson                      ,,706,597.0,,1643.0,,912.0,964.0,,972.0,,,,,,1655.0,,,,,1626.0,917.0,848.0,,632.0,69,1374.0,,813.0,610.0,1031.0,202.0,693.0
146,"MEMBER, LAUDERDALE COUNTY BOARD OF EDUCATION, PLACE NO.1",NON,Write-In                              ,,0,0.0,,5.0,,0.0,2.0,,1.0,,,,,,1.0,,,,,4.0,0.0,0.0,,1.0,0,0.0,,0.0,1.0,1.0,1.0,2.0
147,"MEMBER, LAUDERDALE COUNTY BOARD OF EDUCATION, PLACE NO.1",   ,Over Votes                            ,,0,0.0,,0.0,,0.0,0.0,,0.0,,,,,,0.0,,,,,1.0,0.0,0.0,,0.0,0,1.0,,0.0,1.0,0.0,0.0,0.0
148,"MEMBER, LAUDERDALE COUNTY BOARD OF EDUCATION, PLACE NO.1",   ,Under Votes                           ,,54,65.0,,152.0,,123.0,96.0,,66.0,,,,,,148.0,,,,,117.0,91.0,85.0,,82.0,10,144.0,,84.0,66.0,117.0,32.0,59.0
