,Contest Title,Party,Candidate,ABSENTEE,CHARITY CHAPEL FIRE HOUSE,CHATOM COURTHOUSE,COPELAND ASSEMBLY OF GOD,DEER PARK,FAIRFORD FIRE HOUSE,FRANKVILLE FIRE HOUSE,FRUITDALE FIRE HOUSE,HOBSON FIRE HOUSE,LATON HILL FIRE HOUSE,LEROY FIRE HOUSE,MALCOM CENTER,McINTOSH COMMUNITY,MILLRY FIRE HOUSE,MOWA CHOCTAW COMM_ CTR_,PROVISIONAL,RED CREEK FIRE HOUSE,ST_ STEPHENS FIRE HOUSE,TIBBIE FIRE HOUSE,WAGARVILLE FIRE HOUSE,YARBO FIRE HOUSE
101,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,174,104.0,322.0,168.0,249.0,175.0,145.0,172.0,116.0,168.0,261.0,112.0,287.0,322.0,257.0,0.0,229.0,159.0,179.0,187.0,164.0
102,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,117,88.0,297.0,65.0,265.0,133.0,158.0,164.0,63.0,89.0,219.0,158.0,339.0,256.0,270.0,0.0,76.0,146.0,112.0,235.0,98.0
103,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,96,60.0,246.0,103.0,152.0,100.0,83.0,131.0,59.0,77.0,192.0,36.0,64.0,223.0,127.0,0.0,77.0,134.0,172.0,137.0,124.0
104,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,128,86.0,232.0,136.0,174.0,146.0,112.0,124.0,97.0,119.0,194.0,60.0,99.0,254.0,208.0,0.0,189.0,98.0,118.0,145.0,131.0
106,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,96,113.0,394.0,104.0,293.0,171.0,186.0,194.0,95.0,107.0,283.0,156.0,354.0,331.0,296.0,0.0,101.0,182.0,157.0,255.0,150.0
107,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,96,49.0,166.0,63.0,129.0,77.0,59.0,101.0,39.0,76.0,123.0,35.0,48.0,151.0,111.0,0.0,72.0,90.0,130.0,120.0,83.0
108,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,147,72.0,215.0,137.0,169.0,132.0,106.0,124.0,85.0,103.0,199.0,63.0,103.0,251.0,198.0,0.0,169.0,106.0,115.0,142.0,120.0
110,"DISTRICT COURT JUDGE, WASHINGTON COUNTY                 ",DEM,Jerry L. Turner                       ,210,111.0,536.0,150.0,392.0,244.0,231.0,266.0,129.0,173.0,373.0,185.0,470.0,462.0,435.0,0.0,118.0,236.0,221.0,333.0,232.0
111,"DISTRICT COURT JUDGE, WASHINGTON COUNTY                 ",NON,Write-In                              ,5,1.0,3.0,5.0,5.0,5.0,2.0,4.0,1.0,3.0,3.0,1.0,0.0,7.0,8.0,0.0,0.0,7.0,6.0,6.0,1.0
112,"DISTRICT COURT JUDGE, WASHINGTON COUNTY                 ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,"DISTRICT COURT JUDGE, WASHINGTON COUNTY                 ",   ,Under Votes                           ,124,122.0,236.0,149.0,194.0,131.0,120.0,149.0,89.0,110.0,229.0,68.0,35.0,264.0,162.0,0.0,224.0,135.0,175.0,178.0,120.0
114,"MEMBER, WASHINGTON COUNTY COMMISSION, DISTRICT NO. 1    ",DEM,Brad Johnston                         ,23,59.0,,,29.0,241.0,,,,,,,,,440.0,0.0,,,22.0,2.0,
115,"MEMBER, WASHINGTON COUNTY COMMISSION, DISTRICT NO. 1    ",REP,"Willie F. Long, Jr.                   ",18,170.0,,,68.0,132.0,,,,,,,,,161.0,0.0,,,20.0,15.0,
116,"MEMBER, WASHINGTON COUNTY COMMISSION, DISTRICT NO. 1    ",NON,Write-In                              ,0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,
117,"MEMBER, WASHINGTON COUNTY COMMISSION, DISTRICT NO. 1    ",   ,Over Votes                            ,1,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,
118,"MEMBER, WASHINGTON COUNTY COMMISSION, DISTRICT NO. 1    ",   ,Under Votes                           ,1,5.0,,,6.0,7.0,,,,,,,,,4.0,0.0,,,1.0,3.0,
119,"MEMBER, WASHINGTON COUNTY COMMISSION, DISTRICT NO. 3    ",DEM,"William ""Termite"" Beasley             ",33,,32.0,135.0,,,,,,105.0,,,,364.0,,0.0,168.0,,,,164.0
120,"MEMBER, WASHINGTON COUNTY COMMISSION, DISTRICT NO. 3    ",IND,Gary Beasley                          ,26,,36.0,144.0,,,,,,107.0,,,,160.0,,0.0,142.0,,,,41.0
121,"MEMBER, WASHINGTON COUNTY COMMISSION, DISTRICT NO. 3    ",NON,Write-In                              ,0,,0.0,0.0,,,,,,0.0,,,,0.0,,0.0,0.0,,,,0.0
122,"MEMBER, WASHINGTON COUNTY COMMISSION, DISTRICT NO. 3    ",   ,Over Votes                            ,1,,0.0,0.0,,,,,,0.0,,,,0.0,,0.0,0.0,,,,0.0
123,"MEMBER, WASHINGTON COUNTY COMMISSION, DISTRICT NO. 3    ",   ,Under Votes                           ,11,,8.0,25.0,,,,,,41.0,,,,60.0,,0.0,32.0,,,,12.0
124,"MEMBER, WASHINGTON COUNTY COMMISSION, DISTRICT NO. 5    ",DEM,"Joseph ""Joe"" Abston                   ",24,,,,,,50.0,,,,227.0,186.0,466.0,,,0.0,,180.0,,172.0,
125,"MEMBER, WASHINGTON COUNTY COMMISSION, DISTRICT NO. 5    ",NON,Write-In                              ,0,,,,,,3.0,,,,3.0,0.0,1.0,,,0.0,,6.0,,6.0,
126,"MEMBER, WASHINGTON COUNTY COMMISSION, DISTRICT NO. 5    ",   ,Over Votes                            ,0,,,,,,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,
127,"MEMBER, WASHINGTON COUNTY COMMISSION, DISTRICT NO. 5    ",   ,Under Votes                           ,16,,,,,,28.0,,,,118.0,68.0,38.0,,,0.0,,75.0,,64.0,
128,"SUPERINTENDENT, WASHINGTON COUNTY BOARD OF EDUCATION    ",DEM,John Dickey                           ,154,61.0,417.0,130.0,295.0,214.0,188.0,245.0,104.0,154.0,248.0,171.0,441.0,403.0,359.0,0.0,94.0,196.0,219.0,285.0,223.0
129,"SUPERINTENDENT, WASHINGTON COUNTY BOARD OF EDUCATION    ",REP,David Wofford                         ,172,157.0,351.0,166.0,275.0,151.0,160.0,163.0,114.0,131.0,342.0,76.0,61.0,317.0,209.0,0.0,230.0,174.0,174.0,218.0,125.0
130,"SUPERINTENDENT, WASHINGTON COUNTY BOARD OF EDUCATION    ",NON,Write-In                              ,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
131,"SUPERINTENDENT, WASHINGTON COUNTY BOARD OF EDUCATION    ",   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
132,"SUPERINTENDENT, WASHINGTON COUNTY BOARD OF EDUCATION    ",   ,Under Votes                           ,11,16.0,7.0,8.0,21.0,15.0,4.0,10.0,1.0,1.0,13.0,7.0,2.0,11.0,37.0,0.0,18.0,7.0,8.0,12.0,4.0
133,"MEMBER, WASHINGTON COUNTY BOARD OF EDUCATION,           ",DEM,Lillie Rivers-Steiner                 ,17,,0.0,,,75.0,,,5.0,,33.0,,112.0,,378.0,0.0,,89.0,0.0,38.0,
134,"MEMBER, WASHINGTON COUNTY BOARD OF EDUCATION,           ",REP,Dewayne Byrd                          ,27,,0.0,,,54.0,,,9.0,,180.0,,47.0,,65.0,0.0,,147.0,2.0,229.0,
135,"MEMBER, WASHINGTON COUNTY BOARD OF EDUCATION,           ",NON,Write-In                              ,0,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,,2.0,0.0,0.0,
136,"MEMBER, WASHINGTON COUNTY BOARD OF EDUCATION,           ",   ,Over Votes                            ,0,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,
137,"MEMBER, WASHINGTON COUNTY BOARD OF EDUCATION,           ",   ,Under Votes                           ,0,,0.0,,,4.0,,,1.0,,1.0,,1.0,,6.0,0.0,,5.0,1.0,5.0,
138,"MEMBER, WASHINGTON COUNTY BOARD OF EDUCATION,           ",DEM,"Nollie R. ""Tood"" Dees                 ",50,111.0,35.0,,381.0,2.0,,232.0,0.0,7.0,,,,,27.0,0.0,,,155.0,1.0,
139,"MEMBER, WASHINGTON COUNTY BOARD OF EDUCATION,           ",NON,Write-In                              ,4,2.0,3.0,,8.0,0.0,,28.0,0.0,1.0,,,,,2.0,0.0,,,15.0,1.0,
140,"MEMBER, WASHINGTON COUNTY BOARD OF EDUCATION,           ",   ,Over Votes                            ,0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,
141,"MEMBER, WASHINGTON COUNTY BOARD OF EDUCATION,           ",   ,Under Votes                           ,36,121.0,30.0,,202.0,2.0,,159.0,0.0,6.0,,,,,8.0,0.0,,,189.0,5.0,
