,Contest Title,Party,Candidate,ABSENTEE,ALLSBORO CUMBERLAND PRES_,BARTON FIRST BAPTIST,CAVE SPRINGS MIS_ BAPTIST,CHEROKEE LIONS DEN,COARMM,COLBERT HEIGHTS BAPTIST,COUNTY HIGHWAY DEPT_,EAST COLBERT SEN_ CTR,FIRST SOUTHERN BAPTIST CH,GATMAN PARK & REC_ CTR_,GRACE LIFE CHURCH,HATTON BAPTIST CHURCH,HOPE HAVEN SCHOOL,LA GRANGE FIRE DEPT,LEIGHTON CITY HALL,LEIGHTON CIVIC CTR,LITTLEVILLE CITY HALL,MARGERUM COMMUNITY CH,MUSCLE SHOALS CITY HALL,MYNOT BAPTIST CHURCH,NEW BETHEL FIRE DEPT,PARKVIEW BAPTIST CHURCH,PLUMBER STEAMFITTER UNION,PRIDE MISSIONARY BAPTIST,PROVISIONAL,SHEFF BOARD OF ED BLDG_,SHEFFIELD FIRE STN 2ND ST,SHEFFIELD MICHAEL CENTER,SHEFFIELD RECREATION CTR,SPRING VALLEY CHURCH GOD,SRYGLEY CHURCH OF CHRIST,TREE HOUSE SCHOOL,TUSCUMBIA CALVARY BAPTIST,TUSCUMBIA MULTI-PURPOSE,WESTSIDE BAPTIST,WOODWARD AVE_ BAPTIST CH
65,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,473,40.0,140.0,38.0,322.0,76.0,411.0,321.0,431.0,319.0,399.0,559.0,254.0,396.0,194.0,81.0,204.0,306.0,106.0,491.0,24.0,217.0,327.0,231.0,215.0,21,150.0,202.0,165.0,314.0,172.0,51.0,276.0,132.0,329.0,184.0,426.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,211,15.0,101.0,64.0,226.0,87.0,278.0,235.0,373.0,258.0,309.0,396.0,234.0,245.0,100.0,83.0,188.0,223.0,74.0,417.0,28.0,191.0,281.0,204.0,155.0,19,136.0,219.0,130.0,240.0,106.0,43.0,211.0,165.0,308.0,164.0,371.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,163,13.0,145.0,47.0,204.0,55.0,149.0,149.0,242.0,147.0,192.0,292.0,226.0,125.0,85.0,106.0,156.0,134.0,62.0,244.0,5.0,91.0,316.0,115.0,119.0,9,59.0,174.0,269.0,168.0,89.0,24.0,120.0,102.0,192.0,100.0,206.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,571,66.0,233.0,60.0,430.0,90.0,637.0,478.0,674.0,491.0,607.0,835.0,345.0,577.0,256.0,104.0,277.0,409.0,144.0,681.0,44.0,316.0,438.0,310.0,323.0,23,237.0,283.0,182.0,441.0,235.0,78.0,460.0,190.0,487.0,271.0,598.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,398,23.0,184.0,89.0,342.0,109.0,474.0,397.0,623.0,442.0,514.0,689.0,334.0,396.0,172.0,92.0,291.0,323.0,124.0,626.0,36.0,258.0,411.0,260.0,256.0,18,198.0,335.0,170.0,378.0,190.0,79.0,356.0,212.0,488.0,258.0,544.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,183,34.0,180.0,49.0,248.0,60.0,299.0,239.0,348.0,232.0,299.0,419.0,263.0,260.0,120.0,126.0,176.0,208.0,76.0,337.0,22.0,189.0,374.0,183.0,186.0,11,113.0,183.0,260.0,237.0,113.0,27.0,237.0,140.0,254.0,144.0,316.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,364,37.0,116.0,34.0,269.0,61.0,291.0,227.0,318.0,222.0,295.0,414.0,207.0,291.0,149.0,75.0,154.0,235.0,80.0,379.0,19.0,151.0,252.0,185.0,155.0,22,121.0,158.0,151.0,234.0,127.0,39.0,198.0,106.0,245.0,133.0,314.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,193,16.0,92.0,40.0,170.0,68.0,230.0,192.0,309.0,199.0,288.0,327.0,153.0,183.0,82.0,53.0,158.0,185.0,61.0,309.0,12.0,133.0,246.0,160.0,145.0,13,123.0,212.0,100.0,197.0,95.0,42.0,182.0,129.0,259.0,124.0,299.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,178,11.0,150.0,70.0,237.0,71.0,182.0,185.0,298.0,201.0,208.0,374.0,297.0,175.0,99.0,134.0,178.0,167.0,66.0,340.0,9.0,132.0,355.0,148.0,134.0,12,65.0,176.0,301.0,198.0,99.0,30.0,135.0,129.0,224.0,124.0,266.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,574,67.0,237.0,62.0,453.0,93.0,652.0,486.0,682.0,497.0,612.0,822.0,355.0,589.0,259.0,106.0,285.0,414.0,153.0,693.0,56.0,332.0,436.0,319.0,318.0,26,244.0,288.0,180.0,454.0,235.0,73.0,474.0,200.0,504.0,286.0,611.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,250,13.0,176.0,86.0,250.0,104.0,258.0,239.0,353.0,247.0,304.0,442.0,288.0,223.0,89.0,147.0,235.0,203.0,66.0,404.0,15.0,159.0,454.0,205.0,155.0,18,122.0,295.0,355.0,257.0,123.0,52.0,208.0,190.0,322.0,161.0,375.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,124,11.0,64.0,19.0,152.0,40.0,146.0,137.0,234.0,148.0,178.0,236.0,163.0,133.0,78.0,36.0,105.0,146.0,62.0,237.0,7.0,94.0,139.0,107.0,114.0,7,58.0,90.0,45.0,132.0,74.0,23.0,114.0,69.0,156.0,93.0,186.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,569,70.0,240.0,67.0,458.0,88.0,660.0,488.0,702.0,502.0,626.0,846.0,354.0,591.0,273.0,110.0,279.0,417.0,152.0,701.0,55.0,345.0,442.0,314.0,328.0,26,252.0,291.0,181.0,460.0,233.0,70.0,469.0,199.0,509.0,281.0,615.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,309,36.0,219.0,65.0,314.0,98.0,358.0,325.0,490.0,364.0,457.0,614.0,271.0,349.0,136.0,144.0,267.0,251.0,98.0,514.0,28.0,216.0,534.0,255.0,217.0,22,188.0,341.0,326.0,329.0,156.0,58.0,341.0,203.0,426.0,232.0,454.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,170,8.0,110.0,71.0,224.0,56.0,293.0,223.0,359.0,220.0,249.0,361.0,271.0,195.0,115.0,64.0,165.0,225.0,79.0,339.0,23.0,170.0,176.0,155.0,167.0,7,94.0,144.0,96.0,213.0,113.0,38.0,176.0,118.0,227.0,129.0,312.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,465,50.0,151.0,36.0,322.0,78.0,413.0,316.0,440.0,312.0,402.0,548.0,263.0,403.0,189.0,85.0,189.0,290.0,103.0,488.0,26.0,212.0,327.0,219.0,213.0,22,150.0,191.0,159.0,307.0,161.0,49.0,273.0,137.0,334.0,173.0,409.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,176,13.0,126.0,57.0,208.0,69.0,170.0,184.0,262.0,204.0,276.0,367.0,189.0,180.0,77.0,113.0,185.0,154.0,44.0,309.0,16.0,113.0,416.0,171.0,103.0,10,113.0,239.0,308.0,192.0,79.0,29.0,159.0,139.0,276.0,136.0,283.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,223,16.0,125.0,61.0,226.0,70.0,300.0,233.0,406.0,233.0,271.0,363.0,271.0,222.0,109.0,76.0,170.0,243.0,94.0,397.0,20.0,172.0,208.0,157.0,204.0,18,88.0,167.0,92.0,227.0,129.0,38.0,206.0,131.0,251.0,131.0,329.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,546,65.0,229.0,54.0,426.0,93.0,594.0,446.0,622.0,460.0,561.0,793.0,344.0,545.0,255.0,104.0,266.0,369.0,142.0,636.0,41.0,313.0,413.0,301.0,290.0,23,231.0,270.0,181.0,430.0,222.0,78.0,426.0,188.0,460.0,268.0,564.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,315,37.0,215.0,92.0,315.0,101.0,375.0,341.0,503.0,333.0,472.0,649.0,389.0,331.0,132.0,151.0,282.0,260.0,100.0,515.0,40.0,227.0,536.0,270.0,238.0,17,177.0,354.0,380.0,339.0,161.0,46.0,343.0,219.0,468.0,202.0,481.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,216,11.0,128.0,44.0,241.0,58.0,303.0,236.0,398.0,272.0,273.0,389.0,181.0,259.0,137.0,57.0,159.0,225.0,85.0,371.0,20.0,183.0,212.0,148.0,185.0,13,125.0,146.0,49.0,230.0,118.0,51.0,212.0,120.0,227.0,161.0,333.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,413,46.0,136.0,36.0,304.0,73.0,386.0,287.0,389.0,292.0,363.0,483.0,235.0,357.0,171.0,85.0,179.0,280.0,95.0,454.0,17.0,188.0,288.0,210.0,174.0,21,130.0,176.0,152.0,280.0,151.0,48.0,235.0,118.0,292.0,171.0,361.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,311,37.0,240.0,98.0,367.0,114.0,435.0,352.0,564.0,418.0,512.0,709.0,411.0,433.0,152.0,169.0,297.0,306.0,104.0,607.0,43.0,255.0,609.0,311.0,233.0,21,212.0,364.0,381.0,396.0,180.0,68.0,401.0,253.0,482.0,260.0,498.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,152,9.0,98.0,36.0,191.0,47.0,215.0,192.0,295.0,173.0,214.0,280.0,161.0,167.0,99.0,51.0,131.0,174.0,79.0,282.0,13.0,135.0,136.0,106.0,147.0,7,80.0,128.0,45.0,153.0,86.0,32.0,142.0,84.0,186.0,111.0,289.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,482,48.0,142.0,38.0,302.0,71.0,414.0,320.0,431.0,306.0,382.0,535.0,233.0,347.0,190.0,73.0,193.0,286.0,97.0,452.0,21.0,208.0,292.0,212.0,217.0,23,140.0,184.0,155.0,300.0,164.0,45.0,247.0,121.0,319.0,163.0,389.0
98,STAIGHT PARTY VOTING                                    ,DEM,Alabama Democratic Party              ,217,11.0,147.0,122.0,185.0,89.0,100.0,86.0,169.0,79.0,197.0,308.0,302.0,114.0,53.0,174.0,183.0,51.0,41.0,262.0,2.0,53.0,474.0,177.0,80.0,12,78.0,275.0,465.0,136.0,51.0,14.0,106.0,103.0,246.0,78.0,217.0
99,STAIGHT PARTY VOTING                                    ,REP,Alabama Republican Party              ,249,21.0,88.0,12.0,183.0,54.0,293.0,304.0,350.0,307.0,328.0,436.0,144.0,255.0,163.0,35.0,153.0,281.0,97.0,424.0,22.0,185.0,202.0,193.0,177.0,11,119.0,134.0,37.0,230.0,150.0,47.0,207.0,124.0,227.0,173.0,383.0
100,STAIGHT PARTY VOTING                                    ,   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
101,STAIGHT PARTY VOTING                                    ,   ,Under Votes                           ,479,62.0,245.0,38.0,491.0,88.0,671.0,474.0,771.0,511.0,583.0,780.0,359.0,578.0,225.0,84.0,285.0,434.0,142.0,656.0,53.0,360.0,358.0,258.0,340.0,28,235.0,267.0,79.0,483.0,228.0,84.0,477.0,230.0,514.0,284.0,576.0
102,"DISTRICT COURT JUDGE, COLBERT COUNY                     ",DEM,Chad Coker                            ,529,63.0,331.0,156.0,537.0,159.0,603.0,436.0,711.0,422.0,611.0,880.0,565.0,560.0,198.0,231.0,393.0,368.0,144.0,715.0,40.0,328.0,765.0,360.0,335.0,37,250.0,481.0,536.0,485.0,223.0,87.0,470.0,306.0,674.0,322.0,640.0
103,"DISTRICT COURT JUDGE, COLBERT COUNY                     ",NON,Write-In                              ,6,0.0,4.0,0.0,13.0,6.0,10.0,14.0,16.0,13.0,12.0,16.0,4.0,11.0,10.0,2.0,5.0,16.0,4.0,15.0,0.0,11.0,9.0,7.0,9.0,0,6.0,7.0,3.0,13.0,5.0,2.0,9.0,5.0,14.0,7.0,27.0
104,"DISTRICT COURT JUDGE, COLBERT COUNY                     ",   ,Over Votes                            ,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
105,"DISTRICT COURT JUDGE, COLBERT COUNY                     ",   ,Under Votes                           ,410,31.0,145.0,15.0,310.0,67.0,451.0,414.0,563.0,462.0,485.0,628.0,236.0,376.0,233.0,60.0,223.0,381.0,132.0,612.0,37.0,259.0,263.0,262.0,253.0,14,176.0,188.0,42.0,351.0,202.0,56.0,312.0,147.0,297.0,206.0,509.0
106,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 1       ",DEM,Rex Burleson                          ,74,,,,,26.0,,,656.0,,,,234.0,,,,,,,,,,,117.0,,1,180.0,152.0,,339.0,,,,,,,
107,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 1       ",REP,Tommy Barnes                          ,55,,,,,22.0,,,604.0,,,,162.0,,,,,,,,,,,143.0,,1,242.0,173.0,,485.0,,,,,,,
108,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 1       ",NON,Write-In                              ,0,,,,,0.0,,,2.0,,,,0.0,,,,,,,,,,,0.0,,0,0.0,0.0,,2.0,,,,,,,
109,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 1       ",   ,Over Votes                            ,0,,,,,0.0,,,1.0,,,,0.0,,,,,,,,,,,0.0,,0,0.0,0.0,,0.0,,,,,,,
110,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 1       ",   ,Under Votes                           ,3,,,,,0.0,,,27.0,,,,14.0,,,,,,,,,,,3.0,,0,10.0,12.0,,23.0,,,,,,,
111,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 2       ",DEM,Ronda Hood                            ,63,,,,,,,6.0,,111.0,310.0,329.0,,,,,,,,480.0,,,,89.0,,4,,,,,,,,,,,338.0
112,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 2       ",REP,David L Black                         ,135,,,,,,,10.0,,333.0,540.0,659.0,,,,,,,,818.0,,,,126.0,,4,,,,,,,,,,,538.0
113,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 2       ",NON,Write-In                              ,0,,,,,,,0.0,,2.0,0.0,1.0,,,,,,,,1.0,,,,0.0,,0,,,,,,,,,,,0.0
114,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 2       ",   ,Over Votes                            ,0,,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,1.0,,,,1.0,,0,,,,,,,,,,,1.0
115,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 2       ",   ,Under Votes                           ,7,,,,,,,0.0,,15.0,33.0,35.0,,,,,,,,42.0,,,,10.0,,2,,,,,,,,,,,28.0
116,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 3       ",DEM,Jimmy Gardiner                        ,99,,,,,91.0,,65.0,,,34.0,,,455.0,,,,,,,,,332.0,,,10,,,,,,,420.0,240.0,407.0,300.0,
117,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 3       ",REP,Dean C McCormack                      ,82,,,,,51.0,,59.0,,,55.0,,,253.0,,,,,,,,,224.0,,,6,,,,,,,344.0,191.0,282.0,225.0,
118,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 3       ",NON,Write-In                              ,0,,,,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,,0,,,,,,,0.0,0.0,1.0,0.0,
119,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 3       ",   ,Over Votes                            ,0,,,,,1.0,,0.0,,,0.0,,,0.0,,,,,,,,,1.0,,,0,,,,,,,0.0,0.0,1.0,0.0,
120,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 3       ",   ,Under Votes                           ,8,,,,,12.0,,5.0,,,2.0,,,23.0,,,,,,,,,16.0,,,0,,,,,,,27.0,14.0,18.0,10.0,
121,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 4       ",DEM,Emmitt E Jimmar                       ,100,,,135.0,,19.0,,,,,44.0,251.0,256.0,,,185.0,163.0,,,,,,370.0,79.0,,8,,228.0,505.0,,,,,9.0,158.0,,78.0
122,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 4       ",REP,Fred Joly                             ,50,,,14.0,,10.0,,,,,16.0,221.0,125.0,,,61.0,26.0,,,,,,78.0,51.0,,3,,100.0,61.0,,,,,2.0,107.0,,182.0
123,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 4       ",NON,Write-In                              ,0,,,1.0,,0.0,,,,,0.0,0.0,1.0,,,0.0,0.0,,,,,,0.0,0.0,,0,,2.0,0.0,,,,,0.0,0.0,,0.0
124,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 4       ",   ,Over Votes                            ,0,,,0.0,,0.0,,,,,0.0,0.0,2.0,,,0.0,0.0,,,,,,0.0,0.0,,0,,0.0,0.0,,,,,0.0,0.0,,0.0
125,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 4       ",   ,Under Votes                           ,7,,,4.0,,0.0,,,,,2.0,28.0,11.0,,,9.0,2.0,,,,,,16.0,10.0,,0,,9.0,15.0,,,,,2.0,13.0,,11.0
126,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 5       ",DEM,Roger D Creekmore                     ,51,,,6.0,,,416.0,229.0,,93.0,25.0,,,,157.0,21.0,157.0,202.0,,,,,,,,4,,,,,149.0,,,,,,
127,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 5       ",REP,Darol Bendall                         ,86,,,12.0,,,417.0,458.0,,320.0,43.0,,,,267.0,16.0,246.0,343.0,,,,,,,,2,,,,,272.0,,,,,,
128,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 5       ",NON,Write-In                              ,0,,,0.0,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,0.0,,,,,,
129,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 5       ",   ,Over Votes                            ,0,,,0.0,,,0.0,1.0,,0.0,0.0,,,,0.0,0.0,1.0,1.0,,,,,,,,0,,,,,0.0,,,,,,
130,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 5       ",   ,Under Votes                           ,6,,,0.0,,,20.0,31.0,,23.0,4.0,,,,17.0,1.0,26.0,21.0,,,,,,,,1,,,,,9.0,,,,,,
131,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 6       ",DEM,Charles L. (Charlie) Hovater          ,58,56.0,347.0,,577.0,,79.0,,,,,,,93.0,,,,57.0,134.0,,46.0,187.0,,,299.0,1,,,,,,69.0,,,,,
132,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 6       ",REP,Jace M Kimbrough                      ,55,29.0,118.0,,255.0,,123.0,,,,,,,112.0,,,,131.0,140.0,,30.0,389.0,,,275.0,4,,,,,,70.0,,,,,
133,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 6       ",NON,Write-In                              ,0,0.0,0.0,,1.0,,1.0,,,,,,,0.0,,,,0.0,0.0,,1.0,3.0,,,0.0,0,,,,,,0.0,,,,,
134,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 6       ",   ,Over Votes                            ,0,0.0,4.0,,1.0,,0.0,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,,,1.0,0,,,,,,0.0,,,,,
135,"MEMBER, COLBERT COUNTY COMMISSION, DISTRICT NO. 6       ",   ,Under Votes                           ,6,9.0,11.0,,26.0,,8.0,,,,,,,11.0,,,,11.0,6.0,,0.0,19.0,,,22.0,0,,,,,,6.0,,,,,
136,COLBERT COUNTY SUPERINTENDENT OF EDUCATION              ,DEM,Gale Story Satchel                    ,494,50.0,304.0,159.0,481.0,159.0,561.0,400.0,674.0,372.0,575.0,828.0,562.0,505.0,195.0,234.0,383.0,346.0,129.0,688.0,29.0,303.0,755.0,344.0,315.0,31,231.0,468.0,533.0,449.0,212.0,71.0,435.0,297.0,631.0,288.0,614.0
137,COLBERT COUNTY SUPERINTENDENT OF EDUCATION              ,NON,Write-In                              ,10,1.0,8.0,0.0,17.0,6.0,19.0,18.0,20.0,20.0,13.0,23.0,6.0,15.0,13.0,1.0,9.0,23.0,3.0,23.0,0.0,11.0,11.0,7.0,9.0,1,6.0,11.0,4.0,14.0,8.0,6.0,13.0,6.0,20.0,9.0,24.0
138,COLBERT COUNTY SUPERINTENDENT OF EDUCATION              ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,COLBERT COUNTY SUPERINTENDENT OF EDUCATION              ,   ,Under Votes                           ,441,43.0,168.0,13.0,362.0,67.0,484.0,446.0,596.0,504.0,520.0,672.0,237.0,427.0,233.0,58.0,229.0,397.0,148.0,631.0,48.0,284.0,271.0,278.0,273.0,19,195.0,197.0,44.0,386.0,210.0,68.0,343.0,155.0,336.0,238.0,538.0
140,"MEMBER, COLBERT COUNTY BRD OF ED, DIST 1                ",DEM,Jarrod Johnson                        ,66,,,,,24.0,,,598.0,,,,247.0,,,,,,,,,,,114.0,,0,176.0,157.0,,337.0,,,,,,,
141,"MEMBER, COLBERT COUNTY BRD OF ED, DIST 1                ",REP,Thomas Barnes                         ,60,,,,,23.0,,,637.0,,,,151.0,,,,,,,,,,,143.0,,2,241.0,162.0,,463.0,,,,,,,
142,"MEMBER, COLBERT COUNTY BRD OF ED, DIST 1                ",NON,Write-In                              ,0,,,,,0.0,,,3.0,,,,0.0,,,,,,,,,,,0.0,,0,0.0,0.0,,4.0,,,,,,,
143,"MEMBER, COLBERT COUNTY BRD OF ED, DIST 1                ",   ,Over Votes                            ,0,,,,,1.0,,,1.0,,,,0.0,,,,,,,,,,,0.0,,0,1.0,0.0,,0.0,,,,,,,
144,"MEMBER, COLBERT COUNTY BRD OF ED, DIST 1                ",   ,Under Votes                           ,6,,,,,0.0,,,51.0,,,,12.0,,,,,,,,,,,6.0,,0,14.0,18.0,,45.0,,,,,,,
145,"MEMBER, COLBERT COUNTY BRD OF ED, DIST 6                ",DEM,Nancy B Parker                        ,47,70.0,208.0,,395.0,,56.0,,,,,,,49.0,,,,51.0,142.0,,43.0,134.0,,,208.0,0,,,,,,26.0,,,,,
146,"MEMBER, COLBERT COUNTY BRD OF ED, DIST 6                ",REP,Sandra H James                        ,67,22.0,267.0,,446.0,,148.0,,,,,,,157.0,,,,138.0,134.0,,34.0,446.0,,,363.0,5,,,,,,115.0,,,,,
147,"MEMBER, COLBERT COUNTY BRD OF ED, DIST 6                ",NON,Write-In                              ,0,0.0,0.0,,1.0,,0.0,,,,,,,0.0,,,,0.0,1.0,,0.0,0.0,,,0.0,0,,,,,,0.0,,,,,
