,Contest Title,Party,Candidate,2ND MOUNT ZION CHURCH,ABSENTEE,ANNEX VOTING HOUSE,ANTIOCH VOTING HSE/FIRE DEPT,BELLEVILLE FIRE DEPT,BERMUDA COMMUNTIY CTR,BROOKLYN MASONIC LODGE,BROWNVILLE FIRE DEPT,CARVER RECREATION,CASTLEBERRY FIRE DEPT,DAVID BURT BUILDING,FLAT ROCK FIRE DEPT,HEALTH DEPARTMENT,HERBERT FIRE,JOHNSVILLE FIRE DEPT,LENOX COMMUNITY HSE,LITTLE ZION CHURCH,LYEFFION FIRE DEPT,NAZARENE BAPTIST CHURCH,OLD CASTLEBERRY NUTRITION,OLD FIELD CHURCH,PAUL FIRE DEPT,PROVISIONAL,RANGE FIRE DEPT,REPTON TOWN HALL,ROBINSONS MILL VOTING HSE,SANDCUTT FIRE DEPT,SKINNERTON FIRE DEPT,WOOTEN VOTING HSE
81,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,57.0,137,44.0,134.0,247.0,110.0,37.0,118.0,313.0,70.0,376.0,60.0,163.0,58.0,67.0,102.0,65.0,170.0,144.0,223.0,117.0,75.0,4,78.0,195.0,74.0,144.0,37.0,103.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,30.0,149,60.0,66.0,151.0,54.0,15.0,63.0,283.0,98.0,203.0,21.0,103.0,33.0,42.0,59.0,56.0,72.0,65.0,60.0,90.0,34.0,5,35.0,127.0,82.0,74.0,16.0,107.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,8.0,32,10.0,52.0,55.0,31.0,21.0,35.0,63.0,25.0,87.0,11.0,26.0,24.0,7.0,31.0,12.0,28.0,23.0,70.0,29.0,21.0,2,27.0,66.0,23.0,34.0,12.0,22.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,55.0,142,49.0,130.0,248.0,110.0,36.0,118.0,316.0,74.0,384.0,59.0,160.0,62.0,68.0,96.0,65.0,159.0,140.0,217.0,119.0,65.0,4,75.0,195.0,75.0,139.0,32.0,103.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,38.0,170,72.0,80.0,186.0,69.0,22.0,71.0,305.0,103.0,232.0,20.0,112.0,40.0,44.0,60.0,55.0,65.0,70.0,65.0,97.0,33.0,7,48.0,140.0,90.0,81.0,13.0,110.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,6.0,44,19.0,64.0,53.0,44.0,25.0,45.0,68.0,27.0,120.0,20.0,25.0,32.0,9.0,50.0,31.0,45.0,30.0,85.0,37.0,32.0,1,33.0,94.0,25.0,72.0,22.0,41.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,49.0,110,28.0,104.0,215.0,82.0,25.0,100.0,290.0,66.0,322.0,51.0,152.0,47.0,64.0,76.0,48.0,149.0,128.0,197.0,105.0,54.0,3,56.0,154.0,65.0,94.0,25.0,81.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,24.0,142,70.0,59.0,165.0,58.0,12.0,61.0,286.0,96.0,187.0,20.0,107.0,30.0,45.0,48.0,56.0,51.0,52.0,61.0,90.0,28.0,7,37.0,115.0,88.0,62.0,14.0,102.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,12.0,55,12.0,65.0,64.0,38.0,27.0,46.0,67.0,34.0,110.0,14.0,22.0,31.0,5.0,44.0,20.0,43.0,37.0,73.0,37.0,26.0,1,30.0,96.0,23.0,59.0,12.0,31.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,57.0,127,37.0,124.0,225.0,99.0,33.0,110.0,309.0,67.0,377.0,57.0,160.0,58.0,67.0,94.0,58.0,165.0,139.0,213.0,112.0,65.0,3,70.0,177.0,68.0,126.0,34.0,99.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,31.0,168,72.0,76.0,190.0,65.0,22.0,69.0,310.0,106.0,223.0,27.0,111.0,36.0,46.0,64.0,59.0,61.0,62.0,84.0,107.0,34.0,7,46.0,140.0,93.0,93.0,18.0,111.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,12.0,50,20.0,73.0,54.0,51.0,22.0,54.0,67.0,25.0,130.0,21.0,30.0,38.0,6.0,55.0,27.0,59.0,37.0,73.0,31.0,26.0,1,38.0,103.0,24.0,64.0,21.0,40.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,50.0,106,27.0,99.0,210.0,79.0,28.0,94.0,286.0,65.0,321.0,43.0,148.0,45.0,65.0,67.0,48.0,139.0,129.0,190.0,101.0,59.0,3,53.0,145.0,63.0,90.0,21.0,81.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,34.0,167,73.0,95.0,204.0,89.0,24.0,77.0,322.0,123.0,270.0,26.0,120.0,52.0,49.0,83.0,64.0,103.0,80.0,87.0,110.0,31.0,8,53.0,159.0,112.0,109.0,23.0,121.0
100,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,10.0,52,18.0,48.0,43.0,35.0,20.0,43.0,51.0,20.0,88.0,14.0,25.0,25.0,4.0,43.0,25.0,30.0,26.0,75.0,24.0,30.0,0,30.0,78.0,9.0,46.0,17.0,35.0
101,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0
102,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,49.0,105,28.0,105.0,206.0,71.0,28.0,96.0,290.0,54.0,316.0,51.0,144.0,42.0,64.0,60.0,45.0,126.0,122.0,185.0,105.0,58.0,3,54.0,150.0,59.0,92.0,20.0,76.0
103,"MEMBER, CONECUH COUNTY COMMISSION, DISTRICT NO. 1       ",DEM,David C. Campbell                     ,,33,,166.0,,,30.0,137.0,,,167.0,47.0,,62.0,109.0,,,,,,,72.0,0,,,,,,
104,"MEMBER, CONECUH COUNTY COMMISSION, DISTRICT NO. 1       ",NON,Write-In                              ,,0,,4.0,,,3.0,1.0,,,5.0,0.0,,5.0,1.0,,,,,,,1.0,0,,,,,,
105,"MEMBER, CONECUH COUNTY COMMISSION, DISTRICT NO. 1       ",   ,Over Votes                            ,,0,,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,,,,,0.0,0,,,,,,
106,"MEMBER, CONECUH COUNTY COMMISSION, DISTRICT NO. 1       ",   ,Under Votes                           ,,19,,78.0,,,39.0,79.0,,,193.0,44.0,,52.0,7.0,,,,,,,47.0,0,,,,,,
107,"MEMBER, CONECUH COUNTY COMMISSION, DISTRICT NO. 2       ",DEM,Michael Riley                         ,,53,87.0,,,116.0,,,,,191.0,,,,,,,131.0,,,,,2,,,131.0,,40.0,99.0
108,"MEMBER, CONECUH COUNTY COMMISSION, DISTRICT NO. 2       ",NON,Write-In                              ,,1,1.0,,,2.0,,,,,2.0,,,,,,,3.0,,,,,0,,,2.0,,0.0,0.0
109,"MEMBER, CONECUH COUNTY COMMISSION, DISTRICT NO. 2       ",   ,Over Votes                            ,,1,0.0,,,0.0,,,,,0.0,,,,,,,0.0,,,,,0,,,0.0,,0.0,0.0
110,"MEMBER, CONECUH COUNTY COMMISSION, DISTRICT NO. 2       ",   ,Under Votes                           ,,11,31.0,,,77.0,,,,,116.0,,,,,,,125.0,,,,,0,,,47.0,,20.0,45.0
111,"MEMBER, CONECUH COUNTY COMMISSION, DISTRICT NO. 3       ",DEM,Johnny Andrews                        ,,15,,,,,,,,,,,,,,101.0,,,,170.0,,,0,60.0,252.0,,115.0,,
112,"MEMBER, CONECUH COUNTY COMMISSION, DISTRICT NO. 3       ",REP,"James ""Buddy"" Howington               ",,24,,,,,,,,,,,,,,80.0,,,,160.0,,,3,76.0,127.0,,125.0,,
113,"MEMBER, CONECUH COUNTY COMMISSION, DISTRICT NO. 3       ",NON,Write-In                              ,,0,,,,,,,,,,,,,,0.0,,,,0.0,,,0,0.0,0.0,,1.0,,
114,"MEMBER, CONECUH COUNTY COMMISSION, DISTRICT NO. 3       ",   ,Over Votes                            ,,0,,,,,,,,,,,,,,0.0,,,,2.0,,,0,0.0,1.0,,0.0,,
115,"MEMBER, CONECUH COUNTY COMMISSION, DISTRICT NO. 3       ",   ,Under Votes                           ,,0,,,,,,,,,,,,,,5.0,,,,15.0,,,0,1.0,8.0,,6.0,,
116,"MEMBER, CONECUH COUNTY COMMISSION, DISTRICT NO. 4       ",DEM,Wendell Byrd                          ,72.0,93,,,,,,,562.0,,,,,,,,99.0,,161.0,,,,1,,,,,,
117,"MEMBER, CONECUH COUNTY COMMISSION, DISTRICT NO. 4       ",NON,Write-In                              ,1.0,0,,,,,,,4.0,,,,,,,,0.0,,3.0,,,,0,,,,,,
118,"MEMBER, CONECUH COUNTY COMMISSION, DISTRICT NO. 4       ",   ,Over Votes                            ,0.0,0,,,,,,,0.0,,,,,,,,0.0,,0.0,,,,0,,,,,,
119,"MEMBER, CONECUH COUNTY COMMISSION, DISTRICT NO. 4       ",   ,Under Votes                           ,20.0,16,,,,,,,97.0,,,,,,,,35.0,,64.0,,,,0,,,,,,
120,"MEMBER, CONECUH COUNTY COMMISSION, DISTRICT NO. 5       ",DEM,Leonard (Punch) Millender             ,,47,,,357.0,,,,,146.0,,,221.0,,,,,,,,180.0,,1,,,,,,53.0
121,"MEMBER, CONECUH COUNTY COMMISSION, DISTRICT NO. 5       ",NON,Write-In                              ,,0,,,3.0,,,,,4.0,,,3.0,,,,,,,,1.0,,0,,,,,,0.0
122,"MEMBER, CONECUH COUNTY COMMISSION, DISTRICT NO. 5       ",   ,Over Votes                            ,,0,,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,0,,,,,,0.0
123,"MEMBER, CONECUH COUNTY COMMISSION, DISTRICT NO. 5       ",   ,Under Votes                           ,,8,,,94.0,,,,,47.0,,,65.0,,,,,,,,58.0,,0,,,,,,35.0
124,"SUPERINTENDENT, CONECUH COUNTY BOARD OF EDUCATION       ",DEM,Zickeyous M. Byrd                     ,67.0,234,83.0,106.0,346.0,86.0,28.0,116.0,549.0,149.0,307.0,25.0,220.0,52.0,108.0,58.0,89.0,104.0,154.0,119.0,180.0,64.0,7,49.0,236.0,118.0,70.0,26.0,142.0
125,"SUPERINTENDENT, CONECUH COUNTY BOARD OF EDUCATION       ",NON,Write-In                              ,1.0,0,1.0,3.0,2.0,3.0,2.0,2.0,7.0,2.0,7.0,0.0,2.0,4.0,1.0,3.0,2.0,0.0,4.0,10.0,0.0,0.0,0,4.0,3.0,2.0,9.0,1.0,0.0
126,"SUPERINTENDENT, CONECUH COUNTY BOARD OF EDUCATION       ",   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
127,"SUPERINTENDENT, CONECUH COUNTY BOARD OF EDUCATION       ",   ,Under Votes                           ,25.0,90,35.0,139.0,106.0,106.0,41.0,99.0,107.0,46.0,360.0,66.0,67.0,63.0,8.0,125.0,43.0,155.0,70.0,218.0,59.0,56.0,0,84.0,149.0,60.0,168.0,33.0,90.0
128,"MEMBER, CONECUH COUNTY BOARD OF EDUCATION,              ",DEM,Willene J. Whatley                    ,,32,,116.0,,,30.0,131.0,,,171.0,33.0,,54.0,109.0,,,,,,,67.0,0,,,,,,
129,"MEMBER, CONECUH COUNTY BOARD OF EDUCATION,              ",NON,Write-In                              ,,0,,4.0,,,3.0,1.0,,,1.0,0.0,,5.0,0.0,,,,,,,0.0,0,,,,,,
130,"MEMBER, CONECUH COUNTY BOARD OF EDUCATION,              ",   ,Over Votes                            ,,0,,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,,,,,0.0,0,,,,,,
131,"MEMBER, CONECUH COUNTY BOARD OF EDUCATION,              ",   ,Under Votes                           ,,21,,128.0,,,39.0,85.0,,,193.0,58.0,,60.0,8.0,,,,,,,53.0,0,,,,,,
132,"MEMBER, CONECUH COUNTY BOARD OF EDUCATION,              ",DEM,Jan Hayes                             ,,54,88.0,,,103.0,,,,,178.0,,,,,,,132.0,,,,,2,,,126.0,,36.0,96.0
133,"MEMBER, CONECUH COUNTY BOARD OF EDUCATION,              ",NON,Write-In                              ,,0,1.0,,,1.0,,,,,2.0,,,,,,,0.0,,,,,0,,,2.0,,0.0,0.0
134,"MEMBER, CONECUH COUNTY BOARD OF EDUCATION,              ",   ,Over Votes                            ,,0,0.0,,,0.0,,,,,0.0,,,,,,,0.0,,,,,0,,,0.0,,0.0,0.0
135,"MEMBER, CONECUH COUNTY BOARD OF EDUCATION,              ",   ,Under Votes                           ,,12,30.0,,,91.0,,,,,129.0,,,,,,,127.0,,,,,0,,,52.0,,24.0,48.0
136,"MEMBER, CONECUH COUNTY BOARD OF EDUCATION,              ",DEM,Janice Barlow Downing                 ,,21,,,,,,,,,,,,,,75.0,,,,212.0,,,2,36.0,221.0,,117.0,,
137,"MEMBER, CONECUH COUNTY BOARD OF EDUCATION,              ",REP,J. Wayne Crutchfield                  ,,16,,,,,,,,,,,,,,102.0,,,,118.0,,,2,97.0,148.0,,121.0,,
138,"MEMBER, CONECUH COUNTY BOARD OF EDUCATION,              ",NON,Write-In                              ,,0,,,,,,,,,,,,,,0.0,,,,1.0,,,0,0.0,0.0,,0.0,,
139,"MEMBER, CONECUH COUNTY BOARD OF EDUCATION,              ",   ,Over Votes                            ,,0,,,,,,,,,,,,,,0.0,,,,0.0,,,0,0.0,2.0,,0.0,,
140,"MEMBER, CONECUH COUNTY BOARD OF EDUCATION,              ",   ,Under Votes                           ,,2,,,,,,,,,,,,,,9.0,,,,16.0,,,0,4.0,17.0,,9.0,,
141,"MEMBER, CONECUH COUNTY BOARD OF EDUCATION,              ",DEM,Coretta L. Boykin                     ,68.0,92,,,,,,,550.0,,,,,,,,90.0,,154.0,,,,1,,,,,,
142,"MEMBER, CONECUH COUNTY BOARD OF EDUCATION,              ",NON,Write-In                              ,1.0,0,,,,,,,4.0,,,,,,,,2.0,,5.0,,,,0,,,,,,
143,"MEMBER, CONECUH COUNTY BOARD OF EDUCATION,              ",   ,Over Votes                            ,0.0,0,,,,,,,0.0,,,,,,,,0.0,,0.0,,,,0,,,,,,
144,"MEMBER, CONECUH COUNTY BOARD OF EDUCATION,              ",   ,Under Votes                           ,24.0,17,,,,,,,109.0,,,,,,,,42.0,,69.0,,,,0,,,,,,
145,"MEMBER, CONECUH COUNTY BOARD OF EDUCATION,              ",DEM,Mary J. Bradley-Ray                   ,,47,,,347.0,,,,,146.0,,,225.0,,,,,,,,181.0,,1,,,,,,52.0
146,"MEMBER, CONECUH COUNTY BOARD OF EDUCATION,              ",NON,Write-In                              ,,1,,,4.0,,,,,3.0,,,0.0,,,,,,,,1.0,,0,,,,,,0.0
147,"MEMBER, CONECUH COUNTY BOARD OF EDUCATION,              ",   ,Over Votes                            ,,0,,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,0,,,,,,0.0
148,"MEMBER, CONECUH COUNTY BOARD OF EDUCATION,              ",   ,Under Votes                           ,,7,,,103.0,,,,,48.0,,,64.0,,,,,,,,57.0,,0,,,,,,36.0
149,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 1                ",NON,Write-In                              ,,1,3.0,,,,,,,,,,,,,,,,,,,,0,,,,,,
150,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 1                ",   ,Over Votes                            ,,0,0.0,,,,,,,,,,,,,,,,,,,,0,,,,,,
151,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 1                ",   ,Under Votes                           ,,3,116.0,,,,,,,,,,,,,,,,,,,,0,,,,,,
152,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 2                ",DEM,W. Thad House                         ,,12,,,,,,,,,,,,,,,,143.0,,,,,0,,,,,38.0,
153,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 2                ",NON,Write-In                              ,,0,,,,,,,,,,,,,,,,0.0,,,,,0,,,,,0.0,
154,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 2                ",   ,Over Votes                            ,,0,,,,,,,,,,,,,,,,0.0,,,,,0,,,,,0.0,
155,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 2                ",   ,Under Votes                           ,,2,,,,,,,,,,,,,,,,116.0,,,,,0,,,,,22.0,
156,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 3                ",DEM,"John L. ""Butch"" Salter                ",,11,,,,,,,,,,,,,,,,,,,,,0,,,131.0,,,
157,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 3                ",NON,Write-In                              ,,0,,,,,,,,,,,,,,,,,,,,,0,,,2.0,,,
158,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 3                ",   ,Over Votes                            ,,0,,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,
159,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 3                ",   ,Under Votes                           ,,3,,,,,,,,,,,,,,,,,,,,,0,,,47.0,,,
160,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 4                ",NON,Write-In                              ,,0,,,11.0,,,,,,,,,,,,,,,,4.0,,0,,,,,,1.0
161,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 4                ",   ,Over Votes                            ,,0,,,0.0,,,,,,,,,,,,,,,,0.0,,0,,,,,,0.0
162,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 4                ",   ,Under Votes                           ,,25,,,443.0,,,,,,,,,,,,,,,,235.0,,0,,,,,,87.0
163,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 5                ",DEM,Maxwell (Mike) Blackmon               ,,7,,,,,,,,,,,,,,95.0,,,,,,,1,59.0,,,86.0,,
164,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 5                ",NON,Write-In                              ,,0,,,,,,,,,,,,,,2.0,,,,,,,0,4.0,,,10.0,,
165,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 5                ",   ,Over Votes                            ,,0,,,,,,,,,,,,,,0.0,,,,,,,0,0.0,,,0.0,,
166,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 5                ",   ,Under Votes                           ,,9,,,,,,,,,,,,,,89.0,,,,,,,0,74.0,,,151.0,,
167,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 6                ",DEM,J. B. Jackson                         ,,10,,,,,,,,141.0,,,,,,,,,,73.0,,,2,,,,,,
168,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 6                ",REP,John D. Pate                          ,,10,,,,,,,,52.0,,,,,,,,,,251.0,,,1,,,,,,
169,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 6                ",NON,Write-In                              ,,0,,,,,,,,0.0,,,,,,,,,,3.0,,,0,,,,,,
170,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 6                ",   ,Over Votes                            ,,0,,,,,,,,0.0,,,,,,,,,,1.0,,,0,,,,,,
171,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 6                ",   ,Under Votes                           ,,1,,,,,,,,4.0,,,,,,,,,,19.0,,,0,,,,,,
172,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 7                ",DEM,Charles A. Frazier                    ,,14,,,,,34.0,,,,,,,,110.0,,,,,,,65.0,0,,,,,,
173,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 7                ",NON,Write-In                              ,,0,,,,,3.0,,,,,,,,0.0,,,,,,,1.0,0,,,,,,
174,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 7                ",   ,Over Votes                            ,,0,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,0,,,,,,
175,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 7                ",   ,Under Votes                           ,,2,,,,,35.0,,,,,,,,7.0,,,,,,,54.0,0,,,,,,
176,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 8                ",IND,Roy Larry Smith                       ,,5,,161.0,,,,,,,,,,,,,,,,,,,0,,,,,,
177,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 8                ",NON,Write-In                              ,,0,,2.0,,,,,,,,,,,,,,,,,,,0,,,,,,
178,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 8                ",   ,Over Votes                            ,,0,,0.0,,,,,,,,,,,,,,,,,,,0,,,,,,
179,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 8                ",   ,Under Votes                           ,,3,,85.0,,,,,,,,,,,,,,,,,,,0,,,,,,
180,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 9                ",IND,Hill Harper                           ,,0,,,,,,,,,,,,57.0,,,,,,,,,0,,,,,,
181,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 9                ",NON,Write-In                              ,,0,,,,,,,,,,,,3.0,,,,,,,,,0,,,,,,
182,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 9                ",   ,Over Votes                            ,,0,,,,,,,,,,,,0.0,,,,,,,,,0,,,,,,
183,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 9                ",   ,Under Votes                           ,,4,,,,,,,,,,,,59.0,,,,,,,,,0,,,,,,
184,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 10               ",NON,Write-In                              ,,0,,,,,,7.0,,,,2.0,,,,,,,,,,,0,,,,,,
185,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 10               ",   ,Over Votes                            ,,0,,,,,,0.0,,,,0.0,,,,,,,,,,,0,,,,,,
186,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 10               ",   ,Under Votes                           ,,6,,,,,,210.0,,,,89.0,,,,,,,,,,,0,,,,,,
187,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 11               ",NON,Write-In                              ,,4,,,,,,,11.0,,22.0,,9.0,,,,,,,,,,0,,,,,,
188,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 11               ",   ,Over Votes                            ,,0,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,0,,,,,,
189,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 11               ",   ,Under Votes                           ,,138,,,,,,,652.0,,652.0,,280.0,,,,,,,,,,0,,,,,,
190,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 12               ",DEM,Jeppie Dees                           ,,7,,,,,,,,,,,,,,,,,166.0,,,,0,,,,,,
191,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 12               ",NON,Write-In                              ,,0,,,,,,,,,,,,,,,,,4.0,,,,0,,,,,,
192,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 12               ",   ,Over Votes                            ,,0,,,,,,,,,,,,,,,,,0.0,,,,0,,,,,,
193,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 12               ",   ,Under Votes                           ,,1,,,,,,,,,,,,,,,,,58.0,,,,0,,,,,,
194,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 13               ",NON,Write-In                              ,,0,,,,,,,,,,,,,,,,,,,,,0,,13.0,,,,
195,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 13               ",   ,Over Votes                            ,,0,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,,
196,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 13               ",   ,Under Votes                           ,,14,,,,,,,,,,,,,,,,,,,,,0,,375.0,,,,
197,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 14               ",DEM,John Powell                           ,62.0,7,,,,,,,,,,,,,,,,,,,,,0,,,,,,96.0
198,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 14               ",NON,Write-In                              ,1.0,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.0
199,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 14               ",   ,Over Votes                            ,2.0,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.0
200,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 14               ",   ,Under Votes                           ,28.0,5,,,,,,,,,,,,,,,,,,,,,0,,,,,,48.0
201,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 15               ",DEM,Chad S. Jordan                        ,,2,,,,117.0,,,,,,,,,,,,,,,,,0,,,,,,
202,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 15               ",NON,Write-In                              ,,0,,,,0.0,,,,,,,,,,,,,,,,,0,,,,,,
203,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 15               ",   ,Over Votes                            ,,0,,,,0.0,,,,,,,,,,,,,,,,,0,,,,,,
204,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 15               ",   ,Under Votes                           ,,1,,,,78.0,,,,,,,,,,,,,,,,,0,,,,,,
205,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 16               ",DEM,Chris P. Askew                        ,,10,,,,,,,,,,,,,,,88.0,,,,,,0,,,,,,
206,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 16               ",NON,Write-In                              ,,0,,,,,,,,,,,,,,,4.0,,,,,,0,,,,,,
207,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 16               ",   ,Over Votes                            ,,0,,,,,,,,,,,,,,,0.0,,,,,,0,,,,,,
208,"CONSTABLE, CONECUH COUNTY PRECINCT NO. 16               ",   ,Under Votes                           ,,4,,,,,,,,,,,,,,,42.0,,,,,,0,,,,,,
