,Contest Title,Party,Candidate,ABSENTEE,AUSTIN SUMBRY PARK,CENTRAL ACTIVITIES BLDG,CLAUDE PARKMAN BLDG,COTTONTON FIRE STATION,CRAWFORD VFD,DIXIE VFD,FIRE DEPARTMENT HURTSBORO,FT_ MITCHELL COMM CENTER,HATCHECHUBBEE FIRE,LADONIA VFD,NATIONAL GUARD ARMORY,OLD SEALE COURTHOUSE,PITTSVIEW FIRE,PROVISIONAL,ROY MARTIN CENTER,RUSSELL COUNTY COURTHOUSE,SPENCER REC CENTER,TROY UNIVERSITY
107,"DISTRICT COURT JUDGE, RUSSELL COUNTY, PLACE NO. 2       ",DEM,"Walter Lee Gray, III                  ",512,703.0,1303.0,642.0,159.0,732.0,164.0,564.0,1093.0,130.0,1166.0,308.0,517.0,241.0,0.0,1377.0,671.0,1555.0,762.0
108,"DISTRICT COURT JUDGE, RUSSELL COUNTY, PLACE NO. 2       ",NON,Write-In                              ,13,13.0,54.0,5.0,7.0,33.0,1.0,4.0,57.0,4.0,66.0,8.0,13.0,1.0,0.0,53.0,11.0,8.0,14.0
109,"DISTRICT COURT JUDGE, RUSSELL COUNTY, PLACE NO. 2       ",   ,Over Votes                            ,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,"DISTRICT COURT JUDGE, RUSSELL COUNTY, PLACE NO. 2       ",   ,Under Votes                           ,397,175.0,612.0,70.0,149.0,801.0,166.0,148.0,526.0,60.0,933.0,298.0,333.0,88.0,0.0,1196.0,144.0,106.0,197.0
111,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 1       ",DEM,Latoya Payne                          ,20,,,,,,,,,,,,,,0.0,715.0,,,
112,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 1       ",REP,Gentry Lee                            ,122,,,,,,,,,,,,,,0.0,1825.0,,,
113,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 1       ",NON,Write-In                              ,1,,,,,,,,,,,,,,0.0,3.0,,,
114,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 1       ",   ,Over Votes                            ,0,,,,,,,,,,,,,,0.0,3.0,,,
115,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 1       ",   ,Under Votes                           ,6,,,,,,,,,,,,,,0.0,80.0,,,
116,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 2       ",DEM,Tillman Pugh                          ,73,,,,,,,,,,944.0,,,,0.0,,,,
117,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 2       ",REP,Carl Currington                       ,59,,,,,,,,,,1175.0,,,,0.0,,,,
118,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 2       ",NON,Write-In                              ,0,,,,,,,,,,6.0,,,,0.0,,,,
119,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 2       ",   ,Over Votes                            ,0,,,,,,,,,,2.0,,,,0.0,,,,
120,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 2       ",   ,Under Votes                           ,5,,,,,,,,,,38.0,,,,0.0,,,,
121,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 3       ",REP,Peggy Martin                          ,102,,1145.0,,,,,,,,,466.0,,,0.0,,,,
122,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 3       ",NON,Write-In                              ,0,,76.0,,,,,,,,,12.0,,,0.0,,,,
123,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 3       ",   ,Over Votes                            ,0,,1.0,,,,,,,,,0.0,,,0.0,,,,
124,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 3       ",   ,Under Votes                           ,41,,747.0,,,,,,,,,136.0,,,0.0,,,,
125,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 4       ",DEM,Ronnie Reed                           ,53,,,631.0,,,,,,,,,,,0.0,,651.0,,
126,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 4       ",NON,Write-In                              ,0,,,15.0,,,,,,,,,,,0.0,,17.0,,
127,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 4       ",   ,Over Votes                            ,0,,,0.0,,,,,,,,,,,0.0,,0.0,,
128,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 4       ",   ,Under Votes                           ,18,,,72.0,,,,,,,,,,,0.0,,158.0,,
129,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 5       ",DEM,Cattie Epps                           ,115,,,,,,,,1072.0,,,,,,0.0,,,1552.0,
130,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 5       ",NON,Write-In                              ,2,,,,,,,,79.0,,,,,,0.0,,,13.0,
131,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 5       ",   ,Over Votes                            ,0,,,,,,,,1.0,,,,,,0.0,,,0.0,
132,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 5       ",   ,Under Votes                           ,35,,,,,,,,526.0,,,,,,0.0,,,104.0,
133,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 6       ",DEM,Bernard McKissic                      ,54,,,,,310.0,94.0,,,,,,,,0.0,,,,626.0
134,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 6       ",REP,Chance Corbett                        ,88,,,,,1201.0,223.0,,,,,,,,0.0,,,,321.0
135,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 6       ",IND,Charles Lamar Sizemore                ,7,,,,,28.0,10.0,,,,,,,,0.0,,,,17.0
136,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 6       ",NON,Write-In                              ,0,,,,,2.0,1.0,,,,,,,,0.0,,,,0.0
137,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 6       ",   ,Over Votes                            ,0,,,,,5.0,0.0,,,,,,,,0.0,,,,5.0
138,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 6       ",   ,Under Votes                           ,4,,,,,20.0,3.0,,,,,,,,0.0,,,,4.0
139,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 7       ",DEM,Larry D. Screws                       ,69,615.0,,,107.0,,,539.0,,101.0,,,382.0,219.0,0.0,,,,
140,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 7       ",REP,Wanda King Lamb                       ,46,254.0,,,204.0,,,168.0,,92.0,,,435.0,108.0,0.0,,,,
141,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 7       ",NON,Write-In                              ,0,2.0,,,1.0,,,1.0,,0.0,,,3.0,1.0,0.0,,,,
142,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 7       ",   ,Over Votes                            ,0,1.0,,,0.0,,,0.0,,0.0,,,2.0,0.0,0.0,,,,
143,"MEMBER, RUSSELL COUNTY COMMISSION, DISTRICT NO. 7       ",   ,Under Votes                           ,2,19.0,,,3.0,,,8.0,,2.0,,,41.0,2.0,0.0,,,,
144,"MEMBER, RUSSELL COUNTY BOARD OF EDUCATION, PLACE NO. 2  ",DEM,Keith Mitchell                        ,25,,14.0,0.0,,,,,,,430.0,,,,0.0,,,,68.0
145,"MEMBER, RUSSELL COUNTY BOARD OF EDUCATION, PLACE NO. 2  ",NON,Write-In                              ,0,,2.0,0.0,,,,,,,29.0,,,,0.0,,,,3.0
146,"MEMBER, RUSSELL COUNTY BOARD OF EDUCATION, PLACE NO. 2  ",   ,Over Votes                            ,0,,0.0,0.0,,,,,,,0.0,,,,0.0,,,,0.0
147,"MEMBER, RUSSELL COUNTY BOARD OF EDUCATION, PLACE NO. 2  ",   ,Under Votes                           ,28,,14.0,0.0,,,,,,,398.0,,,,0.0,,,,53.0
148,"MEMBER, RUSSELL COUNTY BOARD OF EDUCATION, PLACE NO. 4  ",DEM,Kenneth A. Barnes                     ,26,,,,,63.0,3.0,570.0,,129.0,,,142.0,81.0,0.0,,,,
149,"MEMBER, RUSSELL COUNTY BOARD OF EDUCATION, PLACE NO. 4  ",NON,Write-In                              ,1,,,,,3.0,0.0,3.0,,6.0,,,2.0,0.0,0.0,,,,
150,"MEMBER, RUSSELL COUNTY BOARD OF EDUCATION, PLACE NO. 4  ",   ,Over Votes                            ,0,,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,,
151,"MEMBER, RUSSELL COUNTY BOARD OF EDUCATION, PLACE NO. 4  ",   ,Under Votes                           ,21,,,,,75.0,23.0,143.0,,60.0,,,97.0,15.0,0.0,,,,
152,"MEMBER, RUSSELL COUNTY BOARD OF EDUCATION, PLACE NO. 5  ",DEM,Eugenia Upshaw                        ,43,,,,159.0,,,,460.0,,,,301.0,165.0,0.0,,,,
153,"MEMBER, RUSSELL COUNTY BOARD OF EDUCATION, PLACE NO. 5  ",NON,Write-In                              ,1,,,,7.0,,,,40.0,,,,9.0,1.0,0.0,,,,
154,"MEMBER, RUSSELL COUNTY BOARD OF EDUCATION, PLACE NO. 5  ",   ,Over Votes                            ,0,,,,0.0,,,,1.0,,,,2.0,0.0,0.0,,,,
155,"MEMBER, RUSSELL COUNTY BOARD OF EDUCATION, PLACE NO. 5  ",   ,Under Votes                           ,24,,,,149.0,,,,303.0,,,,212.0,68.0,0.0,,,,
156,"CONSTABLE, RUSSELL COUNTY DISTRICT 1 PRECINCT 1         ",REP,Joshua William Welch                  ,111,,,,,,,,,,,,,,0.0,1875.0,,,
157,"CONSTABLE, RUSSELL COUNTY DISTRICT 1 PRECINCT 1         ",NON,Write-In                              ,4,,,,,,,,,,,,,,0.0,46.0,,,
158,"CONSTABLE, RUSSELL COUNTY DISTRICT 1 PRECINCT 1         ",   ,Over Votes                            ,0,,,,,,,,,,,,,,0.0,0.0,,,
159,"CONSTABLE, RUSSELL COUNTY DISTRICT 1 PRECINCT 1         ",   ,Under Votes                           ,34,,,,,,,,,,,,,,0.0,705.0,,,
160,"CONSTABLE, RUSSELL COUNTY DISTRICT 2 PRECINCT 1         ",REP,Boyd Battles                          ,86,,,,,,,,,,1477.0,,,,0.0,,,,
161,"CONSTABLE, RUSSELL COUNTY DISTRICT 2 PRECINCT 1         ",NON,Write-In                              ,1,,,,,,,,,,51.0,,,,0.0,,,,
162,"CONSTABLE, RUSSELL COUNTY DISTRICT 2 PRECINCT 1         ",   ,Over Votes                            ,0,,,,,,,,,,0.0,,,,0.0,,,,
163,"CONSTABLE, RUSSELL COUNTY DISTRICT 2 PRECINCT 1         ",   ,Under Votes                           ,50,,,,,,,,,,637.0,,,,0.0,,,,
164,"CONSTABLE, RUSSELL COUNTY DISTRICT 3 PRECINCT 1         ",NON,Write-In                              ,1,,161.0,,,,,,,,,,,,0.0,,,,
165,"CONSTABLE, RUSSELL COUNTY DISTRICT 3 PRECINCT 1         ",   ,Over Votes                            ,0,,0.0,,,,,,,,,,,,0.0,,,,
166,"CONSTABLE, RUSSELL COUNTY DISTRICT 3 PRECINCT 1         ",   ,Under Votes                           ,105,,1808.0,,,,,,,,,,,,0.0,,,,
167,"CONSTABLE, RUSSELL COUNTY DISTRICT 4 PRECINCT 1         ",NON,Write-In                              ,0,,,,,,,,,,,,,,0.0,,53.0,,
168,"CONSTABLE, RUSSELL COUNTY DISTRICT 4 PRECINCT 1         ",   ,Over Votes                            ,0,,,,,,,,,,,,,,0.0,,0.0,,
169,"CONSTABLE, RUSSELL COUNTY DISTRICT 4 PRECINCT 1         ",   ,Under Votes                           ,39,,,,,,,,,,,,,,0.0,,773.0,,
170,"CONSTABLE, RUSSELL COUNTY DISTRICT 5 PRECINCT 1         ",NON,Write-In                              ,4,,,,,,,,,,,,,,0.0,,,49.0,
171,"CONSTABLE, RUSSELL COUNTY DISTRICT 5 PRECINCT 1         ",   ,Over Votes                            ,0,,,,,,,,,,,,,,0.0,,,0.0,
172,"CONSTABLE, RUSSELL COUNTY DISTRICT 5 PRECINCT 1         ",   ,Under Votes                           ,76,,,,,,,,,,,,,,0.0,,,1620.0,
173,"CONSTABLE, RUSSELL COUNTY DISTRICT 6 PRECINCT 1         ",NON,Write-In                              ,1,,,,,,,,,,,,,,0.0,,,,53.0
174,"CONSTABLE, RUSSELL COUNTY DISTRICT 6 PRECINCT 1         ",   ,Over Votes                            ,0,,,,,,,,,,,,,,0.0,,,,0.0
175,"CONSTABLE, RUSSELL COUNTY DISTRICT 6 PRECINCT 1         ",   ,Under Votes                           ,46,,,,,,,,,,,,,,0.0,,,,920.0
176,"CONSTABLE, RUSSELL COUNTY DISTRICT 7 PRECINCT 1         ",NON,Write-In                              ,0,,,,21.0,,,,,,,,,,0.0,,,,
177,"CONSTABLE, RUSSELL COUNTY DISTRICT 7 PRECINCT 1         ",   ,Over Votes                            ,0,,,,0.0,,,,,,,,,,0.0,,,,
178,"CONSTABLE, RUSSELL COUNTY DISTRICT 7 PRECINCT 1         ",   ,Under Votes                           ,8,,,,294.0,,,,,,,,,,0.0,,,,
179,"CONSTABLE, RUSSELL COUNTY DISTRICT 3 PRECINCT 2         ",NON,Write-In                              ,1,,,,,,,,,,,30.0,,,0.0,,,,
180,"CONSTABLE, RUSSELL COUNTY DISTRICT 3 PRECINCT 2         ",   ,Over Votes                            ,1,,,,,,,,,,,0.0,,,0.0,,,,
181,"CONSTABLE, RUSSELL COUNTY DISTRICT 3 PRECINCT 2         ",   ,Under Votes                           ,36,,,,,,,,,,,584.0,,,0.0,,,,
182,"CONSTABLE, RUSSELL COUNTY DISTRICT 4 PRECINCT 2         ",NON,Write-In                              ,1,,,40.0,,,,,,,,,,,0.0,,,,
183,"CONSTABLE, RUSSELL COUNTY DISTRICT 4 PRECINCT 2         ",   ,Over Votes                            ,0,,,0.0,,,,,,,,,,,0.0,,,,
184,"CONSTABLE, RUSSELL COUNTY DISTRICT 4 PRECINCT 2         ",   ,Under Votes                           ,31,,,678.0,,,,,,,,,,,0.0,,,,
185,"CONSTABLE, RUSSELL COUNTY DISTRICT 5 PRECINCT 2         ",NON,Write-In                              ,2,,,,,,,,96.0,,,,,,0.0,,,,
186,"CONSTABLE, RUSSELL COUNTY DISTRICT 5 PRECINCT 2         ",   ,Over Votes                            ,0,,,,,,,,0.0,,,,,,0.0,,,,
187,"CONSTABLE, RUSSELL COUNTY DISTRICT 5 PRECINCT 2         ",   ,Under Votes                           ,70,,,,,,,,1582.0,,,,,,0.0,,,,
188,"CONSTABLE, RUSSELL COUNTY DISTRICT 6 PRECINCT 2         ",NON,Write-In                              ,3,,,,,69.0,,,,,,,,,0.0,,,,
189,"CONSTABLE, RUSSELL COUNTY DISTRICT 6 PRECINCT 2         ",   ,Over Votes                            ,0,,,,,0.0,,,,,,,,,0.0,,,,
190,"CONSTABLE, RUSSELL COUNTY DISTRICT 6 PRECINCT 2         ",   ,Under Votes                           ,83,,,,,1497.0,,,,,,,,,0.0,,,,
191,"CONSTABLE, RUSSELL COUNTY DISTRICT 6 PRECINCT 3         ",REP,Albert Brewer                         ,16,,,,,,207.0,,,,,,,,0.0,,,,
192,"CONSTABLE, RUSSELL COUNTY DISTRICT 6 PRECINCT 3         ",NON,Write-In                              ,0,,,,,,3.0,,,,,,,,0.0,,,,
193,"CONSTABLE, RUSSELL COUNTY DISTRICT 6 PRECINCT 3         ",   ,Over Votes                            ,0,,,,,,0.0,,,,,,,,0.0,,,,
194,"CONSTABLE, RUSSELL COUNTY DISTRICT 6 PRECINCT 3         ",   ,Under Votes                           ,4,,,,,,121.0,,,,,,,,0.0,,,,
195,"CONSTABLE, RUSSELL COUNTY DISTRICT 7 PRECINCT 2         ",NON,Write-In                              ,0,,,,,,,,,,,,,5.0,0.0,,,,
196,"CONSTABLE, RUSSELL COUNTY DISTRICT 7 PRECINCT 2         ",   ,Over Votes                            ,0,,,,,,,,,,,,,0.0,0.0,,,,
197,"CONSTABLE, RUSSELL COUNTY DISTRICT 7 PRECINCT 2         ",   ,Under Votes                           ,7,,,,,,,,,,,,,325.0,0.0,,,,
198,"CONSTABLE, RUSSELL COUNTY DISTRICT 7 PRECINCT 3         ",REP,Danny Sandlin                         ,16,,,,,,,,,,,,494.0,,0.0,,,,
199,"CONSTABLE, RUSSELL COUNTY DISTRICT 7 PRECINCT 3         ",NON,Write-In                              ,0,,,,,,,,,,,,11.0,,0.0,,,,
200,"CONSTABLE, RUSSELL COUNTY DISTRICT 7 PRECINCT 3         ",   ,Over Votes                            ,0,,,,,,,,,,,,0.0,,0.0,,,,
201,"CONSTABLE, RUSSELL COUNTY DISTRICT 7 PRECINCT 3         ",   ,Under Votes                           ,17,,,,,,,,,,,,358.0,,0.0,,,,
202,"CONSTABLE, RUSSELL COUNTY DISTRICT 7 PRECINCT 4         ",NON,Write-In                              ,0,,,,,,,,,8.0,,,,,0.0,,,,
203,"CONSTABLE, RUSSELL COUNTY DISTRICT 7 PRECINCT 4         ",   ,Over Votes                            ,0,,,,,,,,,0.0,,,,,0.0,,,,
204,"CONSTABLE, RUSSELL COUNTY DISTRICT 7 PRECINCT 4         ",   ,Under Votes                           ,5,,,,,,,,,187.0,,,,,0.0,,,,
205,"CONSTABLE, RUSSELL COUNTY DISTRICT 7 PRECINCT 5         ",NON,Write-In                              ,1,,,,,,,16.0,,,,,,,0.0,,,,
206,"CONSTABLE, RUSSELL COUNTY DISTRICT 7 PRECINCT 5         ",   ,Over Votes                            ,0,,,,,,,0.0,,,,,,,0.0,,,,
207,"CONSTABLE, RUSSELL COUNTY DISTRICT 7 PRECINCT 5         ",   ,Under Votes                           ,17,,,,,,,700.0,,,,,,,0.0,,,,
208,"CONSTABLE, RUSSELL COUNTY DISTRICT 7 PRECINCT 6         ",NON,Write-In                              ,5,34.0,,,,,,,,,,,,,0.0,,,,
209,"CONSTABLE, RUSSELL COUNTY DISTRICT 7 PRECINCT 6         ",   ,Over Votes                            ,0,0.0,,,,,,,,,,,,,0.0,,,,
210,"CONSTABLE, RUSSELL COUNTY DISTRICT 7 PRECINCT 6         ",   ,Under Votes                           ,41,857.0,,,,,,,,,,,,,0.0,,,,
