,Contest Title,Party,Candidate,ABSENTEE,ANDALUSIA KIWANIS FAIR BD,BABBIE  FIRE,BEULAH VOTING HOUSE,BLUE SPRINGS HORN HILL,BUCK CREEK FIRE,CAROLINA CITY HALL,FLORALA OLD NATL GUARD,GANTT CITY HALL,HARMONY,HEATH CITY HALL,HOPEWELL,LIBERTYVILLE CITY HALL,LOANGO FIRE DEPARTMENT,LOCKHART CITY HALL,MARVIN ODOMS PLACE,OPP SENIOR ACTIVITY CTR,PLEASANT HOME/CATOE'S,PROVSIONAL,RED LEVEL FIRE DEPARTMENT,RED OAK,RIVER FALLS CITY HALL,ROSE HILL COMMUNITY CTR,SANFORD CITY HALL,STRAUGHN (AG BUILDING),UNION GROVE FIRE,WING FIRE DEPARTMENT
126,"MEMBER, COVINGTON COUNTY COMMISSION, DISTRICT NO. 3     ",   ,Under Votes                           ,139,1275,109,56,70,99,94,222,152,57,90,43,53,75,98,33,858,31,0,87,64,140,79,90,121,69,35
127,"MEMBER, COVINGTON COUNTY COMMISSION, DISTRICT NO. 4     ",REP,Kyle Adams                            ,596,2599,361,224,281,278,382,596,449,283,339,191,197,194,284,101,1985,97,45,326,173,229,263,402,474,232,159
128,"MEMBER, COVINGTON COUNTY COMMISSION, DISTRICT NO. 4     ",NON,Write-In                              ,0,46,1,0,2,1,0,8,7,1,1,0,1,4,3,1,16,1,0,2,0,3,1,1,3,0,3
129,"MEMBER, COVINGTON COUNTY COMMISSION, DISTRICT NO. 4     ",   ,Over Votes                            ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,"MEMBER, COVINGTON COUNTY COMMISSION, DISTRICT NO. 4     ",   ,Under Votes                           ,135,1265,107,59,69,84,94,230,143,56,91,45,54,61,101,30,854,34,0,78,72,129,81,84,116,72,33
131,"MEMBER, COVINGTON COUNTY BOARD OF EDUCATION, PLACE NO. 3",REP,James L Barton                        ,580,2505,346,211,267,263,361,564,427,257,317,184,191,177,271,92,1879,96,41,306,165,208,246,373,460,228,153
132,"MEMBER, COVINGTON COUNTY BOARD OF EDUCATION, PLACE NO. 3",NON,Write-In                              ,0,41,5,0,0,2,0,6,1,2,1,0,1,5,4,1,15,0,0,1,3,1,3,2,2,1,2
133,"MEMBER, COVINGTON COUNTY BOARD OF EDUCATION, PLACE NO. 3",   ,Over Votes                            ,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0
134,"MEMBER, COVINGTON COUNTY BOARD OF EDUCATION, PLACE NO. 3",   ,Under Votes                           ,152,1361,118,71,85,98,115,263,171,81,113,52,60,77,113,39,955,36,0,99,77,152,96,111,130,75,40
135,"MEMBER, COVINGTON COUNTY BOARD OF EDUCATION, PLACE NO. 4",REP,Jeff Bailey                           ,579,2527,353,215,273,266,369,567,426,261,318,184,191,180,273,91,1899,100,41,309,171,209,262,377,451,235,151
136,"MEMBER, COVINGTON COUNTY BOARD OF EDUCATION, PLACE NO. 4",NON,Write-In                              ,1,39,5,0,2,3,1,7,2,0,1,0,1,4,4,1,13,0,0,1,1,2,2,2,2,1,2
137,"MEMBER, COVINGTON COUNTY BOARD OF EDUCATION, PLACE NO. 4",   ,Over Votes                            ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,"MEMBER, COVINGTON COUNTY BOARD OF EDUCATION, PLACE NO. 4",   ,Under Votes                           ,152,1344,111,68,77,94,106,260,171,79,112,51,60,75,111,40,943,32,0,96,73,150,81,108,140,68,42
