,Contest Title,Party,Candidate,ABSENTEE,ANTIOCH BAPTIST CHURCH,B_ N_ MABRA CENTER,BEMISTON RECREATION CTR,BERNEYS STATION VFD,BETHEL BAPTIST CHURCH,BON AIR CITY HALL,BRECON REC_ CENTER,COUNTY LINE VFD,EASTABOGA COMM_ CENTER,FAYETTEVILLE VFD,IRONATON VFD,J_ CRAIG SMITH COMM_ CTR,KINGSTON BAPTIST CHURCH,LAY LAKE VOL_ FIRE DEPT,LINCOLN OLD HIGH SCH GYM,MUNFORD OLD HIGH SCH GYM,OAK GROVE CITY HALL,PROVISIONAL,R_ S_ LIMBAUGH COMM_ CTR,RENFROE VFD,SPRING STREET COMM_ CTR,ST_ ANDREWS METHODIST CH,STEMLEY VFD,SYCAMORE NUTRITION CTR,TALLADEGA CO_ CENTRAL HS,WALDO CITY HALL,WINTERBORO VFD
82,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,2.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,515,981.0,429.0,159.0,106.0,321.0,145.0,483.0,203.0,311.0,319.0,282.0,2135.0,153.0,281.0,1017.0,652.0,480.0,0,961.0,418.0,838.0,303.0,532.0,171.0,107.0,180.0,490.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,369,1360.0,1564.0,133.0,176.0,231.0,191.0,669.0,134.0,302.0,231.0,303.0,2370.0,147.0,180.0,1194.0,668.0,498.0,15,1079.0,415.0,961.0,262.0,581.0,190.0,207.0,136.0,543.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,172,580.0,237.0,59.0,59.0,83.0,95.0,241.0,87.0,153.0,175.0,142.0,1120.0,49.0,108.0,583.0,285.0,274.0,13,576.0,156.0,415.0,166.0,238.0,95.0,29.0,77.0,246.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,488,630.0,446.0,152.0,103.0,308.0,146.0,459.0,203.0,236.0,325.0,244.0,2128.0,137.0,282.0,875.0,520.0,474.0,0,971.0,369.0,763.0,306.0,483.0,152.0,101.0,162.0,486.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,365,1104.0,1605.0,139.0,180.0,226.0,205.0,653.0,141.0,259.0,254.0,252.0,2701.0,147.0,217.0,1097.0,553.0,557.0,14,1170.0,365.0,934.0,287.0,504.0,184.0,205.0,118.0,567.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,288,732.0,284.0,98.0,85.0,107.0,112.0,328.0,129.0,193.0,244.0,235.0,1452.0,58.0,163.0,848.0,450.0,370.0,14,767.0,287.0,592.0,238.0,422.0,139.0,45.0,116.0,359.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,0,1.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,376,734.0,360.0,106.0,72.0,289.0,114.0,388.0,154.0,238.0,233.0,202.0,1465.0,128.0,189.0,708.0,470.0,320.0,0,690.0,289.0,612.0,209.0,376.0,114.0,87.0,141.0,349.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,228,812.0,1508.0,91.0,154.0,180.0,157.0,512.0,90.0,160.0,178.0,164.0,1918.0,112.0,157.0,717.0,357.0,393.0,8,854.0,274.0,647.0,192.0,381.0,142.0,176.0,86.0,459.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,299,799.0,322.0,100.0,80.0,119.0,137.0,391.0,137.0,225.0,232.0,259.0,1685.0,78.0,149.0,963.0,500.0,396.0,19,865.0,269.0,702.0,261.0,408.0,137.0,62.0,116.0,347.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,502,959.0,418.0,153.0,104.0,323.0,137.0,467.0,196.0,306.0,321.0,266.0,2015.0,143.0,264.0,973.0,616.0,457.0,0,908.0,398.0,789.0,280.0,512.0,158.0,99.0,173.0,469.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,364,1162.0,1605.0,130.0,201.0,238.0,209.0,669.0,156.0,279.0,234.0,264.0,2555.0,140.0,229.0,1013.0,542.0,524.0,17,1073.0,371.0,884.0,308.0,528.0,193.0,205.0,125.0,575.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,321,763.0,283.0,115.0,72.0,104.0,108.0,341.0,122.0,186.0,297.0,234.0,1774.0,67.0,178.0,940.0,492.0,435.0,11,908.0,306.0,709.0,237.0,438.0,143.0,45.0,115.0,371.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,1,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,3.0,0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,343,645.0,362.0,99.0,65.0,280.0,115.0,361.0,145.0,226.0,200.0,190.0,1287.0,126.0,163.0,699.0,439.0,286.0,0,647.0,264.0,545.0,189.0,336.0,100.0,87.0,135.0,329.0
100,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,386,1264.0,1673.0,169.0,211.0,252.0,236.0,770.0,190.0,329.0,338.0,350.0,3051.0,162.0,250.0,1339.0,667.0,643.0,15,1307.0,445.0,1140.0,345.0,639.0,234.0,227.0,152.0,680.0
101,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,253,629.0,245.0,82.0,62.0,100.0,89.0,252.0,91.0,150.0,189.0,182.0,1259.0,53.0,144.0,669.0,387.0,315.0,13,707.0,232.0,486.0,202.0,319.0,111.0,35.0,82.0,271.0
102,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
103,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,390,677.0,335.0,92.0,65.0,270.0,108.0,348.0,143.0,212.0,204.0,157.0,1309.0,118.0,176.0,645.0,419.0,288.0,0,614.0,264.0,511.0,187.0,343.0,92.0,75.0,141.0,324.0
104,"DISTRICT COURT JUDGE, TALLADEGA COUNTY, PLACE NO. 1     ",REP,Jeb Fannin                            ,715,1927.0,426.0,289.0,137.0,196.0,206.0,723.0,380.0,486.0,567.0,548.0,3684.0,121.0,514.0,1864.0,1044.0,887.0,12,1758.0,712.0,1685.0,591.0,930.0,294.0,123.0,306.0,755.0
105,"DISTRICT COURT JUDGE, TALLADEGA COUNTY, PLACE NO. 1     ",NON,Write-In                              ,14,41.0,21.0,5.0,8.0,10.0,10.0,33.0,1.0,5.0,7.0,6.0,144.0,5.0,4.0,45.0,25.0,31.0,0,55.0,16.0,27.0,10.0,11.0,7.0,2.0,1.0,31.0
106,"DISTRICT COURT JUDGE, TALLADEGA COUNTY, PLACE NO. 1     ",   ,Over Votes                            ,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,"DISTRICT COURT JUDGE, TALLADEGA COUNTY, PLACE NO. 1     ",   ,Under Votes                           ,307,602.0,1806.0,50.0,193.0,416.0,208.0,615.0,43.0,200.0,157.0,135.0,1791.0,207.0,52.0,745.0,404.0,330.0,0,816.0,213.0,428.0,133.0,361.0,136.0,212.0,68.0,489.0
108,"MEMBER, TALLADEGA COUNTY COMMISSION, DISTRICT NO. 1     ",DEM,"Robert O. ""Punkin"" Ford               ",51,675.0,,,,,,,,280.0,,114.0,,,,754.0,480.0,,2,,,,,,,,,
109,"MEMBER, TALLADEGA COUNTY COMMISSION, DISTRICT NO. 1     ",REP,Jackie Swinford                       ,143,1801.0,,,,,,,,394.0,,306.0,,,,823.0,959.0,,2,,,,,,,,,
110,"MEMBER, TALLADEGA COUNTY COMMISSION, DISTRICT NO. 1     ",NON,Write-In                              ,0,7.0,,,,,,,,0.0,,1.0,,,,3.0,2.0,,0,,,,,,,,,
111,"MEMBER, TALLADEGA COUNTY COMMISSION, DISTRICT NO. 1     ",   ,Over Votes                            ,0,7.0,,,,,,,,0.0,,0.0,,,,6.0,0.0,,0,,,,,,,,,
112,"MEMBER, TALLADEGA COUNTY COMMISSION, DISTRICT NO. 1     ",   ,Under Votes                           ,5,81.0,,,,,,,,17.0,,10.0,,,,48.0,32.0,,0,,,,,,,,,
113,"MEMBER, TALLADEGA COUNTY COMMISSION, DISTRICT NO. 3     ",DEM,Kelvin R. Cunningham                  ,104,,1980.0,,244.0,490.0,,249.0,,,,,,252.0,,,,,0,105.0,11.0,,,82.0,,248.0,,648.0
114,"MEMBER, TALLADEGA COUNTY COMMISSION, DISTRICT NO. 3     ",REP,Alan Holley                           ,45,,249.0,,84.0,122.0,,51.0,,,,,,77.0,,,,,1,26.0,36.0,,,113.0,,88.0,,603.0
115,"MEMBER, TALLADEGA COUNTY COMMISSION, DISTRICT NO. 3     ",NON,Write-In                              ,0,,2.0,,3.0,0.0,,1.0,,,,,,1.0,,,,,0,1.0,0.0,,,0.0,,0.0,,2.0
116,"MEMBER, TALLADEGA COUNTY COMMISSION, DISTRICT NO. 3     ",   ,Over Votes                            ,0,,3.0,,1.0,2.0,,1.0,,,,,,0.0,,,,,0,0.0,0.0,,,0.0,,0.0,,2.0
117,"MEMBER, TALLADEGA COUNTY COMMISSION, DISTRICT NO. 3     ",   ,Under Votes                           ,2,,19.0,,6.0,8.0,,2.0,,,,,,3.0,,,,,0,1.0,4.0,,,4.0,,1.0,,20.0
118,"MEMBER, TALLADEGA COUNTY COMMISSION, DISTRICT NO. 5     ",REP,Greg Atkinson                         ,144,,,,,,,,,,,,3701.0,,,,,90.0,0,,,,,,292.0,,,
119,"MEMBER, TALLADEGA COUNTY COMMISSION, DISTRICT NO. 5     ",NON,Write-In                              ,5,,,,,,,,,,,,127.0,,,,,4.0,0,,,,,,9.0,,,
120,"MEMBER, TALLADEGA COUNTY COMMISSION, DISTRICT NO. 5     ",   ,Over Votes                            ,0,,,,,,,,,,,,2.0,,,,,0.0,0,,,,,,0.0,,,
121,"MEMBER, TALLADEGA COUNTY COMMISSION, DISTRICT NO. 5     ",   ,Under Votes                           ,65,,,,,,,,,,,,1693.0,,,,,26.0,0,,,,,,136.0,,,
122,"MEMBER, TALLADEGA COUNTY BOARD OF EDUCATION,            ",REP,Mike J. Turner                        ,128,,,,,,,,,165.0,,,,,,1773.0,,,2,,444.0,,,727.0,,,,
123,"MEMBER, TALLADEGA COUNTY BOARD OF EDUCATION,            ",NON,Write-In                              ,1,,,,,,,,,2.0,,,,,,42.0,,,0,,10.0,,,15.0,,,,
124,"MEMBER, TALLADEGA COUNTY BOARD OF EDUCATION,            ",   ,Over Votes                            ,0,,,,,,,,,0.0,,,,,,0.0,,,0,,0.0,,,0.0,,,,
125,"MEMBER, TALLADEGA COUNTY BOARD OF EDUCATION,            ",   ,Under Votes                           ,46,,,,,,,,,74.0,,,,,,750.0,,,0,,117.0,,,265.0,,,,
126,"MEMBER, TALLADEGA COUNTY BOARD OF EDUCATION,            ",REP,Kathy Landers                         ,70,,,,,,60.0,,,,,,188.0,,99.0,,,514.0,2,1274.0,,,509.0,,,,,32.0
127,"MEMBER, TALLADEGA COUNTY BOARD OF EDUCATION,            ",NON,Write-In                              ,1,,,,,,0.0,,,,,,12.0,,0.0,,,5.0,0,32.0,,,6.0,,,,,0.0
128,"MEMBER, TALLADEGA COUNTY BOARD OF EDUCATION,            ",   ,Over Votes                            ,0,,,,,,0.0,,,,,,0.0,,0.0,,,0.0,0,1.0,,,0.0,,,,,0.0
129,"MEMBER, TALLADEGA COUNTY BOARD OF EDUCATION,            ",   ,Under Votes                           ,18,,,,,,11.0,,,,,,140.0,,13.0,,,102.0,0,418.0,,,117.0,,,,,2.0
130,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 2                  ",NON,Write-In                              ,2,,,,,,,,,28.0,,,,,,310.0,,,0,,,,,,,,,
131,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 2                  ",   ,Over Votes                            ,0,,,,,,,,,0.0,,,,,,0.0,,,0,,,,,,,,,
132,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 2                  ",   ,Under Votes                           ,113,,,,,,,,,663.0,,,,,,2345.0,,,0,,,,,,,,,
133,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 3                  ",NON,Write-In                              ,3,123.0,,,,,,,,,,,,,,,,,0,,,,,,,,,
134,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 3                  ",   ,Over Votes                            ,0,0.0,,,,,,,,,,,,,,,,,0,,,,,,,,,
135,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 3                  ",   ,Under Votes                           ,62,2448.0,,,,,,,,,,,,,,,,,0,,,,,,,,,
136,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 4                  ",NON,Write-In                              ,0,,,,,,,,,,,35.0,,,,,,,0,,,,,,,,,
137,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 4                  ",   ,Over Votes                            ,0,,,,,,,,,,,0.0,,,,,,,0,,,,,,,,,
138,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 4                  ",   ,Under Votes                           ,24,,,,,,,,,,,654.0,,,,,,,0,,,,,,,,,
139,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 5                  ",DEM,Vann Caldwell                         ,84,,,173.0,,,,912.0,,,,,,,,,,,1,,,1114.0,,,,,,
140,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 5                  ",NON,Write-In                              ,1,,,14.0,,,,28.0,,,,,,,,,,,0,,,44.0,,,,,,
141,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 5                  ",   ,Over Votes                            ,0,,,0.0,,,,1.0,,,,,,,,,,,0,,,0.0,,,,,,
142,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 5                  ",   ,Under Votes                           ,73,,,157.0,,,,430.0,,,,,,,,,,,0,,,982.0,,,,,,
143,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 7                  ",NON,Write-In                              ,7,,43.0,,,,,,,,,,,14.0,,,,,0,,,,,,,8.0,,
144,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 7                  ",   ,Over Votes                            ,0,,0.0,,,,,,,,,,,0.0,,,,,0,,,,,,,0.0,,
145,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 7                  ",   ,Under Votes                           ,72,,2210.0,,,,,,,,,,,319.0,,,,,0,,,,,,,329.0,,
146,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 8                  ",NON,Write-In                              ,0,,,,,24.0,,,,,,,,,,,,,0,,,,,,,,,
147,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 8                  ",   ,Over Votes                            ,0,,,,,0.0,,,,,,,,,,,,,0,,,,,,,,,
148,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 8                  ",   ,Under Votes                           ,14,,,,,598.0,,,,,,,,,,,,,0,,,,,,,,,
149,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 9                  ",REP,Doyle Johnson                         ,21,,,,122.0,,,,,,,,,,,,,,1,,,,,,,,,743.0
150,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 9                  ",NON,Write-In                              ,0,,,,13.0,,,,,,,,,,,,,,0,,,,,,,,,28.0
151,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 9                  ",   ,Over Votes                            ,0,,,,0.0,,,,,,,,,,,,,,0,,,,,,,,,0.0
152,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 9                  ",   ,Under Votes                           ,11,,,,203.0,,,,,,,,,,,,,,0,,,,,,,,,504.0
153,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 10                 ",REP,Debbie Garner                         ,24,,,,,,,,,,,,,,504.0,,,,3,,,,587.0,,,,,
154,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 10                 ",NON,Write-In                              ,0,,,,,,,,,,,,,,7.0,,,,0,,,,7.0,,,,,
155,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 10                 ",   ,Over Votes                            ,0,,,,,,,,,,,,,,0.0,,,,0,,,,0.0,,,,,
156,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 10                 ",   ,Under Votes                           ,5,,,,,,,,,,,,,,59.0,,,,0,,,,140.0,,,,,
157,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 11                 ",REP,Jaddy L. McDaniel                     ,123,,,,,,,,,,,,3666.0,,,,,,0,,,,,,,,,
158,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 11                 ",NON,Write-In                              ,5,,,,,,,,,,,,145.0,,,,,,0,,,,,,,,,
159,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 11                 ",   ,Over Votes                            ,0,,,,,,,,,,,,0.0,,,,,,0,,,,,,,,,
160,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 11                 ",   ,Under Votes                           ,66,,,,,,,,,,,,1809.0,,,,,,0,,,,,,,,,
161,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 12                 ",NON,Write-In                              ,7,,,,,,29.0,,,,,,,,,,,119.0,0,199.0,,,,,,,,
162,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 12                 ",   ,Over Votes                            ,0,,,,,,0.0,,,,,,,,,,,0.0,0,0.0,,,,,,,,
163,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 12                 ",   ,Under Votes                           ,112,,,,,,386.0,,,,,,,,,,,1129.0,0,2430.0,,,,,,,,
164,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 13                 ",NON,Write-In                              ,1,,,,,,,,,,,,,,,,,,0,,,,,,43.0,,,
165,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 13                 ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,,0,,,,,,0.0,,,
166,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 13                 ",   ,Under Votes                           ,15,,,,,,,,,,,,,,,,,,0,,,,,,394.0,,,
167,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 14                 ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,,0,,,,,,,,8.0,
168,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 14                 ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,,0,,,,,,,,0.0,
169,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 14                 ",   ,Under Votes                           ,8,,,,,,,,,,,,,,,,,,0,,,,,,,,367.0,
170,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 15                 ",NON,Write-In                              ,1,,,,,,,,13.0,,30.0,,,,,,,,0,,,,,,,,,
171,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 15                 ",   ,Over Votes                            ,0,,,,,,,,0.0,,0.0,,,,,,,,0,,,,,,,,,
172,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 15                 ",   ,Under Votes                           ,21,,,,,,,,411.0,,701.0,,,,,,,,0,,,,,,,,,
173,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 17                 ",NON,Write-In                              ,5,,,,,,,,,,,,,,,,,,0,,51.0,,,76.0,,,,
174,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 17                 ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,
175,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 17                 ",   ,Under Votes                           ,110,,,,,,,,,,,,,,,,,,0,,890.0,,,1226.0,,,,
176,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 18                 ",NON,Write-In                              ,1,,,,,,,,,,,,,,,,69.0,,0,,,,,,,,,
177,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 18                 ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,
178,"CONSTABLE, TALLADEGA COUNTY BEAT NO. 18                 ",   ,Under Votes                           ,41,,,,,,,,,,,,,,,,1404.0,,0,,,,,,,,,
