,Contest Title,Party,Candidate,A/C HOUS AUTH Y&A SERVICE,ABSENTEE 1-40,ABSENTEE 41-56,ALEX CITY FIRE LAKE HILL,ALEX CITY NATIONAL GUARD,COOPER COMMUNITY CENTER,DADEVILLE REC_ CENTER,DAVISTON COMMUNITY CENTER,DUNCAN MEMORIAL COMM_CTR_,EAGLE CREEK VOTING HOUSE,FELLOWSHIP BAPTIST COMM_,HACKNEYVILLE COMMUNITY CT,HILLABEE BAPTIST CHURCH,JACKSONS GAP V_F_D_,MANOY VOTING HOUSE,MARY'S CROSS ROADS V HOUS,MONCRIEF,MT_ LOVELY BAPTIST CHURCH,NEW PACES PT_ V_F_D_,NEW SITE TOWN HALL,OURTOWN V_F_D_,PENTECOST UNITED METH_ CH,PROVISIONAL 1-40,PROVISIONAL 41-56,REELTOWN FIRE DEPT_,ROCKY CREEK BAPTIST CH,SARDIS COMMUNITY BUILDING,TALLASSEE CITY HALL,UNION COMMUNITY BUILDING,WALL STREET COMM_ CENTER
76,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,349.0,339.0,35.0,488.0,950.0,564.0,651.0,127.0,330.0,123.0,66.0,342.0,350.0,616.0,459.0,98.0,116.0,220.0,667.0,299.0,380.0,61.0,42.0,0.0,551.0,194.0,132.0,345.0,369.0,258.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,223.0,106.0,39.0,193.0,352.0,588.0,361.0,40.0,157.0,48.0,32.0,159.0,114.0,209.0,164.0,61.0,57.0,228.0,212.0,141.0,146.0,39.0,16.0,0.0,256.0,92.0,79.0,186.0,131.0,172.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,195.0,282.0,31.0,247.0,469.0,380.0,460.0,87.0,176.0,88.0,33.0,200.0,168.0,342.0,210.0,80.0,69.0,347.0,215.0,186.0,205.0,30.0,0.0,0.0,251.0,127.0,73.0,139.0,151.0,231.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,202.0,179.0,20.0,229.0,523.0,340.0,402.0,59.0,173.0,66.0,34.0,178.0,153.0,287.0,244.0,53.0,52.0,153.0,342.0,132.0,198.0,35.0,29.0,0.0,269.0,98.0,67.0,175.0,161.0,161.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,266.0,127.0,37.0,237.0,430.0,634.0,448.0,49.0,175.0,64.0,37.0,180.0,168.0,292.0,209.0,61.0,74.0,250.0,238.0,151.0,155.0,48.0,16.0,0.0,346.0,107.0,80.0,236.0,162.0,204.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,299.0,423.0,48.0,462.0,819.0,558.0,623.0,146.0,315.0,129.0,60.0,343.0,311.0,588.0,382.0,125.0,116.0,392.0,515.0,343.0,378.0,47.0,0.0,0.0,443.0,208.0,137.0,259.0,327.0,296.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,342.0,203.0,24.0,282.0,631.0,762.0,506.0,65.0,225.0,77.0,39.0,216.0,186.0,359.0,296.0,67.0,82.0,181.0,380.0,162.0,237.0,38.0,32.0,0.0,317.0,116.0,69.0,210.0,181.0,226.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,120.0,97.0,33.0,176.0,328.0,200.0,345.0,42.0,119.0,54.0,35.0,150.0,130.0,206.0,158.0,48.0,49.0,209.0,194.0,134.0,112.0,44.0,14.0,0.0,284.0,86.0,77.0,198.0,149.0,134.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,305.0,429.0,49.0,470.0,813.0,570.0,621.0,147.0,319.0,128.0,57.0,335.0,316.0,602.0,380.0,124.0,111.0,405.0,521.0,330.0,382.0,48.0,0.0,0.0,457.0,211.0,138.0,262.0,321.0,301.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,395.0,288.0,34.0,383.0,768.0,878.0,538.0,67.0,273.0,77.0,42.0,241.0,253.0,425.0,340.0,73.0,91.0,220.0,463.0,215.0,331.0,37.0,39.0,0.0,360.0,145.0,94.0,229.0,234.0,256.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,153.0,115.0,17.0,234.0,425.0,227.0,363.0,73.0,166.0,72.0,47.0,215.0,166.0,313.0,226.0,57.0,71.0,96.0,309.0,171.0,155.0,51.0,16.0,0.0,362.0,121.0,74.0,261.0,209.0,150.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,219.0,325.0,55.0,311.0,579.0,427.0,571.0,114.0,224.0,110.0,42.0,245.0,213.0,429.0,268.0,109.0,80.0,479.0,322.0,240.0,245.0,42.0,0.0,0.0,336.0,147.0,116.0,180.0,207.0,255.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,311.0,172.0,22.0,236.0,546.0,702.0,437.0,53.0,194.0,50.0,26.0,165.0,153.0,254.0,261.0,56.0,71.0,187.0,312.0,122.0,196.0,28.0,27.0,0.0,252.0,84.0,64.0,157.0,148.0,199.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,161.0,153.0,31.0,243.0,439.0,279.0,363.0,52.0,152.0,73.0,46.0,205.0,181.0,346.0,210.0,56.0,56.0,104.0,288.0,169.0,166.0,49.0,22.0,0.0,358.0,125.0,73.0,258.0,195.0,165.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,295.0,404.0,63.0,449.0,787.0,550.0,671.0,149.0,317.0,136.0,59.0,331.0,298.0,567.0,363.0,127.0,115.0,504.0,495.0,335.0,369.0,53.0,0.0,0.0,448.0,203.0,147.0,255.0,307.0,297.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,384.0,217.0,51.0,313.0,725.0,836.0,566.0,86.0,255.0,96.0,43.0,247.0,212.0,403.0,313.0,79.0,94.0,336.0,429.0,220.0,276.0,53.0,34.0,0.0,379.0,142.0,111.0,244.0,228.0,252.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,168.0,204.0,23.0,321.0,501.0,285.0,397.0,65.0,212.0,65.0,50.0,222.0,216.0,373.0,279.0,64.0,74.0,103.0,392.0,191.0,212.0,41.0,21.0,0.0,389.0,134.0,90.0,257.0,243.0,161.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,215.0,308.0,32.0,294.0,543.0,411.0,510.0,103.0,196.0,98.0,38.0,231.0,204.0,391.0,243.0,96.0,74.0,356.0,274.0,215.0,241.0,36.0,0.0,0.0,290.0,136.0,83.0,169.0,180.0,248.0
100,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,450.0,235.0,48.0,442.0,891.0,893.0,708.0,113.0,330.0,100.0,53.0,303.0,300.0,482.0,404.0,100.0,123.0,357.0,535.0,267.0,357.0,43.0,39.0,0.0,456.0,173.0,127.0,279.0,287.0,283.0
101,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,121.0,140.0,22.0,199.0,365.0,228.0,284.0,48.0,136.0,61.0,37.0,183.0,130.0,307.0,193.0,49.0,48.0,86.0,263.0,152.0,154.0,47.0,13.0,0.0,296.0,110.0,67.0,201.0,158.0,139.0
102,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
103,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,196.0,354.0,36.0,287.0,515.0,411.0,481.0,93.0,197.0,98.0,41.0,215.0,202.0,378.0,238.0,90.0,71.0,352.0,297.0,207.0,220.0,39.0,0.0,0.0,305.0,130.0,90.0,189.0,206.0,239.0
104,"SUPERINTENDENT, TALLAPOOSA COUNTY BOARD OF EDUCATION    ",DEM,Joseph C. Windle                      ,,148.0,52.0,,,15.0,920.0,113.0,,98.0,57.0,256.0,86.0,372.0,305.0,151.0,61.0,724.0,447.0,267.0,,65.0,18.0,0.0,546.0,176.0,161.0,,235.0,480.0
105,"SUPERINTENDENT, TALLAPOOSA COUNTY BOARD OF EDUCATION    ",NON,Write-In                              ,,5.0,2.0,,,0.0,49.0,11.0,,4.0,2.0,13.0,2.0,16.0,19.0,4.0,4.0,6.0,24.0,17.0,,3.0,0.0,0.0,27.0,6.0,6.0,,10.0,9.0
106,"SUPERINTENDENT, TALLAPOOSA COUNTY BOARD OF EDUCATION    ",   ,Over Votes                            ,,0.0,0.0,,,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
107,"SUPERINTENDENT, TALLAPOOSA COUNTY BOARD OF EDUCATION    ",   ,Under Votes                           ,,227.0,31.0,,,5.0,502.0,130.0,,157.0,72.0,432.0,103.0,377.0,511.0,84.0,59.0,65.0,624.0,342.0,,62.0,0.0,0.0,485.0,231.0,117.0,,406.0,172.0
108,"MEMBER, TALLAPOOSA COUNTY BOARD OF EDUCATION,           ",REP,Michael Carter                        ,,114.0,2.0,,,,470.0,,,,0.0,,,33.0,336.0,7.0,,2.0,377.0,,,,5.0,0.0,,,54.0,,266.0,
109,"MEMBER, TALLAPOOSA COUNTY BOARD OF EDUCATION,           ",NON,Write-In                              ,,1.0,0.0,,,,15.0,,,,0.0,,,1.0,5.0,1.0,,0.0,4.0,,,,0.0,0.0,,,0.0,,0.0,
110,"MEMBER, TALLAPOOSA COUNTY BOARD OF EDUCATION,           ",   ,Over Votes                            ,,0.0,0.0,,,,0.0,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,,0.0,
111,"MEMBER, TALLAPOOSA COUNTY BOARD OF EDUCATION,           ",   ,Under Votes                           ,,25.0,0.0,,,,252.0,,,,0.0,,,20.0,67.0,12.0,,1.0,66.0,,,,0.0,0.0,,,15.0,,43.0,
112,"MEMBER, TALLAPOOSA COUNTY BOARD OF EDUCATION,           ",REP,Carla Talton                          ,,34.0,29.0,,,,94.0,42.0,,203.0,78.0,,,507.0,303.0,,,0.0,,51.0,,,9.0,0.0,,75.0,,,,
113,"MEMBER, TALLAPOOSA COUNTY BOARD OF EDUCATION,           ",IND,Karen B. White                        ,,16.0,8.0,,,,31.0,16.0,,27.0,32.0,,,109.0,97.0,,,7.0,,11.0,,,2.0,0.0,,19.0,,,,
114,"MEMBER, TALLAPOOSA COUNTY BOARD OF EDUCATION,           ",NON,Write-In                              ,,0.0,0.0,,,,0.0,0.0,,0.0,1.0,,,3.0,1.0,,,1.0,,0.0,,,0.0,0.0,,0.0,,,,
115,"MEMBER, TALLAPOOSA COUNTY BOARD OF EDUCATION,           ",   ,Over Votes                            ,,0.0,0.0,,,,1.0,0.0,,1.0,0.0,,,1.0,0.0,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,
116,"MEMBER, TALLAPOOSA COUNTY BOARD OF EDUCATION,           ",   ,Under Votes                           ,,8.0,4.0,,,,12.0,23.0,,28.0,20.0,,,83.0,23.0,,,15.0,,6.0,,,0.0,0.0,,5.0,,,,
117,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 1                 ",NON,Write-In                              ,32.0,2.0,,,,63.0,,,57.0,,,,,,,,,,,,,,0.0,,,,,,,
118,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 1                 ",   ,Over Votes                            ,0.0,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,
119,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 1                 ",   ,Under Votes                           ,735.0,145.0,,,,1469.0,,,606.0,,,,,,,,,,,,,,0.0,,,,,,,
120,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 2                 ",REP,Chris Fenn                            ,,119.0,,703.0,1261.0,,,,,,,,,,,,,,,,561.0,,11.0,,,,,,,
121,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 2                 ",NON,Write-In                              ,,1.0,,10.0,26.0,,,,,,,,,,,,,,,,7.0,,0.0,,,,,,,
122,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 2                 ",   ,Over Votes                            ,,1.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,
123,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 2                 ",   ,Under Votes                           ,,57.0,,215.0,486.0,,,,,,,,,,,,,,,,163.0,,0.0,,,,,,,
124,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 3-1               ",NON,Write-In                              ,,0.0,,,,,,,,,,,25.0,,,,,,,,,,0.0,,,,,,,
125,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 3-1               ",   ,Over Votes                            ,,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,
126,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 3-1               ",   ,Under Votes                           ,,18.0,,,,,,,,,,,607.0,,,,,,,,,,0.0,,,,,,,
127,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 3-2               ",NON,Write-In                              ,,0.0,,,,,,,,,,,,,,,12.0,,,,,,0.0,,,,,,,
128,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 3-2               ",   ,Over Votes                            ,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,
129,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 3-2               ",   ,Under Votes                           ,,2.0,,,,,,,,,,,,,,,230.0,,,,,,0.0,,,,,,,
130,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 3-3               ",REP,John Hardy                            ,,15.0,,,,,,,,,,573.0,,,,,,,,,,,2.0,,,,,,,
131,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 3-3               ",NON,Write-In                              ,,0.0,,,,,,,,,,8.0,,,,,,,,,,,0.0,,,,,,,
132,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 3-3               ",   ,Over Votes                            ,,0.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,
133,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 3-3               ",   ,Under Votes                           ,,0.0,,,,,,,,,,120.0,,,,,,,,,,,0.0,,,,,,,
134,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 4                 ",REP,Daniel Trapp                          ,,11.0,,,,,,,,,,,,,,,,,,,,,2.0,,,311.0,,,,
135,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 4                 ",NON,Write-In                              ,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,13.0,,,,
136,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 4                 ",   ,Over Votes                            ,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,
137,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 4                 ",   ,Under Votes                           ,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,,,89.0,,,,
138,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 5                 ",NON,Write-In                              ,,0.0,,,,,,,,,,,,,,,,,,43.0,,,0.0,,,,,,,
139,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 5                 ",   ,Over Votes                            ,,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,
140,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 5                 ",   ,Under Votes                           ,,14.0,,,,,,,,,,,,,,,,,,583.0,,,0.0,,,,,,,
141,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 6                 ",REP,Faye Ingram                           ,,5.0,,,,,,,,164.0,,,,,,,,,,,,,3.0,,,,,,,
142,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 6                 ",NON,Write-In                              ,,0.0,,,,,,,,39.0,,,,,,,,,,,,,0.0,,,,,,,
143,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 6                 ",   ,Over Votes                            ,,0.0,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,
144,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 6                 ",   ,Under Votes                           ,,4.0,,,,,,,,55.0,,,,,,,,,,,,,0.0,,,,,,,
145,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 7                 ",NON,Write-In                              ,,0.0,,,,,81.0,,,,,,,,,,,,,,,,0.0,,,,,,,
146,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 7                 ",   ,Over Votes                            ,,0.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,
147,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 7                 ",   ,Under Votes                           ,,33.0,,,,,1392.0,,,,,,,,,,,,,,,,0.0,,,,,,,
148,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 8                 ",REP,James Burkhalter                      ,,61.0,,,,,,,,,,,,,681.0,,,,,,,,1.0,,,,,,,
149,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 8                 ",NON,Write-In                              ,,2.0,,,,,,,,,,,,,5.0,,,,,,,,0.0,,,,,,,
150,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 8                 ",   ,Over Votes                            ,,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
151,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 8                 ",   ,Under Votes                           ,,14.0,,,,,,,,,,,,,149.0,,,,,,,,0.0,,,,,,,
152,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 9                 ",REP,Lynn D. Bogle                         ,,103.0,,,,,,,,,,,,,,,,,843.0,,,,3.0,,,,,,,
153,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 9                 ",NON,Write-In                              ,,1.0,,,,,,,,,,,,,,,,,15.0,,,,0.0,,,,,,,
154,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 9                 ",   ,Over Votes                            ,,0.0,,,,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,
155,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 9                 ",   ,Under Votes                           ,,19.0,,,,,,,,,,,,,,,,,236.0,,,,0.0,,,,,,,
156,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 10                ",NON,Write-In                              ,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,28.0,
157,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 10                ",   ,Over Votes                            ,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,
158,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 10                ",   ,Under Votes                           ,,52.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,623.0,
159,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 11                ",NON,Write-In                              ,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,13.0,,,
160,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 11                ",   ,Over Votes                            ,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,
161,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 11                ",   ,Under Votes                           ,,3.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,271.0,,,
162,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 12                ",IND,Richard K. Hammonds                   ,,10.0,,,,,,,,,,,,,,,,,,,,,0.0,,519.0,,,307.0,,191.0
163,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 12                ",NON,Write-In                              ,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,90.0,,,75.0,,73.0
164,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 12                ",   ,Over Votes                            ,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,0.0
165,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 12                ",   ,Under Votes                           ,,12.0,,,,,,,,,,,,,,,,,,,,,0.0,,449.0,,,288.0,,397.0
166,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 13                ",NON,Write-In                              ,,0.0,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,
167,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 13                ",   ,Over Votes                            ,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,
168,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 13                ",   ,Under Votes                           ,,7.0,,,,,,,,,,,,,,,,,,,,120.0,0.0,,,,,,,
169,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 14                ",NON,Write-In                              ,,1.0,0.0,,,,,,,,,,,,,11.0,,,,,,,0.0,0.0,,,,,,
170,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 14                ",   ,Over Votes                            ,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,
171,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 14                ",   ,Under Votes                           ,,13.0,2.0,,,,,,,,,,,,,228.0,,,,,,,0.0,0.0,,,,,,
172,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 15                ",NON,Write-In                              ,,,1.0,,,,,,,,,,,,,,,21.0,,,,,,0.0,,,,,,
173,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 15                ",   ,Over Votes                            ,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,
174,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 15                ",   ,Under Votes                           ,,,37.0,,,,,,,,,,,,,,,774.0,,,,,,0.0,,,,,,
175,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 16                ",NON,Write-In                              ,,,2.0,,,,,,,,18.0,,,,,,,,,,,,,0.0,,,,,,
176,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 16                ",   ,Over Votes                            ,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,
177,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 16                ",   ,Under Votes                           ,,,6.0,,,,,,,,113.0,,,,,,,,,,,,,0.0,,,,,,
178,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 17                ",REP,Jerry Whetstone                       ,,,5.0,,,,,171.0,,,,,,,,,,,,,,,,1.0,,,,,,
179,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 17                ",NON,Write-In                              ,,,0.0,,,,,10.0,,,,,,,,,,,,,,,,0.0,,,,,,
180,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 17                ",   ,Over Votes                            ,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,
181,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 17                ",   ,Under Votes                           ,,,2.0,,,,,73.0,,,,,,,,,,,,,,,,0.0,,,,,,
182,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 18                ",NON,Write-In                              ,,,1.0,,,,,,,,,,,57.0,,,,,,,,,,1.0,,,,,,
183,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 18                ",   ,Over Votes                            ,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,
184,"CONSTABLE, TALLAPOOSA COUNTY BEAT NO. 18                ",   ,Under Votes                           ,,,50.0,,,,,,,,,,,1110.0,,,,,,,,,,0.0,,,,,,
185,SUNDAY ALCOHOL SALES                                    ,NON,Yes                                   ,77.0,215.0,22.0,11.0,0.0,58.0,98.0,61.0,79.0,114.0,58.0,316.0,98.0,202.0,387.0,102.0,65.0,62.0,699.0,107.0,379.0,70.0,21.0,0.0,490.0,149.0,157.0,,360.0,364.0
186,SUNDAY ALCOHOL SALES                                    ,NON,No                                    ,43.0,85.0,16.0,5.0,0.0,21.0,82.0,54.0,57.0,89.0,48.0,268.0,63.0,131.0,193.0,60.0,47.0,26.0,243.0,75.0,173.0,35.0,7.0,0.0,402.0,120.0,72.0,,180.0,185.0
187,SUNDAY ALCOHOL SALES                                    ,   ,Over Votes                            ,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,1.0
188,SUNDAY ALCOHOL SALES                                    ,   ,Under Votes                           ,46.0,67.0,6.0,3.0,0.0,34.0,34.0,33.0,29.0,56.0,24.0,117.0,32.0,105.0,155.0,77.0,23.0,65.0,152.0,37.0,174.0,25.0,0.0,0.0,165.0,55.0,55.0,,110.0,111.0
189,TALLASSEE FIRE DISTRICT                                 ,NON,Yes                                   ,,9.0,,,,,,,,,,,,,,,,,,,,,3.0,,0.0,,,307.0,,284.0
190,TALLASSEE FIRE DISTRICT                                 ,NON,No                                    ,,3.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,284.0,,253.0
