,Contest Title,Party,Candidate,ABSENTEE,ARARAT,BARRYTOWN,BLADON SPRINGS,BOGUELOOSA,BRANCH,BUTLER,CHAPPELL HILL,CROMWELL,CROSSROADS,CULLOMBURG,GILBERTOWN,HALSELL,HURRICANE,INTERSECTION,ISNEY,LAVACA,LISMAN,LUSK,MELVIN,MT_ STERLING,PELHAM,PENNINGTON,PLEASANT VALLEY,PROVISIONAL,PUSHMATAHA,RIDERWOOD,ROCK SPRINGS,SILAS,SOUWILPA,TOOMEY,TOXEY,WOMACK HILL,YANTLEY
75,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,66,44.0,30.0,16.0,91.0,62.0,405,68.0,24.0,20.0,38.0,115.0,19.0,14.0,7.0,9.0,77.0,72.0,60.0,39.0,36.0,10.0,90.0,62.0,4,18.0,19.0,27.0,97.0,24.0,29.0,112.0,26.0,31.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,37,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,213,79.0,142.0,38.0,148.0,209.0,553,135.0,66.0,62.0,127.0,161.0,35.0,15.0,53.0,19.0,77.0,169.0,83.0,74.0,98.0,64.0,170.0,92.0,0,47.0,88.0,52.0,165.0,44.0,93.0,144.0,53.0,120.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,55,34.0,20.0,21.0,56.0,59.0,362,49.0,49.0,13.0,18.0,71.0,13.0,9.0,8.0,12.0,38.0,59.0,46.0,16.0,27.0,13.0,76.0,32.0,3,36.0,16.0,15.0,58.0,13.0,31.0,89.0,8.0,54.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,82,33.0,20.0,16.0,55.0,48.0,265,37.0,27.0,29.0,27.0,62.0,16.0,8.0,7.0,8.0,74.0,69.0,43.0,34.0,22.0,13.0,88.0,48.0,1,30.0,21.0,23.0,78.0,11.0,16.0,86.0,19.0,63.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,239,91.0,168.0,38.0,177.0,213.0,698,166.0,67.0,71.0,154.0,224.0,45.0,32.0,60.0,26.0,92.0,182.0,109.0,83.0,119.0,73.0,200.0,108.0,0,56.0,92.0,57.0,216.0,57.0,113.0,156.0,67.0,127.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,122,57.0,69.0,24.0,128.0,87.0,639,113.0,58.0,41.0,52.0,153.0,24.0,17.0,17.0,30.0,78.0,81.0,90.0,35.0,43.0,24.0,121.0,78.0,4,42.0,28.0,36.0,140.0,40.0,58.0,127.0,35.0,63.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,54,33.0,14.0,13.0,55.0,39.0,277,37.0,27.0,16.0,25.0,62.0,12.0,9.0,12.0,3.0,60.0,61.0,48.0,31.0,28.0,14.0,88.0,34.0,1,38.0,16.0,19.0,67.0,10.0,21.0,84.0,14.0,60.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,201,68.0,125.0,38.0,105.0,194.0,408,102.0,58.0,56.0,122.0,142.0,38.0,23.0,46.0,13.0,67.0,168.0,60.0,67.0,97.0,61.0,155.0,76.0,0,43.0,85.0,40.0,145.0,31.0,81.0,120.0,45.0,121.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,95,30.0,15.0,18.0,56.0,57.0,322,39.0,39.0,14.0,17.0,62.0,11.0,9.0,6.0,13.0,49.0,52.0,47.0,12.0,18.0,15.0,64.0,26.0,2,28.0,18.0,14.0,57.0,13.0,32.0,70.0,11.0,51.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,48,34.0,24.0,14.0,55.0,45.0,315,46.0,31.0,25.0,27.0,64.0,18.0,8.0,9.0,6.0,56.0,73.0,40.0,40.0,30.0,14.0,97.0,53.0,2,43.0,18.0,24.0,77.0,12.0,19.0,101.0,14.0,67.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,235,94.0,169.0,43.0,177.0,218.0,688,167.0,73.0,74.0,155.0,231.0,45.0,32.0,60.0,27.0,100.0,185.0,111.0,81.0,120.0,70.0,203.0,109.0,0,52.0,93.0,57.0,218.0,56.0,109.0,160.0,69.0,126.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,58,36.0,19.0,18.0,53.0,67.0,392,56.0,46.0,17.0,22.0,68.0,16.0,11.0,7.0,18.0,64.0,69.0,49.0,33.0,25.0,13.0,67.0,34.0,3,22.0,21.0,18.0,66.0,15.0,30.0,104.0,16.0,52.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,46,29.0,19.0,15.0,61.0,35.0,246,40.0,28.0,27.0,21.0,58.0,11.0,5.0,9.0,6.0,33.0,59.0,45.0,19.0,25.0,15.0,85.0,44.0,1,43.0,13.0,22.0,61.0,15.0,19.0,69.0,11.0,57.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,274,93.0,170.0,42.0,174.0,218.0,685,156.0,69.0,69.0,156.0,231.0,47.0,33.0,59.0,22.0,108.0,182.0,104.0,81.0,118.0,71.0,212.0,110.0,0,58.0,95.0,55.0,225.0,51.0,111.0,158.0,67.0,135.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,86,48.0,34.0,27.0,65.0,69.0,387,52.0,49.0,17.0,36.0,71.0,18.0,16.0,17.0,17.0,76.0,85.0,48.0,38.0,37.0,21.0,96.0,29.0,2,37.0,17.0,19.0,98.0,11.0,35.0,94.0,20.0,72.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,68,32.0,33.0,12.0,81.0,50.0,408,67.0,32.0,29.0,36.0,119.0,15.0,16.0,5.0,11.0,50.0,50.0,69.0,20.0,31.0,11.0,93.0,64.0,3,21.0,23.0,32.0,92.0,25.0,38.0,96.0,19.0,32.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,4,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,220,78.0,141.0,36.0,141.0,201.0,529,133.0,62.0,67.0,127.0,167.0,41.0,17.0,53.0,18.0,79.0,175.0,81.0,75.0,100.0,67.0,175.0,95.0,0,65.0,89.0,44.0,162.0,45.0,87.0,141.0,55.0,140.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,52,26.0,16.0,22.0,40.0,64.0,299,33.0,48.0,17.0,23.0,53.0,16.0,6.0,7.0,12.0,56.0,68.0,35.0,31.0,28.0,19.0,65.0,26.0,2,34.0,38.0,8.0,53.0,5.0,25.0,80.0,14.0,63.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,82,49.0,38.0,15.0,87.0,45.0,385,68.0,23.0,20.0,27.0,100.0,13.0,18.0,7.0,10.0,48.0,61.0,71.0,21.0,31.0,9.0,97.0,51.0,2,20.0,16.0,31.0,101.0,29.0,27.0,100.0,16.0,33.0
100,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
101,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,239,83.0,154.0,38.0,161.0,211.0,640,151.0,72.0,76.0,149.0,203.0,45.0,25.0,61.0,24.0,101.0,181.0,92.0,81.0,109.0,71.0,202.0,111.0,0,69.0,75.0,56.0,197.0,47.0,108.0,151.0,64.0,148.0
102,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,76,37.0,37.0,32.0,62.0,71.0,422,36.0,49.0,26.0,37.0,96.0,20.0,12.0,17.0,11.0,89.0,85.0,59.0,38.0,38.0,20.0,111.0,44.0,3,55.0,45.0,19.0,103.0,23.0,37.0,104.0,23.0,97.0
103,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,79,39.0,36.0,7.0,97.0,46.0,414,81.0,31.0,24.0,38.0,107.0,15.0,15.0,4.0,15.0,47.0,57.0,59.0,24.0,33.0,18.0,91.0,52.0,2,20.0,15.0,32.0,93.0,11.0,31.0,96.0,21.0,27.0
104,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,0,0.0,0.0,0.0,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,223,82.0,135.0,36.0,127.0,203.0,488,135.0,63.0,63.0,124.0,154.0,39.0,22.0,54.0,20.0,69.0,168.0,80.0,71.0,97.0,61.0,162.0,92.0,0,48.0,69.0,44.0,156.0,47.0,92.0,131.0,50.0,120.0
106,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,72,57.0,36.0,29.0,84.0,75.0,500,76.0,49.0,33.0,51.0,114.0,26.0,15.0,19.0,22.0,73.0,97.0,94.0,41.0,74.0,32.0,116.0,43.0,2,55.0,52.0,23.0,115.0,28.0,69.0,126.0,20.0,98.0
107,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,52,30.0,23.0,12.0,73.0,44.0,328,51.0,34.0,19.0,24.0,83.0,16.0,16.0,5.0,9.0,59.0,47.0,63.0,20.0,21.0,9.0,82.0,51.0,3,15.0,13.0,27.0,73.0,13.0,21.0,79.0,25.0,26.0
108,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,254,71.0,149.0,34.0,131.0,201.0,496,125.0,60.0,61.0,124.0,160.0,32.0,18.0,51.0,15.0,73.0,166.0,41.0,72.0,73.0,58.0,166.0,94.0,0,53.0,64.0,45.0,164.0,40.0,70.0,126.0,49.0,120.0
110,"DISTRICT COURT JUDGE, CHOCTAW COUNTY                    ",DEM,Joe Thompson                          ,246,81.0,68.0,67.0,156.0,269.0,912,125.0,123.0,84.0,136.0,204.0,61.0,21.0,69.0,31.0,160.0,283.0,105.0,103.0,116.0,81.0,290.0,74.0,2,112.0,116.0,39.0,193.0,40.0,87.0,219.0,57.0,229.0
111,"DISTRICT COURT JUDGE, CHOCTAW COUNTY                    ",NON,Write-In                              ,1,2.0,1.0,0.0,5.0,0.0,9,7.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,0,0.0,1.0,1.0,4.0,2.0,1.0,1.0,0.0,1.0
112,"DISTRICT COURT JUDGE, CHOCTAW COUNTY                    ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,"DISTRICT COURT JUDGE, CHOCTAW COUNTY                    ",   ,Under Votes                           ,131,75.0,139.0,8.0,127.0,51.0,404,120.0,20.0,29.0,63.0,147.0,12.0,27.0,6.0,15.0,43.0,25.0,92.0,30.0,52.0,18.0,73.0,110.0,0,11.0,12.0,55.0,155.0,39.0,72.0,111.0,37.0,14.0
114,"MEMBER, CHOCTAW COUNTY COMMISSION, DISTRICT NO. 1       ",DEM,Tony L. Cherry                        ,75,,,,,,398,,,82.0,,,0.0,,0.0,,152.0,0.0,,,113.0,78.0,287.0,,0,,,,,,,,,
115,"MEMBER, CHOCTAW COUNTY COMMISSION, DISTRICT NO. 1       ",NON,Write-In                              ,0,,,,,,9,,,2.0,,,0.0,,0.0,,3.0,0.0,,,0.0,1.0,3.0,,0,,,,,,,,,
116,"MEMBER, CHOCTAW COUNTY COMMISSION, DISTRICT NO. 1       ",   ,Over Votes                            ,0,,,,,,0,,,0.0,,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0,,,,,,,,,
117,"MEMBER, CHOCTAW COUNTY COMMISSION, DISTRICT NO. 1       ",   ,Under Votes                           ,35,,,,,,228,,,29.0,,,0.0,,0.0,,50.0,0.0,,,55.0,20.0,74.0,,0,,,,,,,,,
118,"MEMBER, CHOCTAW COUNTY COMMISSION, DISTRICT NO. 3       ",DEM,"Sammy G. Bonner, Jr.                  ",49,,1.0,,173.0,,9,0.0,,,103.0,236.0,,26.0,,34.0,,,19.0,105.0,,,,,1,,,7.0,126.0,41.0,96.0,244.0,,
119,"MEMBER, CHOCTAW COUNTY COMMISSION, DISTRICT NO. 3       ",NON,Write-In                              ,0,,0.0,,5.0,,0,0.0,,,0.0,8.0,,1.0,,0.0,,,1.0,0.0,,,,,2,,,1.0,2.0,2.0,3.0,4.0,,
120,"MEMBER, CHOCTAW COUNTY COMMISSION, DISTRICT NO. 3       ",   ,Over Votes                            ,0,,0.0,,0.0,,0,0.0,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,,0,,,0.0,0.0,0.0,0.0,0.0,,
121,"MEMBER, CHOCTAW COUNTY COMMISSION, DISTRICT NO. 3       ",   ,Under Votes                           ,28,,9.0,,110.0,,1,0.0,,,46.0,108.0,,22.0,,12.0,,,16.0,28.0,,,,,0,,,12.0,43.0,25.0,61.0,76.0,,
122,"MEMBER, CHOCTAW COUNTY BOARD OF EDUCATION,              ",DEM,David Lee Lewis                       ,30,,0.0,,95.0,,8,0.0,,,84.0,127.0,,11.0,,22.0,,,5.0,99.0,,,,,0,,,4.0,88.0,18.0,79.0,184.0,,
123,"MEMBER, CHOCTAW COUNTY BOARD OF EDUCATION,              ",NON,Write-In                              ,18,,6.0,,91.0,,0,0.0,,,42.0,159.0,,31.0,,17.0,,,19.0,19.0,,,,,0,,,0.0,53.0,32.0,32.0,76.0,,
124,"MEMBER, CHOCTAW COUNTY BOARD OF EDUCATION,              ",   ,Over Votes                            ,1,,0.0,,0.0,,0,0.0,,,0.0,2.0,,0.0,,0.0,,,0.0,0.0,,,,,0,,,0.0,0.0,0.0,0.0,0.0,,
125,"MEMBER, CHOCTAW COUNTY BOARD OF EDUCATION,              ",   ,Under Votes                           ,28,,4.0,,102.0,,2,0.0,,,23.0,64.0,,7.0,,7.0,,,12.0,15.0,,,,,0,,,16.0,30.0,18.0,49.0,64.0,,
126,"MEMBER, CHOCTAW COUNTY BOARD OF EDUCATION,              ",DEM,Vivian Heartfield                     ,43,55.0,16.0,63.0,,251.0,42,23.0,,,40.0,0.0,,,,,,,16.0,,0.0,,,42.0,0,,,,50.0,1.0,,7.0,30.0,
127,"MEMBER, CHOCTAW COUNTY BOARD OF EDUCATION,              ",NON,Write-In                              ,25,24.0,134.0,0.0,,45.0,19,149.0,,,3.0,5.0,,,,,,,109.0,,0.0,,,36.0,0,,,,75.0,7.0,,0.0,34.0,
128,"MEMBER, CHOCTAW COUNTY BOARD OF EDUCATION,              ",   ,Over Votes                            ,0,0.0,0.0,0.0,,0.0,1,0.0,,,0.0,0.0,,,,,,,0.0,,0.0,,,0.0,0,,,,0.0,0.0,,0.0,0.0,
129,"MEMBER, CHOCTAW COUNTY BOARD OF EDUCATION,              ",   ,Under Votes                           ,34,79.0,48.0,12.0,,24.0,59,80.0,,,7.0,0.0,,,,,,,37.0,,0.0,,,110.0,0,,,,56.0,5.0,,0.0,30.0,
