,Contest Title,Party,Candidate,ABSENTEE,BEAVERTON CITY HALL NORTH,BEAVERTON CITY HALL SOUTH,BEDFORD MILITARY,BLOOMING GROVE,CREWS METHODIST CHURCH,CROSSVILLE LAWR_,DETROIT CITY HALL,FAIRVIEW SIZEMORE,FERNBANK COMMUNITY CENTER,GUIN MT OLIVE,HENSON SPRINGS FIRE STAT,HIGHTOGY RIDGE,KENNEDY COMMUNITY CENTER,MILLPORT LIBRARY,MOLLOY BETTS,MT_ PLEASANT CURRY,PINE SPRINGS,PROVISIONAL,STAR_ COMMUNITY CENTER,STRICKLAND KINGVILLE,SULLIGENT CITY HALL NORTH,SULLIGENT CITY HALL SOUTH,TRULL,VAILS,VERNON ARMORY EAST,VERNON ARMORY WEST
85,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,202,35.0,70.0,84.0,26.0,141.0,112.0,178.0,35.0,110.0,70.0,52.0,97.0,285.0,224.0,115.0,58.0,98.0,0.0,42.0,74.0,484.0,181.0,73.0,142.0,328.0,508.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,75,15.0,38.0,27.0,11.0,44.0,60.0,57.0,12.0,59.0,23.0,14.0,50.0,157.0,188.0,64.0,18.0,31.0,0.0,14.0,22.0,217.0,82.0,36.0,65.0,157.0,245.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,55,7.0,41.0,29.0,11.0,36.0,38.0,42.0,12.0,41.0,12.0,8.0,34.0,106.0,94.0,39.0,9.0,26.0,0.0,30.0,12.0,148.0,69.0,26.0,29.0,103.0,180.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,212,36.0,78.0,80.0,27.0,148.0,118.0,183.0,33.0,111.0,73.0,51.0,95.0,313.0,246.0,120.0,67.0,98.0,0.0,44.0,83.0,520.0,192.0,66.0,119.0,331.0,543.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,82,14.0,42.0,30.0,8.0,65.0,63.0,76.0,15.0,78.0,32.0,14.0,45.0,223.0,213.0,79.0,25.0,32.0,0.0,21.0,38.0,278.0,98.0,42.0,48.0,212.0,335.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,71,14.0,58.0,40.0,19.0,53.0,64.0,54.0,17.0,49.0,21.0,15.0,50.0,124.0,123.0,52.0,24.0,52.0,0.0,30.0,22.0,219.0,96.0,25.0,46.0,143.0,247.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,189,30.0,57.0,66.0,22.0,110.0,89.0,152.0,25.0,84.0,55.0,44.0,84.0,230.0,192.0,92.0,45.0,71.0,0.0,37.0,57.0,388.0,149.0,61.0,119.0,236.0,386.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,56,6.0,24.0,25.0,6.0,35.0,44.0,47.0,10.0,54.0,20.0,11.0,32.0,138.0,175.0,52.0,22.0,17.0,0.0,13.0,16.0,166.0,70.0,29.0,30.0,126.0,223.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,78,15.0,52.0,28.0,14.0,45.0,52.0,58.0,11.0,50.0,15.0,10.0,50.0,132.0,112.0,54.0,20.0,34.0,0.0,32.0,18.0,210.0,79.0,25.0,38.0,141.0,221.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,208,37.0,81.0,83.0,29.0,148.0,120.0,177.0,36.0,107.0,73.0,52.0,97.0,307.0,241.0,117.0,52.0,104.0,0.0,43.0,83.0,509.0,194.0,74.0,145.0,324.0,524.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,91,18.0,59.0,33.0,11.0,75.0,76.0,73.0,16.0,76.0,33.0,22.0,47.0,197.0,220.0,77.0,25.0,35.0,0.0,29.0,37.0,316.0,109.0,32.0,53.0,202.0,345.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,78,11.0,45.0,38.0,17.0,52.0,52.0,59.0,16.0,48.0,21.0,9.0,54.0,146.0,123.0,63.0,20.0,55.0,0.0,23.0,22.0,197.0,95.0,37.0,40.0,156.0,254.0
100,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
101,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,174,29.0,53.0,65.0,21.0,101.0,88.0,150.0,25.0,87.0,54.0,42.0,78.0,234.0,185.0,83.0,49.0,65.0,0.0,36.0,58.0,372.0,139.0,59.0,120.0,232.0,369.0
102,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,110,18.0,68.0,51.0,16.0,86.0,102.0,107.0,15.0,79.0,38.0,21.0,60.0,224.0,248.0,98.0,39.0,59.0,0.0,31.0,46.0,367.0,134.0,58.0,92.0,247.0,380.0
103,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,68,10.0,37.0,29.0,13.0,44.0,36.0,39.0,18.0,47.0,13.0,10.0,45.0,121.0,100.0,56.0,17.0,39.0,0.0,22.0,13.0,166.0,78.0,23.0,25.0,129.0,224.0
104,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,165,30.0,52.0,56.0,20.0,98.0,78.0,136.0,24.0,85.0,57.0,42.0,74.0,232.0,180.0,69.0,38.0,57.0,0.0,35.0,58.0,352.0,131.0,47.0,96.0,215.0,364.0
106,"MEMBER, LAMAR COUNTY COMMISSION, DISTRICT NO. 2         ",DEM,Mitchell Puckett                      ,71,18.0,,,,107.0,,124.0,,,,23.0,,,,,,98.0,0.0,,,425.0,,,,,
107,"MEMBER, LAMAR COUNTY COMMISSION, DISTRICT NO. 2         ",REP,Kevin N. King                         ,59,38.0,,,,118.0,,153.0,,,,48.0,,,,,,54.0,0.0,,,429.0,,,,,
108,"MEMBER, LAMAR COUNTY COMMISSION, DISTRICT NO. 2         ",NON,Write-In                              ,0,0.0,,,,0.0,,0.0,,,,0.0,,,,,,0.0,0.0,,,0.0,,,,,
109,"MEMBER, LAMAR COUNTY COMMISSION, DISTRICT NO. 2         ",   ,Over Votes                            ,0,0.0,,,,0.0,,0.0,,,,0.0,,,,,,0.0,0.0,,,1.0,,,,,
110,"MEMBER, LAMAR COUNTY COMMISSION, DISTRICT NO. 2         ",   ,Under Votes                           ,3,2.0,,,,3.0,,5.0,,,,2.0,,,,,,3.0,0.0,,,30.0,,,,,
111,"MEMBER, LAMAR COUNTY COMMISSION, DISTRICT NO. 4         ",DEM,Floyd McCrary                         ,11,,,,,,,,,64.0,,,,89.0,219.0,,22.0,,0.0,,22.0,,,18.0,48.0,,
112,"MEMBER, LAMAR COUNTY COMMISSION, DISTRICT NO. 4         ",REP,Jeff Long                             ,34,,,,,,,,,147.0,,,,485.0,301.0,,71.0,,0.0,,93.0,,,108.0,158.0,,
113,"MEMBER, LAMAR COUNTY COMMISSION, DISTRICT NO. 4         ",NON,Write-In                              ,0,,,,,,,,,0.0,,,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,
114,"MEMBER, LAMAR COUNTY COMMISSION, DISTRICT NO. 4         ",   ,Over Votes                            ,0,,,,,,,,,0.0,,,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,
115,"MEMBER, LAMAR COUNTY COMMISSION, DISTRICT NO. 4         ",   ,Under Votes                           ,1,,,,,,,,,0.0,,,,3.0,8.0,,1.0,,0.0,,2.0,,,2.0,7.0,,
116,"SUPERINTENDENT, LAMAR COUNTY BOARD OF EDUCATION         ",REP,Vance Herron                          ,248,39.0,131.0,108.0,41.0,183.0,184.0,223.0,36.0,193.0,101.0,58.0,168.0,480.0,337.0,197.0,87.0,118.0,0.0,76.0,101.0,638.0,251.0,118.0,183.0,503.0,767.0
117,"SUPERINTENDENT, LAMAR COUNTY BOARD OF EDUCATION         ",NON,Write-In                              ,0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,8.0,0.0,1.0,12.0,15.0
118,"SUPERINTENDENT, LAMAR COUNTY BOARD OF EDUCATION         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,"SUPERINTENDENT, LAMAR COUNTY BOARD OF EDUCATION         ",   ,Under Votes                           ,95,18.0,26.0,26.0,8.0,44.0,31.0,59.0,21.0,18.0,7.0,15.0,10.0,92.0,188.0,25.0,7.0,37.0,0.0,11.0,16.0,237.0,84.0,10.0,29.0,76.0,186.0
120,"MEMBER, LAMAR COUNTY BOARD OF EDUCATION, PLACE NO. 1    ",DEM,Jerry M. Smith                        ,92,13.0,32.0,47.0,9.0,60.0,63.0,49.0,21.0,30.0,16.0,20.0,47.0,116.0,226.0,52.0,28.0,38.0,0.0,21.0,24.0,287.0,115.0,20.0,16.0,198.0,423.0
121,"MEMBER, LAMAR COUNTY BOARD OF EDUCATION, PLACE NO. 1    ",REP,Banks Hattaway                        ,229,36.0,116.0,87.0,38.0,157.0,148.0,213.0,30.0,175.0,89.0,46.0,127.0,433.0,279.0,165.0,66.0,104.0,0.0,64.0,84.0,532.0,213.0,103.0,178.0,375.0,529.0
122,"MEMBER, LAMAR COUNTY BOARD OF EDUCATION, PLACE NO. 1    ",NON,Write-In                              ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
123,"MEMBER, LAMAR COUNTY BOARD OF EDUCATION, PLACE NO. 1    ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
124,"MEMBER, LAMAR COUNTY BOARD OF EDUCATION, PLACE NO. 1    ",   ,Under Votes                           ,22,9.0,9.0,2.0,2.0,11.0,5.0,20.0,6.0,6.0,3.0,7.0,5.0,27.0,22.0,6.0,0.0,13.0,0.0,3.0,9.0,65.0,14.0,5.0,19.0,15.0,16.0
125,"MEMBER, LAMAR COUNTY BOARD OF EDUCATION, PLACE NO. 5    ",REP,Jonathan Beasley                      ,247,36.0,128.0,112.0,46.0,177.0,186.0,210.0,35.0,193.0,102.0,53.0,166.0,484.0,326.0,196.0,83.0,106.0,0.0,78.0,102.0,622.0,252.0,123.0,179.0,525.0,784.0
126,"MEMBER, LAMAR COUNTY BOARD OF EDUCATION, PLACE NO. 5    ",NON,Write-In                              ,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,1.0,4.0,9.0
127,"MEMBER, LAMAR COUNTY BOARD OF EDUCATION, PLACE NO. 5    ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,"MEMBER, LAMAR COUNTY BOARD OF EDUCATION, PLACE NO. 5    ",   ,Under Votes                           ,95,21.0,29.0,24.0,3.0,50.0,30.0,72.0,22.0,18.0,6.0,20.0,13.0,92.0,201.0,25.0,11.0,49.0,0.0,10.0,15.0,254.0,88.0,4.0,33.0,62.0,175.0
129,PROPOSED LOCAL AMENDMENT NUMBER ONE (1)                 ,NON,Yes-Local Amendment No. 1             ,180,21.0,80.0,56.0,19.0,105.0,132.0,117.0,24.0,112.0,78.0,19.0,92.0,267.0,276.0,122.0,37.0,60.0,0.0,47.0,66.0,397.0,138.0,85.0,97.0,314.0,517.0
130,PROPOSED LOCAL AMENDMENT NUMBER ONE (1)                 ,NON,No-Local Amendment No. 1              ,48,12.0,39.0,27.0,9.0,49.0,33.0,43.0,11.0,34.0,6.0,11.0,47.0,120.0,86.0,38.0,19.0,47.0,0.0,17.0,17.0,162.0,75.0,15.0,30.0,108.0,201.0
131,PROPOSED LOCAL AMENDMENT NUMBER ONE (1)                 ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,PROPOSED LOCAL AMENDMENT NUMBER ONE (1)                 ,   ,Under Votes                           ,113,25.0,38.0,53.0,21.0,74.0,51.0,122.0,22.0,65.0,24.0,43.0,40.0,190.0,166.0,63.0,38.0,48.0,0.0,24.0,34.0,326.0,130.0,28.0,86.0,169.0,250.0
