,Contest Title,Party,Candidate,ABSENTEE,ARGUTA COMMUNITY CTR_,ARITON CITY HALL,BERTHA VOTING HALL,CLAYHATCHEE COMM_ HOUSE,CLOPTON COMMUNITY HOUSE,DALEVILLE CULTURAL & CONV,ECHO FIRE/RESCUE COMM_,EWELL FIRE STATION,GRIMES COMMUNITY CTR_,LEVEL PLAINS COMM_ CENTER,MARLEY MILL FORESTRY,MIDLAND CITY VOTING HALL,NEWTON TOWN HALL,OZARK CIVIC CENTER,PINCKARD TOWN HALL,PROVISIONAL,ROCKY HD COMMUNITY HOUSE,ROCKY HEAD FT RUCKER ELEM,SKIPPERVILLE VOTING HALL,SYLVAN GROVE VOTING HALL
101,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0
102,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,339,79.0,223.0,90.0,157.0,44.0,495.0,289.0,324.0,238.0,432.0,333.0,344.0,241.0,1313.0,368.0,0,175.0,88.0,212.0,52.0
103,"DISTRICT COURT JUDGE, DALE COUNTY, PLACE NO. 2          ",REP,Stuart K. Smith                       ,659,154.0,430.0,192.0,360.0,123.0,1253.0,731.0,820.0,527.0,1112.0,723.0,577.0,730.0,3494.0,888.0,7,508.0,203.0,462.0,156.0
104,"DISTRICT COURT JUDGE, DALE COUNTY, PLACE NO. 2          ",NON,Write-In                              ,10,2.0,5.0,0.0,4.0,0.0,42.0,3.0,13.0,18.0,24.0,11.0,12.0,7.0,124.0,8.0,0,1.0,6.0,10.0,2.0
105,"DISTRICT COURT JUDGE, DALE COUNTY, PLACE NO. 2          ",   ,Over Votes                            ,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0
106,"DISTRICT COURT JUDGE, DALE COUNTY, PLACE NO. 2          ",   ,Under Votes                           ,182,37.0,146.0,63.0,82.0,24.0,502.0,127.0,230.0,185.0,371.0,222.0,278.0,195.0,1310.0,214.0,0,101.0,49.0,113.0,26.0
107,"CHAIRMAN, DALE COUNTY COMMISSION                        ",REP,Mark Blankenship                      ,631,131.0,409.0,178.0,357.0,105.0,1243.0,634.0,719.0,528.0,1111.0,656.0,566.0,700.0,3304.0,875.0,5,477.0,205.0,416.0,158.0
108,"CHAIRMAN, DALE COUNTY COMMISSION                        ",NON,Write-In                              ,22,12.0,13.0,10.0,5.0,2.0,44.0,56.0,62.0,22.0,27.0,42.0,21.0,16.0,242.0,13.0,0,11.0,5.0,19.0,2.0
109,"CHAIRMAN, DALE COUNTY COMMISSION                        ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,3.0,0.0
110,"CHAIRMAN, DALE COUNTY COMMISSION                        ",   ,Under Votes                           ,198,51.0,159.0,67.0,84.0,40.0,509.0,172.0,281.0,179.0,369.0,258.0,280.0,216.0,1382.0,222.0,0,122.0,48.0,147.0,24.0
111,"MEMBER, DALE COUNTY COMMISSION, DISTRICT NO. 2          ",REP,Steve McKinnon                        ,135,,,,364.0,,1266.0,,,,1112.0,,,30.0,,,1,,,,
112,"MEMBER, DALE COUNTY COMMISSION, DISTRICT NO. 2          ",NON,Write-In                              ,2,,,,7.0,,46.0,,,,32.0,,,0.0,,,0,,,,
113,"MEMBER, DALE COUNTY COMMISSION, DISTRICT NO. 2          ",   ,Over Votes                            ,0,,,,0.0,,2.0,,,,0.0,,,0.0,,,0,,,,
114,"MEMBER, DALE COUNTY COMMISSION, DISTRICT NO. 2          ",   ,Under Votes                           ,25,,,,75.0,,483.0,,,,363.0,,,4.0,,,0,,,,
115,"MEMBER, DALE COUNTY COMMISSION, DISTRICT NO. 4          ",REP,Frankie Wilson                        ,210,153.0,,194.0,,122.0,,738.0,603.0,,,,,,1713.0,,4,,,453.0,
116,"MEMBER, DALE COUNTY COMMISSION, DISTRICT NO. 4          ",NON,Write-In                              ,2,1.0,,0.0,,1.0,,9.0,7.0,,,,,,64.0,,0,,,6.0,
117,"MEMBER, DALE COUNTY COMMISSION, DISTRICT NO. 4          ",   ,Over Votes                            ,0,0.0,,0.0,,0.0,,0.0,0.0,,,,,,0.0,,0,,,1.0,
118,"MEMBER, DALE COUNTY COMMISSION, DISTRICT NO. 4          ",   ,Under Votes                           ,55,40.0,,61.0,,24.0,,115.0,164.0,,,,,,633.0,,0,,,125.0,
119,"SUPERINTENDENT, DALE COUNTY BOARD OF EDUCATION          ",REP,Ben Baker                             ,329,154.0,461.0,202.0,364.0,125.0,134.0,753.0,743.0,533.0,1104.0,226.0,587.0,747.0,51.0,893.0,5,540.0,205.0,484.0,162.0
120,"SUPERINTENDENT, DALE COUNTY BOARD OF EDUCATION          ",NON,Write-In                              ,2,1.0,5.0,0.0,4.0,0.0,3.0,4.0,13.0,19.0,30.0,1.0,9.0,6.0,0.0,6.0,0,1.0,5.0,6.0,2.0
121,"SUPERINTENDENT, DALE COUNTY BOARD OF EDUCATION          ",   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0
122,"SUPERINTENDENT, DALE COUNTY BOARD OF EDUCATION          ",   ,Under Votes                           ,64,39.0,115.0,53.0,78.0,22.0,31.0,104.0,190.0,177.0,373.0,39.0,271.0,179.0,11.0,210.0,0,67.0,48.0,94.0,20.0
123,"MEMBER, DALE COUNTY BOARD OF EDUCATION, DISTRICT NO. 2  ",REP,Shannon Deloney                       ,76,,,,357.0,,137.0,,,,820.0,,,625.0,,,1,,,,
124,"MEMBER, DALE COUNTY BOARD OF EDUCATION, DISTRICT NO. 2  ",NON,Write-In                              ,0,,,,3.0,,2.0,,,,22.0,,,9.0,,,0,,,,
125,"MEMBER, DALE COUNTY BOARD OF EDUCATION, DISTRICT NO. 2  ",   ,Over Votes                            ,0,,,,1.0,,1.0,,,,0.0,,,0.0,,,0,,,,
126,"MEMBER, DALE COUNTY BOARD OF EDUCATION, DISTRICT NO. 2  ",   ,Under Votes                           ,13,,,,85.0,,29.0,,,,277.0,,,164.0,,,0,,,,
127,"MEMBER, DALE COUNTY BOARD OF EDUCATION, DISTRICT NO. 5, ",REP,Priscilla McKnight                    ,54,,,,,,,,,492.0,,,587.0,85.0,,879.0,0,,,,
128,"MEMBER, DALE COUNTY BOARD OF EDUCATION, DISTRICT NO. 5, ",NON,Write-In                              ,0,,,,,,,,,15.0,,,9.0,0.0,,9.0,0,,,,
129,"MEMBER, DALE COUNTY BOARD OF EDUCATION, DISTRICT NO. 5, ",   ,Over Votes                            ,0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0,,,,
130,"MEMBER, DALE COUNTY BOARD OF EDUCATION, DISTRICT NO. 5, ",   ,Under Votes                           ,14,,,,,,,,,163.0,,,271.0,16.0,,202.0,0,,,,
