,Contest Title,Party,Candidate,ABSENTEE,BELOIT COMMUNITY CTR,BROAD STREET FIRE STATION,CAHABA ROAD FIRE STATION,CARLOWVILLE MINTER VFD,CHRISTIAN OUTREACH ALLNCE,DALLAS COUNTY COURTHOUSE,EASTEND FIRE STATION,GOOD HOPE CHURCH,GWC HOMES CTR,MARION JCT BLACKBELT EXP,MEMORIAL STADIUM,MT ZION CHURCH,NEW ST JOHNS MINISTRIES,OLD NATIONAL GUARD ARMORY,ORRVILLE COMMUNITY CTR,PLANTERSVILLE VFD,PROVISIONAL,QUEEN OF PEACE SCHOOL,RANGEDALE CTR,SAFFORD COMMUNITY CTR,SELMA MALL,SELMONT WATER WORKS,SHILOH SCHOOL BLDG,SUMMERFIELD VFD,TIPTON SCHOOL,TYLER COMMUNITY CTR,UNION NEW NATL GRD ARMORY,UNION OLD NATL GRD ARMORY,VALLEY GRANDE COMM CTR,WOODROW AVE FIRE STATION
76,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,331,83.0,186.0,310.0,117.0,184.0,88.0,146.0,26.0,136.0,114.0,228.0,358.0,188.0,357.0,251.0,142.0,0.0,207.0,183.0,39.0,149.0,191.0,159.0,235.0,628.0,96.0,292.0,381.0,546.0,250.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,183,22.0,136.0,304.0,37.0,169.0,100.0,262.0,17.0,115.0,98.0,204.0,318.0,140.0,248.0,384.0,89.0,0.0,79.0,115.0,43.0,131.0,129.0,178.0,125.0,340.0,66.0,241.0,324.0,459.0,247.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,292,15.0,247.0,362.0,59.0,246.0,60.0,193.0,13.0,126.0,132.0,109.0,219.0,293.0,156.0,293.0,63.0,0.0,106.0,285.0,37.0,225.0,89.0,130.0,107.0,665.0,55.0,147.0,244.0,327.0,386.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,385,83.0,191.0,383.0,132.0,210.0,120.0,144.0,46.0,135.0,138.0,329.0,439.0,199.0,438.0,299.0,170.0,0.0,222.0,197.0,52.0,164.0,204.0,191.0,299.0,666.0,143.0,400.0,494.0,752.0,277.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,333,28.0,151.0,425.0,59.0,226.0,161.0,276.0,41.0,122.0,174.0,344.0,481.0,159.0,389.0,469.0,154.0,0.0,106.0,131.0,53.0,146.0,151.0,240.0,236.0,375.0,124.0,437.0,532.0,817.0,252.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,254,15.0,246.0,354.0,60.0,223.0,47.0,199.0,11.0,124.0,111.0,123.0,188.0,286.0,153.0,279.0,56.0,0.0,111.0,287.0,36.0,226.0,92.0,105.0,101.0,681.0,49.0,133.0,219.0,291.0,418.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,273,77.0,177.0,270.0,110.0,176.0,72.0,124.0,24.0,131.0,83.0,175.0,307.0,188.0,302.0,227.0,112.0,0.0,190.0,179.0,43.0,149.0,179.0,152.0,194.0,615.0,91.0,219.0,310.0,430.0,243.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,192,20.0,119.0,243.0,34.0,149.0,85.0,256.0,14.0,95.0,104.0,178.0,280.0,139.0,211.0,375.0,80.0,0.0,64.0,113.0,42.0,121.0,118.0,155.0,116.0,262.0,65.0,226.0,310.0,392.0,204.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,284,16.0,260.0,424.0,69.0,259.0,79.0,195.0,16.0,147.0,123.0,130.0,257.0,294.0,191.0,302.0,71.0,0.0,112.0,291.0,32.0,234.0,100.0,147.0,110.0,729.0,52.0,172.0,261.0,399.0,424.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,383,84.0,195.0,382.0,126.0,216.0,116.0,148.0,46.0,136.0,141.0,335.0,439.0,199.0,442.0,298.0,171.0,0.0,231.0,192.0,58.0,165.0,204.0,198.0,304.0,681.0,146.0,391.0,491.0,747.0,285.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,196,19.0,186.0,316.0,67.0,240.0,118.0,348.0,20.0,133.0,108.0,196.0,311.0,234.0,256.0,429.0,101.0,0.0,136.0,319.0,56.0,252.0,134.0,172.0,144.0,518.0,81.0,271.0,325.0,492.0,368.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,276,15.0,184.0,341.0,32.0,151.0,38.0,80.0,12.0,111.0,134.0,103.0,223.0,189.0,137.0,233.0,50.0,0.0,50.0,79.0,27.0,97.0,76.0,125.0,89.0,442.0,41.0,143.0,241.0,308.0,233.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,389,86.0,205.0,390.0,129.0,234.0,123.0,171.0,44.0,134.0,126.0,344.0,442.0,210.0,451.0,313.0,171.0,0.0,221.0,199.0,49.0,172.0,212.0,204.0,298.0,711.0,142.0,374.0,495.0,738.0,313.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,258,20.0,212.0,444.0,79.0,319.0,134.0,390.0,28.0,143.0,117.0,275.0,369.0,256.0,313.0,494.0,101.0,0.0,141.0,355.0,57.0,280.0,154.0,188.0,149.0,596.0,94.0,307.0,417.0,589.0,397.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,150,13.0,73.0,196.0,36.0,100.0,63.0,49.0,19.0,92.0,112.0,147.0,230.0,88.0,176.0,152.0,74.0,0.0,48.0,52.0,29.0,64.0,59.0,116.0,150.0,211.0,67.0,183.0,238.0,370.0,159.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,453,87.0,290.0,408.0,114.0,206.0,83.0,160.0,29.0,142.0,139.0,221.0,377.0,289.0,356.0,328.0,146.0,0.0,218.0,190.0,46.0,179.0,209.0,197.0,232.0,865.0,103.0,298.0,407.0,579.0,358.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,182,16.0,210.0,360.0,69.0,266.0,104.0,387.0,21.0,139.0,95.0,201.0,284.0,255.0,249.0,298.0,84.0,0.0,133.0,327.0,50.0,246.0,130.0,180.0,121.0,564.0,72.0,242.0,326.0,426.0,390.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,174,12.0,78.0,234.0,30.0,120.0,64.0,51.0,16.0,91.0,134.0,142.0,254.0,83.0,163.0,339.0,67.0,0.0,47.0,69.0,28.0,87.0,73.0,100.0,124.0,220.0,48.0,172.0,257.0,407.0,157.0
100,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
101,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,504,92.0,288.0,455.0,130.0,239.0,112.0,161.0,39.0,148.0,139.0,299.0,438.0,295.0,433.0,337.0,171.0,0.0,227.0,201.0,54.0,188.0,219.0,220.0,286.0,888.0,143.0,375.0,479.0,704.0,368.0
102,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,395,28.0,335.0,541.0,76.0,343.0,122.0,415.0,33.0,210.0,203.0,263.0,422.0,393.0,299.0,575.0,117.0,0.0,157.0,367.0,58.0,319.0,178.0,220.0,164.0,909.0,91.0,301.0,453.0,598.0,555.0
103,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,159,12.0,60.0,214.0,39.0,102.0,73.0,45.0,15.0,39.0,59.0,169.0,213.0,52.0,209.0,154.0,77.0,0.0,49.0,47.0,29.0,55.0,56.0,120.0,139.0,138.0,75.0,205.0,249.0,419.0,107.0
104,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
105,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,307,80.0,180.0,292.0,114.0,178.0,85.0,138.0,28.0,129.0,106.0,208.0,341.0,186.0,337.0,246.0,128.0,0.0,200.0,182.0,45.0,148.0,188.0,161.0,227.0,624.0,98.0,282.0,358.0,521.0,252.0
106,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,422,37.0,348.0,603.0,96.0,359.0,140.0,418.0,41.0,215.0,219.0,319.0,451.0,400.0,405.0,623.0,154.0,0.0,172.0,380.0,68.0,324.0,184.0,253.0,233.0,942.0,117.0,359.0,534.0,780.0,566.0
107,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,122,11.0,48.0,158.0,22.0,84.0,52.0,37.0,8.0,36.0,53.0,130.0,193.0,45.0,131.0,127.0,54.0,0.0,46.0,45.0,23.0,51.0,54.0,93.0,103.0,115.0,50.0,149.0,182.0,272.0,96.0
108,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
109,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,317,72.0,179.0,287.0,111.0,181.0,88.0,144.0,27.0,127.0,96.0,194.0,332.0,188.0,309.0,226.0,114.0,0.0,189.0,172.0,41.0,148.0,184.0,155.0,195.0,615.0,97.0,281.0,346.0,485.0,252.0
110,"DISTRICT COURT JUDGE, DALLAS COUNTY                     ",DEM,Bob Armstrong                         ,661,114.0,544.0,890.0,191.0,563.0,218.0,567.0,40.0,356.0,315.0,483.0,732.0,603.0,617.0,883.0,211.0,0.0,385.0,579.0,97.0,484.0,374.0,412.0,331.0,1585.0,170.0,521.0,811.0,1046.0,848.0
111,"DISTRICT COURT JUDGE, DALLAS COUNTY                     ",NON,Write-In                              ,7,0.0,2.0,7.0,0.0,5.0,5.0,2.0,1.0,4.0,1.0,5.0,6.0,1.0,7.0,8.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,7.0,7.0,0.0,12.0,3.0,13.0,3.0
112,"DISTRICT COURT JUDGE, DALLAS COUNTY                     ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
113,"DISTRICT COURT JUDGE, DALLAS COUNTY                     ",   ,Under Votes                           ,193,6.0,30.0,152.0,38.0,57.0,57.0,30.0,35.0,17.0,52.0,154.0,238.0,29.0,221.0,85.0,107.0,0.0,22.0,16.0,34.0,39.0,47.0,86.0,192.0,80.0,94.0,256.0,248.0,479.0,64.0
114,"MEMBER, DALLAS COUNTY COMMISSION, DISTRICT NO. 1        ",DEM,Valerie Price Reubin                  ,183,,,,188.0,,,,37.0,,,,292.0,596.0,,,,0.0,,121.0,,,358.0,401.0,,1558.0,71.0,,,,
115,"MEMBER, DALLAS COUNTY COMMISSION, DISTRICT NO. 1        ",NON,Write-In                              ,0,,,,1.0,,,,0.0,,,,3.0,0.0,,,,0.0,,0.0,,,0.0,3.0,,18.0,1.0,,,,
116,"MEMBER, DALLAS COUNTY COMMISSION, DISTRICT NO. 1        ",   ,Over Votes                            ,0,,,,0.0,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,,
117,"MEMBER, DALLAS COUNTY COMMISSION, DISTRICT NO. 1        ",   ,Under Votes                           ,24,,,,40.0,,,,39.0,,,,122.0,37.0,,,,0.0,,3.0,,,64.0,98.0,,96.0,87.0,,,,
118,"MEMBER, DALLAS COUNTY COMMISSION, DISTRICT NO. 2        ",DEM,Roy Moore                             ,120,,,,,,,,,,,,423.0,,,,209.0,0.0,,,,469.0,,,324.0,,79.0,344.0,,1038.0,327.0
119,"MEMBER, DALLAS COUNTY COMMISSION, DISTRICT NO. 2        ",NON,Write-In                              ,2,,,,,,,,,,,,3.0,,,,4.0,0.0,,,,1.0,,,2.0,,0.0,7.0,,11.0,1.0
120,"MEMBER, DALLAS COUNTY COMMISSION, DISTRICT NO. 2        ",   ,Over Votes                            ,0,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0
121,"MEMBER, DALLAS COUNTY COMMISSION, DISTRICT NO. 2        ",   ,Under Votes                           ,47,,,,,,,,,,,,133.0,,,,109.0,0.0,,,,53.0,,,205.0,,26.0,200.0,,489.0,44.0
122,"MEMBER, DALLAS COUNTY COMMISSION, DISTRICT NO. 3        ",DEM,Curtis Williams                       ,188,68.0,547.0,836.0,,,,,,,35.0,,,,,147.0,,0.0,369.0,453.0,,,,,,,,146.0,380.0,,505.0
123,"MEMBER, DALLAS COUNTY COMMISSION, DISTRICT NO. 3        ",NON,Write-In                              ,0,0.0,1.0,8.0,,,,,,,6.0,,,,,3.0,,0.0,0.0,3.0,,,,,,,,3.0,1.0,,3.0
124,"MEMBER, DALLAS COUNTY COMMISSION, DISTRICT NO. 3        ",   ,Over Votes                            ,0,0.0,1.0,0.0,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,,,1.0,0.0,,0.0
125,"MEMBER, DALLAS COUNTY COMMISSION, DISTRICT NO. 3        ",   ,Under Votes                           ,39,3.0,27.0,205.0,,,,,,,17.0,,,,,9.0,,0.0,38.0,17.0,,,,,,,,88.0,97.0,,35.0
126,"MEMBER, DALLAS COUNTY COMMISSION, DISTRICT NO. 4        ",DEM,Larry Nickles                         ,173,48.0,,,,551.0,213.0,557.0,,349.0,277.0,461.0,,,581.0,765.0,,0.0,,,103.0,,,,,,,,415.0,,
127,"MEMBER, DALLAS COUNTY COMMISSION, DISTRICT NO. 4        ",NON,Write-In                              ,0,0.0,,,,4.0,3.0,5.0,,1.0,2.0,3.0,,,6.0,1.0,,0.0,,,0.0,,,,,,,,8.0,,
128,"MEMBER, DALLAS COUNTY COMMISSION, DISTRICT NO. 4        ",   ,Over Votes                            ,0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,,,,,,,,0.0,,
129,"MEMBER, DALLAS COUNTY COMMISSION, DISTRICT NO. 4        ",   ,Under Votes                           ,85,1.0,,,,70.0,64.0,37.0,,28.0,31.0,179.0,,,258.0,51.0,,0.0,,,29.0,,,,,,,,161.0,,
130,"MEMBER, DALLAS COUNTY BOARD OF EDUCATION, DISTRICT NO. 1",DEM,"William D. Minor, Sr.                 ",88,,,,,,192.0,547.0,,335.0,,,,,,,,0.0,,,,,,,,954.0,,,,,
131,"MEMBER, DALLAS COUNTY BOARD OF EDUCATION, DISTRICT NO. 1",NON,Write-In                              ,0,,,,,,6.0,23.0,,20.0,,,,,,,,0.0,,,,,,,,631.0,,,,,
132,"MEMBER, DALLAS COUNTY BOARD OF EDUCATION, DISTRICT NO. 1",   ,Over Votes                            ,0,,,,,,0.0,0.0,,1.0,,,,,,,,0.0,,,,,,,,3.0,,,,,
133,"MEMBER, DALLAS COUNTY BOARD OF EDUCATION, DISTRICT NO. 1",   ,Under Votes                           ,22,,,,,,82.0,29.0,,22.0,,,,,,,,0.0,,,,,,,,84.0,,,,,
134,"MEMBER, DALLAS COUNTY BOARD OF EDUCATION, DISTRICT NO. 4",REP,Mark A. Story                         ,98,,,,,,,,,,,,460.0,,,,187.0,0.0,,,,,84.0,,376.0,,172.0,530.0,,968.0,
135,"MEMBER, DALLAS COUNTY BOARD OF EDUCATION, DISTRICT NO. 4",NON,Write-In                              ,2,,,,,,,,,,,,31.0,,,,10.0,0.0,,,,,18.0,,3.0,,4.0,10.0,,21.0,
136,"MEMBER, DALLAS COUNTY BOARD OF EDUCATION, DISTRICT NO. 4",   ,Over Votes                            ,0,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,
137,"MEMBER, DALLAS COUNTY BOARD OF EDUCATION, DISTRICT NO. 4",   ,Under Votes                           ,65,,,,,,,,,,,,485.0,,,,125.0,0.0,,,,,320.0,,152.0,,88.0,249.0,,549.0,
138,"CONSTABLE, DALLAS COUNTY PRECINCT 0101                  ",NON,Write-In                              ,2,,,,,,,,,,,,,,,,21.0,0.0,,,,,,,,,,,,,
139,"CONSTABLE, DALLAS COUNTY PRECINCT 0101                  ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,
140,"CONSTABLE, DALLAS COUNTY PRECINCT 0101                  ",   ,Under Votes                           ,8,,,,,,,,,,,,,,,,301.0,0.0,,,,,,,,,,,,,
141,"CONSTABLE, DALLAS COUNTY PRECINCT 0201                  ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,0.0,,,,,,,9.0,,,,,,
142,"CONSTABLE, DALLAS COUNTY PRECINCT 0201                  ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,
143,"CONSTABLE, DALLAS COUNTY PRECINCT 0201                  ",   ,Under Votes                           ,16,,,,,,,,,,,,,,,,,0.0,,,,,,,522.0,,,,,,
144,"CONSTABLE, DALLAS COUNTY PRECINCT 0302                  ",DEM,"Bert A. Scott, Sr.                    ",34,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,852.0,
145,"CONSTABLE, DALLAS COUNTY PRECINCT 0302                  ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,23.0,
146,"CONSTABLE, DALLAS COUNTY PRECINCT 0302                  ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,
147,"CONSTABLE, DALLAS COUNTY PRECINCT 0302                  ",   ,Under Votes                           ,27,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,663.0,
148,"CONSTABLE, DALLAS COUNTY PRECINCT 0401                  ",NON,Write-In                              ,1,,,,,,,,,,,,,,,42.0,,0.0,,,,,,,,,,,,,
149,"CONSTABLE, DALLAS COUNTY PRECINCT 0401                  ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,
150,"CONSTABLE, DALLAS COUNTY PRECINCT 0401                  ",   ,Under Votes                           ,28,,,,,,,,,,,,,,,934.0,,0.0,,,,,,,,,,,,,
151,"CONSTABLE, DALLAS COUNTY PRECINCT 0402                  ",NON,Write-In                              ,0,1.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
152,"CONSTABLE, DALLAS COUNTY PRECINCT 0402                  ",   ,Over Votes                            ,0,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
153,"CONSTABLE, DALLAS COUNTY PRECINCT 0402                  ",   ,Under Votes                           ,3,119.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
154,"CONSTABLE, DALLAS COUNTY PRECINCT 0501                  ",DEM,Charles Mills                         ,56,,,,,,,,,,,,,,,,,0.0,,,,,,,,1558.0,,,,,
155,"CONSTABLE, DALLAS COUNTY PRECINCT 0501                  ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,0.0,,,,,,,,12.0,,,,,
156,"CONSTABLE, DALLAS COUNTY PRECINCT 0501                  ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,
157,"CONSTABLE, DALLAS COUNTY PRECINCT 0501                  ",   ,Under Votes                           ,9,,,,,,,,,,,,,,,,,0.0,,,,,,,,102.0,,,,,
158,"CONSTABLE, DALLAS COUNTY PRECINCT 0502                  ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,0.0,,,,,8.0,,,,,,,,
159,"CONSTABLE, DALLAS COUNTY PRECINCT 0502                  ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,
160,"CONSTABLE, DALLAS COUNTY PRECINCT 0502                  ",   ,Under Votes                           ,16,,,,,,,,,,,,,,,,,0.0,,,,,414.0,,,,,,,,
161,"CONSTABLE, DALLAS COUNTY PRECINCT 0601                  ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,8.0,,,,
162,"CONSTABLE, DALLAS COUNTY PRECINCT 0601                  ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,
163,"CONSTABLE, DALLAS COUNTY PRECINCT 0601                  ",   ,Under Votes                           ,10,,,,,,,,,,,,,,,,,0.0,,,,,,,,,256.0,,,,
164,"CONSTABLE, DALLAS COUNTY PRECINCT 0701                  ",NON,Write-In                              ,0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,
165,"CONSTABLE, DALLAS COUNTY PRECINCT 0701                  ",   ,Over Votes                            ,0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,
166,"CONSTABLE, DALLAS COUNTY PRECINCT 0701                  ",   ,Under Votes                           ,2,,,,,,,,76.0,,,,,,,,,0.0,,,,,,,,,,,,,
167,"CONSTABLE, DALLAS COUNTY PRECINCT 0801                  ",NON,Write-In                              ,4,,,,,,,,,,,,44.0,,,,,0.0,,,,,,,,,,,,,
168,"CONSTABLE, DALLAS COUNTY PRECINCT 0801                  ",   ,Over Votes                            ,0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,
169,"CONSTABLE, DALLAS COUNTY PRECINCT 0801                  ",   ,Under Votes                           ,24,,,,,,,,,,,,932.0,,,,,0.0,,,,,,,,,,,,,
170,"CONSTABLE, DALLAS COUNTY PRECINCT 0901                  ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,50.0,,
171,"CONSTABLE, DALLAS COUNTY PRECINCT 0901                  ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,
172,"CONSTABLE, DALLAS COUNTY PRECINCT 0901                  ",   ,Under Votes                           ,77,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1012.0,,
173,"CONSTABLE, DALLAS COUNTY PRECINCT 1001                  ",NON,Write-In                              ,1,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,31.0,,,
174,"CONSTABLE, DALLAS COUNTY PRECINCT 1001                  ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,
175,"CONSTABLE, DALLAS COUNTY PRECINCT 1001                  ",   ,Under Votes                           ,21,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,758.0,,,
176,"CONSTABLE, DALLAS COUNTY PRECINCT 1101                  ",NON,Write-In                              ,1,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,,
177,"CONSTABLE, DALLAS COUNTY PRECINCT 1101                  ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,
178,"CONSTABLE, DALLAS COUNTY PRECINCT 1101                  ",   ,Under Votes                           ,3,,,,,,,,,,,,,,,,,0.0,,,130.0,,,,,,,,,,
179,"CONSTABLE, DALLAS COUNTY PRECINCT 1201                  ",NON,Write-In                              ,1,,,,,,,,,,18.0,,,,,,,0.0,,,,,,,,,,,,,
180,"CONSTABLE, DALLAS COUNTY PRECINCT 1201                  ",   ,Over Votes                            ,0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,
181,"CONSTABLE, DALLAS COUNTY PRECINCT 1201                  ",   ,Under Votes                           ,7,,,,,,,,,,350.0,,,,,,,0.0,,,,,,,,,,,,,
182,"CONSTABLE, DALLAS COUNTY PRECINCT 1301                  ",DEM,"Lee A. Green, Jr.                     ",18,,,,,,,,,,,,,,,,,0.0,,,,,,391.0,,,,,,,
183,"CONSTABLE, DALLAS COUNTY PRECINCT 1301                  ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,0.0,,,,,,6.0,,,,,,,
184,"CONSTABLE, DALLAS COUNTY PRECINCT 1301                  ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,
185,"CONSTABLE, DALLAS COUNTY PRECINCT 1301                  ",   ,Under Votes                           ,7,,,,,,,,,,,,,,,,,0.0,,,,,,105.0,,,,,,,
186,"CONSTABLE, DALLAS COUNTY PRECINCT 1501                  ",NON,Write-In                              ,1,,,,4.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
