,Contest Title,Party,Candidate,ABSENTEE,ASPEL JACKSON WATERWORKS,BISHOP HALL'S STORE,BRIDGEPORT COMMUNITY CTR,BRYANT COMMUNITY BLDG_,CHRISTIAN HOME,CROW FIRE HALL,DEAN'S CHAPEL COMMUNITY,DUTTON CITY HALL,ESTILL FORK PRINCES STORE,FACKLER FIRE HALL,FLAT ROCK RURITAN BLDG_,GARTH BAPTIST CHURCH,HAMBRICK COMMUNITY,HIGDON NORTH SAND MT_ SCH,HOLLY SPRINGS BAPTIST CH,HOLLYTREE GROCERY,HOLLYWOOD CITY HALL,HYTOP TOWN HALL,LANGSTON CITY HALL,LARKINSVILLE STOCK BARN,LETCHER CHURCH OF GOD,LIMROCK FIRE HALL,LONG ISLAND COMMUNITY CTR,MACEDONIA SCHOOL,MINKCREEK NEWHOPE METHODI,PAINT ROCK SR CITIZEN CTR,PISGAH CITY HALL,PLEASANT GROVES COMM_ CTR,PRINCETON FIRE HALL,PROVISIONAL,ROSALIE COMMUNITY CTR_,SCOTTSBORO REC_COM_ BLDG_,SECTION NEW CITY HALL,SKYLINE CITY HALL,STEVENSON CITY PARK,TRENTON FIRE HALL,TUPELO/PIKEVILLE STORE,WOODVILLE BOB JONES COMM_
66,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,286,77.0,40.0,602.0,405.0,84.0,68.0,88.0,336.0,45.0,145.0,158.0,59.0,6.0,331.0,26.0,47.0,299.0,88.0,40.0,132.0,89.0,78.0,25.0,263,84,76.0,0.0,47.0,32.0,0.0,239.0,1726.0,274.0,283.0,610.0,26.0,93.0,186.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,250,52.0,10.0,357.0,240.0,88.0,43.0,147.0,379.0,23.0,110.0,160.0,30.0,9.0,190.0,33.0,33.0,247.0,33.0,55.0,128.0,55.0,28.0,26.0,213,78,89.0,352.0,50.0,20.0,0.0,230.0,2213.0,303.0,197.0,466.0,19.0,85.0,193.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,204,50.0,11.0,344.0,165.0,71.0,40.0,72.0,260.0,16.0,113.0,98.0,33.0,3.0,144.0,33.0,26.0,185.0,37.0,39.0,114.0,39.0,48.0,15.0,165,45,32.0,241.0,30.0,24.0,0.0,156.0,1471.0,190.0,228.0,388.0,19.0,61.0,195.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,322,89.0,40.0,636.0,446.0,95.0,73.0,100.0,369.0,46.0,161.0,172.0,57.0,6.0,370.0,23.0,46.0,306.0,102.0,42.0,139.0,94.0,82.0,27.0,282,94,90.0,0.0,45.0,24.0,0.0,257.0,1895.0,305.0,312.0,661.0,32.0,106.0,207.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,238,47.0,2.0,295.0,200.0,77.0,32.0,92.0,255.0,17.0,76.0,105.0,22.0,4.0,158.0,25.0,22.0,184.0,21.0,39.0,119.0,26.0,29.0,14.0,138,54,52.0,265.0,19.0,13.0,0.0,159.0,1562.0,214.0,153.0,392.0,13.0,68.0,163.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,115,33.0,5.0,238.0,111.0,33.0,24.0,55.0,179.0,12.0,74.0,71.0,17.0,2.0,115.0,28.0,14.0,143.0,25.0,26.0,59.0,38.0,17.0,22.0,116,32,26.0,166.0,22.0,8.0,0.0,112.0,983.0,135.0,155.0,291.0,13.0,35.0,113.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,425,111.0,54.0,804.0,540.0,144.0,100.0,172.0,574.0,56.0,234.0,254.0,81.0,12.0,432.0,36.0,69.0,411.0,126.0,71.0,203.0,124.0,112.0,32.0,404,131,134.0,0.0,84.0,47.0,0.0,372.0,3034.0,449.0,430.0,833.0,44.0,149.0,319.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,392,86.0,13.0,549.0,374.0,119.0,64.0,175.0,466.0,29.0,183.0,208.0,46.0,12.0,287.0,51.0,45.0,335.0,69.0,74.0,177.0,79.0,55.0,33.0,304,107,103.0,450.0,57.0,27.0,0.0,314.0,2871.0,391.0,331.0,675.0,32.0,123.0,306.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,119,39.0,11.0,248.0,100.0,63.0,34.0,72.0,245.0,14.0,80.0,76.0,27.0,2.0,120.0,16.0,21.0,146.0,21.0,30.0,76.0,38.0,25.0,13.0,118,40,44.0,215.0,29.0,14.0,0.0,126.0,1161.0,148.0,153.0,301.0,12.0,56.0,118.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,269,66.0,37.0,538.0,377.0,72.0,58.0,72.0,297.0,42.0,121.0,146.0,47.0,4.0,298.0,22.0,39.0,256.0,82.0,32.0,128.0,71.0,78.0,22.0,238,70,65.0,0.0,39.0,27.0,0.0,203.0,1543.0,258.0,254.0,540.0,26.0,73.0,171.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,198,37.0,2.0,278.0,174.0,58.0,21.0,75.0,213.0,16.0,71.0,88.0,13.0,5.0,150.0,21.0,21.0,153.0,16.0,34.0,101.0,31.0,27.0,11.0,124,48,47.0,216.0,24.0,8.0,0.0,136.0,1285.0,190.0,140.0,371.0,16.0,59.0,138.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,147,41.0,5.0,258.0,123.0,53.0,38.0,70.0,220.0,9.0,72.0,81.0,24.0,4.0,112.0,30.0,14.0,170.0,28.0,29.0,74.0,35.0,18.0,22.0,110,33,34.0,198.0,17.0,9.0,0.0,121.0,1217.0,150.0,159.0,312.0,9.0,41.0,146.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,434,113.0,54.0,801.0,554.0,143.0,97.0,173.0,574.0,60.0,241.0,261.0,83.0,9.0,443.0,38.0,70.0,415.0,128.0,73.0,206.0,122.0,113.0,35.0,424,136,131.0,0.0,84.0,51.0,0.0,386.0,3076.0,458.0,439.0,833.0,45.0,152.0,311.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,236,40.0,3.0,321.0,203.0,76.0,36.0,89.0,252.0,13.0,84.0,113.0,19.0,1.0,165.0,30.0,20.0,211.0,22.0,43.0,114.0,35.0,24.0,14.0,156,50,61.0,267.0,20.0,7.0,0.0,154.0,1610.0,218.0,162.0,477.0,14.0,67.0,163.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,106,40.0,4.0,210.0,97.0,38.0,27.0,53.0,186.0,13.0,67.0,63.0,18.0,5.0,109.0,22.0,14.0,104.0,24.0,25.0,69.0,30.0,18.0,19.0,95,36,20.0,151.0,17.0,9.0,0.0,97.0,890.0,122.0,148.0,223.0,14.0,37.0,113.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,437,111.0,54.0,806.0,551.0,140.0,93.0,177.0,570.0,59.0,233.0,254.0,83.0,12.0,431.0,37.0,71.0,423.0,126.0,68.0,198.0,123.0,116.0,35.0,409,131,131.0,0.0,88.0,52.0,0.0,391.0,3080.0,458.0,428.0,815.0,42.0,148.0,319.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,268,56.0,4.0,392.0,226.0,94.0,41.0,121.0,322.0,19.0,132.0,116.0,28.0,3.0,211.0,18.0,22.0,274.0,44.0,49.0,136.0,52.0,42.0,14.0,187,78,83.0,333.0,39.0,19.0,0.0,219.0,2457.0,295.0,211.0,565.0,22.0,84.0,204.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,193,56.0,15.0,311.0,184.0,65.0,39.0,98.0,313.0,20.0,110.0,136.0,34.0,9.0,139.0,45.0,37.0,183.0,35.0,42.0,112.0,37.0,36.0,27.0,194,59,52.0,280.0,39.0,19.0,0.0,171.0,1358.0,212.0,218.0,306.0,16.0,63.0,194.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,319,79.0,42.0,634.0,441.0,95.0,76.0,100.0,373.0,46.0,140.0,178.0,58.0,6.0,355.0,26.0,46.0,281.0,93.0,44.0,133.0,99.0,80.0,27.0,278,80,77.0,0.0,47.0,30.0,0.0,252.0,1764.0,291.0,309.0,644.0,32.0,105.0,197.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,129,28.0,3.0,227.0,127.0,45.0,19.0,75.0,158.0,8.0,45.0,57.0,15.0,1.0,112.0,10.0,15.0,172.0,14.0,29.0,87.0,18.0,25.0,11.0,95,32,31.0,173.0,10.0,6.0,0.0,98.0,1285.0,153.0,92.0,334.0,8.0,47.0,97.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,228,57.0,5.0,319.0,180.0,73.0,47.0,88.0,318.0,20.0,108.0,125.0,27.0,7.0,171.0,41.0,25.0,178.0,37.0,41.0,102.0,51.0,23.0,22.0,193,66,71.0,295.0,33.0,18.0,0.0,204.0,1489.0,244.0,237.0,381.0,22.0,68.0,203.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,421,106.0,53.0,791.0,544.0,136.0,89.0,156.0,532.0,57.0,231.0,247.0,78.0,10.0,422.0,38.0,65.0,387.0,121.0,66.0,192.0,119.0,110.0,35.0,372,119,110.0,0.0,82.0,44.0,0.0,341.0,2804.0,401.0,409.0,800.0,40.0,137.0,295.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,283,52.0,10.0,385.0,245.0,81.0,42.0,108.0,329.0,21.0,123.0,137.0,26.0,8.0,209.0,25.0,28.0,270.0,33.0,42.0,141.0,54.0,36.0,22.0,216,73,69.0,318.0,44.0,15.0,0.0,193.0,2154.0,272.0,222.0,553.0,20.0,93.0,175.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,202,68.0,10.0,329.0,192.0,85.0,45.0,115.0,327.0,17.0,108.0,117.0,39.0,3.0,169.0,40.0,28.0,189.0,45.0,54.0,110.0,46.0,46.0,19.0,174,71,68.0,311.0,32.0,23.0,0.0,214.0,1661.0,248.0,232.0,348.0,23.0,66.0,234.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,295,71.0,41.0,623.0,413.0,87.0,69.0,96.0,351.0,47.0,153.0,175.0,55.0,7.0,327.0,24.0,48.0,279.0,94.0,40.0,130.0,88.0,76.0,27.0,269,73,75.0,0.0,49.0,30.0,0.0,236.0,1758.0,278.0,283.0,614.0,27.0,93.0,186.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,272,67.0,13.0,468.0,316.0,112.0,59.0,151.0,471.0,28.0,172.0,162.0,35.0,11.0,286.0,31.0,37.0,356.0,57.0,61.0,152.0,76.0,63.0,23.0,308,102,112.0,441.0,53.0,24.0,0.0,290.0,2841.0,412.0,266.0,620.0,24.0,104.0,261.0
100,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,174,54.0,11.0,254.0,111.0,52.0,36.0,67.0,228.0,19.0,63.0,99.0,27.0,3.0,95.0,36.0,20.0,116.0,30.0,32.0,83.0,35.0,27.0,20.0,122,37,31.0,197.0,30.0,13.0,0.0,125.0,1114.0,148.0,183.0,280.0,17.0,54.0,135.0
101,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
102,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,332,70.0,37.0,614.0,423.0,90.0,61.0,101.0,309.0,38.0,148.0,168.0,58.0,4.0,324.0,22.0,48.0,266.0,85.0,43.0,146.0,77.0,68.0,25.0,230,78,69.0,0.0,42.0,31.0,0.0,228.0,1623.0,238.0,289.0,616.0,29.0,94.0,199.0
103,"MEMBER, JACKSON COUNTY COMMISSION, DISTRICT NO. 3       ",DEM,Dennis Miller                         ,303,65.0,21.0,456.0,195.0,83.0,41.0,108.0,347.0,20.0,146.0,105.0,36.0,4.0,207.0,21.0,32.0,273.0,51.0,43.0,116.0,48.0,59.0,16.0,270,83,66.0,348.0,42.0,37.0,0.0,256.0,2375.0,249.0,266.0,654.0,16.0,67.0,201.0
104,"MEMBER, JACKSON COUNTY COMMISSION, DISTRICT NO. 3       ",REP,Melinda Gilbert                       ,445,114.0,29.0,823.0,598.0,159.0,101.0,197.0,610.0,51.0,223.0,285.0,74.0,13.0,446.0,61.0,64.0,444.0,100.0,86.0,246.0,118.0,91.0,48.0,361,131,130.0,536.0,67.0,25.0,0.0,353.0,3058.0,502.0,435.0,774.0,46.0,183.0,365.0
105,"MEMBER, JACKSON COUNTY COMMISSION, DISTRICT NO. 3       ",NON,Write-In                              ,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,1.0
106,"MEMBER, JACKSON COUNTY COMMISSION, DISTRICT NO. 3       ",   ,Over Votes                            ,0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0
107,"MEMBER, JACKSON COUNTY COMMISSION, DISTRICT NO. 3       ",   ,Under Votes                           ,33,12.0,11.0,54.0,57.0,12.0,12.0,14.0,51.0,13.0,14.0,39.0,10.0,1.0,52.0,7.0,9.0,19.0,21.0,7.0,17.0,22.0,8.0,4.0,28,3,16.0,0.0,16.0,6.0,0.0,34.0,139.0,44.0,36.0,85.0,8.0,2.0,28.0
108,"MEMBER, JACKSON COUNTY COMMISSION, DISTRICT NO. 4       ",DEM,Stacy Ledwell                         ,332,73.0,14.0,485.0,176.0,78.0,69.0,90.0,420.0,33.0,194.0,93.0,31.0,4.0,187.0,23.0,34.0,391.0,79.0,41.0,150.0,103.0,72.0,13.0,275,89,50.0,353.0,66.0,37.0,0.0,235.0,2634.0,383.0,441.0,667.0,15.0,92.0,228.0
109,"MEMBER, JACKSON COUNTY COMMISSION, DISTRICT NO. 4       ",REP,Mike Sisk                             ,418,110.0,45.0,769.0,609.0,158.0,83.0,205.0,541.0,52.0,173.0,286.0,86.0,14.0,459.0,59.0,68.0,318.0,80.0,89.0,214.0,70.0,75.0,49.0,345,125,147.0,521.0,51.0,30.0,0.0,358.0,2805.0,361.0,282.0,748.0,51.0,157.0,352.0
110,"MEMBER, JACKSON COUNTY COMMISSION, DISTRICT NO. 4       ",NON,Write-In                              ,1,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0
111,"MEMBER, JACKSON COUNTY COMMISSION, DISTRICT NO. 4       ",   ,Over Votes                            ,1,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
112,"MEMBER, JACKSON COUNTY COMMISSION, DISTRICT NO. 4       ",   ,Under Votes                           ,30,8.0,2.0,79.0,64.0,18.0,4.0,22.0,46.0,0.0,16.0,48.0,3.0,0.0,59.0,7.0,3.0,28.0,13.0,6.0,17.0,15.0,11.0,6.0,38,3,15.0,0.0,8.0,1.0,0.0,50.0,132.0,53.0,14.0,100.0,4.0,3.0,15.0
113,"SUPERINTENDENT, JACKSON COUNTY BOARD OF EDUCATION       ",REP,Kevin Dukes                           ,334,142.0,34.0,963.0,666.0,198.0,112.0,249.0,774.0,66.0,285.0,338.0,88.0,17.0,540.0,69.0,67.0,486.0,118.0,102.0,245.0,140.0,96.0,56.0,549,104,157.0,658.0,81.0,43.0,0.0,447.0,32.0,627.0,596.0,1040.0,50.0,217.0,471.0
114,"SUPERINTENDENT, JACKSON COUNTY BOARD OF EDUCATION       ",NON,Write-In                              ,7,1.0,0.0,12.0,5.0,5.0,2.0,1.0,9.0,0.0,2.0,5.0,2.0,0.0,6.0,0.0,0.0,8.0,3.0,0.0,1.0,0.0,1.0,0.0,3,1,0.0,0.0,3.0,2.0,0.0,5.0,1.0,5.0,9.0,12.0,0.0,0.0,2.0
115,"SUPERINTENDENT, JACKSON COUNTY BOARD OF EDUCATION       ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,"SUPERINTENDENT, JACKSON COUNTY BOARD OF EDUCATION       ",   ,Under Votes                           ,115,48.0,27.0,362.0,180.0,51.0,42.0,69.0,225.0,19.0,97.0,87.0,30.0,1.0,159.0,20.0,38.0,244.0,51.0,34.0,66.0,48.0,61.0,12.0,108,32,55.0,0.0,41.0,23.0,0.0,191.0,8.0,166.0,133.0,464.0,20.0,35.0,122.0
117,"MEMBER, JACKSON COUNTY BOARD OF EDUCATION,              ",REP,Angela Guess                          ,334,135.0,34.0,973.0,660.0,192.0,104.0,245.0,745.0,61.0,289.0,336.0,87.0,16.0,534.0,67.0,67.0,489.0,118.0,98.0,241.0,124.0,91.0,53.0,491,102,154.0,656.0,78.0,37.0,0.0,435.0,32.0,571.0,548.0,1109.0,52.0,210.0,463.0
118,"MEMBER, JACKSON COUNTY BOARD OF EDUCATION,              ",NON,Write-In                              ,7,1.0,0.0,15.0,3.0,6.0,1.0,0.0,3.0,0.0,3.0,5.0,1.0,0.0,6.0,1.0,0.0,6.0,0.0,2.0,1.0,0.0,1.0,0.0,1,0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,3.0,4.0,8.0,0.0,0.0,1.0
119,"MEMBER, JACKSON COUNTY BOARD OF EDUCATION,              ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
120,"MEMBER, JACKSON COUNTY BOARD OF EDUCATION,              ",   ,Under Votes                           ,114,55.0,27.0,349.0,188.0,56.0,51.0,74.0,260.0,24.0,92.0,89.0,32.0,2.0,164.0,21.0,38.0,243.0,54.0,36.0,70.0,64.0,66.0,15.0,168,35,58.0,0.0,46.0,30.0,0.0,204.0,8.0,224.0,186.0,398.0,18.0,42.0,131.0
121,"MEMBER, JACKSON COUNTY BOARD OF EDUCATION,              ",DEM,Felix Jackson                         ,163,53.0,21.0,843.0,321.0,65.0,47.0,80.0,395.0,21.0,230.0,100.0,25.0,4.0,260.0,15.0,35.0,376.0,60.0,47.0,97.0,64.0,50.0,25.0,334,48,46.0,226.0,39.0,37.0,0.0,172.0,19.0,364.0,291.0,1088.0,13.0,84.0,180.0
122,"MEMBER, JACKSON COUNTY BOARD OF EDUCATION,              ",REP,Cecil Gant                            ,291,126.0,34.0,467.0,509.0,179.0,94.0,233.0,576.0,56.0,142.0,318.0,83.0,12.0,420.0,68.0,61.0,339.0,92.0,86.0,193.0,107.0,97.0,39.0,310,86,152.0,686.0,75.0,26.0,0.0,458.0,21.0,402.0,409.0,400.0,51.0,164.0,396.0
123,"MEMBER, JACKSON COUNTY BOARD OF EDUCATION,              ",NON,Write-In                              ,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
124,"MEMBER, JACKSON COUNTY BOARD OF EDUCATION,              ",   ,Over Votes                            ,1,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
125,"MEMBER, JACKSON COUNTY BOARD OF EDUCATION,              ",   ,Under Votes                           ,21,12.0,6.0,22.0,20.0,10.0,14.0,6.0,36.0,8.0,12.0,11.0,12.0,2.0,25.0,5.0,9.0,23.0,20.0,3.0,22.0,17.0,11.0,4.0,16,3,14.0,0.0,11.0,5.0,0.0,13.0,1.0,30.0,37.0,26.0,6.0,4.0,19.0
