,Contest Title,Party,Candidate,1ST BAPTIST PELHAM ANNEX,1ST CHRISTIAN CHURCH,1ST PRESBYTERIAN CHURCH,ABSENTEE,ALABASTER LIBERTY BAPTIST,ASBURY UNITED METHODIST,BAY SPRINGS BAPTIST,CAMP BRANCH CIVIC CENTER,CHELSEA CHURCH OF GOD,CHELSEA COMMUNITY CTR_,CHRIST UNITED METHODIST,COLUMBIANA REC_ BUILDING,CONCORD BAPTIST CHURCH,DUNNAVANT COMM_ CTR_,EVANGEL PRESBY_ CHURCH,FAITH PRESBYTERIAN CHURCH,FOURMILE VOL_ FIRE/RESCUE,GREYSTONE FARMS CLUBHOUSE,HARPERSVILLE CITY HALL,HELENA COMMUNITY CENTER,HOOVER FIRE STATION #8,MAYLENE PENTECOSTAL LIGHT,MEADOWBROOK BAPTIST,MONTEVALLO PARKS & REC_,NEW HOPE CUMBERLAND PRSBY,NEW LIFE ASSEMBLY OF GOD,NORTH SHELBY BAPTIST,PEA RIDGE COMMUNITY CTR_,PELHAM CIVIC COMPLEX,PROVISIONAL,RIVERCHASE BAPTIST,RIVERCHASE CHURCH CHRIST,ROY DOWNS MEMORIAL LIBRARY,SHELBY IRON WORKS PARK,SHOAL CREEK TOWN HALL,SILURIA BAPTIST CHURCH,SOUTHCREST BAPTIST CHURCH,SOUTHSIDE BAPTIST CHURCH,SPORTS BLASTSHELBY CO_,THE CHURCH AT BROOKHILLS,TURNER HOLLIS LEGION #195,UN METHODIST ALABASTER,UNDERWOOD BAPTIST CHURCH,UNIVERSITY BAPTIST CHURCH,VALLEYDALE BAPTIST,VANDIVER-STERETT SR_ CTR_,VINCENT REVIVAL CTR_,WILSONVILLE UN_ METHODIST,WILTON BAPTIST
49,"CIRCUIT COURT JUDGE, 18TH JUDICIAL CIRCUIT, PLACE 3     ",NON,Write-In                              ,65.0,34.0,35.0,34,17.0,26.0,2.0,7.0,14.0,6.0,10.0,10.0,71.0,4.0,43.0,6.0,3.0,11.0,7.0,90.0,13.0,9.0,39.0,38.0,15.0,23.0,1.0,1.0,73.0,0,43.0,28.0,55.0,10.0,6.0,36.0,23.0,38.0,60.0,37.0,0.0,43.0,0.0,18.0,15.0,2.0,9.0,3.0,3.0
50,"CIRCUIT COURT JUDGE, 18TH JUDICIAL CIRCUIT, PLACE 3     ",   ,Over Votes                            ,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,"CIRCUIT COURT JUDGE, 18TH JUDICIAL CIRCUIT, PLACE 3     ",   ,Under Votes                           ,856.0,606.0,577.0,819,385.0,494.0,98.0,174.0,395.0,207.0,424.0,502.0,950.0,38.0,822.0,387.0,76.0,199.0,255.0,1639.0,349.0,165.0,666.0,723.0,410.0,367.0,131.0,61.0,1267.0,0,715.0,518.0,920.0,133.0,162.0,548.0,366.0,561.0,887.0,733.0,72.0,562.0,39.0,265.0,576.0,52.0,325.0,260.0,116.0
52,"CIRCUIT COURT JUDGE, 18TH JUDICIAL CIRCUIT, PLACE 4     ",REP,Lara McCauley Alvis                   ,2340.0,2220.0,2022.0,2964,276.0,2247.0,624.0,856.0,2219.0,1236.0,1704.0,1782.0,2577.0,391.0,2853.0,1823.0,566.0,1025.0,621.0,5657.0,1449.0,596.0,2316.0,932.0,1833.0,2025.0,568.0,305.0,4697.0,0,1723.0,1815.0,2365.0,739.0,805.0,2023.0,1818.0,1904.0,3610.0,2730.0,237.0,1967.0,239.0,639.0,2394.0,525.0,787.0,1310.0,184.0
53,"CIRCUIT COURT JUDGE, 18TH JUDICIAL CIRCUIT, PLACE 4     ",NON,Write-In                              ,68.0,28.0,36.0,31,19.0,22.0,1.0,6.0,17.0,6.0,10.0,9.0,73.0,2.0,38.0,8.0,2.0,10.0,8.0,86.0,15.0,11.0,39.0,43.0,17.0,24.0,2.0,1.0,66.0,0,38.0,26.0,54.0,8.0,6.0,32.0,22.0,37.0,59.0,36.0,1.0,43.0,0.0,19.0,14.0,2.0,9.0,4.0,3.0
54,"CIRCUIT COURT JUDGE, 18TH JUDICIAL CIRCUIT, PLACE 4     ",   ,Over Votes                            ,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
55,"CIRCUIT COURT JUDGE, 18TH JUDICIAL CIRCUIT, PLACE 4     ",   ,Under Votes                           ,843.0,612.0,584.0,827,386.0,496.0,89.0,171.0,400.0,211.0,427.0,508.0,952.0,40.0,824.0,392.0,80.0,202.0,254.0,1629.0,354.0,162.0,666.0,729.0,411.0,367.0,135.0,60.0,1258.0,0,717.0,521.0,917.0,134.0,162.0,552.0,365.0,562.0,890.0,739.0,75.0,552.0,40.0,257.0,574.0,54.0,321.0,262.0,115.0
56,"DISTRICT ATTORNEY, 18TH JUDICIAL CIRCUIT                ",REP,Jill H. Lee                           ,2319.0,2209.0,2025.0,2964,284.0,2246.0,616.0,854.0,2220.0,1235.0,1692.0,1791.0,2575.0,389.0,2855.0,1820.0,562.0,1028.0,624.0,5641.0,1449.0,595.0,2309.0,933.0,1824.0,2020.0,568.0,302.0,4669.0,0,1717.0,1810.0,2353.0,738.0,803.0,2021.0,1814.0,1893.0,3596.0,2729.0,242.0,1950.0,239.0,639.0,2375.0,525.0,784.0,1313.0,185.0
57,"DISTRICT ATTORNEY, 18TH JUDICIAL CIRCUIT                ",NON,Write-In                              ,64.0,28.0,30.0,30,15.0,22.0,3.0,9.0,17.0,5.0,12.0,8.0,72.0,3.0,41.0,5.0,3.0,10.0,6.0,86.0,14.0,10.0,40.0,35.0,14.0,27.0,1.0,1.0,64.0,0,41.0,25.0,58.0,8.0,7.0,31.0,20.0,38.0,59.0,33.0,0.0,40.0,0.0,16.0,14.0,2.0,8.0,3.0,3.0
58,"DISTRICT ATTORNEY, 18TH JUDICIAL CIRCUIT                ",   ,Over Votes                            ,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
59,"DISTRICT ATTORNEY, 18TH JUDICIAL CIRCUIT                ",   ,Under Votes                           ,868.0,623.0,587.0,830,382.0,497.0,95.0,170.0,399.0,213.0,437.0,500.0,958.0,41.0,819.0,398.0,83.0,199.0,253.0,1645.0,354.0,164.0,672.0,735.0,423.0,369.0,136.0,63.0,1289.0,0,720.0,527.0,926.0,135.0,163.0,556.0,371.0,572.0,904.0,743.0,72.0,572.0,40.0,260.0,593.0,55.0,325.0,259.0,114.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,1938.0,1671.0,1605.0,2283,371.0,1682.0,365.0,570.0,1552.0,856.0,1231.0,1241.0,2182.0,227.0,2245.0,1307.0,336.0,715.0,490.0,4227.0,1057.0,437.0,1812.0,978.0,1300.0,1368.0,428.0,191.0,3615.0,0,1539.0,1406.0,1942.0,481.0,601.0,1516.0,1286.0,1481.0,2669.0,2083.0,161.0,1625.0,136.0,546.0,1698.0,269.0,640.0,838.0,149.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,666.0,664.0,575.0,699,102.0,584.0,200.0,219.0,659.0,334.0,520.0,499.0,771.0,125.0,797.0,503.0,150.0,288.0,192.0,1652.0,392.0,177.0,679.0,337.0,521.0,539.0,149.0,81.0,1353.0,0,542.0,521.0,717.0,216.0,199.0,595.0,508.0,523.0,1153.0,766.0,58.0,516.0,65.0,204.0,735.0,138.0,231.0,359.0,70.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0.0,0.0,0.0,1,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,648.0,525.0,462.0,843,208.0,497.0,149.0,244.0,425.0,262.0,390.0,558.0,652.0,81.0,672.0,411.0,162.0,234.0,200.0,1491.0,367.0,155.0,527.0,388.0,440.0,509.0,128.0,94.0,1051.0,0,395.0,434.0,677.0,184.0,173.0,496.0,410.0,498.0,736.0,656.0,95.0,421.0,78.0,165.0,549.0,175.0,246.0,378.0,83.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,2375.0,2042.0,1942.0,2512,386.0,2118.0,518.0,713.0,1983.0,1041.0,1589.0,1467.0,2586.0,306.0,2725.0,1708.0,447.0,853.0,582.0,5318.0,1259.0,547.0,2192.0,1123.0,1677.0,1652.0,507.0,248.0,4556.0,0,1843.0,1770.0,2266.0,600.0,738.0,1825.0,1613.0,1833.0,3290.0,2508.0,215.0,1893.0,169.0,658.0,2254.0,354.0,752.0,1047.0,196.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,517.0,474.0,422.0,716,114.0,377.0,119.0,182.0,429.0,257.0,328.0,451.0,629.0,68.0,643.0,326.0,108.0,227.0,166.0,1197.0,280.0,131.0,501.0,294.0,397.0,450.0,126.0,58.0,979.0,0,378.0,358.0,595.0,180.0,130.0,496.0,366.0,418.0,787.0,554.0,35.0,415.0,65.0,171.0,450.0,121.0,196.0,306.0,54.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,1.0,2.0,1.0,0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,1.0,2.0,2.0,0.0,5.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,3.0,0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,359.0,342.0,277.0,617,181.0,267.0,77.0,138.0,224.0,155.0,223.0,379.0,388.0,59.0,343.0,188.0,91.0,155.0,135.0,852.0,279.0,91.0,326.0,286.0,185.0,312.0,72.0,60.0,484.0,0,255.0,233.0,473.0,100.0,105.0,287.0,224.0,251.0,478.0,441.0,62.0,253.0,45.0,85.0,275.0,107.0,168.0,223.0,52.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,1730.0,1535.0,1391.0,1914,275.0,1565.0,320.0,475.0,1416.0,761.0,1191.0,1059.0,1868.0,223.0,2011.0,1192.0,298.0,675.0,366.0,3915.0,1010.0,395.0,1702.0,762.0,1255.0,1248.0,371.0,169.0,3308.0,0,1380.0,1279.0,1660.0,416.0,543.0,1368.0,1177.0,1318.0,2415.0,1938.0,148.0,1416.0,105.0,468.0,1691.0,225.0,474.0,694.0,124.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,781.0,677.0,719.0,896,184.0,564.0,243.0,281.0,707.0,371.0,457.0,620.0,960.0,120.0,921.0,523.0,164.0,261.0,288.0,1736.0,344.0,200.0,684.0,508.0,512.0,575.0,173.0,96.0,1455.0,0,603.0,533.0,907.0,256.0,194.0,670.0,539.0,623.0,1162.0,740.0,66.0,637.0,92.0,272.0,639.0,174.0,382.0,480.0,91.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,0.0,0.0,2.0,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,741.0,648.0,530.0,1014,222.0,635.0,151.0,277.0,512.0,321.0,493.0,620.0,775.0,90.0,781.0,507.0,186.0,301.0,228.0,1719.0,464.0,174.0,634.0,434.0,494.0,593.0,161.0,101.0,1257.0,0,493.0,548.0,769.0,209.0,236.0,571.0,488.0,562.0,982.0,826.0,100.0,508.0,82.0,175.0,652.0,183.0,261.0,402.0,87.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,1983.0,1772.0,1619.0,2270,358.0,1731.0,376.0,579.0,1585.0,881.0,1368.0,1231.0,2177.0,228.0,2318.0,1386.0,341.0,737.0,492.0,4454.0,1089.0,454.0,1869.0,933.0,1400.0,1418.0,439.0,190.0,3762.0,0,1516.0,1465.0,1969.0,481.0,563.0,1588.0,1338.0,1513.0,2744.0,2116.0,163.0,1626.0,125.0,552.0,1869.0,275.0,615.0,818.0,175.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,614.0,526.0,555.0,690,115.0,514.0,205.0,209.0,615.0,307.0,359.0,503.0,760.0,118.0,705.0,404.0,146.0,230.0,196.0,1424.0,318.0,155.0,585.0,363.0,436.0,478.0,134.0,82.0,1190.0,0,531.0,417.0,698.0,215.0,208.0,514.0,454.0,504.0,995.0,689.0,55.0,509.0,83.0,213.0,551.0,136.0,259.0,384.0,55.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,3.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,652.0,562.0,468.0,865,208.0,518.0,133.0,245.0,436.0,265.0,414.0,562.0,666.0,85.0,691.0,433.0,160.0,269.0,194.0,1491.0,411.0,160.0,566.0,407.0,423.0,520.0,132.0,94.0,1067.0,0,428.0,480.0,670.0,185.0,201.0,506.0,412.0,484.0,818.0,698.0,96.0,425.0,70.0,150.0,561.0,169.0,242.0,374.0,72.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,1767.0,1550.0,1424.0,1991,291.0,1556.0,317.0,481.0,1429.0,702.0,1233.0,1014.0,1920.0,208.0,1988.0,1250.0,261.0,691.0,352.0,3900.0,966.0,389.0,1693.0,755.0,1252.0,1229.0,372.0,155.0,3266.0,0,1420.0,1350.0,1583.0,410.0,530.0,1340.0,1178.0,1309.0,2408.0,1967.0,136.0,1408.0,109.0,477.0,1683.0,197.0,437.0,649.0,121.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,785.0,654.0,691.0,847,187.0,592.0,240.0,282.0,720.0,436.0,456.0,681.0,931.0,130.0,974.0,475.0,218.0,254.0,312.0,1774.0,370.0,207.0,693.0,540.0,519.0,590.0,186.0,112.0,1491.0,0,569.0,510.0,997.0,263.0,235.0,708.0,559.0,653.0,1226.0,742.0,81.0,646.0,94.0,262.0,684.0,204.0,426.0,529.0,100.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,0.0,0.0,2.0,1,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,3.0,0,3.0,1.0,5.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,700.0,656.0,525.0,987,202.0,616.0,157.0,270.0,486.0,313.0,452.0,604.0,752.0,95.0,751.0,497.0,169.0,291.0,219.0,1696.0,478.0,173.0,634.0,407.0,488.0,595.0,146.0,99.0,1262.0,0,486.0,501.0,752.0,207.0,208.0,560.0,465.0,539.0,924.0,796.0,97.0,507.0,75.0,176.0,614.0,181.0,254.0,398.0,81.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,1423.0,1191.0,1166.0,1457,219.0,1250.0,296.0,407.0,1170.0,590.0,972.0,922.0,1567.0,168.0,1696.0,979.0,233.0,510.0,302.0,3202.0,713.0,347.0,1308.0,593.0,946.0,1005.0,326.0,143.0,2660.0,0,1144.0,1083.0,1332.0,333.0,435.0,1111.0,989.0,1075.0,2064.0,1530.0,119.0,1154.0,108.0,381.0,1297.0,169.0,376.0,499.0,108.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,968.0,865.0,839.0,1108,225.0,750.0,237.0,313.0,837.0,475.0,580.0,689.0,1152.0,153.0,1125.0,635.0,219.0,344.0,335.0,2218.0,515.0,222.0,929.0,637.0,688.0,708.0,204.0,112.0,1801.0,0,732.0,632.0,1154.0,310.0,262.0,826.0,640.0,776.0,1345.0,980.0,89.0,771.0,82.0,303.0,894.0,216.0,435.0,566.0,102.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,2.0,1.0,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,6.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,859.0,803.0,637.0,1260,236.0,765.0,181.0,313.0,628.0,387.0,589.0,688.0,885.0,112.0,893.0,607.0,196.0,382.0,246.0,1946.0,590.0,199.0,783.0,471.0,627.0,703.0,174.0,111.0,1560.0,0,600.0,647.0,850.0,238.0,276.0,672.0,574.0,652.0,1148.0,994.0,106.0,636.0,89.0,231.0,791.0,197.0,305.0,509.0,92.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,1317.0,1137.0,1049.0,1533,233.0,1132.0,260.0,345.0,1062.0,575.0,800.0,817.0,1479.0,173.0,1567.0,878.0,196.0,496.0,282.0,2888.0,693.0,325.0,1255.0,585.0,843.0,898.0,290.0,134.0,2382.0,0,1070.0,900.0,1299.0,339.0,378.0,1059.0,850.0,1013.0,1805.0,1394.0,100.0,1073.0,91.0,337.0,1143.0,176.0,379.0,535.0,93.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,551.0,489.0,479.0,589,158.0,370.0,175.0,174.0,488.0,232.0,311.0,459.0,723.0,82.0,633.0,299.0,133.0,168.0,240.0,1266.0,293.0,137.0,507.0,433.0,338.0,387.0,118.0,83.0,997.0,0,416.0,363.0,753.0,182.0,139.0,460.0,352.0,432.0,810.0,544.0,61.0,428.0,64.0,174.0,430.0,119.0,305.0,296.0,79.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,0.0,0.0,1.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,1384.0,1234.0,1113.0,1705,290.0,1261.0,279.0,514.0,1086.0,646.0,1030.0,1023.0,1400.0,178.0,1514.0,1045.0,319.0,573.0,361.0,3213.0,832.0,307.0,1258.0,686.0,1080.0,1130.0,297.0,149.0,2643.0,0,992.0,1099.0,1285.0,360.0,456.0,1089.0,1001.0,1058.0,1943.0,1567.0,153.0,1060.0,124.0,402.0,1409.0,287.0,432.0,744.0,130.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,2108.0,1775.0,1726.0,2404,334.0,1868.0,442.0,607.0,1757.0,928.0,1373.0,1320.0,2306.0,263.0,2471.0,1429.0,382.0,756.0,434.0,4687.0,1047.0,468.0,1954.0,909.0,1463.0,1467.0,462.0,217.0,3986.0,0,1610.0,1506.0,1989.0,535.0,640.0,1666.0,1468.0,1594.0,2941.0,2224.0,145.0,1712.0,154.0,580.0,1926.0,294.0,595.0,909.0,147.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,549.0,504.0,477.0,585,153.0,394.0,154.0,179.0,498.0,267.0,365.0,432.0,674.0,92.0,624.0,371.0,120.0,212.0,266.0,1240.0,315.0,145.0,506.0,413.0,403.0,432.0,127.0,67.0,1043.0,0,444.0,437.0,670.0,174.0,145.0,456.0,352.0,421.0,818.0,582.0,76.0,422.0,59.0,198.0,515.0,125.0,291.0,319.0,81.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,3.0,3.0,3.0,0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,592.0,578.0,436.0,837,194.0,502.0,117.0,247.0,379.0,257.0,402.0,544.0,624.0,78.0,619.0,422.0,146.0,269.0,183.0,1441.0,455.0,156.0,557.0,381.0,394.0,517.0,116.0,82.0,992.0,0,424.0,419.0,675.0,172.0,188.0,485.0,384.0,488.0,798.0,699.0,93.0,427.0,66.0,137.0,538.0,161.0,231.0,347.0,74.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,1078.0,923.0,867.0,1276,207.0,958.0,220.0,283.0,846.0,449.0,665.0,682.0,1222.0,159.0,1273.0,704.0,181.0,424.0,246.0,2329.0,581.0,269.0,1036.0,538.0,671.0,758.0,245.0,106.0,1915.0,0,902.0,743.0,1158.0,284.0,328.0,918.0,692.0,821.0,1460.0,1139.0,89.0,949.0,76.0,290.0,913.0,145.0,335.0,444.0,79.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,768.0,719.0,659.0,832,179.0,554.0,211.0,236.0,692.0,356.0,452.0,586.0,970.0,94.0,924.0,455.0,149.0,251.0,280.0,1794.0,407.0,188.0,702.0,488.0,510.0,529.0,158.0,105.0,1474.0,0,586.0,525.0,872.0,228.0,195.0,604.0,511.0,604.0,1158.0,807.0,68.0,551.0,81.0,218.0,682.0,155.0,341.0,369.0,92.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,5.0,3.0,1.0,4,0.0,2.0,0.0,0.0,3.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,1401.0,1215.0,1115.0,1714,295.0,1251.0,283.0,514.0,1095.0,648.0,1022.0,1030.0,1411.0,180.0,1517.0,1064.0,317.0,562.0,357.0,3247.0,829.0,311.0,1281.0,677.0,1079.0,1130.0,302.0,155.0,2630.0,0,989.0,1093.0,1307.0,369.0,450.0,1086.0,1000.0,1076.0,1939.0,1559.0,157.0,1061.0,122.0,406.0,1386.0,282.0,441.0,763.0,131.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,1229.0,1063.0,1032.0,1447,257.0,1013.0,258.0,344.0,1008.0,535.0,768.0,766.0,1453.0,172.0,1476.0,808.0,206.0,452.0,337.0,2702.0,639.0,316.0,1215.0,655.0,768.0,852.0,273.0,133.0,2202.0,0,1012.0,863.0,1305.0,328.0,371.0,997.0,765.0,993.0,1760.0,1280.0,105.0,1037.0,82.0,335.0,1022.0,167.0,460.0,518.0,118.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,583.0,520.0,467.0,606,114.0,442.0,173.0,172.0,507.0,263.0,319.0,469.0,715.0,83.0,665.0,329.0,118.0,201.0,175.0,1326.0,300.0,147.0,490.0,350.0,377.0,401.0,128.0,73.0,1084.0,0,448.0,359.0,696.0,178.0,140.0,495.0,416.0,414.0,806.0,611.0,53.0,439.0,75.0,168.0,513.0,132.0,221.0,306.0,50.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,1439.0,1277.0,1143.0,1778,310.0,1310.0,283.0,517.0,1120.0,655.0,1054.0,1063.0,1435.0,178.0,1574.0,1086.0,324.0,584.0,371.0,3343.0,879.0,306.0,1315.0,699.0,1116.0,1164.0,304.0,160.0,2735.0,0,1018.0,1139.0,1335.0,375.0,462.0,1116.0,1024.0,1096.0,1991.0,1613.0,156.0,1086.0,122.0,412.0,1446.0,283.0,436.0,751.0,134.0
