,Contest Title,Party,Candidate,ABERNANT BAPT CH,ABSENTEE,ALBERTA BAPTIST CH,BELK ACTIVITY CENTER,BIG SANDY BAPTIST,BOBBY MILLER ACTIVITY,BUHL VFD STATION,CARROLLS CREEK BAPT,CHAPEL HILL BAPT,CHURCH OF THE HIGHLANDS,COALING TOWN HALL,COKER FIRE DEPT_,COMM CH COTTONDALE,CORNERSTONE BAPT CH,COTTONDALE METH CH,COUNTY ROAD CAMP #3,DUNCANVILLE MIDDLE SCHOOL,ECHOLA VFD,ELROD VFD STATION,FLATWOODS BAPT,FOREST LAKE METH,FOSTERS FIRE DEPT_,G G HARDIN COMM CENTER,HAGLER COMMUNITY CENTER,HOLT ELEMENTARY,KELLERMAN ANTIOCH BAPT,LAKEVIEW BAPT CH,MARY PHELPS CENTER,MAYFIELD FIRE,MCABEE CENTER,MCDONALD HUGHES CC,MONTGOMERY FIRE DEPT_,MOUNT OLIVE BAPTIST CH,MOUNT PILGRIM BAPTIST CH,NEW ZION MISSIONARY CH,NORTHPORT CITY HALL,NORTHPORT COM CENTER,NORTHSIDE LIONS CLUB,OLD REX APPLIANCE BLDG_,PETERSON COMMUNITY CH,PROVISIONAL,RALPH FIRE DEPT_,ROMULUS FIRE DEPT_,SHERIFF'S FIRING RANGE,STATION 2 CARROLLS CREEK,STILLMAN COLL HAYS CTR,TANNEHILL VLY BAPT,TUSCAL CRTHOUSE ANNEX,U OF A STUDENT REC/CTR_,UNITY BAPT,UNIVERSITY MALL,VANCE TOWN HALL,VESTAVIA HILLS ELEM,WHITSON CHURCH OF CHRIST,WINDHAM SPRINGS BAPT,YELLOW CREEK BAPTIST CH
48,"CIRCUIT COURT JUDGE, 6TH JUDICIAL CIRCUIT, PLACE 1      ",   ,Over Votes                            ,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
49,"CIRCUIT COURT JUDGE, 6TH JUDICIAL CIRCUIT, PLACE 1      ",   ,Under Votes                           ,107.0,1007,1424.0,2166.0,984.0,1950.0,58.0,407.0,391.0,945.0,291.0,99.0,385.0,734.0,234.0,116.0,393.0,34.0,35.0,619.0,204.0,410.0,134.0,31.0,808.0,19.0,288.0,738.0,19.0,879.0,1764.0,109.0,154.0,1358.0,537.0,898.0,765.0,112.0,1407.0,137.0,9,212.0,75.0,28.0,167.0,2176.0,258.0,343.0,500.0,270.0,671.0,217.0,599.0,5.0,23.0,69.0
50,"CIRCUIT COURT JUDGE, 6TH JUDICIAL CIRCUIT, PLACE 6      ",REP,Philip N. Lisenby                     ,708.0,1762,1196.0,2031.0,1640.0,3317.0,323.0,2511.0,1617.0,2764.0,1219.0,611.0,1010.0,290.0,767.0,402.0,1390.0,231.0,215.0,1378.0,439.0,593.0,1107.0,206.0,613.0,144.0,2008.0,2603.0,80.0,995.0,147.0,696.0,946.0,863.0,277.0,2341.0,958.0,632.0,572.0,522.0,24,376.0,229.0,208.0,801.0,317.0,1401.0,695.0,1609.0,109.0,1062.0,947.0,1603.0,34.0,164.0,517.0
51,"CIRCUIT COURT JUDGE, 6TH JUDICIAL CIRCUIT, PLACE 6      ",NON,Write-In                              ,6.0,37,101.0,158.0,57.0,134.0,5.0,18.0,17.0,42.0,7.0,4.0,35.0,45.0,19.0,5.0,35.0,0.0,3.0,31.0,14.0,23.0,9.0,0.0,59.0,1.0,18.0,36.0,0.0,50.0,61.0,2.0,12.0,100.0,25.0,58.0,50.0,3.0,66.0,2.0,1,2.0,2.0,2.0,5.0,98.0,15.0,26.0,54.0,8.0,61.0,12.0,37.0,0.0,0.0,1.0
52,"CIRCUIT COURT JUDGE, 6TH JUDICIAL CIRCUIT, PLACE 6      ",   ,Over Votes                            ,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,"CIRCUIT COURT JUDGE, 6TH JUDICIAL CIRCUIT, PLACE 6      ",   ,Under Votes                           ,106.0,1022,1450.0,2194.0,980.0,1962.0,58.0,408.0,391.0,1005.0,310.0,97.0,396.0,733.0,232.0,117.0,404.0,35.0,36.0,601.0,206.0,414.0,139.0,31.0,818.0,20.0,298.0,769.0,19.0,901.0,1780.0,110.0,161.0,1369.0,547.0,881.0,772.0,113.0,1410.0,139.0,9,210.0,78.0,27.0,177.0,2199.0,265.0,362.0,506.0,276.0,681.0,227.0,607.0,5.0,24.0,69.0
54,"DISTRICT ATTORNEY, 6TH JUDICIAL CIRCUIT                 ",DEM,"Dennis Steverson, Sr.                 ",96.0,1151,1783.0,2698.0,1173.0,2348.0,49.0,453.0,424.0,1408.0,335.0,79.0,509.0,898.0,272.0,129.0,467.0,26.0,33.0,647.0,275.0,427.0,197.0,21.0,1016.0,23.0,282.0,1027.0,20.0,1113.0,1899.0,106.0,183.0,1688.0,608.0,1120.0,910.0,100.0,1654.0,122.0,11,201.0,64.0,29.0,196.0,2428.0,248.0,503.0,814.0,310.0,910.0,283.0,720.0,5.0,19.0,77.0
55,"DISTRICT ATTORNEY, 6TH JUDICIAL CIRCUIT                 ",REP,Hays Webb                             ,697.0,1588,880.0,1549.0,1446.0,2926.0,328.0,2416.0,1556.0,2308.0,1153.0,620.0,899.0,140.0,724.0,380.0,1320.0,234.0,217.0,1315.0,356.0,572.0,1032.0,208.0,412.0,139.0,1978.0,2303.0,75.0,779.0,57.0,685.0,911.0,579.0,214.0,2096.0,808.0,625.0,342.0,512.0,22,376.0,239.0,204.0,768.0,122.0,1390.0,531.0,1241.0,78.0,833.0,877.0,1444.0,32.0,168.0,496.0
56,"DISTRICT ATTORNEY, 6TH JUDICIAL CIRCUIT                 ",NON,Write-In                              ,3.0,1,9.0,8.0,3.0,9.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,5.0,2.0,0.0,4.0,0.0,0.0,7.0,0.0,4.0,2.0,0.0,0.0,4.0,1.0,3.0,5.0,1.0,3.0,0.0,0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0
57,"DISTRICT ATTORNEY, 6TH JUDICIAL CIRCUIT                 ",   ,Over Votes                            ,0.0,1,6.0,6.0,2.0,15.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
58,"DISTRICT ATTORNEY, 6TH JUDICIAL CIRCUIT                 ",   ,Under Votes                           ,24.0,103,69.0,123.0,53.0,115.0,9.0,64.0,39.0,95.0,48.0,13.0,31.0,28.0,21.0,15.0,40.0,6.0,4.0,45.0,26.0,26.0,24.0,8.0,55.0,3.0,64.0,69.0,4.0,50.0,29.0,17.0,25.0,60.0,24.0,56.0,56.0,22.0,49.0,29.0,0,11.0,6.0,4.0,18.0,56.0,41.0,46.0,107.0,4.0,55.0,26.0,81.0,2.0,1.0,14.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,406.0,1386,1684.0,2639.0,1527.0,3045.0,177.0,1500.0,977.0,1941.0,760.0,352.0,726.0,660.0,505.0,233.0,960.0,131.0,102.0,1093.0,362.0,539.0,687.0,110.0,920.0,66.0,1240.0,1902.0,38.0,1100.0,1381.0,393.0,550.0,1420.0,519.0,1813.0,990.0,343.0,1355.0,324.0,14,249.0,158.0,98.0,462.0,1798.0,884.0,627.0,1258.0,250.0,1003.0,574.0,1191.0,16.0,87.0,255.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,223.0,445,438.0,789.0,552.0,1122.0,87.0,676.0,487.0,822.0,368.0,147.0,355.0,117.0,227.0,122.0,423.0,56.0,43.0,412.0,143.0,207.0,303.0,52.0,252.0,46.0,645.0,667.0,26.0,371.0,142.0,189.0,233.0,394.0,92.0,695.0,329.0,180.0,268.0,162.0,11,125.0,58.0,48.0,251.0,249.0,472.0,234.0,381.0,49.0,328.0,340.0,471.0,8.0,50.0,138.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0.0,1,1.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,191.0,1002,624.0,954.0,597.0,1245.0,122.0,758.0,561.0,1047.0,408.0,213.0,360.0,291.0,286.0,169.0,446.0,79.0,109.0,503.0,154.0,284.0,265.0,75.0,318.0,53.0,440.0,837.0,35.0,475.0,465.0,226.0,336.0,518.0,234.0,772.0,460.0,225.0,423.0,177.0,8,213.0,93.0,91.0,270.0,569.0,325.0,222.0,530.0,94.0,473.0,272.0,584.0,15.0,50.0,194.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,564.0,1581,1867.0,2946.0,1821.0,3796.0,251.0,2116.0,1360.0,2635.0,1022.0,503.0,943.0,679.0,637.0,307.0,1235.0,206.0,139.0,1346.0,480.0,668.0,850.0,165.0,979.0,112.0,1617.0,2356.0,58.0,1323.0,1323.0,574.0,818.0,1545.0,501.0,2322.0,1205.0,507.0,1404.0,432.0,22,336.0,201.0,151.0,683.0,1765.0,1222.0,756.0,1409.0,252.0,1206.0,815.0,1536.0,29.0,100.0,377.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,160.0,495,444.0,801.0,494.0,888.0,64.0,463.0,361.0,607.0,299.0,102.0,293.0,118.0,215.0,105.0,349.0,31.0,36.0,368.0,113.0,180.0,265.0,23.0,253.0,40.0,484.0,566.0,19.0,342.0,194.0,133.0,160.0,429.0,132.0,574.0,278.0,114.0,287.0,130.0,5,109.0,57.0,38.0,179.0,309.0,327.0,202.0,348.0,64.0,295.0,223.0,386.0,5.0,65.0,109.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,0.0,1,2.0,5.0,1.0,3.0,0.0,2.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,96.0,758,434.0,632.0,361.0,726.0,71.0,356.0,303.0,565.0,216.0,107.0,203.0,271.0,166.0,112.0,245.0,29.0,78.0,295.0,65.0,182.0,140.0,49.0,258.0,13.0,224.0,483.0,22.0,280.0,471.0,101.0,141.0,358.0,216.0,382.0,293.0,127.0,357.0,101.0,7,142.0,51.0,48.0,121.0,542.0,132.0,123.0,411.0,77.0,302.0,147.0,323.0,5.0,23.0,101.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,376.0,1122,1391.0,2130.0,1306.0,2751.0,176.0,1439.0,925.0,1888.0,631.0,332.0,702.0,509.0,423.0,202.0,871.0,104.0,84.0,936.0,337.0,444.0,578.0,98.0,729.0,55.0,1047.0,1745.0,29.0,954.0,637.0,370.0,475.0,1132.0,396.0,1702.0,876.0,286.0,900.0,267.0,18,229.0,135.0,77.0,447.0,1042.0,755.0,562.0,1076.0,161.0,855.0,537.0,1096.0,7.0,64.0,264.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,247.0,636,667.0,1224.0,758.0,1382.0,102.0,758.0,547.0,822.0,462.0,166.0,390.0,235.0,306.0,136.0,532.0,68.0,61.0,531.0,175.0,290.0,420.0,60.0,397.0,63.0,793.0,717.0,36.0,500.0,835.0,201.0,309.0,644.0,186.0,785.0,439.0,226.0,675.0,203.0,6,141.0,72.0,76.0,276.0,943.0,552.0,262.0,457.0,139.0,438.0,372.0,539.0,19.0,72.0,132.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,0.0,1,1.0,6.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,197.0,1073,688.0,1024.0,613.0,1278.0,108.0,739.0,553.0,1098.0,442.0,214.0,348.0,324.0,289.0,186.0,426.0,93.0,109.0,540.0,146.0,296.0,257.0,79.0,363.0,47.0,485.0,942.0,34.0,492.0,516.0,237.0,335.0,556.0,267.0,793.0,465.0,236.0,473.0,193.0,10,218.0,102.0,84.0,259.0,628.0,374.0,259.0,636.0,93.0,511.0,277.0,612.0,13.0,52.0,191.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,424.0,1403,1658.0,2681.0,1525.0,3208.0,185.0,1676.0,1121.0,2149.0,761.0,354.0,790.0,623.0,502.0,252.0,1028.0,117.0,107.0,1100.0,397.0,557.0,705.0,112.0,889.0,62.0,1243.0,1967.0,37.0,1092.0,1304.0,406.0,545.0,1416.0,450.0,1960.0,1014.0,363.0,1323.0,338.0,18,277.0,155.0,101.0,533.0,1701.0,915.0,643.0,1254.0,246.0,1008.0,616.0,1249.0,10.0,73.0,295.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,222.0,457,458.0,765.0,598.0,1048.0,103.0,626.0,420.0,702.0,402.0,157.0,343.0,130.0,250.0,110.0,421.0,61.0,46.0,434.0,128.0,219.0,326.0,55.0,274.0,62.0,650.0,639.0,28.0,399.0,187.0,185.0,285.0,390.0,142.0,634.0,334.0,190.0,286.0,163.0,7,123.0,63.0,62.0,224.0,289.0,455.0,204.0,333.0,56.0,333.0,315.0,462.0,18.0,68.0,126.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,0.0,1,1.0,4.0,0.0,4.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,174.0,973,630.0,934.0,554.0,1153.0,98.0,633.0,483.0,960.0,371.0,201.0,308.0,315.0,266.0,162.0,380.0,88.0,100.0,474.0,134.0,254.0,224.0,70.0,327.0,41.0,433.0,801.0,34.0,453.0,497.0,217.0,288.0,525.0,256.0,686.0,431.0,195.0,438.0,162.0,13,188.0,91.0,74.0,225.0,624.0,311.0,236.0,581.0,91.0,461.0,255.0,535.0,11.0,47.0,166.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,347.0,1205,1420.0,2160.0,1288.0,2789.0,168.0,1456.0,906.0,2009.0,645.0,290.0,710.0,500.0,434.0,206.0,867.0,111.0,78.0,929.0,376.0,434.0,574.0,94.0,755.0,69.0,1050.0,1867.0,40.0,956.0,623.0,344.0,433.0,1161.0,382.0,1664.0,907.0,290.0,895.0,254.0,11,223.0,143.0,86.0,457.0,1041.0,762.0,610.0,1200.0,147.0,907.0,475.0,1137.0,20.0,63.0,248.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,286.0,588,666.0,1220.0,760.0,1390.0,107.0,732.0,565.0,771.0,449.0,196.0,392.0,253.0,294.0,143.0,542.0,72.0,63.0,577.0,143.0,310.0,408.0,60.0,400.0,52.0,799.0,673.0,25.0,516.0,865.0,227.0,339.0,619.0,203.0,859.0,423.0,235.0,691.0,226.0,5,155.0,72.0,67.0,256.0,962.0,566.0,231.0,391.0,144.0,398.0,414.0,514.0,7.0,79.0,145.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,0.0,0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,187.0,1040,661.0,996.0,627.0,1233.0,111.0,749.0,554.0,1031.0,443.0,226.0,336.0,315.0,290.0,175.0,420.0,83.0,113.0,504.0,140.0,286.0,273.0,83.0,333.0,44.0,475.0,867.0,34.0,474.0,500.0,237.0,347.0,551.0,264.0,755.0,450.0,223.0,462.0,183.0,11,210.0,94.0,84.0,270.0,611.0,353.0,242.0,576.0,102.0,497.0,297.0,595.0,12.0,46.0,194.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,315.0,847,1051.0,1659.0,1079.0,2286.0,151.0,1227.0,761.0,1620.0,549.0,276.0,568.0,344.0,387.0,170.0,706.0,94.0,74.0,775.0,276.0,369.0,493.0,84.0,563.0,68.0,945.0,1489.0,33.0,778.0,383.0,275.0,402.0,813.0,254.0,1378.0,702.0,272.0,604.0,237.0,9,199.0,99.0,71.0,369.0,697.0,706.0,450.0,862.0,115.0,663.0,459.0,907.0,9.0,60.0,243.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,281.0,788,953.0,1587.0,901.0,1738.0,112.0,837.0,637.0,973.0,513.0,189.0,481.0,379.0,317.0,160.0,620.0,73.0,63.0,650.0,214.0,360.0,471.0,60.0,557.0,52.0,841.0,857.0,27.0,629.0,1109.0,280.0,349.0,910.0,318.0,1037.0,583.0,241.0,948.0,219.0,13,164.0,103.0,64.0,297.0,1288.0,567.0,344.0,628.0,175.0,563.0,414.0,650.0,11.0,80.0,146.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0.0,0,2.0,8.0,3.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,224.0,1193,741.0,1130.0,694.0,1381.0,123.0,872.0,627.0,1218.0,475.0,247.0,392.0,345.0,314.0,194.0,503.0,98.0,117.0,585.0,169.0,301.0,291.0,93.0,369.0,45.0,540.0,1061.0,39.0,539.0,496.0,253.0,367.0,609.0,275.0,863.0,495.0,235.0,496.0,207.0,12,223.0,107.0,102.0,317.0,632.0,408.0,288.0,678.0,103.0,578.0,313.0,689.0,19.0,48.0,198.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,290.0,875,1019.0,1573.0,971.0,1903.0,109.0,1006.0,697.0,1275.0,514.0,227.0,488.0,423.0,341.0,155.0,649.0,68.0,63.0,667.0,264.0,330.0,456.0,63.0,594.0,39.0,870.0,1240.0,21.0,675.0,500.0,252.0,358.0,846.0,283.0,1177.0,662.0,232.0,697.0,213.0,12,173.0,122.0,63.0,320.0,778.0,622.0,441.0,955.0,111.0,627.0,422.0,749.0,12.0,64.0,182.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,195.0,471,621.0,1091.0,580.0,1121.0,69.0,481.0,354.0,577.0,293.0,126.0,300.0,243.0,216.0,93.0,398.0,48.0,48.0,417.0,118.0,240.0,291.0,36.0,396.0,45.0,535.0,491.0,27.0,424.0,866.0,143.0,200.0,593.0,213.0,593.0,337.0,150.0,665.0,144.0,5,117.0,47.0,25.0,182.0,1015.0,342.0,160.0,362.0,131.0,349.0,280.0,402.0,8.0,48.0,83.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,0.0,0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,335.0,1482,1107.0,1718.0,1124.0,2386.0,208.0,1450.0,974.0,1958.0,729.0,359.0,653.0,402.0,461.0,276.0,782.0,150.0,143.0,926.0,277.0,460.0,508.0,138.0,500.0,81.0,919.0,1677.0,51.0,846.0,622.0,413.0,561.0,893.0,351.0,1510.0,781.0,366.0,686.0,306.0,16,298.0,140.0,149.0,481.0,822.0,716.0,482.0,852.0,151.0,827.0,484.0,1096.0,19.0,76.0,321.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,487.0,1424,1422.0,2291.0,1504.0,3035.0,210.0,1806.0,1176.0,2154.0,846.0,408.0,801.0,440.0,556.0,233.0,1090.0,133.0,106.0,1112.0,415.0,550.0,761.0,132.0,773.0,94.0,1412.0,2043.0,43.0,1005.0,473.0,462.0,613.0,1116.0,346.0,1910.0,897.0,420.0,852.0,380.0,18,265.0,184.0,136.0,556.0,804.0,1079.0,634.0,1260.0,153.0,1006.0,685.0,1291.0,24.0,111.0,319.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,174.0,474,764.0,1223.0,622.0,1319.0,80.0,536.0,399.0,733.0,328.0,115.0,349.0,321.0,210.0,137.0,358.0,54.0,47.0,462.0,133.0,237.0,296.0,40.0,402.0,42.0,533.0,627.0,29.0,516.0,1038.0,158.0,212.0,760.0,251.0,740.0,479.0,146.0,777.0,136.0,4,129.0,47.0,35.0,200.0,1213.0,345.0,256.0,363.0,152.0,374.0,271.0,448.0,8.0,42.0,99.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,0.0,5,4.0,5.0,3.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,159.0,929,557.0,865.0,548.0,1057.0,95.0,592.0,449.0,922.0,363.0,189.0,291.0,306.0,252.0,154.0,381.0,79.0,101.0,436.0,111.0,243.0,198.0,65.0,315.0,29.0,377.0,735.0,27.0,425.0,477.0,188.0,292.0,456.0,251.0,629.0,402.0,182.0,419.0,147.0,12,194.0,78.0,66.0,225.0,599.0,257.0,193.0,544.0,88.0,423.0,229.0,505.0,7.0,35.0,169.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,256.0,819,922.0,1366.0,877.0,1660.0,109.0,918.0,627.0,1115.0,440.0,228.0,450.0,354.0,318.0,126.0,588.0,73.0,69.0,648.0,248.0,301.0,406.0,55.0,562.0,42.0,701.0,1108.0,23.0,641.0,421.0,251.0,333.0,735.0,247.0,1049.0,584.0,209.0,601.0,204.0,12,146.0,110.0,52.0,300.0,700.0,526.0,405.0,904.0,99.0,605.0,374.0,652.0,12.0,47.0,159.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,228.0,597,800.0,1390.0,749.0,1543.0,82.0,663.0,481.0,839.0,393.0,167.0,391.0,340.0,257.0,128.0,507.0,69.0,45.0,500.0,155.0,290.0,363.0,46.0,452.0,46.0,711.0,734.0,24.0,499.0,1005.0,172.0,258.0,758.0,260.0,837.0,461.0,177.0,793.0,159.0,5,144.0,64.0,41.0,237.0,1141.0,466.0,246.0,432.0,154.0,427.0,352.0,535.0,8.0,67.0,109.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,0.0,1,3.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,336.0,1408,1022.0,1621.0,1049.0,2210.0,195.0,1356.0,917.0,1855.0,704.0,317.0,600.0,374.0,443.0,270.0,734.0,124.0,140.0,861.0,255.0,439.0,486.0,136.0,476.0,77.0,914.0,1565.0,52.0,805.0,562.0,385.0,528.0,839.0,339.0,1392.0,735.0,362.0,652.0,300.0,16,298.0,135.0,144.0,446.0,773.0,689.0,432.0,832.0,140.0,772.0,459.0,1059.0,19.0,74.0,319.0
