,Contest Title,Party,Candidate,ABSENTEE,BACON LEVEL,BETHEL,CAVERS GROVE,CORINTH,GRAHAM,LEVEL ROAD,MIDWAY,MOORES STORE,MORRISON XR FD,NATIONAL GUARD ARMORY #1,NATIONAL GUARD ARMORY #2,NATIONAL GUARD ARMORY #3,NEW HOPE,OMAHA,OPHELIA,PINE HILL,PROVISIONAL,ROCK MILLS,SWAGG,TIN SHOP FD,WADLEY,WEDOWEE CITY HALL #1,WEDOWEE CITY HALL #2,WEHADKEE,WESLEY CHAPEL,WILSON STORE,WOODLAND FIRE DEPT_ 1
84,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,156,85.0,40.0,84.0,68.0,66.0,99.0,117.0,56.0,86.0,267.0,339.0,452.0,30.0,54.0,35.0,87.0,0.0,63.0,102.0,107.0,91.0,270.0,113.0,19.0,48.0,39.0,148.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,61,54.0,36.0,57.0,62.0,63.0,95.0,68.0,60.0,55.0,133.0,149.0,195.0,24.0,29.0,49.0,49.0,0.0,39.0,71.0,116.0,71.0,143.0,67.0,11.0,43.0,32.0,101.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,243,168.0,107.0,136.0,138.0,99.0,155.0,196.0,172.0,168.0,309.0,391.0,550.0,100.0,134.0,106.0,161.0,0.0,138.0,132.0,241.0,191.0,419.0,174.0,36.0,81.0,89.0,303.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,168,112.0,55.0,77.0,79.0,81.0,103.0,136.0,58.0,91.0,281.0,383.0,518.0,50.0,48.0,46.0,75.0,0.0,65.0,100.0,121.0,120.0,325.0,133.0,21.0,45.0,52.0,140.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,118,67.0,53.0,86.0,71.0,64.0,136.0,92.0,89.0,77.0,185.0,179.0,231.0,34.0,57.0,66.0,73.0,0.0,59.0,96.0,153.0,103.0,199.0,86.0,17.0,61.0,33.0,156.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,188,128.0,75.0,114.0,118.0,83.0,110.0,153.0,141.0,141.0,243.0,319.0,448.0,70.0,112.0,78.0,149.0,0.0,116.0,109.0,190.0,130.0,308.0,135.0,28.0,66.0,75.0,256.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,100,69.0,26.0,51.0,49.0,45.0,67.0,84.0,31.0,60.0,214.0,292.0,417.0,29.0,34.0,25.0,43.0,0.0,43.0,80.0,64.0,70.0,189.0,81.0,15.0,33.0,32.0,86.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,130,71.0,55.0,86.0,68.0,87.0,128.0,109.0,84.0,76.0,185.0,200.0,241.0,30.0,52.0,64.0,81.0,0.0,62.0,95.0,160.0,99.0,220.0,100.0,14.0,60.0,42.0,160.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,235,166.0,102.0,140.0,151.0,96.0,153.0,188.0,173.0,173.0,310.0,389.0,539.0,95.0,131.0,101.0,173.0,0.0,135.0,130.0,240.0,184.0,421.0,173.0,37.0,79.0,86.0,306.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,154,99.0,52.0,88.0,86.0,85.0,110.0,114.0,63.0,82.0,282.0,366.0,509.0,34.0,60.0,51.0,74.0,0.0,62.0,105.0,108.0,97.0,303.0,135.0,22.0,58.0,47.0,160.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,152,87.0,70.0,82.0,66.0,71.0,134.0,132.0,86.0,92.0,188.0,202.0,260.0,51.0,49.0,64.0,92.0,0.0,64.0,95.0,182.0,134.0,245.0,100.0,15.0,50.0,46.0,179.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,172,121.0,61.0,106.0,116.0,72.0,105.0,135.0,139.0,135.0,239.0,313.0,427.0,69.0,108.0,75.0,131.0,0.0,113.0,105.0,174.0,122.0,284.0,119.0,29.0,64.0,67.0,213.0
100,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,169,112.0,62.0,104.0,99.0,84.0,147.0,148.0,77.0,106.0,320.0,399.0,582.0,62.0,67.0,57.0,97.0,0.0,63.0,128.0,139.0,141.0,369.0,156.0,27.0,60.0,55.0,204.0
101,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,115,66.0,50.0,72.0,59.0,66.0,107.0,83.0,75.0,75.0,161.0,169.0,199.0,34.0,48.0,53.0,71.0,0.0,57.0,82.0,144.0,85.0,174.0,70.0,13.0,52.0,35.0,124.0
102,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,191,129.0,71.0,100.0,110.0,78.0,95.0,150.0,136.0,128.0,228.0,313.0,415.0,58.0,102.0,80.0,129.0,0.0,120.0,95.0,181.0,127.0,289.0,128.0,26.0,60.0,70.0,224.0
104,"MEMBER, RANDOLPH COUNTY COMMISSION, DISTRICT NO. 1      ",REP,Terry Lovvorn                         ,138,,,,,188.0,,90.0,,,,,,102.0,,,,0.0,,,,,553.0,235.0,,,,411.0
105,"MEMBER, RANDOLPH COUNTY COMMISSION, DISTRICT NO. 1      ",NON,Write-In                              ,8,,,,,4.0,,4.0,,,,,,1.0,,,,0.0,,,,,10.0,10.0,,,,7.0
106,"MEMBER, RANDOLPH COUNTY COMMISSION, DISTRICT NO. 1      ",   ,Over Votes                            ,0,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,0.0
107,"MEMBER, RANDOLPH COUNTY COMMISSION, DISTRICT NO. 1      ",   ,Under Votes                           ,35,,,,,36.0,,47.0,,,,,,45.0,,,,0.0,,,,,269.0,109.0,,,,134.0
108,"MEMBER, RANDOLPH COUNTY COMMISSION, DISTRICT NO. 2      ",DEM,Gary Waters                           ,26,,,67.0,128.0,,,,,155.0,,,,,,37.0,75.0,0.0,,102.0,,80.0,,,,49.0,,
109,"MEMBER, RANDOLPH COUNTY COMMISSION, DISTRICT NO. 2      ",REP,Larry Roberts                         ,78,,,201.0,133.0,,,,,145.0,,,,,,142.0,214.0,0.0,,193.0,,210.0,,,,115.0,,
110,"MEMBER, RANDOLPH COUNTY COMMISSION, DISTRICT NO. 2      ",NON,Write-In                              ,0,,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,,1.0,,
111,"MEMBER, RANDOLPH COUNTY COMMISSION, DISTRICT NO. 2      ",   ,Over Votes                            ,0,,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,,
112,"MEMBER, RANDOLPH COUNTY COMMISSION, DISTRICT NO. 2      ",   ,Under Votes                           ,4,,,9.0,7.0,,,,,9.0,,,,,,11.0,8.0,0.0,,10.0,,22.0,,,,7.0,,
113,"MEMBER, RANDOLPH COUNTY COMMISSION, DISTRICT NO. 3      ",DEM,Jeff Heard                            ,20,87.0,54.0,,,,,11.0,129.0,,47.0,16.0,3.0,1.0,86.0,,,0.0,69.0,,137.0,,,,26.0,,65.0,
114,"MEMBER, RANDOLPH COUNTY COMMISSION, DISTRICT NO. 3      ",REP,Doyle Allen                           ,49,209.0,119.0,,,,,17.0,148.0,,115.0,52.0,15.0,3.0,124.0,,,0.0,163.0,,294.0,,,,35.0,,91.0,
115,"MEMBER, RANDOLPH COUNTY COMMISSION, DISTRICT NO. 3      ",NON,Write-In                              ,0,2.0,1.0,,,,,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,,,0.0,4.0,,0.0,,,,1.0,,0.0,
116,"MEMBER, RANDOLPH COUNTY COMMISSION, DISTRICT NO. 3      ",   ,Over Votes                            ,0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,,0.0,,,,0.0,,0.0,
117,"MEMBER, RANDOLPH COUNTY COMMISSION, DISTRICT NO. 3      ",   ,Under Votes                           ,2,9.0,9.0,,,,,2.0,9.0,,7.0,1.0,0.0,2.0,5.0,,,0.0,3.0,,14.0,,,,4.0,,4.0,
118,"MEMBER, RANDOLPH COUNTY COMMISSION, DISTRICT NO. 4      ",DEM,Richard Fetner                        ,76,,,,,,93.0,124.0,,,65.0,185.0,338.0,,,,,0.0,,,6.0,,,,,,,
119,"MEMBER, RANDOLPH COUNTY COMMISSION, DISTRICT NO. 4      ",REP,Derek Farr                            ,43,,,,,,96.0,81.0,,,130.0,232.0,369.0,,,,,0.0,,,13.0,,,,,,,
120,"MEMBER, RANDOLPH COUNTY COMMISSION, DISTRICT NO. 4      ",NON,Write-In                              ,0,,,,,,0.0,0.0,,,0.0,0.0,1.0,,,,,0.0,,,0.0,,,,,,,
121,"MEMBER, RANDOLPH COUNTY COMMISSION, DISTRICT NO. 4      ",   ,Over Votes                            ,0,,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,,,0.0,,,,,,,
122,"MEMBER, RANDOLPH COUNTY COMMISSION, DISTRICT NO. 4      ",   ,Under Votes                           ,0,,,,,,2.0,4.0,,,2.0,4.0,16.0,,,,,0.0,,,0.0,,,,,,,
123,"MEMBER, RANDOLPH COUNTY COMMISSION, DISTRICT NO. 5      ",DEM,Lathonia Wright                       ,14,,,,,,32.0,0.0,,,166.0,245.0,334.0,,,,,0.0,,,,27.0,,,,,,
124,"MEMBER, RANDOLPH COUNTY COMMISSION, DISTRICT NO. 5      ",REP,Gerry Knight                          ,24,,,,,,120.0,1.0,,,170.0,136.0,114.0,,,,,0.0,,,,11.0,,,,,,
125,"MEMBER, RANDOLPH COUNTY COMMISSION, DISTRICT NO. 5      ",NON,Write-In                              ,1,,,,,,1.0,0.0,,,0.0,0.0,0.0,,,,,0.0,,,,0.0,,,,,,
126,"MEMBER, RANDOLPH COUNTY COMMISSION, DISTRICT NO. 5      ",   ,Over Votes                            ,0,,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,,,,0.0,,,,,,
127,"MEMBER, RANDOLPH COUNTY COMMISSION, DISTRICT NO. 5      ",   ,Under Votes                           ,1,,,,,,5.0,0.0,,,7.0,10.0,7.0,,,,,0.0,,,,3.0,,,,,,
128,"SUPERINTENDENT, RANDOLPH COUNTY BOARD OF EDUCATION      ",DEM,Shawanna Boyd                         ,82,58.0,18.0,30.0,35.0,27.0,66.0,131.0,34.0,111.0,250.0,395.0,582.0,24.0,11.0,20.0,24.0,0.0,35.0,54.0,40.0,82.0,218.0,88.0,17.0,25.0,31.0,68.0
129,"SUPERINTENDENT, RANDOLPH COUNTY BOARD OF EDUCATION      ",REP,John Jacobs                           ,419,238.0,161.0,223.0,212.0,197.0,271.0,226.0,242.0,177.0,443.0,457.0,570.0,123.0,198.0,154.0,263.0,0.0,190.0,224.0,390.0,255.0,585.0,246.0,44.0,134.0,121.0,463.0
130,"SUPERINTENDENT, RANDOLPH COUNTY BOARD OF EDUCATION      ",NON,Write-In                              ,5,3.0,0.0,11.0,5.0,0.0,1.0,16.0,4.0,7.0,5.0,14.0,20.0,2.0,2.0,0.0,0.0,0.0,7.0,9.0,12.0,1.0,13.0,6.0,2.0,2.0,4.0,5.0
131,"SUPERINTENDENT, RANDOLPH COUNTY BOARD OF EDUCATION      ",   ,Over Votes                            ,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,"SUPERINTENDENT, RANDOLPH COUNTY BOARD OF EDUCATION      ",   ,Under Votes                           ,17,8.0,4.0,12.0,16.0,3.0,11.0,8.0,8.0,14.0,11.0,15.0,25.0,5.0,6.0,16.0,10.0,0.0,8.0,18.0,22.0,15.0,16.0,14.0,3.0,11.0,4.0,16.0
133,"MEMBER, RANDOLPH COUNTY BOARD OF EDUCATION,             ",REP,Tammy Bennett Farr                    ,36,214.0,,,,,,121.0,,,39.0,38.0,13.0,,74.0,,,0.0,190.0,,154.0,,,,43.0,,114.0,
134,"MEMBER, RANDOLPH COUNTY BOARD OF EDUCATION,             ",NON,Write-In                              ,0,4.0,,,,,,4.0,,,0.0,1.0,0.0,,2.0,,,0.0,4.0,,1.0,,,,1.0,,0.0,
135,"MEMBER, RANDOLPH COUNTY BOARD OF EDUCATION,             ",   ,Over Votes                            ,0,0.0,,,,,,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,
136,"MEMBER, RANDOLPH COUNTY BOARD OF EDUCATION,             ",   ,Under Votes                           ,11,89.0,,,,,,44.0,,,9.0,6.0,1.0,,16.0,,,0.0,46.0,,44.0,,,,22.0,,46.0,
137,"MEMBER, RANDOLPH COUNTY BOARD OF EDUCATION,             ",DEM,Donnie Strain                         ,14,,22.0,,,24.0,,,72.0,,,,,25.0,28.0,,,0.0,,,47.0,,,,,,,120.0
138,"MEMBER, RANDOLPH COUNTY BOARD OF EDUCATION,             ",REP,Cindy Strain                          ,51,,151.0,,,100.0,,,198.0,,,,,68.0,83.0,,,0.0,,,194.0,,,,,,,403.0
139,"MEMBER, RANDOLPH COUNTY BOARD OF EDUCATION,             ",NON,Write-In                              ,0,,0.0,,,0.0,,,1.0,,,,,0.0,1.0,,,0.0,,,0.0,,,,,,,1.0
140,"MEMBER, RANDOLPH COUNTY BOARD OF EDUCATION,             ",   ,Over Votes                            ,0,,0.0,,,0.0,,,0.0,,,,,0.0,0.0,,,0.0,,,0.0,,,,,,,0.0
141,"MEMBER, RANDOLPH COUNTY BOARD OF EDUCATION,             ",   ,Under Votes                           ,2,,10.0,,,8.0,,,17.0,,,,,3.0,13.0,,,0.0,,,20.0,,,,,,,28.0
142,SPECIAL REFERENDUM                                      ,NON,Yes                                   ,262,118.0,63.0,122.0,88.0,98.0,112.0,171.0,106.0,119.0,286.0,316.0,431.0,73.0,82.0,60.0,128.0,0.0,72.0,134.0,208.0,119.0,414.0,166.0,31.0,58.0,48.0,237.0
143,SPECIAL REFERENDUM                                      ,NON,No                                    ,162,115.0,89.0,82.0,119.0,90.0,169.0,111.0,121.0,94.0,262.0,324.0,431.0,39.0,90.0,75.0,101.0,0.0,117.0,104.0,182.0,137.0,246.0,124.0,22.0,66.0,66.0,189.0
144,SPECIAL REFERENDUM                                      ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,SPECIAL REFERENDUM                                      ,   ,Under Votes                           ,90,74.0,31.0,73.0,61.0,40.0,68.0,99.0,61.0,96.0,161.0,241.0,335.0,42.0,45.0,55.0,68.0,0.0,50.0,67.0,74.0,97.0,172.0,64.0,13.0,48.0,46.0,126.0
