,Contest Title,Party,Candidate,ABSENTEE,ALABAMA NATIONAL GUARD,ARGO TOWN HALL,ASHVILLE CITY HALL,BRANCHVILLE CUMBERLAND,CEDAR GROVE BAPTIST,CELEBRATIONS,CHANDLER MT COMM CTR,COOK SPRINGS VFD,FAIRVIEW CHURCH,FRIENDSHIP VFD,GALLANT VFD,GUM SPRINGS CHURCH,MOODY CITY HALL,NEW HOPE BAPTIST,NEW LONDON VFD,NORTH VALLEY CHURCH,ODENVILLE CIVIC CENTER,PELL CITY CIVIC CENTER,PELL CITY COMMUNITY CTR,PINEDALE VFD,POPLAR SPRINGS CHURCH,PRESCOTT COMMUNITY CTR,PROVISIONAL,RAGLAND TOWN HALL,RIVERSIDE TOWN HALL,SHOAL CREEK COMM CTR,SLATE UNION CHURCH,STEELE COMMUNITY CTR,WATTSVILLE VFD,WHITES CHAPEL TOWN HALL,WOLF CREEK VFD
110,"MEMBER, ST. CLAIR COUNTY COMMISSION, DISTRICT NO. 3     ",   ,Over Votes                            ,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0.0,0,0,1,0,1,0,1,0
111,"MEMBER, ST. CLAIR COUNTY COMMISSION, DISTRICT NO. 3     ",   ,Under Votes                           ,189,295,229,250,96,99,93,26,54,8,80,15,23,479,58,102,299,94,313,395,27,40,56,0.0,114,102,23,28,63,39,89,18
112,"MEMBER, ST. CLAIR COUNTY COMMISSION, DISTRICT NO. 4     ",REP,James (Jimmy) Roberts                 ,958,3118,1995,579,1295,830,1089,122,741,80,870,109,318,3412,535,591,1331,1345,1951,1375,431,274,578,0.0,480,798,272,363,372,660,560,245
113,"MEMBER, ST. CLAIR COUNTY COMMISSION, DISTRICT NO. 4     ",IND,Jacob Moore                           ,183,547,393,201,207,150,284,21,151,67,165,14,85,825,217,155,348,219,426,593,97,92,118,0.0,349,189,103,69,135,212,121,84
114,"MEMBER, ST. CLAIR COUNTY COMMISSION, DISTRICT NO. 4     ",NON,Write-In                              ,1,6,4,3,5,2,4,0,1,0,0,0,0,20,2,5,6,2,4,10,0,0,2,0.0,1,1,0,0,1,0,6,0
115,"MEMBER, ST. CLAIR COUNTY COMMISSION, DISTRICT NO. 4     ",   ,Over Votes                            ,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,2,0.0,1,0,0,0,0,2,0,0
116,"MEMBER, ST. CLAIR COUNTY COMMISSION, DISTRICT NO. 4     ",   ,Under Votes                           ,195,309,238,264,99,104,99,27,54,9,78,18,26,496,54,104,305,96,313,406,30,40,56,0.0,123,104,27,34,70,35,92,18
117,"MEMBER, ST. CLAIR COUNTY BOARD OF EDUCATION, AT LARGE   ",REP,Bill Morris                           ,769,3460,1830,662,1423,144,884,134,838,130,973,109,374,3828,315,681,1539,1491,97,624,496,336,668,0.0,702,905,329,400,456,811,615,307
118,"MEMBER, ST. CLAIR COUNTY BOARD OF EDUCATION, AT LARGE   ",NON,Write-In                              ,4,20,10,14,13,0,9,0,4,1,7,0,1,56,2,11,25,12,1,2,7,2,6,0.0,9,6,2,1,1,6,12,2
119,"MEMBER, ST. CLAIR COUNTY BOARD OF EDUCATION, AT LARGE   ",   ,Over Votes                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0
120,"MEMBER, ST. CLAIR COUNTY BOARD OF EDUCATION, AT LARGE   ",   ,Under Votes                           ,184,500,205,372,171,16,165,36,106,26,134,32,54,732,51,163,426,159,23,93,55,68,81,0.0,243,181,71,65,121,92,112,38
121,"MEMBER, ST. CLAIR COUNTY BOARD OF EDUCATION,            ",REP,Marie Manning                         ,770,3433,1807,660,1414,144,883,135,848,128,959,111,372,3784,320,681,1533,1475,96,626,491,331,659,0.0,724,907,334,400,447,812,609,304
122,"MEMBER, ST. CLAIR COUNTY BOARD OF EDUCATION,            ",NON,Write-In                              ,7,38,16,24,13,0,12,1,8,3,8,0,5,60,5,10,25,13,1,4,10,3,7,0.0,13,11,6,3,3,11,14,1
123,"MEMBER, ST. CLAIR COUNTY BOARD OF EDUCATION,            ",   ,Over Votes                            ,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0
124,"MEMBER, ST. CLAIR COUNTY BOARD OF EDUCATION,            ",   ,Under Votes                           ,180,508,222,364,180,16,163,34,92,26,147,30,52,771,43,165,432,174,24,89,57,72,90,0.0,217,174,62,63,128,85,116,42
