,Contest Title,Party,Candidate,ABSENTEE,ANTIOCH CHURCH,BANKS VOTING CENTER #1,BANKS VOTING CTR #2,BRUNDIDGE-HAISTEN BLDG,CHINA GROVE COUNTY BLDG,DUNNS VOTING CENTER #1,DUNNS VOTING CTR #2,EBENEZER VOTING CENTER #1,EBENEZER VOTING CTR #2,ENON COUNTY BLDG,FIRST BAPTIST CHURCH,GALLOWAY RD COMM CTR,GOLDEN-SATELLITE BLDG,GOSHEN TOWN HALL,HAMILTON CROSS ROADS,HENDERSON VOTING CTR #1,HENDERSON VOTING CTR #2,JOSIE COUNTY BLDG,LITTLE OAK COUNTY BLDG,MEEKSVILLE VOL FIRE,OAK BOWERY CHURCH,PIKE COUNTY COURTHOUSE,PROVISIONAL,RURAL HOME COUNTY BLDG,SACO - VOL_ FIRE DEPT,SACO #2,SPRINGHILL HOUSING AUTH,SPRINGHILL VOL FIRE DEPT,SWEET PILGRIM CHURCH,TARENTUM COMM_ CLUBHOUSE,TENNILLE METHODIST,TROY ADAMS ARMORY,TROY PUBLIC LIBRARY,TROY REC CENTER
69,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,178,69.0,20.0,83.0,127.0,60.0,11.0,41.0,13.0,35.0,47.0,314.0,265.0,130.0,105.0,42.0,24.0,43.0,65.0,79.0,108.0,34.0,267.0,8,138.0,4.0,5.0,70.0,74.0,53.0,146.0,24.0,458.0,406.0,429.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,140,107.0,33.0,99.0,95.0,45.0,6.0,68.0,22.0,37.0,90.0,576.0,191.0,127.0,122.0,80.0,29.0,35.0,63.0,56.0,141.0,57.0,412.0,6,142.0,10.0,4.0,61.0,103.0,37.0,105.0,30.0,698.0,432.0,730.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,91,97.0,44.0,117.0,87.0,68.0,7.0,29.0,38.0,36.0,58.0,309.0,244.0,95.0,100.0,84.0,28.0,32.0,40.0,67.0,144.0,36.0,273.0,9,105.0,7.0,12.0,82.0,77.0,32.0,85.0,18.0,410.0,379.0,449.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,197,82.0,28.0,104.0,146.0,67.0,11.0,44.0,12.0,32.0,59.0,357.0,295.0,146.0,129.0,48.0,30.0,49.0,76.0,94.0,115.0,39.0,310.0,7,157.0,5.0,5.0,74.0,89.0,57.0,162.0,31.0,510.0,418.0,507.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,106,81.0,31.0,101.0,97.0,46.0,9.0,64.0,25.0,42.0,61.0,489.0,188.0,122.0,109.0,79.0,24.0,33.0,49.0,67.0,134.0,50.0,360.0,12,124.0,10.0,6.0,59.0,106.0,41.0,89.0,27.0,583.0,372.0,639.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,115,109.0,44.0,114.0,79.0,64.0,5.0,31.0,32.0,27.0,64.0,374.0,243.0,99.0,101.0,81.0,32.0,30.0,40.0,51.0,147.0,35.0,316.0,4,113.0,7.0,10.0,73.0,77.0,30.0,88.0,22.0,484.0,419.0,488.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,207,95.0,30.0,105.0,152.0,70.0,10.0,46.0,15.0,36.0,83.0,379.0,297.0,146.0,140.0,52.0,31.0,53.0,90.0,99.0,119.0,47.0,317.0,6,167.0,5.0,5.0,85.0,86.0,55.0,175.0,30.0,552.0,440.0,557.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,98,81.0,32.0,76.0,68.0,37.0,5.0,41.0,24.0,25.0,44.0,371.0,186.0,95.0,88.0,67.0,24.0,29.0,39.0,47.0,110.0,45.0,315.0,5,96.0,5.0,6.0,59.0,72.0,35.0,90.0,16.0,501.0,379.0,508.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,57,72.0,33.0,85.0,60.0,55.0,4.0,23.0,27.0,30.0,42.0,215.0,203.0,66.0,73.0,54.0,25.0,17.0,28.0,48.0,127.0,24.0,253.0,7,84.0,8.0,9.0,61.0,54.0,17.0,59.0,12.0,317.0,349.0,334.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,273,133.0,40.0,159.0,200.0,88.0,15.0,77.0,21.0,50.0,122.0,657.0,341.0,207.0,190.0,91.0,38.0,70.0,112.0,122.0,163.0,63.0,426.0,9,224.0,9.0,6.0,97.0,143.0,74.0,203.0,51.0,799.0,503.0,845.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,200,149.0,54.0,157.0,142.0,60.0,10.0,87.0,34.0,48.0,117.0,729.0,256.0,151.0,167.0,121.0,39.0,53.0,78.0,81.0,173.0,71.0,488.0,13,188.0,11.0,8.0,83.0,153.0,55.0,148.0,46.0,870.0,545.0,914.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,47,63.0,31.0,80.0,46.0,58.0,3.0,13.0,24.0,29.0,37.0,195.0,199.0,77.0,72.0,49.0,19.0,22.0,22.0,46.0,108.0,19.0,205.0,2,71.0,6.0,9.0,62.0,42.0,16.0,56.0,11.0,286.0,274.0,316.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,181,74.0,20.0,83.0,140.0,61.0,11.0,41.0,14.0,28.0,54.0,319.0,275.0,140.0,112.0,42.0,29.0,41.0,79.0,90.0,119.0,42.0,301.0,6,144.0,5.0,4.0,72.0,74.0,55.0,147.0,22.0,461.0,412.0,456.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,93,80.0,29.0,81.0,74.0,41.0,5.0,42.0,25.0,27.0,40.0,317.0,174.0,74.0,76.0,46.0,19.0,24.0,36.0,44.0,95.0,30.0,301.0,7,82.0,6.0,5.0,50.0,54.0,29.0,68.0,21.0,457.0,365.0,445.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,62,75.0,37.0,84.0,65.0,59.0,5.0,28.0,26.0,30.0,50.0,278.0,232.0,86.0,81.0,76.0,24.0,19.0,30.0,50.0,142.0,39.0,273.0,5,99.0,7.0,10.0,64.0,68.0,23.0,70.0,9.0,384.0,363.0,411.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,272,130.0,39.0,155.0,189.0,80.0,14.0,71.0,21.0,48.0,118.0,648.0,324.0,208.0,194.0,90.0,44.0,73.0,113.0,123.0,163.0,63.0,420.0,10,222.0,9.0,6.0,103.0,147.0,74.0,213.0,49.0,777.0,502.0,831.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,102,96.0,40.0,92.0,79.0,41.0,6.0,56.0,27.0,39.0,62.0,365.0,281.0,108.0,92.0,62.0,25.0,31.0,41.0,50.0,125.0,46.0,397.0,8,94.0,10.0,13.0,70.0,74.0,32.0,85.0,21.0,531.0,498.0,547.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,56,62.0,27.0,72.0,56.0,54.0,5.0,16.0,23.0,19.0,34.0,215.0,108.0,53.0,70.0,61.0,20.0,16.0,32.0,44.0,108.0,29.0,180.0,5,88.0,1.0,2.0,46.0,47.0,19.0,58.0,9.0,291.0,218.0,292.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,270,128.0,38.0,156.0,193.0,85.0,13.0,69.0,22.0,47.0,112.0,663.0,340.0,207.0,189.0,89.0,42.0,69.0,106.0,123.0,167.0,57.0,418.0,9,222.0,11.0,6.0,101.0,148.0,75.0,209.0,49.0,797.0,513.0,847.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,135,88.0,35.0,110.0,104.0,47.0,7.0,44.0,29.0,41.0,44.0,488.0,303.0,130.0,107.0,81.0,22.0,31.0,42.0,48.0,160.0,46.0,421.0,11,114.0,12.0,12.0,77.0,86.0,42.0,87.0,27.0,614.0,538.0,631.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,79,109.0,39.0,105.0,72.0,63.0,6.0,51.0,29.0,28.0,81.0,348.0,137.0,88.0,108.0,76.0,33.0,34.0,50.0,64.0,119.0,37.0,244.0,4,123.0,5.0,3.0,56.0,91.0,24.0,92.0,17.0,437.0,248.0,492.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,214,89.0,31.0,105.0,151.0,70.0,11.0,46.0,14.0,36.0,83.0,407.0,290.0,150.0,136.0,55.0,32.0,51.0,87.0,105.0,121.0,49.0,330.0,7,166.0,5.0,6.0,84.0,92.0,60.0,173.0,34.0,568.0,444.0,564.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,80,70.0,24.0,70.0,64.0,36.0,4.0,37.0,21.0,29.0,27.0,318.0,270.0,96.0,82.0,47.0,19.0,23.0,33.0,33.0,110.0,36.0,329.0,5,79.0,11.0,13.0,74.0,56.0,27.0,68.0,19.0,453.0,467.0,442.0
100,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,88,89.0,40.0,97.0,72.0,69.0,6.0,33.0,30.0,29.0,56.0,293.0,132.0,80.0,86.0,84.0,27.0,24.0,36.0,65.0,127.0,32.0,256.0,7,114.0,1.0,2.0,47.0,77.0,27.0,80.0,16.0,434.0,267.0,425.0
101,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,260,127.0,41.0,153.0,192.0,75.0,14.0,71.0,21.0,47.0,125.0,632.0,328.0,192.0,183.0,81.0,41.0,69.0,109.0,119.0,163.0,64.0,410.0,10,211.0,10.0,6.0,96.0,136.0,72.0,204.0,44.0,732.0,497.0,820.0
103,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,135,92.0,33.0,117.0,102.0,56.0,4.0,61.0,28.0,43.0,56.0,491.0,307.0,120.0,132.0,73.0,27.0,42.0,49.0,65.0,179.0,40.0,443.0,12,144.0,11.0,13.0,87.0,86.0,39.0,106.0,34.0,637.0,565.0,653.0
104,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,103,103.0,47.0,101.0,85.0,56.0,9.0,36.0,29.0,26.0,73.0,405.0,129.0,104.0,100.0,89.0,28.0,27.0,46.0,52.0,109.0,46.0,239.0,3,104.0,5.0,2.0,51.0,94.0,27.0,84.0,18.0,471.0,236.0,510.0
105,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0
106,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,190,91.0,25.0,102.0,141.0,68.0,11.0,44.0,15.0,36.0,79.0,347.0,294.0,144.0,119.0,50.0,32.0,47.0,84.0,100.0,112.0,46.0,313.0,7,156.0,6.0,6.0,79.0,88.0,60.0,162.0,27.0,509.0,428.0,520.0
107,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,149,139.0,48.0,149.0,117.0,73.0,8.0,71.0,34.0,49.0,109.0,632.0,331.0,182.0,163.0,96.0,42.0,51.0,68.0,80.0,180.0,64.0,487.0,14,161.0,12.0,13.0,100.0,113.0,44.0,122.0,34.0,820.0,615.0,886.0
108,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,82,67.0,27.0,74.0,62.0,52.0,6.0,27.0,24.0,27.0,35.0,242.0,116.0,66.0,75.0,75.0,18.0,20.0,30.0,54.0,106.0,35.0,189.0,2,97.0,6.0,2.0,43.0,60.0,24.0,66.0,19.0,318.0,199.0,321.0
109,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
110,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,197,80.0,30.0,97.0,149.0,55.0,10.0,43.0,14.0,29.0,64.0,369.0,282.0,120.0,113.0,41.0,27.0,45.0,81.0,83.0,114.0,33.0,318.0,6,146.0,4.0,6.0,74.0,96.0,58.0,164.0,26.0,479.0,417.0,480.0
111,"MEMBER PIKE COUNTY COMMISSION, DISTRICT NO. 1           ",DEM,Homer C. Wright                       ,26,,,,,97.0,14.0,,,,,,,,,,,,,,280.0,,,8,,,15.0,,,,,,,1068.0,
112,"MEMBER PIKE COUNTY COMMISSION, DISTRICT NO. 1           ",NON,Write-In                              ,0,,,,,3.0,0.0,,,,,,,,,,,,,,6.0,,,0,,,0.0,,,,,,,13.0,
113,"MEMBER PIKE COUNTY COMMISSION, DISTRICT NO. 1           ",   ,Over Votes                            ,0,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,0,,,0.0,,,,,,,0.0,
114,"MEMBER PIKE COUNTY COMMISSION, DISTRICT NO. 1           ",   ,Under Votes                           ,6,,,,,80.0,10.0,,,,,,,,,,,,,,114.0,,,0,,,6.0,,,,,,,150.0,
115,"MEMBER PIKE COUNTY COMMISSION, DISTRICT NO. 2           ",REP,Robin Sullivan                        ,57,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1187.0,,
116,"MEMBER PIKE COUNTY COMMISSION, DISTRICT NO. 2           ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,31.0,,
117,"MEMBER PIKE COUNTY COMMISSION, DISTRICT NO. 2           ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.0,,
118,"MEMBER PIKE COUNTY COMMISSION, DISTRICT NO. 2           ",   ,Under Votes                           ,22,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,401.0,,
119,"MEMBER PIKE COUNTY COMMISSION, DISTRICT NO. 3           ",REP,Jimmy Barron                          ,50,,,230.0,,,,109.0,,73.0,,,,,,,,,,,,,,1,,10.0,,,,,,,,,1203.0
120,"MEMBER PIKE COUNTY COMMISSION, DISTRICT NO. 3           ",NON,Write-In                              ,0,,,3.0,,,,1.0,,1.0,,,,,,,,,,,,,,0,,0.0,,,,,,,,,21.0
121,"MEMBER PIKE COUNTY COMMISSION, DISTRICT NO. 3           ",   ,Over Votes                            ,0,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,0,,0.0,,,,,,,,,0.0
122,"MEMBER PIKE COUNTY COMMISSION, DISTRICT NO. 3           ",   ,Under Votes                           ,17,,,87.0,,,,31.0,,31.0,,,,,,,,,,,,,,4,,12.0,,,,,,,,,463.0
123,"MEMBER PIKE COUNTY COMMISSION, DISTRICT NO. 4           ",DEM,Steve Thrash                          ,24,,37.0,,161.0,,,,34.0,,121.0,,,207.0,,74.0,21.0,,81.0,55.0,,,,2,,,,,66.0,,186.0,32.0,,,
124,"MEMBER PIKE COUNTY COMMISSION, DISTRICT NO. 4           ",REP,Chad Copeland                         ,49,,63.0,,158.0,,,,37.0,,81.0,,,150.0,,135.0,65.0,,97.0,160.0,,,,0,,,,,194.0,,160.0,43.0,,,
125,"MEMBER PIKE COUNTY COMMISSION, DISTRICT NO. 4           ",NON,Write-In                              ,0,,0.0,,0.0,,,,0.0,,1.0,,,0.0,,0.0,0.0,,0.0,0.0,,,,0,,,,,0.0,,0.0,0.0,,,
126,"MEMBER PIKE COUNTY COMMISSION, DISTRICT NO. 4           ",   ,Over Votes                            ,0,,0.0,,0.0,,,,0.0,,1.0,,,1.0,,0.0,0.0,,0.0,0.0,,,,0,,,,,1.0,,0.0,0.0,,,
127,"MEMBER PIKE COUNTY COMMISSION, DISTRICT NO. 4           ",   ,Under Votes                           ,0,,5.0,,9.0,,,,1.0,,4.0,,,10.0,,3.0,1.0,,1.0,2.0,,,,0,,,,,8.0,,6.0,4.0,,,
128,"MEMBER PIKE COUNTY COMMISSION, DISTRICT NO. 5           ",DEM,Charlie Harris                        ,63,,,,,,,,,,,,608.0,,,,,,,,,,748.0,2,,,,146.0,,88.0,,,,,
129,"MEMBER PIKE COUNTY COMMISSION, DISTRICT NO. 5           ",NON,Write-In                              ,3,,,,,,,,,,,,14.0,,,,,,,,,,11.0,0,,,,2.0,,2.0,,,,,
130,"MEMBER PIKE COUNTY COMMISSION, DISTRICT NO. 5           ",   ,Over Votes                            ,0,,,,,,,,,,,,0.0,,,,,,,,,,2.0,0,,,,0.0,,0.0,,,,,
131,"MEMBER PIKE COUNTY COMMISSION, DISTRICT NO. 5           ",   ,Under Votes                           ,24,,,,,,,,,,,,108.0,,,,,,,,,,234.0,0,,,,69.0,,36.0,,,,,
132,"MEMBER PIKE COUNTY COMMISSION, DISTRICT NO. 6           ",REP,Russell David Johnson                 ,67,236.0,,,,,,,,,,895.0,,,249.0,,,86.0,,,,81.0,,2,248.0,,,,,,,,,,
133,"MEMBER PIKE COUNTY COMMISSION, DISTRICT NO. 6           ",NON,Write-In                              ,2,1.0,,,,,,,,,,27.0,,,3.0,,,0.0,,,,0.0,,0,6.0,,,,,,,,,,
134,"MEMBER PIKE COUNTY COMMISSION, DISTRICT NO. 6           ",   ,Over Votes                            ,0,0.0,,,,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,0,0.0,,,,,,,,,,
135,"MEMBER PIKE COUNTY COMMISSION, DISTRICT NO. 6           ",   ,Under Votes                           ,18,49.0,,,,,,,,,,321.0,,,99.0,,,30.0,,,,51.0,,0,150.0,,,,,,,,,,
136,"MEMBER PIKE COUNTY BOARD OF EDUCATION, DISTRICT NO. 3   ",REP,Jesse Wyman Botts                     ,49,,,228.0,,,,104.0,,70.0,,,,,,,,,,,,,,1,,7.0,,,,,,,,,1138.0
137,"MEMBER PIKE COUNTY BOARD OF EDUCATION, DISTRICT NO. 3   ",NON,Write-In                              ,0,,,4.0,,,,1.0,,0.0,,,,,,,,,,,,,,0,,0.0,,,,,,,,,15.0
138,"MEMBER PIKE COUNTY BOARD OF EDUCATION, DISTRICT NO. 3   ",   ,Over Votes                            ,0,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,0,,0.0,,,,,,,,,0.0
139,"MEMBER PIKE COUNTY BOARD OF EDUCATION, DISTRICT NO. 3   ",   ,Under Votes                           ,18,,,88.0,,,,36.0,,35.0,,,,,,,,,,,,,,4,,15.0,,,,,,,,,534.0
140,"MEMBER PIKE COUNTY BOARD OF EDUCATION, DISTRICT NO. 4   ",DEM,Linda Harden Steed                    ,32,,55.0,,202.0,,,,41.0,,87.0,,,211.0,,101.0,35.0,,73.0,78.0,,,,0,,,,,91.0,,187.0,37.0,,,
141,"MEMBER PIKE COUNTY BOARD OF EDUCATION, DISTRICT NO. 4   ",NON,Write-In                              ,3,,2.0,,11.0,,,,3.0,,6.0,,,5.0,,10.0,0.0,,5.0,8.0,,,,0,,,,,5.0,,4.0,4.0,,,
142,"MEMBER PIKE COUNTY BOARD OF EDUCATION, DISTRICT NO. 4   ",   ,Over Votes                            ,0,,0.0,,0.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,,0,,,,,0.0,,0.0,0.0,,,
143,"MEMBER PIKE COUNTY BOARD OF EDUCATION, DISTRICT NO. 4   ",   ,Under Votes                           ,38,,48.0,,115.0,,,,28.0,,115.0,,,152.0,,101.0,52.0,,101.0,131.0,,,,2,,,,,173.0,,161.0,38.0,,,
