,Contest Title,Party,Candidate,1ST UNITED METH-ATTALLA,ABSENTEE,ALTOONA FIRE DEPTARTMENT,ATTALLA RECREATION CENTER,CARVER COMMUNITY CENTER,CAVE SPRINGS,EAST GADSDEN REC_ CTR,EGYPT COMMUNITY CENTER,ELLIOTT COMMUNITY CENTER,FORD'S VALLEY WATER,GADSDEN CONVENTION HALL,GALLANT COMMUNITY CENTER,GEORGE WALLACE SENIOR CTR,HOKES BLUFF COMMUNITY CTR,IVALEE VOL_ FIRE DEPT,LOOKOUT MTN_ COMM CTR,MEADOW BROOK BAPTIST CH,MOUNTAINBORO VFD,NEW UNION COMMUNITY CTR,NOCCALULA KIWANIS PAVIL_,NORTH GADSDEN REC_ CTR,NORTHEAST ETOWAH COMM CTR,OLD GADSDEN HIGH LUNCHROO,PROVISIONAL,RAINBOW CITY COMM CTR,RAINBOW CITY FIRE DEPT #2,REECE CITY TOWN HALL,SARDIS COMMUNITY CENTER,SOUTHSIDE COMMUNITY CTR_,TABERNACLE ACTIVITY CTR,TILLISON BEND WATER AUTH_,WALLACE HALL,WALNUT GROVE V_F_D_,WALNUT PARK REC_ CTR,WHORTON BEND FIRE STATION
70,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,589.0,780,250.0,832.0,325.0,484.0,646.0,193.0,608.0,263.0,640.0,237.0,1361.0,1748.0,201.0,699.0,831.0,533.0,581.0,932,538.0,844.0,93.0,159,2008.0,409.0,275,889.0,2510.0,192.0,258.0,756.0,496.0,357.0,557.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,316.0,272,122.0,353.0,332.0,259.0,457.0,98.0,242.0,117.0,410.0,106.0,674.0,894.0,109.0,355.0,352.0,215.0,236.0,461,251.0,415.0,51.0,68,795.0,157.0,113,376.0,1064.0,67.0,175.0,718.0,229.0,149.0,232.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,1.0,1.0,1,0.0,3.0,0.0,0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,277.0,493,155.0,345.0,278.0,161.0,277.0,76.0,295.0,146.0,301.0,135.0,525.0,723.0,133.0,328.0,317.0,250.0,260.0,458,186.0,358.0,71.0,100,750.0,157.0,96,476.0,946.0,86.0,141.0,244.0,182.0,162.0,219.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,395.0,434,151.0,420.0,235.0,277.0,439.0,96.0,363.0,138.0,346.0,109.0,705.0,904.0,91.0,357.0,439.0,249.0,291.0,471,334.0,469.0,59.0,92,1022.0,180.0,136,473.0,1256.0,117.0,137.0,491.0,277.0,209.0,295.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,324.0,303,130.0,393.0,391.0,257.0,547.0,96.0,284.0,129.0,413.0,118.0,642.0,816.0,117.0,385.0,313.0,259.0,252.0,397,322.0,431.0,70.0,88,858.0,183.0,129,383.0,1056.0,94.0,117.0,766.0,244.0,198.0,197.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,3.0,0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0,2.0,0.0,1,0.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,461.0,803,244.0,718.0,307.0,371.0,394.0,175.0,498.0,259.0,593.0,251.0,1213.0,1648.0,235.0,640.0,750.0,490.0,535.0,983,318.0,720.0,86.0,148,1675.0,360.0,218,885.0,2204.0,134.0,319.0,460.0,386.0,262.0,516.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,477.0,479,169.0,484.0,349.0,328.0,640.0,109.0,414.0,179.0,477.0,129.0,898.0,1127.0,120.0,446.0,514.0,297.0,328.0,582,412.0,553.0,74.0,107,1256.0,219.0,169,517.0,1601.0,136.0,172.0,584.0,284.0,242.0,316.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,238.0,255,111.0,335.0,259.0,203.0,338.0,80.0,238.0,119.0,293.0,104.0,522.0,685.0,89.0,303.0,241.0,217.0,191.0,296,244.0,338.0,52.0,72,656.0,143.0,95,327.0,833.0,72.0,101.0,670.0,220.0,169.0,161.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,468.0,805,247.0,712.0,327.0,374.0,402.0,178.0,494.0,228.0,581.0,245.0,1141.0,1554.0,234.0,633.0,747.0,484.0,559.0,973,318.0,729.0,89.0,147,1644.0,361.0,219,897.0,2085.0,137.0,301.0,464.0,402.0,259.0,531.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,508.0,546,185.0,584.0,406.0,338.0,658.0,136.0,458.0,161.0,618.0,133.0,1010.0,1206.0,132.0,465.0,662.0,342.0,416.0,720,462.0,630.0,91.0,127,1562.0,286.0,169,637.0,1891.0,136.0,216.0,717.0,321.0,280.0,425.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,295.0,348,150.0,484.0,174.0,310.0,326.0,123.0,315.0,177.0,326.0,169.0,776.0,1147.0,139.0,474.0,381.0,339.0,310.0,512,261.0,508.0,43.0,75,1000.0,231.0,172,504.0,1305.0,102.0,149.0,407.0,346.0,181.0,268.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,1.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,1,1.0,2.0,0.0,0,3.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,379.0,646,192.0,463.0,355.0,256.0,396.0,108.0,373.0,188.0,408.0,176.0,775.0,1011.0,172.0,442.0,458.0,318.0,352.0,619,251.0,480.0,81.0,125,992.0,206.0,141,599.0,1324.0,107.0,209.0,594.0,240.0,208.0,315.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,362.0,335,101.0,347.0,344.0,216.0,534.0,65.0,284.0,109.0,423.0,86.0,588.0,775.0,94.0,265.0,460.0,204.0,236.0,461,321.0,415.0,66.0,91,946.0,187.0,104,413.0,1182.0,87.0,150.0,575.0,186.0,183.0,256.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,361.0,452,194.0,538.0,210.0,353.0,385.0,133.0,386.0,172.0,396.0,154.0,885.0,1169.0,133.0,530.0,401.0,355.0,331.0,499,333.0,550.0,62.0,93,1078.0,197.0,184,528.0,1399.0,121.0,150.0,468.0,357.0,239.0,271.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,457.0,752,232.0,646.0,382.0,336.0,461.0,169.0,475.0,245.0,531.0,238.0,1087.0,1423.0,216.0,587.0,641.0,440.0,511.0,892,321.0,654.0,87.0,141,1533.0,339.0,196,800.0,1937.0,137.0,274.0,675.0,364.0,248.0,481.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,535.0,549,189.0,590.0,518.0,392.0,751.0,126.0,481.0,185.0,599.0,145.0,988.0,1236.0,145.0,485.0,584.0,336.0,376.0,686,508.0,653.0,91.0,126,1496.0,260.0,198,640.0,1851.0,148.0,188.0,1068.0,351.0,264.0,431.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,324.0,424,172.0,533.0,145.0,311.0,320.0,140.0,336.0,171.0,389.0,161.0,925.0,1248.0,142.0,514.0,533.0,373.0,392.0,626,252.0,539.0,49.0,87,1170.0,253.0,169,565.0,1512.0,102.0,198.0,362.0,343.0,215.0,317.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,0.0,0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,7.0,0.0,1.0,2.0,1.0,2.0,2,0.0,1.0,0.0,0,2.0,0.0,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,324.0,568,166.0,406.0,273.0,201.0,309.0,101.0,329.0,170.0,363.0,170.0,648.0,878.0,156.0,382.0,383.0,289.0,308.0,538,215.0,427.0,75.0,112,889.0,210.0,117,535.0,1155.0,95.0,188.0,288.0,213.0,191.0,260.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,600.0,510,234.0,697.0,530.0,419.0,769.0,179.0,519.0,225.0,687.0,170.0,1254.0,1665.0,168.0,564.0,800.0,441.0,520.0,878,498.0,791.0,94.0,144,1860.0,351.0,223,799.0,2303.0,158.0,269.0,1118.0,423.0,299.0,502.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,256.0,361,118.0,386.0,121.0,251.0,283.0,78.0,283.0,131.0,285.0,130.0,624.0,820.0,112.0,408.0,294.0,270.0,259.0,405,252.0,371.0,39.0,72,812.0,169.0,121,395.0,1015.0,84.0,130.0,290.0,264.0,179.0,210.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,326.0,670,175.0,448.0,284.0,235.0,328.0,110.0,343.0,170.0,380.0,178.0,683.0,884.0,163.0,410.0,408.0,288.0,299.0,569,225.0,458.0,82.0,109,885.0,203.0,140,545.0,1200.0,103.0,175.0,310.0,219.0,192.0,296.0
98,"DISTRICT COURT JUDGE, ETOWAH COUNTY, PLACE NO. 1        ",REP,"Joe F. Nabors, Jr.                    ",715.0,1102,436.0,1256.0,117.0,723.0,445.0,282.0,822.0,430.0,623.0,382.0,2124.0,2763.0,358.0,1147.0,1180.0,822.0,906.0,1379,536.0,1236.0,54.0,230,2822.0,578.0,403,1438.0,3734.0,257.0,446.0,576.0,767.0,455.0,846.0
99,"DISTRICT COURT JUDGE, ETOWAH COUNTY, PLACE NO. 1        ",NON,Write-In                              ,36.0,6,1.0,8.0,34.0,3.0,52.0,3.0,21.0,0.0,44.0,1.0,19.0,14.0,1.0,6.0,15.0,5.0,7.0,21,42.0,18.0,8.0,2,38.0,4.0,5,7.0,23.0,8.0,1.0,70.0,1.0,17.0,5.0
100,"DISTRICT COURT JUDGE, ETOWAH COUNTY, PLACE NO. 1        ",   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,"DISTRICT COURT JUDGE, ETOWAH COUNTY, PLACE NO. 1        ",   ,Under Votes                           ,432.0,428,90.0,267.0,785.0,179.0,883.0,82.0,303.0,96.0,685.0,95.0,418.0,590.0,84.0,229.0,306.0,171.0,165.0,452,397.0,366.0,153.0,51,697.0,141.0,76,296.0,763.0,80.0,127.0,1072.0,139.0,198.0,157.0
102,"MEMBER, ETOWAH COUNTY COMMISSION, DISTRICT NO. 2        ",REP,Johnny Grant                          ,,219,,,,,,,50.0,438.0,,,,1381.0,,1158.0,,,,1375,395.0,1248.0,,54,,,106,,,,,,,,
103,"MEMBER, ETOWAH COUNTY COMMISSION, DISTRICT NO. 2        ",NON,Write-In                              ,,2,,,,,,,3.0,1.0,,,,2.0,,9.0,,,,18,15.0,16.0,,2,,,2,,,,,,,,
104,"MEMBER, ETOWAH COUNTY COMMISSION, DISTRICT NO. 2        ",   ,Over Votes                            ,,0,,,,,,,0.0,0.0,,,,0.0,,0.0,,,,2,0.0,0.0,,0,,,0,,,,,,,,
105,"MEMBER, ETOWAH COUNTY COMMISSION, DISTRICT NO. 2        ",   ,Under Votes                           ,,74,,,,,,,10.0,87.0,,,,250.0,,215.0,,,,426,216.0,347.0,,15,,,15,,,,,,,,
106,"MEMBER, ETOWAH COUNTY COMMISSION, DISTRICT NO. 3        ",DEM,Glenda Vaughn Moxley                  ,216.0,37,,,,205.0,,145.0,222.0,,,,,,86.0,,,205.0,121.0,8,,,,10,,,60,328.0,,,,,,,
107,"MEMBER, ETOWAH COUNTY COMMISSION, DISTRICT NO. 3        ",REP,Larry V. Payne                        ,506.0,109,,,,682.0,,213.0,477.0,,,,,,344.0,,,761.0,514.0,20,,,,19,,,291,1362.0,,,,,,,
108,"MEMBER, ETOWAH COUNTY COMMISSION, DISTRICT NO. 3        ",NON,Write-In                              ,3.0,1,,,,1.0,,1.0,0.0,,,,,,1.0,,,1.0,1.0,0,,,,0,,,0,2.0,,,,,,,
109,"MEMBER, ETOWAH COUNTY COMMISSION, DISTRICT NO. 3        ",   ,Over Votes                            ,2.0,1,,,,0.0,,1.0,0.0,,,,,,0.0,,,2.0,2.0,0,,,,0,,,0,0.0,,,,,,,
110,"MEMBER, ETOWAH COUNTY COMMISSION, DISTRICT NO. 3        ",   ,Under Votes                           ,21.0,4,,,,17.0,,7.0,20.0,,,,,,12.0,,,30.0,23.0,0,,,,4,,,10,49.0,,,,,,,
111,"MEMBER, ETOWAH COUNTY BOARD OF EDUCATION, PLACE NO. 4   ",REP,Ernie Payne                           ,12.0,740,429.0,193.0,,713.0,,278.0,,433.0,,381.0,2064.0,2760.0,359.0,1137.0,1.0,826.0,907.0,2,,1230.0,,142,2812.0,583.0,412,1440.0,3691.0,1.0,438.0,0.0,760.0,2.0,822.0
112,"MEMBER, ETOWAH COUNTY BOARD OF EDUCATION, PLACE NO. 4   ",NON,Write-In                              ,0.0,3,11.0,5.0,,4.0,,8.0,,0.0,,3.0,20.0,11.0,3.0,11.0,0.0,10.0,13.0,0,,13.0,,1,37.0,5.0,6,11.0,30.0,0.0,2.0,0.0,10.0,0.0,7.0
113,"MEMBER, ETOWAH COUNTY BOARD OF EDUCATION, PLACE NO. 4   ",   ,Over Votes                            ,0.0,0,0.0,0.0,,0.0,,1.0,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,"MEMBER, ETOWAH COUNTY BOARD OF EDUCATION, PLACE NO. 4   ",   ,Under Votes                           ,7.0,192,87.0,39.0,,188.0,,80.0,,93.0,,94.0,465.0,598.0,81.0,234.0,0.0,163.0,158.0,1,,377.0,,20,704.0,135.0,64,290.0,799.0,0.0,132.0,0.0,137.0,0.0,166.0
115,"MEMBER, ETOWAH COUNTY BOARD OF EDUCATION, PLACE NO. 5   ",REP,Doug Sherrod                          ,12.0,734,428.0,190.0,,719.0,,278.0,,434.0,,385.0,2061.0,2723.0,352.0,1122.0,1.0,836.0,908.0,2,,1218.0,,143,2782.0,577.0,405,1440.0,3672.0,1.0,433.0,0.0,764.0,2.0,821.0
116,"MEMBER, ETOWAH COUNTY BOARD OF EDUCATION, PLACE NO. 5   ",NON,Write-In                              ,0.0,3,4.0,5.0,,5.0,,1.0,,0.0,,1.0,10.0,11.0,3.0,7.0,0.0,10.0,9.0,0,,14.0,,1,38.0,3.0,2,19.0,29.0,0.0,2.0,0.0,1.0,0.0,8.0
117,"MEMBER, ETOWAH COUNTY BOARD OF EDUCATION, PLACE NO. 5   ",   ,Over Votes                            ,0.0,1,0.0,0.0,,0.0,,1.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,"MEMBER, ETOWAH COUNTY BOARD OF EDUCATION, PLACE NO. 5   ",   ,Under Votes                           ,7.0,198,95.0,42.0,,181.0,,87.0,,92.0,,92.0,480.0,635.0,88.0,253.0,0.0,153.0,161.0,1,,388.0,,23,733.0,142.0,75,282.0,819.0,0.0,137.0,0.0,142.0,0.0,166.0
119,"CONSTABLE, ETOWAH COUNTY                                ",DEM,Jerry Entrekin                        ,770.0,821,231.0,828.0,897.0,506.0,1183.0,182.0,760.0,146.0,1010.0,177.0,1257.0,1697.0,192.0,670.0,767.0,435.0,476.0,954,729.0,891.0,188.0,185,1861.0,339.0,235,754.0,2184.0,187.0,274.0,1441.0,462.0,448.0,454.0
120,"CONSTABLE, ETOWAH COUNTY                                ",NON,Write-In                              ,36.0,26,17.0,53.0,9.0,25.0,28.0,12.0,35.0,8.0,27.0,17.0,67.0,66.0,18.0,57.0,31.0,32.0,23.0,52,17.0,35.0,2.0,2,87.0,15.0,21,51.0,121.0,13.0,12.0,27.0,24.0,27.0,29.0
121,"CONSTABLE, ETOWAH COUNTY                                ",   ,Over Votes                            ,0.0,1,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0,2.0,0.0,1,1.0,0.0,0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0
122,"CONSTABLE, ETOWAH COUNTY                                ",   ,Under Votes                           ,377.0,696,279.0,649.0,27.0,374.0,169.0,173.0,350.0,372.0,314.0,284.0,1236.0,1605.0,233.0,654.0,703.0,532.0,579.0,846,229.0,692.0,25.0,74,1608.0,369.0,228,936.0,2213.0,145.0,288.0,250.0,421.0,191.0,525.0
