,Contest Title,Party,Candidate,1ST BAPTIST CHURCH,A & M UNIVERSITY NEW GYM,ABSENTEE,ALDERSGATE UNITED METH_,ALL NATIONS CHURCH,BOB HARRISON SR_ CTR_,BOBO VOLUNTEER FIRE,BROWNSBORO BAPT_ CHURCH,CAVALRY FRIENDSHIP CTR_,CHARLES STONE AG_ CTR_,CO_ COMMISSION DIST_ 1,COMMUNITY FELLOWSHIP,COVE CHURCH AT CHASE,COVE UNITED METHODIST CH_,COVENANT PRESBYTERIAN CH_,DR_ RICHARD SHOWERS CTR_,FAITH LUTHERAN,FIRE & RESCUE TRAINING,FIRST BAPT_ MERIDANVILLE,FIRST CHURH OF GOD MADISO,FIRST MISSIONARY BAPTIST,GRACE UNITED METHODIST,GURLEY SENIOR CENTER,HAMPTON COVE CHURCH,HAROLD HARBIN GYM,HARVEST BAPTIST CHURCH,HILLWOOD BAPTIST CHURCH,INTERGRAPH CORP_,JACKSON WAY BAPTIST,LAKEWOOD COMMUNITY CTR_,LEWIS CHAPEL C_P_ CHURCH,LITTLE INDIAN CREEK CH_,LOCUST GROVE BAPTIST,MADISON BAPTIST CHURCH,MADISON CHURCH OF CHRIST,MADISON CITY HALL,MADISON CO_ NATURE TRAIL,MADISON MISSION 7 DAY ADV,MARY KELLY JOHNSTON GYM,MAYSVILLE CHURCH  CHRIST,MERIDANVILLE CH OF CHRIST,MONROVIA CH_ OF CHRIST,MONROVIA COMM_ CENTER,MONTE SANO FIRE STATION 2,MOUNTAINVIEW BAPTIST,MT_ ZION BAPTIST CHURCH,NEW HOPE CITY HALL,NEW MARKET FIRE STATION,NEW SHILOH CHURCH,NORTHEAST HUNTSVILLE,OAKWOOD UNIVERSITY CHURCH,OPTIMIST PARK,OWENS CROSS RDS CITY HALL,PINEVIEW BAPTIST CHURCH,PLAINVIEW CHURCH CHRIST,PLEASANT SPRINGS BAPTIST,PLEVNA NEW MARKET FIRE #2,PROVISIONAL,RESTORATION CHURCH,RIVERTREE CHURCH,SHERWOOD BAPTIST CH_,SOUTHWOOD PRESBYTERIAN,ST_ JOHN'S CATHOLIC CHURC,ST_ LUKE CHRISTIAN,THE DWELLING PLACE,TONEY UNITED METHODIST,TRIANA CITY HALL,TRINITY UNITED METHODIST,TRINTY PRESBYTERIAN,WEATHERLY HGTS BAPTIST,WEST HUNTSVILLE BAPTIST,WESTSIDE COMMUNITY CTR,WHITESBURG CENTER,WILLOWBROOK BAPTIST
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,40.0,83.0,110,47.0,101.0,50.0,25.0,23.0,65.0,24.0,39.0,35.0,84.0,31.0,23.0,83.0,118.0,36.0,40.0,43.0,80.0,106.0,21.0,17.0,18.0,76.0,60.0,113.0,40.0,59.0,15.0,52.0,49.0,57.0,34.0,53.0,5.0,67.0,12.0,24.0,33.0,106.0,103.0,13.0,28.0,116.0,16.0,10.0,64.0,17.0,142.0,36.0,11.0,54.0,20.0,22.0,1.0,22,57.0,39.0,111.0,15.0,41.0,100.0,72.0,46.0,65.0,97.0,31.0,27.0,63.0,12.0,36.0,50.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,2.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,894.0,643.0,3419,849.0,928.0,1487.0,513.0,483.0,810.0,335.0,558.0,666.0,1506.0,734.0,579.0,1010.0,1226.0,736.0,713.0,453.0,1376.0,1200.0,244.0,314.0,369.0,810.0,800.0,1325.0,561.0,743.0,244.0,958.0,588.0,869.0,507.0,788.0,122.0,821.0,315.0,701.0,726.0,1276.0,1231.0,333.0,453.0,1309.0,444.0,308.0,916.0,343.0,2245.0,706.0,358.0,605.0,373.0,225.0,164.0,0,862.0,748.0,1025.0,431.0,900.0,1367.0,777.0,732.0,663.0,1013.0,318.0,804.0,595.0,155.0,701.0,1063.0
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,1873.0,577.0,5700,2355.0,1274.0,359.0,1635.0,1246.0,295.0,226.0,1305.0,1843.0,2707.0,2670.0,1379.0,225.0,2322.0,349.0,1026.0,1165.0,406.0,1682.0,793.0,1402.0,1289.0,1345.0,1984.0,2127.0,865.0,319.0,93.0,2127.0,1476.0,2068.0,1166.0,1758.0,334.0,1595.0,715.0,2195.0,1816.0,2661.0,2251.0,423.0,839.0,2861.0,1514.0,802.0,227.0,738.0,910.0,1287.0,1553.0,922.0,1286.0,110.0,370.0,401,2022.0,2598.0,1638.0,1313.0,2694.0,631.0,2419.0,1688.0,858.0,1923.0,528.0,2039.0,626.0,48.0,1925.0,2806.0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,55.0,87.0,128,51.0,114.0,54.0,29.0,29.0,66.0,25.0,38.0,49.0,96.0,37.0,27.0,89.0,127.0,42.0,42.0,51.0,87.0,113.0,24.0,24.0,24.0,78.0,71.0,128.0,47.0,60.0,13.0,48.0,56.0,63.0,41.0,63.0,6.0,75.0,15.0,34.0,34.0,106.0,110.0,11.0,32.0,119.0,17.0,16.0,61.0,22.0,147.0,45.0,13.0,63.0,22.0,19.0,3.0,23,61.0,43.0,120.0,17.0,46.0,105.0,77.0,42.0,71.0,92.0,31.0,34.0,62.0,17.0,37.0,59.0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0.0,0.0,4,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
38,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,903.0,618.0,3423,879.0,926.0,1479.0,517.0,503.0,806.0,329.0,565.0,676.0,1521.0,762.0,579.0,1001.0,1244.0,734.0,711.0,456.0,1354.0,1186.0,255.0,335.0,378.0,816.0,829.0,1331.0,554.0,738.0,245.0,961.0,599.0,888.0,526.0,818.0,130.0,805.0,323.0,708.0,749.0,1292.0,1225.0,340.0,453.0,1348.0,472.0,309.0,915.0,343.0,2246.0,694.0,378.0,608.0,377.0,226.0,171.0,0,883.0,796.0,1027.0,446.0,931.0,1349.0,790.0,739.0,662.0,1014.0,330.0,801.0,581.0,152.0,712.0,1075.0
39,"CIRCUIT COURT JUDGE, 23RD JUDICIAL CIRCUIT, PLACE 4     ",REP,Dennis E. O'Dell                      ,1930.0,575.0,5731,2346.0,1265.0,356.0,1623.0,1245.0,297.0,222.0,1293.0,1837.0,2706.0,2699.0,1401.0,226.0,2321.0,339.0,1017.0,1164.0,390.0,1677.0,790.0,1423.0,1282.0,1345.0,1995.0,2116.0,862.0,316.0,94.0,2117.0,1466.0,2061.0,1165.0,1770.0,336.0,1583.0,703.0,2180.0,1818.0,2657.0,2232.0,436.0,858.0,2870.0,1500.0,796.0,232.0,736.0,895.0,1304.0,1554.0,902.0,1271.0,112.0,369.0,401,2026.0,2601.0,1641.0,1361.0,2701.0,630.0,2416.0,1664.0,851.0,1923.0,524.0,2029.0,617.0,47.0,1933.0,2800.0
40,"CIRCUIT COURT JUDGE, 23RD JUDICIAL CIRCUIT, PLACE 4     ",NON,Write-In                              ,29.0,87.0,103,43.0,107.0,45.0,27.0,26.0,59.0,24.0,37.0,33.0,79.0,22.0,16.0,87.0,112.0,40.0,40.0,43.0,79.0,102.0,29.0,15.0,19.0,78.0,57.0,115.0,38.0,55.0,13.0,43.0,50.0,56.0,33.0,51.0,3.0,69.0,16.0,27.0,28.0,95.0,103.0,9.0,30.0,107.0,15.0,10.0,56.0,19.0,144.0,35.0,11.0,59.0,19.0,17.0,1.0,22,53.0,31.0,97.0,6.0,32.0,97.0,67.0,46.0,71.0,85.0,27.0,20.0,59.0,15.0,31.0,44.0
41,"CIRCUIT COURT JUDGE, 23RD JUDICIAL CIRCUIT, PLACE 4     ",   ,Over Votes                            ,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
42,"CIRCUIT COURT JUDGE, 23RD JUDICIAL CIRCUIT, PLACE 4     ",   ,Under Votes                           ,872.0,620.0,3416,896.0,941.0,1493.0,531.0,507.0,811.0,334.0,578.0,697.0,1538.0,747.0,568.0,1002.0,1261.0,746.0,722.0,464.0,1378.0,1202.0,252.0,324.0,390.0,818.0,833.0,1354.0,566.0,747.0,244.0,974.0,615.0,902.0,536.0,818.0,131.0,822.0,334.0,730.0,753.0,1307.0,1251.0,329.0,436.0,1351.0,489.0,321.0,915.0,348.0,2264.0,687.0,381.0,632.0,395.0,226.0,174.0,0,886.0,804.0,1047.0,410.0,936.0,1358.0,804.0,761.0,669.0,1021.0,337.0,825.0,594.0,154.0,710.0,1095.0
43,"CIRCUIT COURT JUDGE, 23RD JUDICIAL CIRCUIT, PLACE 7     ",REP,Alan Mann                             ,1926.0,569.0,5719,2347.0,1260.0,355.0,1611.0,1249.0,288.0,224.0,1295.0,1853.0,2699.0,2693.0,1398.0,215.0,2307.0,336.0,1015.0,1162.0,387.0,1675.0,784.0,1425.0,1293.0,1341.0,1988.0,2122.0,863.0,313.0,91.0,2107.0,1469.0,2056.0,1162.0,1766.0,337.0,1576.0,707.0,2179.0,1801.0,2654.0,2232.0,429.0,843.0,2858.0,1579.0,792.0,225.0,730.0,888.0,1289.0,1600.0,905.0,1268.0,111.0,369.0,392,2023.0,2622.0,1631.0,1336.0,2702.0,625.0,2411.0,1667.0,851.0,1930.0,528.0,2041.0,608.0,47.0,1950.0,2810.0
44,"CIRCUIT COURT JUDGE, 23RD JUDICIAL CIRCUIT, PLACE 7     ",NON,Write-In                              ,27.0,89.0,101,40.0,106.0,46.0,25.0,23.0,60.0,23.0,37.0,33.0,83.0,21.0,16.0,91.0,112.0,38.0,41.0,42.0,80.0,102.0,27.0,16.0,17.0,77.0,57.0,110.0,33.0,55.0,14.0,42.0,48.0,56.0,34.0,52.0,4.0,63.0,14.0,26.0,29.0,93.0,99.0,9.0,27.0,107.0,15.0,12.0,56.0,20.0,148.0,34.0,11.0,57.0,20.0,17.0,1.0,19,54.0,29.0,99.0,8.0,37.0,100.0,59.0,46.0,68.0,81.0,26.0,23.0,59.0,15.0,30.0,38.0
45,"CIRCUIT COURT JUDGE, 23RD JUDICIAL CIRCUIT, PLACE 7     ",   ,Over Votes                            ,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,"CIRCUIT COURT JUDGE, 23RD JUDICIAL CIRCUIT, PLACE 7     ",   ,Under Votes                           ,878.0,624.0,3433,898.0,948.0,1493.0,545.0,506.0,820.0,333.0,576.0,682.0,1541.0,755.0,571.0,1009.0,1274.0,750.0,723.0,468.0,1380.0,1205.0,261.0,321.0,381.0,823.0,839.0,1354.0,570.0,750.0,246.0,986.0,613.0,907.0,538.0,820.0,129.0,836.0,332.0,732.0,769.0,1311.0,1255.0,336.0,454.0,1363.0,410.0,323.0,922.0,353.0,2268.0,703.0,335.0,631.0,397.0,227.0,174.0,0,888.0,786.0,1054.0,433.0,932.0,1361.0,816.0,758.0,671.0,1019.0,335.0,810.0,603.0,155.0,694.0,1093.0
47,"DISTRICT ATTORNEY, 23RD JUDICIAL CIRCUIT                ",REP,Robert L. Broussard                   ,1935.0,570.0,5737,2358.0,1274.0,358.0,1608.0,1255.0,288.0,220.0,1291.0,1829.0,2702.0,2703.0,1403.0,222.0,2315.0,343.0,1024.0,1164.0,396.0,1684.0,793.0,1425.0,1285.0,1322.0,1994.0,2127.0,860.0,312.0,94.0,2108.0,1470.0,2064.0,1164.0,1767.0,338.0,1571.0,715.0,2196.0,1823.0,2644.0,2229.0,436.0,859.0,2866.0,1509.0,794.0,229.0,737.0,894.0,1290.0,1558.0,920.0,1270.0,109.0,368.0,394,2034.0,2610.0,1646.0,1339.0,2703.0,628.0,2405.0,1677.0,851.0,1935.0,526.0,2044.0,614.0,47.0,1938.0,2809.0
48,"DISTRICT ATTORNEY, 23RD JUDICIAL CIRCUIT                ",NON,Write-In                              ,27.0,88.0,104,38.0,111.0,46.0,27.0,27.0,61.0,23.0,37.0,35.0,89.0,23.0,18.0,90.0,118.0,37.0,39.0,47.0,81.0,104.0,26.0,14.0,18.0,81.0,52.0,109.0,32.0,54.0,14.0,41.0,47.0,57.0,34.0,49.0,4.0,65.0,13.0,24.0,23.0,93.0,110.0,10.0,26.0,109.0,15.0,9.0,57.0,19.0,143.0,35.0,12.0,52.0,19.0,18.0,1.0,21,52.0,29.0,100.0,8.0,38.0,96.0,64.0,45.0,71.0,82.0,26.0,24.0,61.0,14.0,29.0,43.0
49,"DISTRICT ATTORNEY, 23RD JUDICIAL CIRCUIT                ",   ,Over Votes                            ,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
50,"DISTRICT ATTORNEY, 23RD JUDICIAL CIRCUIT                ",   ,Under Votes                           ,869.0,624.0,3408,889.0,929.0,1490.0,546.0,496.0,819.0,337.0,580.0,704.0,1533.0,743.0,564.0,1003.0,1259.0,745.0,716.0,461.0,1370.0,1194.0,253.0,323.0,387.0,836.0,839.0,1350.0,573.0,752.0,243.0,987.0,614.0,898.0,536.0,822.0,128.0,838.0,325.0,716.0,753.0,1322.0,1247.0,328.0,439.0,1353.0,479.0,324.0,917.0,347.0,2267.0,701.0,376.0,621.0,396.0,228.0,175.0,0,879.0,798.0,1038.0,430.0,929.0,1362.0,817.0,748.0,669.0,1012.0,336.0,806.0,594.0,156.0,707.0,1089.0
51,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,1613.0,932.0,4832,1677.0,1249.0,1142.0,1123.0,897.0,668.0,286.0,902.0,1336.0,2222.0,1967.0,1100.0,762.0,2118.0,628.0,986.0,964.0,1097.0,1843.0,507.0,990.0,864.0,1254.0,1494.0,2090.0,763.0,682.0,217.0,1615.0,1162.0,1764.0,1025.0,1454.0,262.0,1398.0,547.0,1526.0,1388.0,2252.0,2016.0,411.0,783.0,2450.0,937.0,544.0,724.0,604.0,2071.0,926.0,970.0,894.0,878.0,237.0,245.0,403,1715.0,1842.0,1581.0,953.0,2020.0,1396.0,1770.0,1355.0,963.0,1628.0,487.0,1503.0,732.0,144.0,1452.0,2049.0
52,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,584.0,213.0,1594,881.0,486.0,240.0,545.0,425.0,160.0,95.0,431.0,670.0,1020.0,786.0,439.0,182.0,878.0,158.0,372.0,413.0,263.0,635.0,274.0,416.0,413.0,522.0,727.0,789.0,320.0,178.0,48.0,852.0,561.0,713.0,391.0,631.0,111.0,559.0,234.0,753.0,568.0,989.0,878.0,155.0,277.0,1048.0,479.0,272.0,162.0,245.0,485.0,469.0,439.0,379.0,372.0,62.0,116.0,148,692.0,856.0,635.0,410.0,971.0,327.0,871.0,583.0,345.0,676.0,176.0,756.0,255.0,24.0,668.0,975.0
53,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0.0,1.0,3,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
54,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,634.0,136.0,2895,724.0,579.0,511.0,513.0,455.0,339.0,199.0,575.0,561.0,1079.0,715.0,445.0,371.0,698.0,338.0,420.0,295.0,487.0,502.0,290.0,355.0,412.0,464.0,663.0,706.0,381.0,258.0,86.0,668.0,408.0,542.0,317.0,553.0,97.0,517.0,271.0,658.0,643.0,816.0,691.0,208.0,264.0,829.0,588.0,311.0,317.0,253.0,745.0,631.0,537.0,319.0,435.0,56.0,183.0,0,558.0,739.0,566.0,413.0,680.0,363.0,643.0,532.0,282.0,724.0,225.0,615.0,283.0,49.0,553.0,917.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,2115.0,859.0,5382,2302.0,1465.0,1207.0,1507.0,1240.0,684.0,319.0,1207.0,1835.0,2876.0,2468.0,1459.0,773.0,2543.0,691.0,1196.0,1170.0,1130.0,2084.0,733.0,1266.0,1179.0,1532.0,1986.0,2436.0,1070.0,743.0,230.0,2119.0,1480.0,2113.0,1250.0,1862.0,348.0,1698.0,709.0,2081.0,1796.0,2819.0,2503.0,632.0,1024.0,2965.0,1372.0,765.0,772.0,777.0,2218.0,1364.0,1262.0,1065.0,1129.0,232.0,352.0,459,2052.0,2476.0,1964.0,1279.0,2644.0,1463.0,2310.0,1686.0,1114.0,2091.0,560.0,2045.0,829.0,146.0,1900.0,2774.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,377.0,286.0,1700,576.0,435.0,246.0,392.0,306.0,180.0,94.0,337.0,446.0,740.0,598.0,265.0,216.0,721.0,161.0,306.0,333.0,282.0,558.0,172.0,288.0,279.0,415.0,494.0,681.0,214.0,168.0,43.0,634.0,415.0,571.0,290.0,475.0,77.0,451.0,174.0,503.0,407.0,760.0,686.0,78.0,181.0,842.0,301.0,188.0,148.0,169.0,452.0,337.0,347.0,315.0,297.0,74.0,80.0,133,574.0,541.0,498.0,256.0,670.0,326.0,618.0,455.0,286.0,478.0,175.0,507.0,231.0,23.0,471.0,636.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,0.0,0.0,3,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,4.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,4.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,339.0,137.0,2259,404.0,413.0,441.0,282.0,231.0,303.0,167.0,364.0,286.0,703.0,403.0,257.0,325.0,429.0,273.0,277.0,166.0,435.0,339.0,166.0,207.0,233.0,293.0,404.0,469.0,181.0,207.0,78.0,383.0,235.0,334.0,193.0,300.0,45.0,326.0,169.0,353.0,395.0,477.0,396.0,64.0,119.0,517.0,329.0,174.0,282.0,157.0,633.0,325.0,337.0,213.0,259.0,49.0,111.0,0,339.0,416.0,321.0,241.0,357.0,297.0,356.0,327.0,191.0,459.0,154.0,321.0,209.0,48.0,301.0,530.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,1473.0,685.0,3870,1695.0,1039.0,583.0,1042.0,822.0,425.0,228.0,797.0,1326.0,1981.0,1818.0,1017.0,490.0,1883.0,384.0,825.0,849.0,609.0,1511.0,485.0,939.0,779.0,1048.0,1460.0,1835.0,652.0,431.0,145.0,1536.0,1012.0,1607.0,917.0,1365.0,236.0,1215.0,511.0,1438.0,1169.0,1975.0,1756.0,413.0,684.0,2144.0,784.0,534.0,404.0,541.0,1159.0,928.0,876.0,734.0,749.0,162.0,233.0,315,1562.0,1708.0,1403.0,920.0,1990.0,837.0,1690.0,1100.0,737.0,1446.0,410.0,1484.0,565.0,85.0,1344.0,1987.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,604.0,439.0,2068,788.0,660.0,771.0,601.0,454.0,395.0,148.0,508.0,610.0,1190.0,763.0,417.0,446.0,1036.0,384.0,475.0,509.0,725.0,907.0,278.0,388.0,471.0,711.0,731.0,981.0,388.0,425.0,107.0,887.0,652.0,825.0,430.0,682.0,122.0,678.0,250.0,784.0,686.0,1223.0,1083.0,144.0,322.0,1288.0,563.0,281.0,464.0,287.0,1324.0,459.0,507.0,501.0,453.0,129.0,113.0,210,765.0,875.0,770.0,376.0,918.0,871.0,891.0,783.0,533.0,768.0,236.0,704.0,400.0,79.0,687.0,914.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,0.0,2.0,1,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,754.0,156.0,3352,799.0,614.0,538.0,538.0,501.0,348.0,204.0,603.0,631.0,1149.0,888.0,550.0,379.0,775.0,355.0,477.0,314.0,513.0,561.0,308.0,435.0,441.0,482.0,694.0,770.0,426.0,260.0,99.0,711.0,467.0,586.0,385.0,592.0,112.0,581.0,292.0,715.0,741.0,859.0,746.0,217.0,318.0,895.0,656.0,312.0,335.0,273.0,812.0,639.0,563.0,356.0,483.0,64.0,198.0,0,639.0,852.0,612.0,481.0,761.0,377.0,705.0,588.0,320.0,814.0,243.0,686.0,305.0,53.0,642.0,1040.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,1689.0,865.0,4786,1847.0,1225.0,1097.0,1130.0,949.0,620.0,266.0,932.0,1421.0,2364.0,2048.0,1134.0,707.0,2142.0,600.0,1009.0,1037.0,1049.0,1807.0,551.0,1035.0,926.0,1210.0,1594.0,2042.0,765.0,678.0,221.0,1796.0,1240.0,1830.0,1054.0,1562.0,265.0,1376.0,591.0,1690.0,1445.0,2346.0,2117.0,432.0,828.0,2536.0,946.0,591.0,664.0,631.0,2007.0,1005.0,985.0,885.0,898.0,217.0,275.0,390,1803.0,1941.0,1619.0,978.0,2189.0,1395.0,1893.0,1326.0,954.0,1614.0,461.0,1607.0,700.0,141.0,1518.0,2238.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,484.0,276.0,1582,731.0,518.0,281.0,570.0,409.0,219.0,117.0,441.0,585.0,953.0,655.0,375.0,240.0,860.0,185.0,360.0,373.0,316.0,676.0,254.0,358.0,379.0,585.0,660.0,856.0,344.0,197.0,40.0,735.0,492.0,677.0,342.0,532.0,106.0,581.0,205.0,670.0,529.0,951.0,825.0,141.0,231.0,1009.0,487.0,269.0,214.0,235.0,536.0,423.0,441.0,388.0,368.0,78.0,96.0,149,604.0,753.0,622.0,354.0,810.0,334.0,746.0,607.0,345.0,668.0,202.0,654.0,289.0,23.0,581.0,793.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,1.0,0.0,1,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,657.0,141.0,2947,707.0,569.0,514.0,481.0,419.0,328.0,197.0,535.0,561.0,1004.0,766.0,476.0,368.0,691.0,340.0,409.0,262.0,482.0,496.0,267.0,369.0,386.0,445.0,630.0,688.0,357.0,243.0,90.0,605.0,398.0,510.0,337.0,541.0,99.0,517.0,257.0,577.0,625.0,762.0,643.0,201.0,265.0,780.0,571.0,267.0,323.0,237.0,758.0,598.0,520.0,320.0,419.0,60.0,172.0,0,557.0,741.0,544.0,445.0,670.0,356.0,646.0,537.0,292.0,746.0,225.0,612.0,281.0,53.0,575.0,910.0
