,Contest Title,Party,Candidate,ABSENTEE,BARNWELL VFD,BAY MINETTE CIVIC CENTER,BELFOREST COMM CTR,BON SECOUR MORGAN CHAPEL,BROMLEY VFD SUBST,CLEAR SPG FELLOWSHIP,CROSSROADS DURANT,DAPHNE CIVIC CENTER,DAPHNE HIGH SCHOOL,"DOUGLASVILLE, BOYKIN CTR",ELBERTA CIVIC CENTER,ELLISVILLE COMM CENTER,ELSANOR COMMUNITY,FAIRHOPE - 3 CIRCLE CHURCH,FAIRHOPE CIVIC CENTER,FOLEY CIVIC CENTER,FT_ MORGAN VFD #1,GATESWOOD VFD,GULF SHORES CIVIC CENTER,JOSEPHINE VFD,LILLIAN COMMUNITY,LITTLE RIVER VFD,LOTTIE VFD,LOXLEY TOWN HALL,MAG SPGS WESLEYAN CH,MARLOW VFD,MIFLIN COMMUNITY CTR,NEW LIFE ASSEMBLY OF GOD,ORANGE BEACH COMM,PERDIDO BEACH VFD,PERDIDO VOL FIRE DEPT,PINEGROVE VFD #1,PROVISIONAL,PT CLEAR ST FRANCIS,RABUN VFD,ROBERTSDALE CITY HALL,ROSINTON METHODIST,SEMINOLE VFD,SILVERHILL COMMUNITY CENTER,SPANISH FORT CHURCH OF CHRIST,SPANISH FORT COMMUNITY CENTER,STAPLETON VFD,STOCKTON CIVIC BUILDING,SUMMERDALE COMM_,TENSAW VFD,VAUGHN COMM CENTER,WHITEHOUSE FORK VFD
51,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,947,389.0,923.0,333.0,333.0,219.0,51.0,123.0,1919.0,471.0,87.0,395.0,92.0,265.0,1207.0,1467.0,1197.0,88.0,59.0,1126.0,99.0,748.0,36.0,42.0,251.0,674.0,410.0,467.0,833.0,868.0,120.0,177.0,242.0,97,241.0,172.0,580.0,379.0,160.0,517.0,376.0,765.0,270.0,147.0,434.0,28.0,72.0,220.0
52,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,1,2.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
53,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,1035,331.0,698.0,276.0,237.0,145.0,17.0,148.0,1943.0,389.0,135.0,308.0,130.0,191.0,1186.0,1595.0,1076.0,75.0,49.0,1054.0,94.0,629.0,54.0,29.0,206.0,617.0,356.0,364.0,746.0,824.0,146.0,158.0,187.0,0,265.0,122.0,522.0,207.0,124.0,401.0,397.0,654.0,217.0,82.0,374.0,43.0,86.0,191.0
54,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,2727,1297.0,2314.0,1166.0,826.0,598.0,100.0,346.0,6717.0,1750.0,207.0,1157.0,319.0,622.0,3958.0,5190.0,3851.0,306.0,170.0,4204.0,322.0,1974.0,88.0,127.0,739.0,1973.0,1237.0,1530.0,2546.0,3267.0,398.0,438.0,616.0,379,865.0,342.0,1850.0,953.0,337.0,1564.0,1241.0,2447.0,705.0,302.0,1246.0,70.0,229.0,571.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,1028,307.0,816.0,269.0,279.0,171.0,30.0,120.0,1556.0,351.0,89.0,350.0,71.0,206.0,969.0,1217.0,972.0,65.0,51.0,942.0,90.0,680.0,16.0,35.0,202.0,571.0,305.0,374.0,633.0,656.0,122.0,132.0,216.0,107,190.0,123.0,526.0,352.0,151.0,406.0,282.0,538.0,189.0,96.0,375.0,33.0,63.0,181.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,3,2.0,5.0,2.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,3.0,3.0,6.0,4.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0,4.0,5.0,3.0,2.0,4.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,5.0,0.0,1.0,3.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,787,196.0,442.0,174.0,117.0,89.0,17.0,97.0,1371.0,249.0,134.0,157.0,113.0,125.0,752.0,1061.0,688.0,29.0,26.0,612.0,59.0,420.0,49.0,13.0,123.0,389.0,231.0,225.0,489.0,433.0,74.0,91.0,120.0,0,188.0,87.0,343.0,121.0,94.0,267.0,273.0,350.0,133.0,48.0,233.0,38.0,67.0,124.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,2053,919.0,1670.0,836.0,533.0,434.0,62.0,232.0,4825.0,1256.0,150.0,795.0,220.0,426.0,2855.0,3925.0,2700.0,239.0,100.0,3103.0,210.0,1381.0,40.0,76.0,507.0,1437.0,842.0,1154.0,1828.0,2370.0,299.0,276.0,420.0,260,626.0,229.0,1338.0,710.0,228.0,1099.0,937.0,1800.0,446.0,190.0,841.0,34.0,137.0,396.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,1221,493.0,1096.0,420.0,420.0,243.0,59.0,185.0,2491.0,611.0,127.0,513.0,133.0,304.0,1399.0,1625.0,1595.0,78.0,93.0,1395.0,144.0,954.0,46.0,72.0,334.0,810.0,535.0,533.0,939.0,1005.0,148.0,225.0,326.0,155,274.0,192.0,796.0,461.0,214.0,662.0,372.0,804.0,309.0,156.0,587.0,59.0,133.0,272.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,1,2.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,1254,388.0,808.0,355.0,269.0,181.0,26.0,146.0,2331.0,484.0,153.0,357.0,150.0,226.0,1423.0,1922.0,1217.0,84.0,54.0,1262.0,117.0,743.0,67.0,27.0,222.0,689.0,400.0,444.0,902.0,983.0,147.0,162.0,206.0,0,341.0,131.0,584.0,254.0,141.0,477.0,486.0,735.0,272.0,100.0,431.0,48.0,90.0,210.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,2506,1021.0,1969.0,935.0,632.0,494.0,76.0,281.0,5669.0,1472.0,188.0,914.0,257.0,497.0,3223.0,4503.0,3209.0,271.0,113.0,3605.0,280.0,1636.0,51.0,86.0,580.0,1658.0,969.0,1312.0,2101.0,2698.0,335.0,302.0,487.0,326,725.0,240.0,1512.0,779.0,279.0,1293.0,1055.0,2033.0,511.0,211.0,1022.0,58.0,191.0,422.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,992,453.0,939.0,380.0,366.0,215.0,50.0,143.0,1946.0,480.0,100.0,452.0,107.0,266.0,1211.0,1382.0,1255.0,73.0,88.0,1098.0,100.0,793.0,36.0,61.0,290.0,689.0,462.0,447.0,807.0,857.0,142.0,212.0,282.0,106,229.0,200.0,683.0,428.0,182.0,552.0,328.0,702.0,293.0,152.0,479.0,40.0,88.0,269.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,4.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,1036,327.0,668.0,296.0,225.0,149.0,21.0,139.0,2034.0,396.0,142.0,298.0,139.0,192.0,1246.0,1587.0,1047.0,57.0,46.0,1058.0,91.0,648.0,64.0,28.0,195.0,588.0,345.0,373.0,759.0,802.0,116.0,149.0,183.0,0,287.0,112.0,524.0,218.0,121.0,392.0,413.0,601.0,223.0,83.0,357.0,43.0,81.0,188.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,2326,912.0,1664.0,882.0,573.0,441.0,64.0,239.0,5110.0,1291.0,133.0,828.0,238.0,418.0,2958.0,3970.0,2780.0,232.0,112.0,3196.0,250.0,1497.0,40.0,81.0,531.0,1431.0,900.0,1194.0,1878.0,2427.0,295.0,275.0,455.0,258,658.0,219.0,1346.0,678.0,241.0,1140.0,945.0,1828.0,437.0,192.0,880.0,44.0,135.0,353.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,1071,469.0,1124.0,390.0,393.0,250.0,60.0,165.0,2375.0,575.0,139.0,488.0,117.0,312.0,1328.0,1660.0,1526.0,80.0,79.0,1320.0,114.0,877.0,46.0,60.0,308.0,820.0,469.0,505.0,943.0,944.0,157.0,213.0,299.0,144,261.0,200.0,736.0,491.0,200.0,610.0,363.0,808.0,343.0,154.0,554.0,56.0,139.0,272.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,2,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,1.0,2.0,5.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,5.0,0.0,1.0,0.0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,1136,421.0,784.0,339.0,257.0,167.0,23.0,159.0,2162.0,484.0,158.0,347.0,148.0,225.0,1394.0,1839.0,1207.0,89.0,56.0,1242.0,107.0,704.0,67.0,34.0,225.0,685.0,406.0,432.0,847.0,984.0,142.0,174.0,198.0,0,323.0,133.0,636.0,257.0,141.0,488.0,488.0,703.0,247.0,100.0,425.0,41.0,86.0,253.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,1706,740.0,1374.0,662.0,504.0,347.0,57.0,218.0,3965.0,1037.0,138.0,668.0,203.0,361.0,2280.0,3093.0,2207.0,189.0,91.0,2577.0,207.0,1123.0,38.0,82.0,424.0,1185.0,707.0,976.0,1513.0,2014.0,262.0,254.0,382.0,209,473.0,205.0,1091.0,589.0,188.0,916.0,767.0,1386.0,376.0,168.0,704.0,42.0,106.0,332.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,1383,571.0,1296.0,534.0,433.0,320.0,62.0,185.0,3067.0,763.0,124.0,568.0,131.0,345.0,1764.0,2094.0,1894.0,112.0,87.0,1707.0,134.0,1108.0,50.0,60.0,387.0,952.0,614.0,637.0,1162.0,1196.0,165.0,227.0,345.0,167,345.0,206.0,917.0,540.0,230.0,766.0,448.0,1070.0,368.0,165.0,669.0,52.0,154.0,287.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,2.0,0.0,1.0,6.0,4.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,1435,489.0,906.0,413.0,286.0,190.0,28.0,160.0,2612.0,549.0,168.0,427.0,169.0,249.0,1632.0,2283.0,1409.0,100.0,69.0,1478.0,130.0,846.0,65.0,33.0,253.0,799.0,457.0,517.0,994.0,1146.0,167.0,182.0,225.0,0,423.0,140.0,709.0,297.0,165.0,554.0,581.0,884.0,283.0,112.0,485.0,47.0,99.0,259.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,1664,571.0,1197.0,565.0,365.0,298.0,50.0,192.0,3467.0,943.0,126.0,583.0,184.0,319.0,1856.0,2444.0,1950.0,153.0,75.0,1860.0,164.0,1033.0,36.0,45.0,392.0,1059.0,554.0,817.0,1358.0,1635.0,191.0,196.0,348.0,202,387.0,160.0,990.0,497.0,196.0,833.0,630.0,1197.0,314.0,128.0,624.0,38.0,87.0,275.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,744,357.0,785.0,282.0,294.0,204.0,52.0,111.0,1905.0,426.0,111.0,353.0,80.0,220.0,1065.0,1242.0,1203.0,65.0,59.0,945.0,72.0,668.0,33.0,52.0,197.0,570.0,394.0,370.0,697.0,720.0,110.0,163.0,211.0,110,212.0,150.0,559.0,324.0,141.0,450.0,286.0,581.0,232.0,104.0,398.0,48.0,128.0,178.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,1,4.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0,1.0,0.0,4.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,2107,870.0,1594.0,764.0,564.0,354.0,45.0,260.0,4276.0,981.0,193.0,729.0,239.0,417.0,2758.0,3784.0,2357.0,183.0,113.0,2956.0,235.0,1377.0,84.0,78.0,476.0,1307.0,830.0,945.0,1613.0,2003.0,293.0,304.0,393.0,0,643.0,242.0,1166.0,605.0,244.0,952.0,880.0,1560.0,481.0,214.0,837.0,55.0,145.0,425.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,2804,1074.0,2141.0,1073.0,701.0,501.0,84.0,301.0,5965.0,1591.0,181.0,1058.0,266.0,572.0,3426.0,4503.0,3396.0,277.0,146.0,3590.0,299.0,1853.0,63.0,102.0,626.0,1819.0,1097.0,1337.0,2276.0,2727.0,361.0,387.0,569.0,324,741.0,317.0,1666.0,927.0,335.0,1385.0,1074.0,2180.0,608.0,262.0,1127.0,59.0,157.0,502.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,749,347.0,732.0,238.0,286.0,200.0,37.0,116.0,1739.0,374.0,86.0,319.0,94.0,189.0,1011.0,1300.0,1032.0,56.0,50.0,1043.0,82.0,617.0,26.0,46.0,220.0,529.0,321.0,398.0,633.0,737.0,101.0,120.0,204.0,97,197.0,103.0,483.0,276.0,118.0,421.0,281.0,559.0,186.0,100.0,355.0,41.0,114.0,157.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,2,2.0,0.0,2.0,0.0,1.0,0.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,6.0,2.0,0.0,0.0,0.0,0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,988,379.0,704.0,298.0,236.0,156.0,26.0,145.0,1942.0,384.0,163.0,287.0,143.0,195.0,1243.0,1668.0,1085.0,68.0,51.0,1125.0,90.0,608.0,64.0,26.0,219.0,589.0,358.0,396.0,755.0,894.0,132.0,156.0,179.0,0,305.0,132.0,567.0,222.0,130.0,431.0,440.0,600.0,233.0,84.0,376.0,41.0,89.0,220.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,1471,544.0,1055.0,487.0,338.0,259.0,43.0,147.0,2991.0,820.0,112.0,513.0,163.0,289.0,1637.0,2117.0,1718.0,125.0,60.0,1597.0,138.0,911.0,30.0,47.0,345.0,882.0,509.0,686.0,1109.0,1431.0,160.0,165.0,303.0,176,317.0,148.0,881.0,439.0,173.0,762.0,547.0,983.0,279.0,118.0,568.0,33.0,75.0,232.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,939,396.0,932.0,356.0,314.0,236.0,56.0,150.0,2324.0,560.0,124.0,411.0,104.0,249.0,1220.0,1525.0,1365.0,88.0,74.0,1150.0,97.0,768.0,34.0,46.0,230.0,708.0,415.0,475.0,915.0,898.0,139.0,182.0,258.0,125,270.0,159.0,623.0,376.0,168.0,498.0,356.0,758.0,272.0,106.0,437.0,57.0,134.0,215.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,6.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,2113,862.0,1590.0,768.0,571.0,362.0,48.0,266.0,4327.0,970.0,193.0,741.0,236.0,417.0,2824.0,3827.0,2426.0,189.0,113.0,3012.0,236.0,1396.0,89.0,82.0,490.0,1346.0,854.0,970.0,1643.0,2028.0,295.0,316.0,391.0,0,656.0,245.0,1214.0,610.0,242.0,978.0,892.0,1599.0,475.0,222.0,854.0,51.0,151.0,431.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,1623,583.0,1169.0,557.0,356.0,306.0,52.0,173.0,3504.0,944.0,135.0,583.0,181.0,303.0,1839.0,2433.0,1999.0,143.0,67.0,1843.0,139.0,1006.0,36.0,54.0,376.0,1006.0,527.0,788.0,1283.0,1536.0,191.0,208.0,333.0,194,377.0,164.0,976.0,503.0,194.0,842.0,597.0,1152.0,336.0,129.0,637.0,48.0,119.0,257.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,707,320.0,757.0,258.0,288.0,187.0,46.0,122.0,1652.0,411.0,97.0,348.0,78.0,226.0,954.0,1113.0,1054.0,67.0,67.0,834.0,91.0,665.0,30.0,43.0,204.0,555.0,365.0,361.0,687.0,702.0,101.0,137.0,215.0,113,186.0,137.0,524.0,310.0,147.0,416.0,275.0,544.0,197.0,96.0,381.0,31.0,80.0,189.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,2190,899.0,1651.0,795.0,579.0,365.0,49.0,268.0,4486.0,994.0,197.0,734.0,244.0,426.0,2888.0,3927.0,2459.0,191.0,113.0,3085.0,241.0,1407.0,87.0,78.0,485.0,1376.0,886.0,983.0,1700.0,2121.0,301.0,318.0,404.0,0,679.0,251.0,1218.0,613.0,242.0,980.0,923.0,1643.0,494.0,221.0,840.0,62.0,161.0,431.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,1827,617.0,1373.0,683.0,390.0,342.0,51.0,182.0,3991.0,1047.0,156.0,622.0,188.0,312.0,2113.0,2859.0,2280.0,160.0,61.0,2359.0,175.0,1065.0,37.0,43.0,377.0,1076.0,632.0,879.0,1477.0,1860.0,191.0,208.0,340.0,200,498.0,155.0,1049.0,495.0,192.0,892.0,755.0,1392.0,335.0,135.0,635.0,58.0,127.0,292.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,1257,659.0,1249.0,490.0,499.0,296.0,65.0,206.0,2944.0,728.0,109.0,599.0,144.0,390.0,1845.0,2233.0,1782.0,137.0,109.0,1840.0,151.0,1097.0,46.0,85.0,379.0,1031.0,646.0,700.0,1146.0,1287.0,219.0,244.0,360.0,178,330.0,241.0,919.0,610.0,220.0,776.0,470.0,1070.0,392.0,189.0,705.0,33.0,125.0,307.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,1441,524.0,951.0,438.0,333.0,220.0,31.0,175.0,2715.0,573.0,165.0,444.0,171.0,254.0,1721.0,2379.0,1451.0,103.0,77.0,1559.0,145.0,912.0,70.0,47.0,308.0,828.0,500.0,550.0,1045.0,1211.0,184.0,210.0,252.0,0,412.0,156.0,750.0,321.0,171.0,569.0,571.0,873.0,300.0,122.0,518.0,50.0,108.0,280.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,1743,677.0,1209.0,620.0,395.0,334.0,52.0,156.0,4037.0,979.0,140.0,555.0,169.0,268.0,2137.0,3182.0,2075.0,190.0,72.0,2601.0,173.0,958.0,37.0,55.0,360.0,989.0,568.0,879.0,1445.0,2327.0,176.0,203.0,308.0,201,519.0,151.0,897.0,440.0,141.0,759.0,810.0,1428.0,284.0,141.0,601.0,50.0,141.0,269.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,1772,768.0,1702.0,696.0,600.0,366.0,72.0,260.0,3669.0,970.0,136.0,847.0,193.0,504.0,2291.0,2559.0,2370.0,145.0,130.0,2103.0,206.0,1496.0,56.0,87.0,493.0,1350.0,852.0,870.0,1489.0,1267.0,280.0,311.0,456.0,220,421.0,267.0,1258.0,757.0,296.0,1071.0,558.0,1318.0,520.0,217.0,893.0,49.0,134.0,410.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,4,1.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,5.0,7.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,1022,356.0,665.0,292.0,227.0,158.0,23.0,147.0,1943.0,400.0,154.0,263.0,140.0,183.0,1250.0,1728.0,1063.0,66.0,45.0,1052.0,92.0,622.0,60.0,33.0,212.0,596.0,356.0,383.0,735.0,760.0,138.0,149.0,188.0,0,301.0,134.0,563.0,228.0,145.0,404.0,427.0,592.0,222.0,88.0,365.0,42.0,85.0,199.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,1787,715.0,1340.0,625.0,415.0,355.0,66.0,192.0,4016.0,1004.0,148.0,680.0,194.0,347.0,2204.0,3058.0,2267.0,183.0,71.0,2508.0,201.0,1160.0,34.0,66.0,410.0,1154.0,703.0,891.0,1466.0,1919.0,225.0,207.0,394.0,237,452.0,179.0,1103.0,571.0,206.0,959.0,713.0,1384.0,360.0,163.0,771.0,62.0,155.0,290.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,1538,614.0,1366.0,609.0,517.0,310.0,55.0,204.0,3251.0,843.0,116.0,618.0,148.0,378.0,1963.0,2372.0,1902.0,131.0,113.0,1898.0,150.0,1135.0,54.0,70.0,396.0,1054.0,641.0,747.0,1271.0,1363.0,209.0,260.0,333.0,162,426.0,222.0,924.0,561.0,213.0,763.0,553.0,1211.0,377.0,172.0,626.0,33.0,106.0,333.0
100,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,3,2.0,2.0,2.0,1.0,0.0,0.0,0.0,9.0,5.0,0.0,2.0,0.0,0.0,3.0,9.0,5.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
101,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,1209,471.0,869.0,375.0,290.0,193.0,26.0,167.0,2375.0,499.0,166.0,365.0,161.0,231.0,1512.0,2035.0,1341.0,87.0,63.0,1351.0,120.0,783.0,65.0,38.0,259.0,729.0,434.0,494.0,927.0,1077.0,160.0,195.0,225.0,0,365.0,151.0,692.0,293.0,163.0,514.0,528.0,743.0,289.0,111.0,461.0,46.0,99.0,256.0
102,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,1575,782.0,1559.0,734.0,434.0,377.0,58.0,229.0,4230.0,1097.0,155.0,709.0,207.0,371.0,2465.0,3266.0,2434.0,194.0,96.0,2691.0,200.0,1101.0,51.0,72.0,437.0,1220.0,740.0,995.0,1589.0,2059.0,238.0,246.0,413.0,226,520.0,218.0,1192.0,590.0,212.0,958.0,780.0,1506.0,420.0,181.0,756.0,58.0,154.0,343.0
103,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,1294,480.0,1033.0,379.0,433.0,269.0,59.0,162.0,2406.0,590.0,103.0,504.0,119.0,300.0,1369.0,1689.0,1498.0,96.0,80.0,1442.0,120.0,975.0,36.0,66.0,325.0,837.0,506.0,551.0,969.0,1011.0,181.0,203.0,292.0,135,280.0,178.0,736.0,494.0,191.0,640.0,377.0,826.0,292.0,132.0,545.0,36.0,97.0,251.0
