,Contest Title,Party,Candidate,ABSENTEE,BAKERHILL TOWN HALL,BEVILL CENTER,BLUE SPRINGS CITY HALL,CLAYTON COURTHOUSE,CLIO CITY HALL,ELAMVILLE VOL_ FIRE,EUFAULA COMMUNITY CENTER,EUFAULA WATER BOARD,FELLOWSHIP BAPTIST,GREENS CROSSROADS,LOUISVILLE CITY HALL,MCCOO SCHOOL,MT_ ANDREW COMMUNITY CTR_,PROVISIONAL,SANFORD AVENUE GYM,SPRINGHILL VFD,TEXASVILLE COMMUNITY CTR_
118,"CONSTABLE, BARBOUR COUNTY PRECINCT 3                    ",   ,Over Votes                            ,0,,,,,0.0,,,,,,,,,0,,,
119,"CONSTABLE, BARBOUR COUNTY PRECINCT 3                    ",   ,Under Votes                           ,7,,,,,471.0,,,,,,,,,0,,,
120,"CONSTABLE, BARBOUR COUNTY PRECINCT 4                    ",NON,Write-In                              ,1,,30.0,,,,,,,,,,,,0,,,
121,"CONSTABLE, BARBOUR COUNTY PRECINCT 4                    ",   ,Over Votes                            ,0,,0.0,,,,,,,,,,,,0,,,
122,"CONSTABLE, BARBOUR COUNTY PRECINCT 4                    ",   ,Under Votes                           ,22,,465.0,,,,,,,,,,,,4,,,
123,"CONSTABLE, BARBOUR COUNTY PRECINCT 5                    ",DEM,Mark Miller                           ,352,,262.0,,,,,567.0,584.0,673.0,,,862.0,,13,679.0,,
124,"CONSTABLE, BARBOUR COUNTY PRECINCT 5                    ",NON,Write-In                              ,1,,1.0,,,,,11.0,7.0,15.0,,,15.0,,0,9.0,,
125,"CONSTABLE, BARBOUR COUNTY PRECINCT 5                    ",   ,Over Votes                            ,0,,0.0,,,,,0.0,0.0,1.0,,,2.0,,0,0.0,,
126,"CONSTABLE, BARBOUR COUNTY PRECINCT 5                    ",   ,Under Votes                           ,148,,257.0,,,,,354.0,196.0,410.0,,,210.0,,10,252.0,,
127,"CONSTABLE, BARBOUR COUNTY PRECINCT 6                    ",NON,Write-In                              ,0,,,,40.0,,,,,,,,,,1,,,
128,"CONSTABLE, BARBOUR COUNTY PRECINCT 6                    ",   ,Over Votes                            ,0,,,,0.0,,,,,,,,,,0,,,
129,"CONSTABLE, BARBOUR COUNTY PRECINCT 6                    ",   ,Under Votes                           ,44,,,,823.0,,,,,,,,,,8,,,
130,"CONSTABLE, BARBOUR COUNTY PRECINCT 7                    ",NON,Write-In                              ,0,,,,,,,9.0,,,,,,,0,,,
131,"CONSTABLE, BARBOUR COUNTY PRECINCT 7                    ",   ,Over Votes                            ,0,,,,,,,0.0,,,,,,,0,,,
132,"CONSTABLE, BARBOUR COUNTY PRECINCT 7                    ",   ,Under Votes                           ,8,,,,,,,216.0,,,,,,,1,,,
133,"CONSTABLE, BARBOUR COUNTY PRECINCT 8                    ",DEM,Otis Lecompte                         ,4,,,,,,,,,,,,,140.0,0,,,
134,"CONSTABLE, BARBOUR COUNTY PRECINCT 8                    ",NON,Write-In                              ,0,,,,,,,,,,,,,1.0,0,,,
135,"CONSTABLE, BARBOUR COUNTY PRECINCT 8                    ",   ,Over Votes                            ,0,,,,,,,,,,,,,0.0,0,,,
136,"CONSTABLE, BARBOUR COUNTY PRECINCT 8                    ",   ,Under Votes                           ,0,,,,,,,,,,,,,16.0,0,,,
137,"CONSTABLE, BARBOUR COUNTY PRECINCT 8A                   ",NON,Write-In                              ,1,,,,,,,,,,7.0,,,,0,,,
138,"CONSTABLE, BARBOUR COUNTY PRECINCT 8A                   ",   ,Over Votes                            ,0,,,,,,,,,,0.0,,,,0,,,
139,"CONSTABLE, BARBOUR COUNTY PRECINCT 8A                   ",   ,Under Votes                           ,5,,,,,,,,,,124.0,,,,0,,,
140,"CONSTABLE, BARBOUR COUNTY PRECINCT 9                    ",NON,Write-In                              ,0,,,,,,,,,,,18.0,,,0,,,
141,"CONSTABLE, BARBOUR COUNTY PRECINCT 9                    ",   ,Over Votes                            ,0,,,,,,,,,,,0.0,,,0,,,
142,"CONSTABLE, BARBOUR COUNTY PRECINCT 9                    ",   ,Under Votes                           ,13,,,,,,,,,,,537.0,,,2,,,
143,"CONSTABLE, BARBOUR COUNTY PRECINCT 10                   ",NON,Write-In                              ,0,,,,,,,,,,,,,,0,,,40.0
144,"CONSTABLE, BARBOUR COUNTY PRECINCT 10                   ",   ,Over Votes                            ,0,,,,,,,,,,,,,,0,,,0.0
145,"CONSTABLE, BARBOUR COUNTY PRECINCT 10                   ",   ,Under Votes                           ,7,,,,,,,,,,,,,,0,,,235.0
146,"CONSTABLE, BARBOUR COUNTY PRECINCT 10A                  ",NON,Write-In                              ,0,,,10.0,,,,,,,,,,,1,,,
147,"CONSTABLE, BARBOUR COUNTY PRECINCT 10A                  ",   ,Over Votes                            ,0,,,0.0,,,,,,,,,,,0,,,
148,"CONSTABLE, BARBOUR COUNTY PRECINCT 10A                  ",   ,Under Votes                           ,9,,,240.0,,,,,,,,,,,3,,,
149,"CONSTABLE, BARBOUR COUNTY PRECINCT 11                   ",NON,Write-In                              ,0,,,,,,,,,,,,,,0,,14.0,
150,"CONSTABLE, BARBOUR COUNTY PRECINCT 11                   ",   ,Over Votes                            ,0,,,,,,,,,,,,,,0,,0.0,
151,"CONSTABLE, BARBOUR COUNTY PRECINCT 11                   ",   ,Under Votes                           ,27,,,,,,,,,,,,,,1,,343.0,
