,Contest Title,Party,Candidate,ABSENTEE,ARLINGTON COMMUNITY CENTER,CLIFTON VOC_ BUILDING DIST 4,CLIFTON VOC_ BUILDING DIST 5,COY PUBLIC SCHOOL HOUSE,FAITH FELLOWSHIP,FURMAN TATES CHAPEL DIST 1,FURMAN TATES CHAPEL DIST 2,G_W_ WATTS,GEE'S BEND FERRY TERMINAL,GROCERY STORE,HWY 10/28 DIST 1,HWY 10/28 DIST 2,LOWER PEACHTREE DIST 5,LOWER PEACHTREE DIST 6,MILLER FERRY RIVERVIEW CHURCH,NATIONAL GUARD BRIDGEPORT,NATL GUARD ARMORY CAMDEN,PINE APPLE/AWIN DIST 1,PINE APPLE/AWIN DIST 2,PINE HILL CITY HALL,PINE HILL MIDDLE SCHOOL,PORTABLE BUILDING,PRAIRIE BLUFF CATHERINE,PROVISIONAL,SE CAMDEN COURTHOUSE DIST 2,SE CAMDEN COURTHOUSE DIST 3,SEDAN PORT_ BLDG HWY 41,ST PAUL AME CHURCH DIST 1,ST PAUL AME CHURCH DIST 2,SUNNY SOUTH VOTING BOOTH,WHISKEY RUN DIST 3,WHISKEY RUN DIST 5,YE OLDE SHOPPE DIST 1,YE OLDE SHOPPE DIST 2,YELLOW BLUFF CITY HALL
66,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,136,96.0,69.0,64.0,114.0,128.0,26.0,9.0,30.0,131.0,128.0,41.0,133.0,69.0,88.0,39.0,70.0,230.0,23.0,30.0,212.0,90.0,103.0,128.0,0.0,194.0,18.0,31.0,31.0,33.0,101.0,340.0,9.0,7.0,55.0,73.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,44,39.0,7.0,3.0,35.0,5.0,12.0,1.0,6.0,13.0,37.0,32.0,18.0,3.0,3.0,58.0,39.0,152.0,12.0,34.0,118.0,15.0,4.0,54.0,0.0,33.0,12.0,21.0,3.0,1.0,38.0,20.0,7.0,6.0,5.0,4.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,300,54.0,51.0,36.0,88.0,207.0,33.0,20.0,44.0,67.0,33.0,32.0,86.0,48.0,25.0,56.0,46.0,148.0,16.0,34.0,219.0,54.0,51.0,58.0,0.0,72.0,15.0,22.0,17.0,5.0,59.0,128.0,3.0,10.0,11.0,26.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,99,69.0,77.0,62.0,69.0,123.0,36.0,6.0,17.0,123.0,81.0,47.0,129.0,38.0,42.0,59.0,54.0,189.0,12.0,47.0,170.0,58.0,65.0,138.0,0.0,129.0,19.0,25.0,35.0,31.0,74.0,190.0,7.0,14.0,55.0,60.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,61,61.0,7.0,9.0,48.0,24.0,7.0,3.0,14.0,17.0,40.0,23.0,17.0,27.0,49.0,33.0,48.0,143.0,18.0,18.0,137.0,38.0,31.0,50.0,0.0,62.0,10.0,16.0,2.0,3.0,65.0,141.0,8.0,1.0,3.0,11.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,320,59.0,43.0,32.0,120.0,193.0,28.0,21.0,49.0,71.0,78.0,35.0,91.0,55.0,23.0,61.0,53.0,199.0,21.0,34.0,242.0,63.0,62.0,52.0,0.0,108.0,17.0,33.0,14.0,5.0,59.0,157.0,4.0,8.0,13.0,31.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,84,65.0,69.0,52.0,71.0,114.0,30.0,8.0,20.0,118.0,82.0,31.0,77.0,44.0,39.0,48.0,52.0,172.0,12.0,40.0,144.0,49.0,72.0,125.0,0.0,114.0,18.0,27.0,33.0,30.0,60.0,180.0,6.0,10.0,53.0,60.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,62,60.0,13.0,21.0,44.0,29.0,11.0,2.0,10.0,17.0,39.0,28.0,18.0,30.0,51.0,39.0,43.0,143.0,18.0,17.0,153.0,47.0,27.0,61.0,0.0,63.0,10.0,13.0,4.0,4.0,73.0,146.0,9.0,3.0,5.0,14.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,333,63.0,45.0,30.0,121.0,197.0,30.0,20.0,50.0,76.0,78.0,46.0,141.0,46.0,23.0,65.0,60.0,216.0,21.0,42.0,252.0,63.0,59.0,54.0,0.0,122.0,18.0,34.0,14.0,5.0,65.0,162.0,4.0,10.0,13.0,29.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,56,59.0,26.0,22.0,57.0,54.0,6.0,2.0,7.0,93.0,48.0,21.0,46.0,22.0,20.0,33.0,31.0,138.0,11.0,26.0,96.0,42.0,54.0,74.0,0.0,86.0,17.0,21.0,9.0,8.0,52.0,122.0,6.0,5.0,20.0,30.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,60,60.0,52.0,47.0,47.0,84.0,29.0,7.0,15.0,41.0,60.0,28.0,40.0,40.0,68.0,27.0,43.0,114.0,11.0,18.0,127.0,47.0,38.0,99.0,0.0,75.0,6.0,7.0,28.0,27.0,70.0,195.0,7.0,5.0,36.0,36.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,364,70.0,49.0,34.0,132.0,201.0,36.0,21.0,58.0,77.0,91.0,56.0,151.0,58.0,25.0,92.0,81.0,278.0,29.0,55.0,326.0,70.0,66.0,66.0,0.0,139.0,23.0,46.0,14.0,4.0,76.0,171.0,6.0,13.0,14.0,37.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,89,76.0,29.0,21.0,73.0,49.0,16.0,5.0,21.0,97.0,73.0,39.0,51.0,24.0,21.0,91.0,69.0,237.0,18.0,40.0,209.0,55.0,41.0,89.0,0.0,111.0,24.0,34.0,8.0,5.0,60.0,112.0,7.0,10.0,17.0,26.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,64,55.0,56.0,50.0,45.0,97.0,31.0,6.0,15.0,44.0,46.0,26.0,41.0,42.0,69.0,17.0,35.0,115.0,14.0,31.0,112.0,43.0,38.0,105.0,0.0,78.0,8.0,8.0,31.0,28.0,80.0,212.0,8.0,4.0,42.0,41.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,327,58.0,42.0,32.0,119.0,194.0,24.0,19.0,44.0,70.0,80.0,40.0,145.0,54.0,22.0,45.0,51.0,179.0,19.0,28.0,228.0,61.0,78.0,46.0,0.0,110.0,14.0,32.0,12.0,6.0,58.0,163.0,4.0,9.0,12.0,36.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,45,53.0,18.0,24.0,50.0,43.0,4.0,5.0,8.0,97.0,44.0,21.0,44.0,19.0,22.0,34.0,25.0,126.0,10.0,12.0,102.0,43.0,37.0,59.0,0.0,68.0,10.0,12.0,6.0,5.0,43.0,105.0,8.0,4.0,10.0,20.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,66,64.0,56.0,43.0,52.0,86.0,26.0,6.0,13.0,35.0,55.0,30.0,41.0,43.0,65.0,27.0,47.0,129.0,12.0,23.0,123.0,45.0,39.0,111.0,0.0,88.0,16.0,12.0,29.0,28.0,73.0,197.0,6.0,6.0,43.0,45.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,368,72.0,53.0,36.0,135.0,211.0,41.0,19.0,59.0,79.0,100.0,54.0,152.0,58.0,26.0,91.0,83.0,276.0,29.0,64.0,324.0,71.0,82.0,70.0,0.0,144.0,20.0,50.0,16.0,6.0,82.0,186.0,5.0,13.0,18.0,38.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,72,73.0,21.0,30.0,52.0,44.0,5.0,3.0,9.0,53.0,53.0,27.0,43.0,42.0,62.0,37.0,28.0,146.0,16.0,31.0,134.0,60.0,51.0,67.0,0.0,95.0,14.0,17.0,1.0,4.0,85.0,217.0,9.0,8.0,9.0,26.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,40,44.0,57.0,33.0,49.0,85.0,22.0,6.0,13.0,80.0,45.0,25.0,35.0,18.0,23.0,27.0,35.0,106.0,7.0,17.0,101.0,25.0,24.0,99.0,0.0,67.0,10.0,8.0,33.0,27.0,36.0,80.0,4.0,6.0,42.0,39.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,368,72.0,49.0,39.0,136.0,211.0,44.0,21.0,58.0,78.0,101.0,53.0,159.0,60.0,27.0,89.0,92.0,279.0,28.0,51.0,314.0,74.0,83.0,74.0,0.0,136.0,22.0,49.0,17.0,8.0,77.0,189.0,6.0,9.0,20.0,38.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,81,78.0,20.0,31.0,70.0,64.0,9.0,4.0,12.0,113.0,59.0,27.0,35.0,48.0,65.0,39.0,27.0,184.0,16.0,26.0,160.0,69.0,49.0,72.0,0.0,98.0,11.0,22.0,5.0,3.0,91.0,230.0,5.0,7.0,12.0,28.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,57,46.0,15.0,19.0,46.0,21.0,18.0,2.0,11.0,14.0,53.0,33.0,29.0,8.0,6.0,36.0,58.0,133.0,12.0,20.0,130.0,18.0,23.0,61.0,0.0,63.0,14.0,17.0,7.0,2.0,38.0,58.0,10.0,4.0,17.0,19.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,341,65.0,92.0,53.0,121.0,255.0,44.0,24.0,57.0,84.0,87.0,45.0,173.0,64.0,45.0,77.0,70.0,214.0,23.0,53.0,259.0,72.0,86.0,107.0,0.0,139.0,21.0,35.0,39.0,34.0,69.0,199.0,4.0,12.0,42.0,56.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,61,69.0,22.0,33.0,56.0,63.0,3.0,2.0,9.0,99.0,60.0,24.0,36.0,48.0,67.0,27.0,30.0,140.0,13.0,27.0,113.0,69.0,52.0,91.0,0.0,95.0,12.0,14.0,6.0,6.0,85.0,223.0,6.0,8.0,10.0,26.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,59,45.0,14.0,19.0,52.0,14.0,12.0,4.0,11.0,25.0,42.0,27.0,28.0,6.0,7.0,38.0,42.0,137.0,10.0,19.0,107.0,14.0,20.0,45.0,0.0,61.0,12.0,10.0,5.0,1.0,36.0,59.0,7.0,3.0,16.0,19.0
100,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
101,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,360,75.0,91.0,51.0,129.0,263.0,56.0,24.0,60.0,87.0,97.0,54.0,173.0,66.0,42.0,87.0,83.0,254.0,28.0,53.0,329.0,76.0,86.0,104.0,0.0,144.0,22.0,50.0,40.0,32.0,77.0,205.0,6.0,12.0,44.0,58.0
102,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,113,106.0,76.0,63.0,86.0,130.0,32.0,8.0,21.0,130.0,78.0,34.0,66.0,62.0,91.0,39.0,47.0,175.0,19.0,32.0,176.0,74.0,82.0,130.0,0.0,133.0,18.0,23.0,33.0,29.0,92.0,302.0,5.0,6.0,49.0,66.0
103,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,37,30.0,6.0,5.0,33.0,13.0,14.0,1.0,8.0,6.0,43.0,25.0,18.0,4.0,2.0,49.0,45.0,146.0,11.0,20.0,119.0,20.0,16.0,57.0,0.0,52.0,10.0,14.0,3.0,2.0,44.0,36.0,10.0,2.0,10.0,5.0
104,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,329,53.0,45.0,35.0,117.0,197.0,25.0,21.0,51.0,75.0,78.0,46.0,152.0,54.0,22.0,64.0,63.0,210.0,21.0,47.0,254.0,65.0,60.0,53.0,0.0,115.0,18.0,37.0,15.0,8.0,62.0,150.0,4.0,15.0,12.0,32.0
106,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,130,99.0,78.0,61.0,121.0,141.0,39.0,8.0,29.0,135.0,131.0,73.0,176.0,77.0,91.0,69.0,67.0,256.0,22.0,48.0,210.0,88.0,105.0,152.0,0.0,191.0,22.0,32.0,32.0,31.0,110.0,374.0,9.0,13.0,52.0,63.0
107,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,31,32.0,5.0,6.0,29.0,9.0,7.0,4.0,7.0,25.0,28.0,12.0,16.0,2.0,6.0,27.0,35.0,106.0,10.0,17.0,95.0,13.0,5.0,39.0,0.0,37.0,8.0,12.0,3.0,1.0,26.0,23.0,7.0,2.0,7.0,6.0
108,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,319,58.0,44.0,36.0,87.0,190.0,25.0,18.0,44.0,51.0,39.0,19.0,44.0,41.0,19.0,57.0,53.0,168.0,19.0,34.0,244.0,58.0,48.0,49.0,0.0,72.0,16.0,30.0,16.0,7.0,62.0,91.0,3.0,8.0,12.0,34.0
110,"DISTRICT COURT JUDGE, WILCOX COUNTY                     ",DEM,Briana Westry-Robinson                ,219,133.0,122.0,80.0,206.0,314.0,52.0,20.0,68.0,186.0,164.0,69.0,211.0,109.0,112.0,49.0,80.0,279.0,30.0,54.0,287.0,128.0,154.0,201.0,0.0,231.0,30.0,40.0,46.0,39.0,137.0,456.0,12.0,18.0,64.0,84.0
111,"DISTRICT COURT JUDGE, WILCOX COUNTY                     ",NON,Write-In                              ,4,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,3.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
112,"DISTRICT COURT JUDGE, WILCOX COUNTY                     ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,"DISTRICT COURT JUDGE, WILCOX COUNTY                     ",   ,Under Votes                           ,257,54.0,4.0,22.0,29.0,25.0,19.0,10.0,12.0,23.0,30.0,35.0,25.0,11.0,4.0,104.0,75.0,244.0,20.0,42.0,254.0,31.0,4.0,38.0,0.0,68.0,16.0,31.0,5.0,0.0,60.0,32.0,6.0,5.0,7.0,19.0
114,"MEMBER, WILCOX COUNTY COMMISSION, DISTRICT NO. 1        ",DEM,"William ""Bill"" Albritton              ",32,,,,,,53.0,,,,,80.0,,,,,119.0,406.0,39.0,,,,,,0.0,,,,47.0,,,,,21.0,,
115,"MEMBER, WILCOX COUNTY COMMISSION, DISTRICT NO. 1        ",NON,Write-In                              ,0,,,,,,0.0,,,,,1.0,,,,,0.0,2.0,0.0,,,,,,0.0,,,,0.0,,,,,0.0,,
116,"MEMBER, WILCOX COUNTY COMMISSION, DISTRICT NO. 1        ",   ,Over Votes                            ,0,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,,,,,0.0,,
117,"MEMBER, WILCOX COUNTY COMMISSION, DISTRICT NO. 1        ",   ,Under Votes                           ,17,,,,,,18.0,,,,,24.0,,,,,36.0,123.0,12.0,,,,,,0.0,,,,4.0,,,,,2.0,,
118,"MEMBER, WILCOX COUNTY COMMISSION, DISTRICT NO. 2        ",DEM,"John ""Coach"" Moton                    ",28,,,,,,,20.0,70.0,,,,210.0,,,,,,,57.0,,,154.0,,0.0,238.0,,,,39.0,,,,,65.0,
119,"MEMBER, WILCOX COUNTY COMMISSION, DISTRICT NO. 2        ",NON,Write-In                              ,1,,,,,,,0.0,0.0,,,,1.0,,,,,,,3.0,,,0.0,,0.0,1.0,,,,0.0,,,,,0.0,
120,"MEMBER, WILCOX COUNTY COMMISSION, DISTRICT NO. 2        ",   ,Over Votes                            ,0,,,,,,,0.0,0.0,,,,0.0,,,,,,,0.0,,,0.0,,0.0,0.0,,,,0.0,,,,,0.0,
121,"MEMBER, WILCOX COUNTY COMMISSION, DISTRICT NO. 2        ",   ,Under Votes                           ,8,,,,,,,10.0,10.0,,,,26.0,,,,,,,39.0,,,4.0,,0.0,61.0,,,,0.0,,,,,6.0,
122,"MEMBER, WILCOX COUNTY COMMISSION, DISTRICT NO. 5        ",DEM,Ricky Powell                          ,185,,,76.0,,,,,,,162.0,,,107.0,,,,,,,,118.0,,,0.0,,,,,,,,9.0,,,86.0
123,"MEMBER, WILCOX COUNTY COMMISSION, DISTRICT NO. 5        ",NON,Write-In                              ,1,,,0.0,,,,,,,4.0,,,1.0,,,,,,,,7.0,,,0.0,,,,,,,,3.0,,,0.0
124,"MEMBER, WILCOX COUNTY COMMISSION, DISTRICT NO. 5        ",   ,Over Votes                            ,0,,,1.0,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0
125,"MEMBER, WILCOX COUNTY COMMISSION, DISTRICT NO. 5        ",   ,Under Votes                           ,95,,,26.0,,,,,,,33.0,,,12.0,,,,,,,,34.0,,,0.0,,,,,,,,7.0,,,17.0
126,"MEMBER, WILCOX COUNTY BOARD OF EDUCATION, DISTRICT NO. 5",DEM,Synauri Sashay Boykin                 ,33,,,68.0,,,,,,,176.0,,,101.0,,,,,,,,94.0,,,0.0,,,,,,,,14.0,,,66.0
127,"MEMBER, WILCOX COUNTY BOARD OF EDUCATION, DISTRICT NO. 5",NON,Write-In                              ,242,,,30.0,,,,,,,10.0,,,16.0,,,,,,,,44.0,,,0.0,,,,,,,,0.0,,,34.0
128,"MEMBER, WILCOX COUNTY BOARD OF EDUCATION, DISTRICT NO. 5",   ,Over Votes                            ,0,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0
129,"MEMBER, WILCOX COUNTY BOARD OF EDUCATION, DISTRICT NO. 5",   ,Under Votes                           ,6,,,5.0,,,,,,,13.0,,,3.0,,,,,,,,21.0,,,0.0,,,,,,,,5.0,,,3.0
130,"MEMBER, WILCOX COUNTY BOARD OF EDUCATION, DISTRICT NO. 6",DEM,Reginald W. Southall                  ,17,57.0,,,,,,,,,,,,,74.0,,,,,,165.0,,,,0.0,,,,,,128.0,,,,,
131,"MEMBER, WILCOX COUNTY BOARD OF EDUCATION, DISTRICT NO. 6",NON,Write-In                              ,2,118.0,,,,,,,,,,,,,40.0,,,,,,305.0,,,,0.0,,,,,,46.0,,,,,
132,"MEMBER, WILCOX COUNTY BOARD OF EDUCATION, DISTRICT NO. 6",   ,Over Votes                            ,0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,
133,"MEMBER, WILCOX COUNTY BOARD OF EDUCATION, DISTRICT NO. 6",   ,Under Votes                           ,7,14.0,,,,,,,,,,,,,2.0,,,,,,79.0,,,,0.0,,,,,,24.0,,,,,
134,"CONSTABLE, WILCOX COUNTY PRECINCT 1, BOX 1              ",DEM,Marvin A. Carter                      ,14,,,,,,,,,,,,,,,,,291.0,,,,,,,0.0,,,,,,,,,,,
135,"CONSTABLE, WILCOX COUNTY PRECINCT 1, BOX 1              ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,10.0,,,,,,,0.0,,,,,,,,,,,
136,"CONSTABLE, WILCOX COUNTY PRECINCT 1, BOX 1              ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,
137,"CONSTABLE, WILCOX COUNTY PRECINCT 1, BOX 1              ",   ,Under Votes                           ,15,,,,,,,,,,,,,,,,,230.0,,,,,,,0.0,,,,,,,,,,,
138,"CONSTABLE, WILCOX COUNTY PRECINCT 1, BOX 3              ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,
139,"CONSTABLE, WILCOX COUNTY PRECINCT 1, BOX 3              ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,
140,"CONSTABLE, WILCOX COUNTY PRECINCT 1, BOX 3              ",   ,Under Votes                           ,0,,,,,,,,,,,,,,,,,,51.0,,,,,,0.0,,,,,,,,,,,
141,"CONSTABLE, WILCOX COUNTY PRECINCT 1, BOX 4              ",NON,Write-In                              ,0,,,,,,4.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
142,"CONSTABLE, WILCOX COUNTY PRECINCT 1, BOX 4              ",   ,Over Votes                            ,0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
143,"CONSTABLE, WILCOX COUNTY PRECINCT 1, BOX 4              ",   ,Under Votes                           ,1,,,,,,67.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
144,"CONSTABLE, WILCOX COUNTY PRECINCT 1, BOX 5              ",DEM,Mike Kitzinger                        ,9,,,,,,,,,,,,,,,,111.0,,,,,,,,0.0,,,,,,,,,,,
145,"CONSTABLE, WILCOX COUNTY PRECINCT 1, BOX 5              ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,,
146,"CONSTABLE, WILCOX COUNTY PRECINCT 1, BOX 5              ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,
147,"CONSTABLE, WILCOX COUNTY PRECINCT 1, BOX 5              ",   ,Under Votes                           ,6,,,,,,,,,,,,,,,,43.0,,,,,,,,0.0,,,,,,,,,,,
148,"CONSTABLE, WILCOX COUNTY PRECINCT 1, BOX 6              ",NON,Write-In                              ,0,,,,,,,,,,,3.0,,,,,,,,,,,,,0.0,,,,,,,,,,,
149,"CONSTABLE, WILCOX COUNTY PRECINCT 1, BOX 6              ",   ,Over Votes                            ,0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,
150,"CONSTABLE, WILCOX COUNTY PRECINCT 1, BOX 6              ",   ,Under Votes                           ,3,,,,,,,,,,,102.0,,,,,,,,,,,,,0.0,,,,,,,,,,,
151,"CONSTABLE, WILCOX COUNTY PRECINCT 1, BOX 7              ",DEM,John Allen Scott                      ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,45.0,,,,,,,
152,"CONSTABLE, WILCOX COUNTY PRECINCT 1, BOX 7              ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,
