,Contest Title,Party,Candidate,ABSENTEE,BELLAMY COMMUNITY CTR_,BOYD TRAILER,COATOPA BEL FIRE DEPT_,CUBA COMMUNITY CENTER,EMELLE SUMT_ TOWN HALL,EPES COMMUNITY CENTER,GAINESVILLE COMMUNITY CTR,GEIGER TOWN HALL,LIVINGSTON CIVIC CENTER,PANOLA TRAILER,PROVISIONAL,WARD COMMUNITY CENTER,WHITFIELD TRAILER,YORK SUMTER RESCUE
141,"CONSTABLE, SUMTER COUNTY BEAT NO. 10                    ",   ,Under Votes                           ,9,,,,,,298.0,,,,,0,,,
142,"CONSTABLE, SUMTER COUNTY BEAT NO. 11                    ",NON,Write-In                              ,0,,,,,,,17.0,,,,0,,,
143,"CONSTABLE, SUMTER COUNTY BEAT NO. 11                    ",   ,Over Votes                            ,0,,,,,,,0.0,,,,0,,,
144,"CONSTABLE, SUMTER COUNTY BEAT NO. 11                    ",   ,Under Votes                           ,8,,,,,,,337.0,,,,0,,,
145,"CONSTABLE, SUMTER COUNTY BEAT NO. 12                    ",NON,Write-In                              ,1,,,,,,,,0.0,,,0,,,
146,"CONSTABLE, SUMTER COUNTY BEAT NO. 12                    ",   ,Over Votes                            ,0,,,,,,,,0.0,,,0,,,
147,"CONSTABLE, SUMTER COUNTY BEAT NO. 12                    ",   ,Under Votes                           ,5,,,,,,,,181.0,,,0,,,
148,"CONSTABLE, SUMTER COUNTY BEAT NO. 13                    ",NON,Write-In                              ,0,,,,,,,,,,96.0,0,,,
149,"CONSTABLE, SUMTER COUNTY BEAT NO. 13                    ",   ,Over Votes                            ,0,,,,,,,,,,0.0,0,,,
150,"CONSTABLE, SUMTER COUNTY BEAT NO. 13                    ",   ,Under Votes                           ,11,,,,,,,,,,157.0,0,,,
151,REFERENDUM TO LEVY AN ADDITIONAL AD VALOREM TAX         ,NON,"Yes, If You Favor The Tax Increase    ",172,164.0,43.0,72.0,180.0,78.0,156.0,184.0,65.0,711.0,31.0,5,73.0,48.0,582.0
152,REFERENDUM TO LEVY AN ADDITIONAL AD VALOREM TAX         ,NON,"No, If You Oppose The Tax Increase    ",189,91.0,102.0,149.0,423.0,154.0,93.0,105.0,86.0,909.0,188.0,2,117.0,18.0,501.0
153,REFERENDUM TO LEVY AN ADDITIONAL AD VALOREM TAX         ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0,0.0,0.0,1.0
154,REFERENDUM TO LEVY AN ADDITIONAL AD VALOREM TAX         ,   ,Under Votes                           ,53,41.0,26.0,26.0,94.0,39.0,49.0,65.0,30.0,131.0,33.0,0,34.0,10.0,110.0
