,Contest Title,Party,Candidate,1ST UNITED METHODIST,ABSENTEE,ALCO J_D_ JC MUSEUM,APPLETON VOL_ FIRE,ATMORE CITY HALL,ATMORE PUBLIC LIBRARY,BARNETTS CROSSROADS/ROBIN,BETHEL ROBERTS VOTING,BRADLEY VOL_ FIRE DEPT_,BREWTON CIVIC CENTER,CANOE CIVIC CLUB,COUNTY HWY_ DEPT_,DAMASCUS BOYKIN SCHOOL,DIXIE VOL_ FIRE DEPT_,EAST BREWTON SAIL SITE,FLOMATON COMMUNITY HOUSE,FLOMATON TOWN HALL,HUXFORD MASONIC LODGE,LITTLE ESCAMBIA VOTING,LITTLE ROCK STORE,McCALL SCHOOL,McCULLOUGH VOL_ FIRE DEPT,NEW ORDER MISSIONARY BAPT,NOKOMIS VOTING HOUSE,PINEVIEW VOTING HOUSE,POARCH SAIL CENTER,POLLARD TOWN HALL,PROVISIONAL,RIVERVIEW TOWN HALL,ROCK HILL RIDGE RD VFD,WALLACE METHODIST CHURCH
75,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,173.0,249,136.0,143.0,56.0,345.0,38.0,20.0,15.0,783.0,87.0,52.0,58.0,12.0,380.0,108.0,142.0,76.0,92.0,38.0,178.0,99.0,197.0,119.0,53.0,130.0,88.0,0.0,90.0,79.0,9.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,106.0,141,101.0,83.0,103.0,214.0,24.0,14.0,15.0,706.0,60.0,36.0,63.0,7.0,238.0,72.0,75.0,53.0,55.0,13.0,97.0,66.0,216.0,74.0,30.0,53.0,33.0,0.0,58.0,49.0,14.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,348.0,633,211.0,302.0,694.0,639.0,72.0,57.0,40.0,1292.0,196.0,157.0,172.0,24.0,479.0,227.0,236.0,103.0,219.0,74.0,375.0,154.0,613.0,239.0,129.0,182.0,170.0,0.0,219.0,169.0,48.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,347.0,451,201.0,266.0,76.0,619.0,66.0,32.0,27.0,1374.0,182.0,79.0,106.0,20.0,588.0,214.0,256.0,146.0,174.0,60.0,369.0,175.0,325.0,218.0,110.0,189.0,162.0,0.0,158.0,163.0,21.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,85.0,155,93.0,75.0,92.0,181.0,23.0,19.0,10.0,643.0,46.0,31.0,62.0,12.0,220.0,62.0,58.0,31.0,55.0,17.0,78.0,64.0,184.0,74.0,36.0,50.0,43.0,0.0,53.0,38.0,15.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,195.0,417,154.0,187.0,685.0,398.0,45.0,40.0,33.0,764.0,114.0,135.0,125.0,11.0,290.0,131.0,139.0,55.0,136.0,48.0,203.0,80.0,518.0,140.0,66.0,126.0,86.0,0.0,151.0,96.0,35.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,142.0,212,113.0,114.0,46.0,308.0,29.0,16.0,11.0,698.0,81.0,54.0,47.0,8.0,340.0,94.0,129.0,75.0,79.0,34.0,153.0,86.0,181.0,100.0,52.0,113.0,77.0,0.0,68.0,77.0,8.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,144.0,182,120.0,109.0,107.0,251.0,33.0,20.0,20.0,773.0,59.0,37.0,71.0,12.0,276.0,88.0,88.0,52.0,63.0,15.0,109.0,82.0,236.0,91.0,31.0,63.0,40.0,0.0,74.0,56.0,14.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,341.0,628,215.0,305.0,700.0,639.0,72.0,55.0,39.0,1307.0,203.0,154.0,174.0,23.0,482.0,225.0,236.0,105.0,224.0,76.0,388.0,150.0,610.0,241.0,129.0,188.0,173.0,0.0,220.0,164.0,49.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,187.0,234,165.0,130.0,128.0,379.0,42.0,22.0,16.0,1043.0,87.0,53.0,87.0,14.0,427.0,101.0,127.0,92.0,90.0,35.0,169.0,97.0,280.0,122.0,56.0,140.0,71.0,0.0,91.0,92.0,10.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,91.0,156,69.0,92.0,25.0,167.0,24.0,15.0,17.0,430.0,48.0,35.0,25.0,9.0,174.0,69.0,82.0,44.0,57.0,16.0,93.0,73.0,132.0,72.0,29.0,38.0,44.0,0.0,47.0,40.0,13.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,349.0,633,214.0,306.0,700.0,652.0,68.0,54.0,37.0,1307.0,208.0,157.0,181.0,20.0,497.0,237.0,243.0,96.0,219.0,74.0,388.0,148.0,615.0,238.0,127.0,187.0,176.0,0.0,223.0,165.0,48.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,246.0,307,189.0,166.0,133.0,467.0,38.0,22.0,12.0,1266.0,116.0,66.0,93.0,11.0,481.0,140.0,194.0,97.0,116.0,46.0,243.0,134.0,302.0,149.0,69.0,147.0,107.0,0.0,123.0,109.0,12.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,140.0,204,90.0,149.0,31.0,277.0,44.0,20.0,24.0,571.0,87.0,36.0,63.0,17.0,273.0,116.0,108.0,66.0,96.0,23.0,156.0,92.0,178.0,113.0,60.0,80.0,74.0,0.0,66.0,60.0,22.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,0.0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,241.0,510,169.0,213.0,689.0,453.0,52.0,49.0,34.0,941.0,140.0,143.0,137.0,15.0,344.0,151.0,151.0,69.0,154.0,56.0,251.0,93.0,547.0,168.0,83.0,138.0,110.0,0.0,173.0,128.0,37.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,173.0,204,142.0,122.0,114.0,380.0,27.0,16.0,13.0,982.0,82.0,49.0,76.0,10.0,349.0,87.0,104.0,75.0,73.0,35.0,154.0,96.0,251.0,104.0,47.0,125.0,75.0,0.0,63.0,75.0,6.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,158.0,241,106.0,137.0,45.0,255.0,48.0,24.0,18.0,632.0,83.0,44.0,46.0,11.0,312.0,110.0,133.0,62.0,89.0,23.0,145.0,91.0,195.0,129.0,47.0,84.0,67.0,0.0,84.0,66.0,20.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0.0,0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,296.0,578,200.0,269.0,693.0,561.0,59.0,51.0,39.0,1166.0,178.0,152.0,171.0,22.0,437.0,210.0,216.0,95.0,204.0,67.0,351.0,131.0,581.0,199.0,118.0,156.0,149.0,0.0,220.0,156.0,45.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,218.0,326,187.0,189.0,135.0,462.0,34.0,26.0,21.0,1207.0,114.0,67.0,102.0,14.0,487.0,127.0,183.0,80.0,107.0,54.0,244.0,119.0,300.0,148.0,67.0,152.0,110.0,0.0,113.0,116.0,15.0
100,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,179.0,249,104.0,143.0,33.0,306.0,53.0,28.0,16.0,725.0,102.0,37.0,48.0,13.0,301.0,139.0,130.0,79.0,102.0,16.0,174.0,108.0,189.0,122.0,69.0,76.0,83.0,0.0,88.0,68.0,21.0
101,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,2.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,228.0,448,157.0,196.0,685.0,429.0,47.0,37.0,33.0,846.0,126.0,141.0,143.0,16.0,307.0,141.0,140.0,73.0,157.0,55.0,230.0,92.0,538.0,162.0,76.0,137.0,98.0,0.0,168.0,113.0,35.0
103,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,273.0,320,221.0,274.0,145.0,556.0,64.0,35.0,25.0,1505.0,152.0,72.0,121.0,16.0,565.0,195.0,215.0,112.0,154.0,54.0,315.0,149.0,369.0,187.0,99.0,174.0,135.0,0.0,137.0,124.0,28.0
104,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,114.0,191,70.0,98.0,25.0,219.0,26.0,15.0,17.0,453.0,70.0,38.0,40.0,13.0,210.0,76.0,99.0,61.0,65.0,18.0,110.0,81.0,148.0,90.0,40.0,63.0,52.0,0.0,60.0,55.0,17.0
105,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
106,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,240.0,510,157.0,156.0,683.0,422.0,44.0,41.0,28.0,822.0,121.0,135.0,131.0,14.0,322.0,136.0,139.0,59.0,147.0,53.0,225.0,89.0,510.0,155.0,73.0,128.0,104.0,0.0,171.0,118.0,26.0
107,"DISTRICT COURT JUDGE, ESCAMBIA COUNTY                   ",DEM,Eric Coale                            ,195.0,391,226.0,141.0,793.0,423.0,9.0,50.0,34.0,1699.0,65.0,130.0,182.0,17.0,533.0,105.0,62.0,30.0,33.0,19.0,128.0,82.0,618.0,75.0,21.0,114.0,59.0,0.0,107.0,128.0,16.0
108,"DISTRICT COURT JUDGE, ESCAMBIA COUNTY                   ",REP,Jeff White                            ,420.0,605,212.0,371.0,35.0,739.0,121.0,40.0,30.0,1015.0,266.0,102.0,98.0,26.0,544.0,293.0,389.0,196.0,329.0,104.0,511.0,233.0,384.0,343.0,184.0,237.0,222.0,0.0,252.0,162.0,55.0
109,"DISTRICT COURT JUDGE, ESCAMBIA COUNTY                   ",NON,Write-In                              ,0.0,0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
110,"DISTRICT COURT JUDGE, ESCAMBIA COUNTY                   ",   ,Over Votes                            ,0.0,2,1.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
111,"DISTRICT COURT JUDGE, ESCAMBIA COUNTY                   ",   ,Under Votes                           ,12.0,36,9.0,14.0,22.0,34.0,4.0,1.0,6.0,57.0,12.0,13.0,12.0,0.0,16.0,8.0,2.0,6.0,4.0,2.0,11.0,4.0,23.0,14.0,6.0,13.0,10.0,0.0,9.0,7.0,0.0
112,"MEMBER, ESCAMBIA COUNTY COMMISSION, DISTRICT NO. 2      ",DEM,Raymond Wiggins                       ,,125,,74.0,,,,67.0,53.0,242.0,,,240.0,25.0,749.0,,,,,,,,,,,,,0.0,198.0,212.0,
113,"MEMBER, ESCAMBIA COUNTY COMMISSION, DISTRICT NO. 2      ",REP,Rodney L. Butts                       ,,91,,76.0,,,,24.0,15.0,216.0,,,47.0,18.0,334.0,,,,,,,,,,,,,0.0,162.0,84.0,
114,"MEMBER, ESCAMBIA COUNTY COMMISSION, DISTRICT NO. 2      ",NON,Write-In                              ,,0,,1.0,,,,0.0,0.0,0.0,,,2.0,0.0,2.0,,,,,,,,,,,,,0.0,0.0,0.0,
115,"MEMBER, ESCAMBIA COUNTY COMMISSION, DISTRICT NO. 2      ",   ,Over Votes                            ,,0,,0.0,,,,0.0,0.0,0.0,,,1.0,0.0,2.0,,,,,,,,,,,,,0.0,1.0,0.0,
116,"MEMBER, ESCAMBIA COUNTY COMMISSION, DISTRICT NO. 2      ",   ,Under Votes                           ,,4,,6.0,,,,0.0,2.0,9.0,,,3.0,0.0,11.0,,,,,,,,,,,,,0.0,8.0,1.0,
117,"MEMBER, ESCAMBIA COUNTY COMMISSION, DISTRICT NO. 4      ",REP,Brandon Smith                         ,499.0,110,,,,839.0,,,,,297.0,113.0,,,,,,69.0,,91.0,,120.0,,,,259.0,,0.0,,,
118,"MEMBER, ESCAMBIA COUNTY COMMISSION, DISTRICT NO. 4      ",NON,Write-In                              ,5.0,0,,,,12.0,,,,,4.0,1.0,,,,,,0.0,,0.0,,0.0,,,,1.0,,0.0,,,
119,"MEMBER, ESCAMBIA COUNTY COMMISSION, DISTRICT NO. 4      ",   ,Over Votes                            ,0.0,0,,,,0.0,,,,,0.0,0.0,,,,,,0.0,,0.0,,0.0,,,,0.0,,0.0,,,
120,"MEMBER, ESCAMBIA COUNTY COMMISSION, DISTRICT NO. 4      ",   ,Under Votes                           ,123.0,27,,,,347.0,,,,,42.0,131.0,,,,,,5.0,,8.0,,9.0,,,,105.0,,0.0,,,
121,"MEMBER, ESCAMBIA COUNTY BOARD OF EDUCATION,             ",REP,Cynthia A. Jackson                    ,,135,234.0,,,,19.0,,,,,,,,,260.0,183.0,,256.0,,470.0,,,,175.0,,204.0,0.0,,,32.0
122,"MEMBER, ESCAMBIA COUNTY BOARD OF EDUCATION,             ",NON,Write-In                              ,,2,12.0,,,,0.0,,,,,,,,,3.0,5.0,,0.0,,1.0,,,,4.0,,5.0,0.0,,,0.0
123,"MEMBER, ESCAMBIA COUNTY BOARD OF EDUCATION,             ",   ,Over Votes                            ,,0,0.0,,,,0.0,,,,,,,,,0.0,0.0,,0.0,,0.0,,,,0.0,,0.0,0.0,,,0.0
124,"MEMBER, ESCAMBIA COUNTY BOARD OF EDUCATION,             ",   ,Under Votes                           ,,50,135.0,,,,4.0,,,,,,,,,144.0,46.0,,60.0,,79.0,,,,33.0,,82.0,0.0,,,12.0
125,"MEMBER, ESCAMBIA COUNTY BOARD OF EDUCATION,             ",REP,David Glenn Nolin                     ,200.0,88,,,,805.0,59.0,,,,283.0,,,,,,192.0,44.0,43.0,109.0,,,29.0,,,,,0.0,,,
126,"MEMBER, ESCAMBIA COUNTY BOARD OF EDUCATION,             ",NON,Write-In                              ,2.0,0,,,,15.0,0.0,,,,3.0,,,,,,0.0,0.0,0.0,1.0,,,0.0,,,,,0.0,,,
127,"MEMBER, ESCAMBIA COUNTY BOARD OF EDUCATION,             ",   ,Over Votes                            ,0.0,0,,,,0.0,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,,,
128,"MEMBER, ESCAMBIA COUNTY BOARD OF EDUCATION,             ",   ,Under Votes                           ,65.0,28,,,,378.0,5.0,,,,57.0,,,,,,27.0,4.0,7.0,15.0,,,14.0,,,,,0.0,,,
