,Contest Title,Party,Candidate,ABSENTEE,BEAUREGARD SCHOOL GYM,BEULAH FIRE DEPT #3,BEULAH HIGH SCHOOL,BOYKIN COMMUNITY CTR,CLARION INN S COLLEGE,COVINGTON PARK COMM CTR,CRAWFORD VFD,DEAN ROAD REC CTR,EAMC EDUCATION CTR,FARMVILLE VFD,FRANK BROWN REC CTR,GLENWOOD SCHOOL,LOACHAPOKA COMM CTR,NATIONAL GUARD AUBURN,OPELIKA LEARNING CTR,OPELIKA RECREATION CTR,OPELIKA SPORTSPLEX,PINE GROVE UNITED METH,PROVISIONAL,SMITH STATION AUDITORIUM,SR CTR SMITH STATION,UPTOWN MARVYN,UPTOWN WAVERLY,WACOOCHEE JR HIGH SCHOOL
87,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,850,753.0,498.0,365.0,421.0,2431.0,276.0,240.0,1187.0,928.0,486.0,1641.0,1173.0,396.0,1110.0,554.0,471.0,1324.0,411.0,138,1752.0,791.0,82.0,75.0,252.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,567,666.0,361.0,266.0,494.0,1773.0,1030.0,275.0,887.0,779.0,383.0,1162.0,841.0,515.0,755.0,1056.0,538.0,1087.0,297.0,113,1508.0,656.0,82.0,71.0,274.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,0,1.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,4.0,0.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,0.0,0,7.0,0.0,0.0,0.0,2.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,1614,839.0,546.0,451.0,521.0,3285.0,217.0,327.0,1892.0,1254.0,546.0,2056.0,1302.0,530.0,1503.0,753.0,820.0,1836.0,511.0,218,1843.0,905.0,143.0,130.0,345.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,961,866.0,585.0,388.0,681.0,2864.0,1170.0,322.0,1389.0,1154.0,573.0,1935.0,1364.0,648.0,1268.0,1249.0,674.0,1587.0,457.0,171,2103.0,943.0,95.0,94.0,348.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,417,538.0,275.0,244.0,230.0,1244.0,124.0,181.0,663.0,505.0,268.0,835.0,624.0,246.0,548.0,354.0,313.0,797.0,251.0,72,1141.0,508.0,65.0,50.0,170.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0,0.0,1.0,0.0,4.0,2.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0,8.0,0.0,0.0,0.0,0.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,1653,855.0,544.0,450.0,522.0,3386.0,229.0,339.0,1912.0,1305.0,574.0,2087.0,1330.0,549.0,1553.0,760.0,842.0,1865.0,511.0,226,1858.0,901.0,147.0,132.0,355.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,1207,939.0,590.0,451.0,715.0,3434.0,1185.0,320.0,1607.0,1364.0,646.0,2173.0,1442.0,712.0,1514.0,1321.0,772.0,1874.0,477.0,181,2117.0,996.0,109.0,113.0,382.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,633,764.0,458.0,318.0,282.0,1900.0,163.0,275.0,1199.0,752.0,441.0,1331.0,896.0,344.0,929.0,445.0,507.0,1186.0,365.0,117,1541.0,645.0,88.0,67.0,265.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,4.0,0.0,0,1.0,1.0,0.0,0.0,0.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,1205,555.0,357.0,312.0,438.0,2160.0,174.0,248.0,1158.0,848.0,327.0,1354.0,978.0,386.0,924.0,597.0,551.0,1186.0,377.0,171,1451.0,710.0,110.0,96.0,226.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,819,650.0,358.0,257.0,611.0,2384.0,1142.0,252.0,1170.0,971.0,466.0,1529.0,991.0,579.0,1038.0,1114.0,594.0,1243.0,345.0,135,1456.0,662.0,78.0,90.0,252.0
100,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,708,807.0,517.0,393.0,332.0,2056.0,171.0,278.0,1002.0,800.0,428.0,1384.0,1036.0,345.0,897.0,532.0,464.0,1267.0,391.0,118,1860.0,845.0,89.0,63.0,300.0
101,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0,2.0,1.0,0,0.0,0.0,1.0,0.0,0.0
102,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,1507,802.0,529.0,431.0,493.0,3056.0,209.0,312.0,1791.0,1193.0,521.0,1946.0,1291.0,519.0,1431.0,716.0,773.0,1738.0,482.0,216,1794.0,845.0,139.0,123.0,321.0
103,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,1185,942.0,622.0,430.0,743.0,3194.0,1227.0,330.0,1627.0,1306.0,636.0,2230.0,1459.0,713.0,1456.0,1331.0,774.0,1789.0,508.0,181,2180.0,1004.0,117.0,120.0,379.0
104,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,820,822.0,460.0,371.0,289.0,2460.0,123.0,277.0,1387.0,888.0,514.0,1497.0,986.0,383.0,1148.0,470.0,577.0,1401.0,364.0,129,1598.0,677.0,85.0,64.0,304.0
105,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,0,1.0,3.0,1.0,1.0,6.0,4.0,0.0,5.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,0.0,0,4.0,3.0,0.0,0.0,0.0
106,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,1048,494.0,320.0,280.0,404.0,1836.0,169.0,236.0,947.0,770.0,264.0,1130.0,871.0,347.0,763.0,562.0,478.0,1057.0,347.0,159,1328.0,668.0,105.0,92.0,190.0
107,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,1070,1085.0,663.0,500.0,784.0,3801.0,1231.0,377.0,1960.0,1477.0,736.0,2452.0,1586.0,786.0,1759.0,1400.0,917.0,2084.0,572.0,196,2248.0,1072.0,137.0,133.0,373.0
108,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,653,637.0,366.0,282.0,210.0,1534.0,116.0,226.0,864.0,631.0,358.0,983.0,756.0,269.0,656.0,366.0,379.0,986.0,298.0,94,1401.0,566.0,77.0,48.0,255.0
109,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,4.0,2.0,1.0,4.0,0.0,0,3.0,1.0,0.0,0.0,0.0
110,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,1313,537.0,374.0,300.0,443.0,2160.0,176.0,239.0,1141.0,856.0,320.0,1425.0,974.0,389.0,950.0,596.0,535.0,1176.0,349.0,179,1458.0,713.0,93.0,95.0,245.0
111,"DISTRICT COURT JUDGE, LEE COUNTY, PLACE  NO. 1          ",REP,Steve Speakman                        ,2043,1640.0,1226.0,971.0,512.0,5451.0,216.0,517.0,2597.0,2027.0,1115.0,3151.0,2631.0,632.0,2279.0,781.0,1230.0,3229.0,911.0,295,3734.0,1829.0,167.0,141.0,663.0
112,"DISTRICT COURT JUDGE, LEE COUNTY, PLACE  NO. 1          ",NON,Write-In                              ,32,30.0,7.0,5.0,50.0,109.0,28.0,17.0,80.0,44.0,22.0,119.0,53.0,29.0,54.0,62.0,22.0,69.0,21.0,3,82.0,25.0,7.0,7.0,11.0
113,"DISTRICT COURT JUDGE, LEE COUNTY, PLACE  NO. 1          ",   ,Over Votes                            ,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
114,"DISTRICT COURT JUDGE, LEE COUNTY, PLACE  NO. 1          ",   ,Under Votes                           ,964,588.0,172.0,106.0,874.0,1936.0,1279.0,309.0,1286.0,894.0,277.0,1590.0,633.0,783.0,1036.0,1521.0,579.0,952.0,287.0,171,1294.0,498.0,133.0,128.0,199.0
115,"MEMBER, LEE COUNTY COMMISSION, DISTRICT NO. 1           ",REP,Sheila H. Eckman                      ,454,,,,,,,,1137.0,22.0,1109.0,3101.0,,246.0,2185.0,,,,,92,,,,140.0,
116,"MEMBER, LEE COUNTY COMMISSION, DISTRICT NO. 1           ",NON,Write-In                              ,11,,,,,,,,56.0,0.0,31.0,190.0,,16.0,98.0,,,,,1,,,,9.0,
117,"MEMBER, LEE COUNTY COMMISSION, DISTRICT NO. 1           ",   ,Over Votes                            ,1,,,,,,,,0.0,0.0,0.0,1.0,,1.0,1.0,,,,,0,,,,0.0,
118,"MEMBER, LEE COUNTY COMMISSION, DISTRICT NO. 1           ",   ,Under Votes                           ,191,,,,,,,,572.0,9.0,275.0,1569.0,,204.0,868.0,,,,,0,,,,127.0,
119,"MEMBER, LEE COUNTY COMMISSION, DISTRICT NO. 3           ",REP,Gary Long                             ,395,,,,,,,,,,,,2372.0,,,,,,,51,3614.0,684.0,,,
120,"MEMBER, LEE COUNTY COMMISSION, DISTRICT NO. 3           ",NON,Write-In                              ,2,,,,,,,,,,,,38.0,,,,,,,0,82.0,15.0,,,
121,"MEMBER, LEE COUNTY COMMISSION, DISTRICT NO. 3           ",   ,Over Votes                            ,1,,,,,,,,,,,,0.0,,,,,,,0,0.0,0.0,,,
122,"MEMBER, LEE COUNTY COMMISSION, DISTRICT NO. 3           ",   ,Under Votes                           ,135,,,,,,,,,,,,488.0,,,,,,,0,1254.0,227.0,,,
123,"MEMBER, LEE COUNTY BOARD OF EDUCATION, DISTRICT NO. 2   ",REP,Larry Boswell                         ,114,,,,,,,,,,,,,,,,,,,4,1592.0,,,,
124,"MEMBER, LEE COUNTY BOARD OF EDUCATION, DISTRICT NO. 2   ",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,,,0,34.0,,,,
125,"MEMBER, LEE COUNTY BOARD OF EDUCATION, DISTRICT NO. 2   ",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,,,0,0.0,,,,
126,"MEMBER, LEE COUNTY BOARD OF EDUCATION, DISTRICT NO. 2   ",   ,Under Votes                           ,34,,,,,,,,,,,,,,,,,,,0,516.0,,,,
127,"MEMBER, LEE COUNTY BOARD OF EDUCATION, DISTRICT NO. 3   ",REP,George Spence                         ,114,793.0,,,,263.0,,50.0,,61.0,103.0,1.0,,2.0,1.0,,,738.0,46.0,20,,,,,374.0
128,"MEMBER, LEE COUNTY BOARD OF EDUCATION, DISTRICT NO. 3   ",NON,Write-In                              ,2,14.0,,,,5.0,,2.0,,5.0,1.0,0.0,,0.0,0.0,,,10.0,1.0,0,,,,,6.0
129,"MEMBER, LEE COUNTY BOARD OF EDUCATION, DISTRICT NO. 3   ",   ,Over Votes                            ,0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0,,,,,0.0
130,"MEMBER, LEE COUNTY BOARD OF EDUCATION, DISTRICT NO. 3   ",   ,Under Votes                           ,41,173.0,,,,89.0,,12.0,,69.0,33.0,2.0,,0.0,1.0,,,174.0,13.0,0,,,,,69.0
