,Contest Title,Party,Candidate,ABSENTEE,ANDREW BELLE COMM_ CTR,ASHFORD DEPOT,BAY SPRINGS VFD,COTTONWOOD CITY HALL,COWARTS TOWN HALL,DOTHAN 1ST ASSEMBLY CLC,DOUG TEW COMMUNITY CTR_,ENTERPRISE CHURCH,FARM CENTER,GORDON CITY HALL,HODGESVILLE VFD,KINSEY VFD,LIBRARY,LOVETOWN FIRE STATION,MADRID SR_ CENTER,PANSEY VFD,PROVISIONAL,REHOBETH MUNICIPAL COMPLX,ROSSIE PURCELL PUB LIBRAR,ST_ JOHNS PARK,TAYLOR CITY HALL,VAUGHN BLUMBERG CENTER,WALTON PARK,WATER AND ELECTRIC COMPLX,WEBB CITY HALL,WESTGATE PARK,WICKSBURG VFD,WIREGRASS PARK
79,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,1152,405.0,789.0,460.0,656.0,732.0,2113.0,1548.0,308.0,1647.0,87.0,707.0,435.0,1498.0,193.0,356.0,229.0,138,882.0,433.0,143.0,967.0,1324.0,601.0,2537.0,419.0,2099.0,724.0,1469.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,274,124.0,338.0,133.0,196.0,248.0,501.0,439.0,100.0,463.0,35.0,224.0,135.0,551.0,71.0,125.0,83.0,53,247.0,145.0,71.0,272.0,386.0,356.0,646.0,136.0,525.0,293.0,528.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,5.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,596,184.0,300.0,202.0,330.0,286.0,647.0,607.0,120.0,523.0,135.0,326.0,195.0,727.0,83.0,152.0,121.0,63,283.0,190.0,113.0,324.0,461.0,575.0,807.0,191.0,684.0,268.0,664.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,629,224.0,430.0,223.0,357.0,403.0,1090.0,867.0,146.0,874.0,51.0,381.0,230.0,827.0,112.0,202.0,110.0,88,434.0,207.0,79.0,545.0,699.0,390.0,1235.0,235.0,1017.0,357.0,874.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,368,184.0,404.0,183.0,257.0,285.0,704.0,606.0,124.0,639.0,39.0,301.0,183.0,673.0,90.0,155.0,97.0,68,350.0,186.0,81.0,358.0,548.0,435.0,933.0,165.0,712.0,318.0,736.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,4.0,0.0,2.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,1020,306.0,593.0,389.0,569.0,579.0,1467.0,1121.0,258.0,1121.0,167.0,575.0,351.0,1278.0,146.0,276.0,226.0,97,627.0,375.0,167.0,662.0,925.0,705.0,1822.0,345.0,1575.0,610.0,1054.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,667,266.0,521.0,268.0,389.0,426.0,1147.0,913.0,181.0,982.0,62.0,420.0,259.0,1003.0,130.0,222.0,117.0,101,502.0,231.0,104.0,594.0,846.0,547.0,1348.0,252.0,1144.0,418.0,1029.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,311,125.0,310.0,133.0,221.0,244.0,578.0,537.0,90.0,507.0,35.0,257.0,145.0,464.0,74.0,128.0,85.0,57,277.0,164.0,60.0,309.0,391.0,271.0,783.0,150.0,531.0,247.0,563.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,1037,322.0,596.0,394.0,573.0,597.0,1537.0,1145.0,256.0,1145.0,160.0,580.0,361.0,1309.0,144.0,282.0,231.0,96,633.0,373.0,163.0,661.0,934.0,712.0,1860.0,344.0,1632.0,620.0,1073.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,776,297.0,564.0,284.0,397.0,465.0,1413.0,1106.0,203.0,1128.0,63.0,428.0,303.0,1103.0,127.0,236.0,136.0,106,543.0,248.0,94.0,664.0,923.0,595.0,1624.0,270.0,1388.0,458.0,1172.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,455,183.0,465.0,246.0,374.0,406.0,925.0,685.0,154.0,779.0,47.0,402.0,220.0,746.0,118.0,209.0,142.0,67,465.0,246.0,93.0,488.0,601.0,300.0,1191.0,215.0,909.0,458.0,679.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,2.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,787,234.0,399.0,265.0,412.0,395.0,923.0,803.0,171.0,726.0,147.0,427.0,242.0,926.0,103.0,188.0,155.0,82,402.0,272.0,140.0,413.0,647.0,634.0,1176.0,262.0,1010.0,369.0,814.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,513,213.0,376.0,186.0,264.0,303.0,974.0,736.0,129.0,751.0,49.0,307.0,186.0,836.0,79.0,153.0,77.0,86,342.0,152.0,66.0,420.0,642.0,507.0,1066.0,184.0,866.0,294.0,837.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,508,187.0,477.0,222.0,358.0,385.0,857.0,751.0,150.0,797.0,47.0,379.0,227.0,685.0,129.0,203.0,140.0,68,448.0,254.0,98.0,511.0,622.0,309.0,1141.0,218.0,897.0,398.0,787.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,995,314.0,575.0,387.0,559.0,579.0,1431.0,1108.0,249.0,1087.0,161.0,571.0,352.0,1257.0,140.0,277.0,216.0,100,622.0,362.0,163.0,634.0,909.0,715.0,1783.0,345.0,1543.0,593.0,1040.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,765,298.0,606.0,315.0,474.0,504.0,1423.0,1142.0,203.0,1145.0,71.0,492.0,334.0,1173.0,148.0,256.0,161.0,117,569.0,273.0,96.0,698.0,952.0,615.0,1733.0,299.0,1428.0,513.0,1236.0
100,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,583,184.0,472.0,249.0,327.0,399.0,1064.0,727.0,169.0,861.0,41.0,385.0,204.0,756.0,102.0,208.0,132.0,67,487.0,252.0,93.0,495.0,666.0,297.0,1237.0,212.0,1037.0,443.0,677.0
101,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0
102,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,671,232.0,350.0,231.0,381.0,364.0,772.0,725.0,155.0,628.0,145.0,380.0,226.0,849.0,98.0,169.0,139.0,71,355.0,243.0,138.0,370.0,555.0,619.0,1020.0,236.0,840.0,329.0,753.0
103,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,741,347.0,703.0,362.0,527.0,595.0,1676.0,1238.0,252.0,1307.0,71.0,587.0,359.0,1308.0,168.0,285.0,174.0,122,701.0,319.0,123.0,805.0,1032.0,609.0,2026.0,349.0,1555.0,624.0,1282.0
104,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,447,143.0,330.0,168.0,260.0,295.0,655.0,572.0,112.0,579.0,38.0,294.0,176.0,569.0,87.0,151.0,110.0,54,318.0,187.0,73.0,364.0,476.0,280.0,837.0,162.0,746.0,312.0,571.0
105,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
106,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,830,224.0,395.0,265.0,396.0,377.0,930.0,785.0,164.0,749.0,148.0,376.0,230.0,900.0,93.0,197.0,149.0,79,393.0,262.0,131.0,396.0,665.0,642.0,1127.0,236.0,1006.0,349.0,813.0
107,"DISTRICT COURT JUDGE, HOUSTON COUNTY, PLACE NO. 1       ",REP,Lori Collier Ingram                   ,1495,356.0,1049.0,626.0,893.0,1031.0,2671.0,1851.0,432.0,1941.0,108.0,1041.0,463.0,1818.0,294.0,495.0,353.0,164,1242.0,583.0,184.0,1320.0,1461.0,233.0,3222.0,573.0,2706.0,1079.0,1403.0
108,"DISTRICT COURT JUDGE, HOUSTON COUNTY, PLACE NO. 1       ",NON,Write-In                              ,23,24.0,15.0,4.0,9.0,9.0,23.0,64.0,3.0,60.0,7.0,8.0,22.0,46.0,1.0,8.0,3.0,9,7.0,8.0,5.0,25.0,52.0,61.0,49.0,14.0,32.0,7.0,108.0
109,"DISTRICT COURT JUDGE, HOUSTON COUNTY, PLACE NO. 1       ",   ,Over Votes                            ,0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
110,"DISTRICT COURT JUDGE, HOUSTON COUNTY, PLACE NO. 1       ",   ,Under Votes                           ,479,334.0,364.0,164.0,281.0,227.0,566.0,679.0,93.0,634.0,142.0,208.0,280.0,912.0,53.0,130.0,77.0,77,163.0,177.0,138.0,220.0,660.0,1238.0,720.0,160.0,570.0,199.0,1155.0
111,"SUPERINTENDENT, HOUSTON COUNTY BOARD OF EDUCATION       ",REP,David Sewell                          ,386,,1090.0,520.0,1002.0,1039.0,8.0,,443.0,68.0,122.0,1080.0,478.0,,307.0,510.0,371.0,63,1270.0,602.0,200.0,1250.0,19.0,,58.0,592.0,4.0,1101.0,0.0
112,"SUPERINTENDENT, HOUSTON COUNTY BOARD OF EDUCATION       ",NON,Write-In                              ,5,,19.0,1.0,3.0,11.0,0.0,,2.0,1.0,5.0,5.0,24.0,,2.0,9.0,2.0,1,13.0,9.0,3.0,24.0,0.0,,1.0,12.0,0.0,10.0,0.0
113,"SUPERINTENDENT, HOUSTON COUNTY BOARD OF EDUCATION       ",   ,Over Votes                            ,0,,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
114,"SUPERINTENDENT, HOUSTON COUNTY BOARD OF EDUCATION       ",   ,Under Votes                           ,100,,319.0,123.0,178.0,216.0,3.0,,77.0,12.0,130.0,164.0,263.0,,39.0,114.0,60.0,15,125.0,157.0,124.0,188.0,4.0,,11.0,143.0,0.0,174.0,0.0
115,"MEMBER, HOUSTON COUNTY BOARD OF EDUCATION,              ",DEM,David W. Hollinger                    ,16,,140.0,,73.0,7.0,,,7.0,,112.0,,,,,,75.0,2,,66.0,162.0,,,,,,,,
116,"MEMBER, HOUSTON COUNTY BOARD OF EDUCATION,              ",IND,Charles Dismuke                       ,21,,126.0,,48.0,8.0,,,18.0,,117.0,,,,,,120.0,1,,62.0,124.0,,,,,,,,
117,"MEMBER, HOUSTON COUNTY BOARD OF EDUCATION,              ",NON,Write-In                              ,0,,3.0,,0.0,0.0,,,0.0,,0.0,,,,,,1.0,0,,0.0,1.0,,,,,,,,
118,"MEMBER, HOUSTON COUNTY BOARD OF EDUCATION,              ",   ,Over Votes                            ,0,,1.0,,0.0,0.0,,,0.0,,0.0,,,,,,0.0,1,,0.0,0.0,,,,,,,,
119,"MEMBER, HOUSTON COUNTY BOARD OF EDUCATION,              ",   ,Under Votes                           ,8,,50.0,,21.0,15.0,,,15.0,,28.0,,,,,,59.0,1,,40.0,40.0,,,,,,,,
120,"MEMBER, HOUSTON COUNTY BOARD OF EDUCATION,              ",REP,Marty Collins                         ,90,,,,,,,,,,,44.0,,,,358.0,,24,1258.0,,,723.0,,,,,,,
121,"MEMBER, HOUSTON COUNTY BOARD OF EDUCATION,              ",NON,Write-In                              ,2,,,,,,,,,,,0.0,,,,7.0,,0,6.0,,,6.0,,,,,,,
122,"MEMBER, HOUSTON COUNTY BOARD OF EDUCATION,              ",   ,Over Votes                            ,0,,,,,,,,,,,0.0,,,,0.0,,0,1.0,,,0.0,,,,,,,
123,"MEMBER, HOUSTON COUNTY BOARD OF EDUCATION,              ",   ,Under Votes                           ,8,,,,,,,,,,,33.0,,,,74.0,,3,143.0,,,103.0,,,,,,,
124,"MEMBER, HOUSTON COUNTY BOARD OF EDUCATION,              ",REP,Scott B. Thomas III                   ,58,,864.0,,,191.0,,,17.0,,,,,,,,,0,,314.0,,,,,,14.0,,,
125,"MEMBER, HOUSTON COUNTY BOARD OF EDUCATION,              ",NON,Write-In                              ,0,,12.0,,,2.0,,,0.0,,,,,,,,,0,,3.0,,,,,,0.0,,,
126,"MEMBER, HOUSTON COUNTY BOARD OF EDUCATION,              ",   ,Over Votes                            ,0,,0.0,,,0.0,,,0.0,,,,,,,,,0,,0.0,,,,,,0.0,,,
127,"MEMBER, HOUSTON COUNTY BOARD OF EDUCATION,              ",   ,Under Votes                           ,9,,222.0,,,42.0,,,1.0,,,,,,,,,0,,85.0,,,,,,0.0,,,
128,PROPOSED LOCAL AMENDMENT NUMBER ONE (1)                 ,NON,Yes-Local Amendment No. 1             ,1100,379.0,808.0,450.0,634.0,736.0,2000.0,1517.0,311.0,1596.0,82.0,709.0,426.0,1545.0,210.0,377.0,238.0,138,883.0,417.0,134.0,964.0,1313.0,643.0,2419.0,441.0,2029.0,719.0,1478.0
129,PROPOSED LOCAL AMENDMENT NUMBER ONE (1)                 ,NON,No-Local Amendment No. 1              ,330,124.0,302.0,141.0,225.0,232.0,560.0,480.0,89.0,507.0,35.0,233.0,138.0,462.0,64.0,112.0,85.0,44,263.0,157.0,68.0,285.0,382.0,271.0,692.0,120.0,554.0,262.0,498.0
130,PROPOSED LOCAL AMENDMENT NUMBER ONE (1)                 ,   ,Over Votes                            ,0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0
131,PROPOSED LOCAL AMENDMENT NUMBER ONE (1)                 ,   ,Under Votes                           ,592,211.0,318.0,203.0,323.0,298.0,701.0,596.0,126.0,531.0,140.0,315.0,201.0,769.0,74.0,144.0,110.0,73,266.0,194.0,125.0,316.0,477.0,618.0,880.0,186.0,723.0,304.0,690.0
132,SPECIAL REFERENDUM                                      ,NON,Yes                                   ,975,394.0,710.0,418.0,581.0,604.0,1952.0,1462.0,252.0,1431.0,99.0,616.0,401.0,1539.0,173.0,288.0,191.0,139,732.0,371.0,137.0,848.0,1248.0,717.0,2154.0,344.0,1929.0,611.0,1475.0
133,SPECIAL REFERENDUM                                      ,NON,No                                    ,657,176.0,509.0,240.0,406.0,468.0,906.0,703.0,204.0,876.0,49.0,440.0,224.0,676.0,125.0,246.0,176.0,63,517.0,275.0,90.0,521.0,605.0,261.0,1278.0,291.0,930.0,505.0,707.0
134,SPECIAL REFERENDUM                                      ,   ,Over Votes                            ,0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,3.0
135,SPECIAL REFERENDUM                                      ,   ,Under Votes                           ,400,143.0,208.0,137.0,196.0,195.0,402.0,429.0,72.0,326.0,109.0,201.0,140.0,561.0,50.0,99.0,66.0,53,163.0,121.0,99.0,195.0,320.0,550.0,558.0,111.0,449.0,169.0,481.0
